Current Date:,10/4/2020,6:12 AM,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Daily Parameter Report
10/3/2020
,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Summary
Parameter,Site Name,,,,,,,,,,,,,,,,,,,,,,,,,Avg,Max,Hr. of Max
01 OZONE PPM,ALPINE,.061,.054,C,C,.061,.062,.056,.046,.058,.060,.064,.072,.083,.102,.097,.091,.084,.078,.073,.075,.072,.075,.071,.066,.070,.102,13
,CHULA VISTA,.012,.009,C,C,.015,.008,.006,.016,.028,.036,.039,.051,.069,.072,.067,.061,.066,.055,.046,.047,.036,.024,.016,.016,.036,.072,13
,DOWNTOWN SES,.003,.003,C,C,.003,.003,.004,.014,.025,.038,.054,.061,.072,.073,.060,.048,.057,.042,.035,.032,.031,.015,.012,.005,.031,.073,13
,EL CAJON LES,.017,.013,C,C,C,.008,P,.017,.036,.056,.073,.092,.090,.089,.086,.084,.079,.070,.053,.042,.036,.027,.023,.026,.050,.092,11
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.033,.035,C,C,.031,.026,.020,.028,.050,.067,.075,.086,.082,.087,.088,.093,.093,.076,.054,.042,.033,.029,.036,.048,.055,.093,15
,OTAY MESA DVN,.011,.016,C,C,.029,.021,.033,.029,.039,.045,.070,.081,.081,.074,.073,.073,.072,.066,.059,.052,.056,.027,.020,.013,.047,.081,11
,PENDLETON,.027,.025,C,C,.027,.031,.028,.030,.032,.040,.049,.055,.056,.056,.056,.056,.055,.052,.048,.040,.035,.037,.044,.044,.041,.056,12
02 NOX PPM,ALPINE,.002,.001,C,C,.002,.003,.005,.011,.004,.003,.002,.003,.004,.006,.005,.005,.005,.008,.008,.008,.005,.004,.003,.002,.005,.011,07
,CARMEL MT RCH,.034,.033,C,C,.041,.062,.058,.052,.037,.029,.021,.023,.016,.017,.019,.018,.022,.024,.026,.031,.032,.031,.027,.018,.031,.062,05
,CHULA VISTA,.018,.019,C,C,.015,.026,.043,.033,.031,.016,.022,.019,.013,.005,.004,.003,.004,.008,.013,.006,.012,.018,.022,.019,.017,.043,06
,DOWNTOWN SES,.021,.024,C,C,.022,.030,.048,.042,.035,.027,.019,.019,.017,.014,.009,.005,.009,.016,.013,.022,.021,.030,.039,.041,.024,.048,06
,EL CAJON LES,.015,.017,C,C,C,.017,P,.028,.019,.009,.008,.009,.007,.006,.006,.006,.007,.011,.015,.015,.015,.017,.019,.013,.013,.028,07
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.013,.011,C,C,.014,.021,.029,.029,.017,.015,.016,.008,.004,.007,.006,.006,.006,.009,.012,.017,.020,.023,.018,.012,.014,.029,06
,OTAY MESA DVN,.057,.056,C,C,.030,.039,.024,.036,.035,.049,.040,.028,.023,.010,.003,.004,.004,.005,.005,.006,.006,.025,.032,.040,.025,.057,00
,PENDLETON,.012,.013,C,C,.007,.006,.012,.011,.007,.005,.004,.003,.003,.002,.001,.001,.002,.003,.006,.008,.010,.009,.006,.005,.006,.013,01
03 NO2 PPM,ALPINE,.002,.001,C,C,.002,.003,.005,.009,.003,.003,.002,.003,.004,.006,.005,.005,.005,.008,.008,.008,.005,.004,.003,.002,.004,.009,07
,CARMEL MT RCH,.030,.032,C,C,.033,.042,.037,.030,.026,.024,.017,.018,.013,.014,.014,.015,.020,.022,.025,.031,.031,.030,.026,.018,.025,.042,05
,CHULA VISTA,.018,.019,C,C,.015,.023,.028,.024,.023,.013,.018,.016,.011,.005,.004,.003,.004,.008,.013,.007,.012,.018,.023,.019,.015,.028,06
,DOWNTOWN SES,.017,.015,C,C,.015,.014,.019,.028,.025,.022,.016,.017,.015,.012,.008,.004,.009,.016,.013,.022,.020,.030,.035,.034,.018,.035,22
,EL CAJON LES,.015,.017,C,C,C,.017,.017,.020,.015,.008,.007,.009,.007,.005,.005,.006,.007,.011,.014,.015,.014,.017,.018,.013,.012,.020,07
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.014,.011,C,C,.014,.021,.026,.023,.015,.013,.015,.007,.004,.007,.006,.006,.007,.009,.012,.017,.020,.023,.018,.012,.014,.026,06
,OTAY MESA DVN,.037,.035,C,C,.014,.022,.011,.019,.019,.030,.023,.011,.006,.004,.003,.004,.004,.004,.005,.006,.006,.024,.031,.039,.016,.039,23
,PENDLETON,.012,.013,C,C,.007,.006,.010,.009,.007,.005,.004,.003,.003,.002,.002,.001,.002,.003,.007,.008,.010,.009,.007,.005,.006,.013,01
04 NO PPM,ALPINE,.000,.000,C,C,.000,.000,.000,.002,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.002,07
,CARMEL MT RCH,.005,.001,C,C,.009,.021,.021,.021,.010,.006,.004,.004,.003,.003,.004,.003,.003,.002,.001,.000,.001,.001,.001,.000,.006,.021,05
,CHULA VISTA,.000,.000,C,C,.000,.004,.015,.009,.008,.003,.005,.003,.001,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.002,.015,06
,DOWNTOWN SES,.004,.009,C,C,.007,.016,.029,.014,.010,.006,.003,.002,.002,.001,.001,.001,.001,.000,.000,.000,.001,.001,.004,.006,.005,.029,06
