Current Date:,10/14/2020,6:12 AM,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Daily Parameter Report
10/13/2020
,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Summary
Parameter,Site Name,,,,,,,,,,,,,,,,,,,,,,,,,Avg,Max,Hr. of Max
01 OZONE PPM,ALPINE,.054,.054,C,C,.051,.054,.057,.053,.061,.064,.063,.064,.064,.068,.062,.062,.059,.055,.048,.054,.054,.056,.058,.057,.057,.068,13
,CHULA VISTA,.018,.013,C,C,.020,.010,.013,.026,.032,.046,.051,.063,.072,.070,.067,.065,.054,.043,.034,.020,.009,.012,.005,.012,.034,.072,12
,DOWNTOWN SES,.022,.030,C,C,.015,.007,.010,.019,M,M,.042,.060,.066,.067,.067,.062,.057,.052,.040,.027,.005,.003,.005,.006,.033,.067,13
,EL CAJON LES,.011,.010,C,C,C,.003,.005,.011,.022,.039,.066,.075,.079,.070,.063,.062,.062,.057,.042,.022,.018,.017,.014,.015,.036,.079,12
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.032,.028,C,C,.029,.022,.019,.035,.044,.056,.061,.069,.070,.066,.066,.066,.062,.052,.043,.034,.034,.042,.036,.033,.045,.070,12
,OTAY MESA DVN,.023,.030,C,C,.018,.008,.007,.011,.026,.036,.059,.069,.072,.074,.075,.068,.062,.055,.047,.024,.010,.024,.022,.021,.038,.075,14
,PENDLETON,.021,.022,C,C,.015,.019,.012,.017,.031,.040,.049,.064,.064,.065,.073,.063,.059,.058,.054,.048,.032,.027,.018,.023,.039,.073,14
02 NOX PPM,ALPINE,.002,.001,C,C,.002,.001,.004,.007,.008,.002,.002,.002,.002,.003,.002,.003,.004,.005,.007,.003,.005,.003,.002,.002,.003,.008,08
,CARMEL MT RCH,.024,.029,C,C,.018,.018,.051,.087,.076,M,M,.032,.023,.024,.026,.021,.025,.034,.029,.040,.026,.020,.030,.017,.033,.087,07
,CHULA VISTA,.015,.016,C,C,.016,.030,.031,.023,.019,.013,.021,.017,.008,.014,.012,.007,.011,.012,.013,.022,.033,.028,.039,.030,.020,.039,22
,DOWNTOWN SES,.017,.013,C,C,.019,.029,.037,.035,M,M,.034,.017,.013,.013,.012,.011,.006,.010,.017,.025,.047,.057,.044,.036,.025,.057,21
,EL CAJON LES,.019,.019,C,C,C,.031,.038,.048,.043,.036,.010,.005,.007,.003,.004,.004,.004,.007,.011,.021,.024,.020,.020,.018,.019,.048,07
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.014,.017,C,C,.013,.022,.028,.015,.012,.008,.016,.009,.005,.003,.005,.004,.005,.009,.015,.017,.017,.010,.014,.013,.012,.028,06
,OTAY MESA DVN,.025,.017,C,C,.025,.046,.084,.090,.057,.051,.022,.007,.006,.006,.008,.006,.007,.007,.006,.025,.043,.030,.030,.031,.029,.090,07
,PENDLETON,.013,.009,C,C,.015,.017,.058,.037,.028,.013,.007,.006,.006,.007,.004,.005,.005,.006,.006,.005,.018,.019,.021,.015,.015,.058,06
03 NO2 PPM,ALPINE,.002,.001,C,C,.002,.001,.003,.006,.007,.002,.002,.002,.002,.003,.002,.002,.004,.005,.007,.003,.004,.003,.002,.002,.003,.007,08
,CARMEL MT RCH,.023,.028,C,C,.016,.015,.032,.042,.042,M,M,.022,.017,.017,.018,.016,.019,.026,.026,.038,.024,.018,.027,.017,.024,.042,07
,CHULA VISTA,.015,.016,C,C,.015,.026,.025,.017,.015,.011,.017,.015,.007,.012,.011,.007,.010,.012,.013,.022,.032,.027,.036,.029,.018,.036,22
,DOWNTOWN SES,.017,.013,C,C,.018,.023,.026,.024,M,M,.027,.015,.011,.011,.010,.010,.005,.009,.017,.024,.039,.040,.038,.034,.021,.040,21
,EL CAJON LES,.019,.019,C,C,C,.022,.024,.029,.030,.028,.009,.004,.006,.003,.004,.003,.004,.007,.011,.021,.022,.019,.019,.016,.015,.030,08
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.014,.017,C,C,.013,.022,.025,.012,.010,.007,.013,.008,.005,.003,.004,.004,.005,.009,.015,.017,.017,.010,.014,.013,.012,.025,06
,OTAY MESA DVN,.025,.017,C,C,.021,.033,.041,.046,.040,.037,.019,.006,.006,.006,.007,.006,.007,.007,.007,.022,.041,.027,.027,.027,.022,.046,07
,PENDLETON,.012,.009,C,C,.014,.016,.033,.020,.018,.011,.006,.006,.006,.007,.004,.005,.005,.006,.006,.006,.018,.018,.021,.016,.012,.033,06
04 NO PPM,ALPINE,.000,.000,C,C,.000,.000,.001,.001,.001,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.001,.000,.000,.000,.000,.001,06
,CARMEL MT RCH,.001,.001,C,C,.001,.003,.019,.045,.034,M,M,.009,.005,.007,.008,.006,.005,.008,.003,.003,.002,.001,.003,.000,.008,.045,07
,CHULA VISTA,.000,.000,C,C,.000,.004,.006,.006,.004,.002,.003,.002,.001,.001,.001,.001,.000,.000,.000,.000,.001,.001,.003,.001,.002,.006,06
,DOWNTOWN SES,.000,.000,C,C,.001,.006,.011,.011,M,M,.008,.003,.002,.002,.001,.001,.000,.000,.000,.001,.008,.016,.006,.003,.004,.016,21
,EL CAJON LES,.000,.000,C,C,C,.009,.014,.019,.014,.008,.001,.000,.001,.000,.000,.001,.000,.000,.000,.000,.002,.001,.001,.002,.003,.019,07
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.000,.000,C,C,.000,.000,.003,.002,.002,.001,.002,.001,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.001,.003,06
,OTAY MESA DVN,.000,.000,C,C,.004,.013,.043,.044,.016,.014,.003,.000,.000,.000,.000,.000,.000,.000,.000,.002,.002,.003,.003,.004,.007,.044,07
,PENDLETON,.001,.000,C,C,.001,.001,.040,.016,.010,.002,.001,.000,.000,.001,.000,.000,.000,.000,.000,.000,.000,.001,.000,.000,.003,.040,06
06 CO PPM,CARMEL MT RCH,.6,.6,C,C,C,.4,.9,1.4,1.2,M,C,.7,.7,.6,.7,.5,.5,.9,.9,1.1,.6,.5,.6,.4,.7,1.4,07
10 INTMP °C,ALPINE,25,25,25,26,26,26,25,25,24,23,23,23,23,24,24,24,24,24,24,24,25,25,25,25,24,26,03
,CARMEL MT RCH,25,25,25,25,25,25,25,25,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,25,24,25,00
,CHULA VISTA,25,25,26,25,25,25,25,25,25,26,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,26,02
,DOWNTOWN SES,24,25,25,24,25,25,25,24,24,23,23,23,23,22,22,22,23,23,23,23,24,24,24,24,24,25,01
,EL CAJON LES,27,27,28,27,28,28,28,27,28,27,26,26,25,25,25,25,26,26,26,26,27,27,27,27,27,28,02
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,26,25,26,25,26,26,25,26,25,25,25,25,24,24,24,24,25,25,25,25,25,25,25,26,25,26,00
,OTAY MESA DVN,25,25,26,26,26,26,26,26,26,25,25,24,24,23,23,23,23,23,24,24,25,25,25,25,25,26,02
,PENDLETON,26,26,26,26,26,26,26,25,25,24,24,24,24,24,24,25,25,25,25,25,25,25,25,26,25,26,00
11 PM2.5 µg/M3,ALPINE,10.6,8.2,8.0,6.6,6.5,5.7,-15.0,-15.0,-15.0,3.0,1.9,2.9,2.4,4.4,6.4,4.9,7.9,6.6,5.2,7.3,8.2,6.4,5.8,6.7,3.3,10.6,00
,DOWNTOWN SES,19.7,13.4,15.1,16.1,11.3,10.9,15.1,9.5,13.5,17.1,13.7,15.5,10.8,11.3,13.0,14.4,9.6,10.1,10.6,17.5,15.7,16.5,16.8,17.0,13.9,19.7,00
,EL CAJON LES,22.7,17.2,18.0,13.7,15.9,17.5,17.5,17.1,14.8,14.9,7.9,5.6,8.6,7.2,4.4,4.0,6.7,10.9,9.3,14.7,14.9,16.3,13.1,13.7,12.7,22.7,00
,ESCONDIDO,22.7,17.2,18.0,13.7,15.9,17.5,17.5,17.1,14.8,14.9,7.9,5.6,8.6,7.2,4.4,4.0,6.7,10.9,9.3,14.7,14.9,16.3,13.1,13.7,12.7,22.7,00
