Current Date:,10/31/2020,6:12 AM,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Daily Parameter Report
10/30/2020
,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Summary
Parameter,Site Name,,,,,,,,,,,,,,,,,,,,,,,,,Avg,Max,Hr. of Max
10 INTMP °C,ALPINE,26,26,26,26,26,26,26,26,25,25,24,24,24,24,24,24,24,24,25,25,26,26,26,26,25,26,00
,CARMEL MT RCH,25,25,25,25,26,25,25,25,24,24,23,24,24,24,24,23,24,24,25,24,25,25,25,25,25,26,04
,CHULA VISTA,24,24,24,24,23,22,22,23,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,24,25,08
,DOWNTOWN SES,25,25,25,25,25,26,26,25,24,24,23,23,23,23,23,23,23,24,24,24,25,24,25,25,24,26,05
,EL CAJON LES,27,27,27,27,27,27,27,26,26,26,26,26,25,25,25,25,25,25,25,25,26,26,26,26,26,27,00
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,26,26,26,26,26,26,26,26,25,25,25,25,24,24,24,24,25,25,25,25,25,25,26,26,25,26,00
,OTAY MESA DVN,26,26,26,26,26,26,26,26,26,26,26,25,24,24,24,24,24,25,25,26,26,26,26,26,25,26,00
,PENDLETON,26,26,27,27,27,27,26,26,25,24,24,24,24,24,24,25,25,25,26,26,26,26,26,26,26,27,02
11 PM2.5 µg/M3,ALPINE,4.9,2.4,1.2,4.0,3.9,2.0,1.8,2.1,1.5,.0,1.2,-.4,-3.3,2.4,5.1,8.9,12.6,12.8,9.8,13.6,12.7,9.0,7.3,5.7,5.0,13.6,19
,DOWNTOWN SES,29.0,31.9,21.3,20.2,15.5,14.7,9.7,16.2,15.7,19.6,22.3,9.9,12.4,9.0,14.5,10.6,9.0,14.2,15.0,15.7,7.3,14.0,21.7,18.1,16.1,31.9,01
,EL CAJON LES,16.9,11.6,15.8,18.8,18.4,17.4,16.2,17.4,16.6,9.5,8.3,7.9,10.6,7.5,9.8,12.9,9.7,17.1,17.4,15.3,27.3,22.0,21.5,17.6,15.1,27.3,20
,ESCONDIDO,16.9,11.6,15.8,18.8,18.4,17.4,16.2,17.4,16.6,9.5,8.3,7.9,10.6,7.5,9.8,12.9,9.7,17.1,17.4,15.3,27.3,22.0,21.5,17.6,15.1,27.3,20
,OTAY MESA DVN,40.5,32.4,21.8,25.2,29.6,19.7,46.9,48.3,19.5,13.9,11.0,8.4,6.7,9.9,6.9,12.1,16.0,19.4,55.3,40.2,14.1,35.9,41.0,41.3,25.6,55.3,18
,PENDLETON,21.9,15.3,13.1,20.5,17.3,13.2,9.1,12.1,10.8,8.7,9.4,10.1,9.3,9.3,10.3,9.7,11.2,15.9,14.3,22.4,23.4,21.4,16.3,18.7,14.3,23.4,20
12 VWDR °,ALPINE,148,33,69,67,67,77,107,212,8,5,338,337,340,335,331,332,333,36,151,81,49,129,47,155,0,340,12
,CHULA VISTA,102,76,56,50,78,77,98,24,340,280,271,270,268,237,237,241,250,208,158,97,53,80,29,108,0,340,08
,DOWNTOWN SES,355,321,17,2,16,44,37,274,244,227,256,283,283,299,286,275,262,198,179,230,208,320,353,100,0,355,00
,EL CAJON LES,237,295,258,212,168,193,187,350,309,2,1,306,312,314,313,291,257,218,158,153,148,230,193,176,0,350,07
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,0,,
,KEARNY MESA,49,52,55,47,37,57,62,354,244,203,215,233,261,284,301,299,290,296,85,77,79,54,32,70,0,354,07
,OTAY MESA DVN,123,126,121,34,332,92,111,145,317,310,308,294,293,284,291,291,318,356,98,57,25,121,133,78,0,356,17
,PENDLETON,59,59,66,60,56,36,49,41,304,261,254,261,266,266,273,293,256,169,113,52,52,60,59,43,0,304,08
13 SIGTHETA °,ALPINE,32,38,57,10,10,11,16,47,23,26,33,34,31,33,30,31,24,18,26,36,35,25,32,21,28,57,02
,CHULA VISTA,29,31,26,23,28,28,26,39,34,34,22,19,21,25,19,17,19,31,36,31,35,39,37,31,28,39,07
