Current Date:,5/26/2022,6:12 AM,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Daily Parameter Report
5/25/2022
,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Summary
Parameter,SiteName,,,,,,,,,,,,,,,,,,,,,,,,,Avg,Max,Hr. of Max
01 OZONE PPM,ALPINE,.065,.068,C,C,.055,.054,.054,.054,.048,.055,.066,.071,.072,.072,.074,.076,.074,.067,.054,.047,.033,.026,.033,.038,.057,.076,15
,CHULA VISTA,.022,.013,C,C,.006,.005,.023,.035,.043,.045,.043,.041,.039,.039,.039,.039,.038,.036,.033,.030,.030,.029,.026,.034,.031,.045,09
,DOWNTOWN SES,.035,.031,C,C,.009,.012,.024,.036,.042,.045,.046,.042,.040,.039,.039,.038,.034,.033,.032,.029,.028,.028,.026,.029,.032,.046,10
,EL CAJON LES,.028,.028,C,C,C,.014,.018,.032,.040,.048,.051,.054,.054,.056,.056,.054,.050,.043,.030,.029,.025,.024,.022,.020,.036,.056,13
,KEARNY MESA,.033,.024,C,C,.014,.009,.033,.035,.043,.047,.050,.052,.049,.048,.047,.045,.045,.038,.034,.031,.029,.029,.028,.027,.035,.052,11
,OTAY MESA DVN,.032,.029,C,C,.021,.008,.009,.027,.039,.046,.048,.048,.046,.046,.045,.045,.043,.039,.034,.030,.028,.026,.025,.026,.033,.048,10
,PENDLETON,.035,.030,C,C,.014,.016,.033,.036,.046,.048,.050,.052,.050,.049,.047,.046,.046,.042,.040,.039,.038,.038,.035,.038,.039,.052,11
03 NO2 PPB,ALPINE,1.5,1.0,C,C,2.9,4.2,5.1,3.6,6.0,6.7,5.0,4.4,3.8,2.1,2.2,2.1,2.5,3.8,5.1,5.4,7.9,10.1,8.4,4.9,4.4,10.1,21
,CARMEL MT RCH,11.0,14.4,C,C,9.6,11.9,29.5,21.3,24.1,M,M,C,C,C,C,C,C,C,C,10.9,10.3,12.3,10.0,10.4,14.6,29.5,06
,CHULA VISTA,15.2,18.0,C,C,21.9,18.8,12.5,7.5,3.8,2.9,2.5,1.8,1.7,1.7,1.9,2.4,2.2,2.1,2.1,2.9,1.9,2.4,3.8,1.8,5.9,21.9,04
,DOWNTOWN SES,6.8,7.5,C,C,18.8,17.8,13.7,7.7,4.3,2.5,1.9,1.5,1.5,1.4,2.0,2.8,4.8,4.2,3.5,6.0,8.1,6.3,7.5,5.3,6.1,18.8,04
,EL CAJON LES,5.8,5.1,C,C,C,8.2,11.3,8.6,7.6,4.0,3.6,3.3,2.5,2.8,3.4,4.4,5.2,7.3,9.6,6.3,6.8,5.2,5.5,5.9,5.8,11.3,06
,KEARNY MESA,6.8,8.3,C,C,20.7,24.1,10.8,13.6,9.6,8.8,7.9,6.5,5.0,4.7,4.8,5.1,5.5,6.6,4.3,5.1,6.7,7.7,9.1,7.4,8.5,24.1,05
,OTAY MESA DVN,2.8,4.4,C,C,5.8,24.5,35.1,18.1,6.0,4.8,4.7,4.0,2.3,1.9,2.2,2.3,2.6,3.1,2.6,2.7,2.3,2.3,2.2,2.4,6.3,35.1,06
,PENDLETON,5.6,6.5,C,C,12.2,14.1,7.2,11.6,2.1,2.1,.7,.7,2.6,.7,1.4,.7,.5,.4,.5,.4,.3,.5,2.6,1.0,3.3,14.1,05
04 NO PPB,ALPINE,.0,.0,C,C,.0,.3,1.0,1.1,1.5,1.9,.8,.7,.6,.1,.1,.1,.1,.1,.0,.0,.0,.0,.0,.0,.3,1.9,09
,OTAY MESA DVN,.1,.2,C,C,.7,27.2,33.5,11.5,2.1,1.4,1.3,1.1,.7,.6,1.1,.6,.6,.5,.3,.2,.3,.4,.2,.2,3.8,33.5,06
,PENDLETON,.0,.0,C,C,.8,2.9,1.6,14.2,.6,.6,.0,.0,.9,.2,.5,.0,.0,.0,.0,.0,.0,.0,.0,.0,1.0,14.2,07
06 CO PPM,CARMEL MT RCH,.3,.4,C,C,.2,.4,1.0,.6,.5,M,C,C,M,M,C,C,C,C,C,.4,.4,.4,.3,.3,.4,1.0,06
10 INTMP °C,ALPINE,26,27,27,27,27,27,27,26,25,24,25,25,25,25,25,25,25,25,25,25,26,26,26,26,26,27,01
,CARMEL MT RCH,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,00
,CHULA VISTA,23,23,22,22,22,22,22,23,24,24,24,25,26,25,25,25,25,25,25,25,25,24,24,24,24,26,12
,DOWNTOWN SES,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,00
,EL CAJON LES,25,25,25,25,25,25,25,25,25,24,24,24,24,24,24,24,24,24,24,24,24,25,25,25,25,25,00
,KEARNY MESA,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,24,25,25,25,25,00
,OTAY MESA DVN,27,27,27,27,27,27,27,27,27,26,26,26,26,25,25,25,25,25,25,26,26,26,26,27,26,27,00
,PENDLETON,26,26,26,26,26,26,26,26,26,26,25,25,26,25,25,25,25,25,25,26,26,26,26,26,26,26,00
11 PM2.5 µg/M3,ALPINE,9.3,8.7,7.2,4.6,9.1,19.0,8.9,6.2,4.7,9.7,12.7,12.3,17.2,16.0,14.2,12.3,13.6,13.5,9.4,9.8,9.8,12.8,14.3,12.5,11.1,19.0,05
,DOWNTOWN SES,17.5,16.8,17.2,17.3,17.6,16.8,18.0,19.0,18.0,17.1,17.4,13.1,11.9,10.4,10.9,11.6,11.1,10.8,11.4,11.8,13.5,13.5,13.6,13.3,14.5,19.0,07
,EL CAJON LES,16.0,20.3,15.1,19.7,15.9,14.0,16.1,21.1,17.0,15.9,16.9,16.2,13.2,8.9,19.4,15.8,18.1,13.3,15.0,14.4,14.5,11.2,12.1,10.0,15.4,21.1,07
,OTAY MESA DVN,11.4,10.9,22.0,20.6,14.6,38.7,49.7,32.2,17.9,17.9,22.6,22.9,11.9,15.9,8.6,14.8,14.7,12.3,9.9,10.9,8.2,12.5,11.7,7.6,17.5,49.7,06
,PENDLETON,11.1,8.2,6.3,9.8,9.3,10.6,8.7,10.7,9.6,12.1,M,14.8,17.9,10.5,15.6,15.3,11.8,8.0,10.4,9.0,9.3,9.3,8.1,9.4,10.6,17.9,12
12 VWDR °,ALPINE,344,116,99,336,94,102,335,287,279,293,290,299,296,283,287,284,284,309,317,338,316,87,30,339,0,344,00
,CHULA VISTA,20,118,94,56,60,129,203,241,235,241,241,264,261,259,266,268,254,257,262,255,266,252,234,242,0,268,15
,DOWNTOWN SES,337,353,2,1,29,304,221,233,218,215,219,217,224,205,201,226,221,238,287,279,301,1,349,282,0,353,01
,EL CAJON LES,101,145,107,178,104,181,252,189,M,M,M,M,M,M,244,250,262,258,229,190,183,168,186,194,0,262,16
,KEARNY MESA,1,7,41,34,39,348,305,243,248,249,230,247,258,257,252,271,268,283,296,298,302,309,302,295,0,348,05
,OTAY MESA DVN,1,145,116,93,19,147,206,296,298,297,291,291,292,293,295,299,294,294,301,318,333,359,334,328,0,359,21
,PENDLETON,30,27,30,64,68,41,292,256,232,224,224,232,236,218,225,230,246,253,261,260,265,267,336,256,0,336,22
13 SIGTHETA °,ALPINE,30,51,61,28,20,18,51,24,33,30,29,29,30,34,46,33,33,26,20,25,31,28,44,48,33,61,02
,CHULA VISTA,26,13,23,24,40,25,23,25,21,23,21,22,23,30,31,27,23,20,21,18,26,22,23,26,24,40,04
,DOWNTOWN SES,30,26,31,27,30,23,47,28,24,22,24,26,27,23,21,25,22,24,21,19,27,21,15,36,26,47,06
,EL CAJON LES,23,43,28,53,40,38,39,27,M,M,M,M,M,M,44,32,26,21,21,14,16,14,27,16,29,53,03
,KEARNY MESA,11,28,14,15,7,16,29,30,21,23,21,20,27,32,30,22,39,13,10,8,9,7,6,4,18,39,16
,OTAY MESA DVN,29,38,27,24,26,16,21,22,18,17,22,25,17,22,16,19,17,11,11,12,18,19,26,17,20,38,01
,PENDLETON,16,11,9,10,12,16,26,24,17,16,19,17,17,16,22,22,17,14,15,15,33,30,18,45,19,45,23
14 VWSP MPH,ALPINE,1.6,.5,.7,1.4,1.0,1.9,.9,2.8,3.2,4.1,4.4,5.3,5.7,4.7,3.7,4.1,3.2,3.7,3.1,2.2,1.8,1.1,.2,.7,.0,5.7,12
,CHULA VISTA,.2,1.2,.9,.3,.6,.6,2.1,4.4,4.9,5.2,6.2,6.6,6.4,5.1,4.8,4.8,4.8,5.3,4.2,3.1,1.5,.7,.6,1.7,.0,6.6,11
,DOWNTOWN SES,1.2,.9,1.2,.6,.5,.7,2.3,3.9,5.1,5.0,5.2,5.4,4.9,6.3,6.3,5.3,5.8,4.5,4.2,3.2,1.5,1.7,2.0,1.3,.0,6.3,13
,EL CAJON LES,1.1,.9,1.2,.3,.6,.4,1.2,3.8,M,M,M,M,M,M,3.4,4.6,4.6,5.2,4.3,4.6,3.1,2.3,1.4,2.2,.0,5.2,17
,KEARNY MESA,2.8,1.1,1.8,2.1,2.6,1.5,2.8,4.4,6.8,7.1,7.4,8.5,7.4,5.7,5.3,5.9,3.5,7.7,6.6,4.6,2.9,2.3,2.9,3.8,.0,8.5,11
,OTAY MESA DVN,1.6,.3,1.1,.9,1.5,2.3,1.9,3.9,6.3,7.6,7.9,7.5,8.4,7.3,7.9,5.9,6.2,7.6,6.9,4.9,3.2,2.7,1.8,1.9,.0,8.4,12
,PENDLETON,2.1,3.1,3.1,3.1,2.4,1.7,1.6,2.5,5.5,5.6,4.3,5.3,5.6,6.2,4.6,4.3,4.6,5.5,4.1,3.3,1.6,1.1,1.5,1.0,.0,6.2,13
15 SWSP MPH,ALPINE,1.7,.6,1.5,1.8,1.4,2.0,1.8,3.1,3.7,4.8,5.0,6.0,6.5,5.6,4.7,4.8,3.8,4.1,3.3,2.4,1.9,1.3,1.0,1.1,3.1,6.5,12
,CHULA VISTA,.2,1.2,.9,.3,.7,.9,2.5,4.9,5.3,5.7,6.6,7.1,6.9,5.9,5.4,5.4,5.2,5.6,4.5,3.2,1.7,.7,.6,1.9,3.5,7.1,11
,DOWNTOWN SES,1.3,1.0,1.2,.7,.6,.8,2.6,4.6,5.6,5.4,5.6,6.0,5.9,6.9,6.7,6.0,6.3,5.2,4.5,3.4,2.2,1.8,2.1,2.1,3.7,6.9,13
,EL CAJON LES,1.2,1.0,1.4,1.0,.7,.7,1.5,4.2,M,M,M,M,M,M,4.8,5.3,5.0,5.7,4.8,4.8,3.3,2.4,1.6,2.3,2.9,5.7,17
,KEARNY MESA,2.9,1.4,1.9,2.3,2.6,1.6,3.3,4.8,7.3,7.7,7.9,9.2,8.1,6.3,5.9,6.5,4.2,8.1,6.7,4.7,3.0,2.3,2.9,3.8,4.8,9.2,11
,OTAY MESA DVN,1.7,.4,1.2,1.1,1.8,2.4,2.7,4.1,6.6,8.0,8.5,8.1,8.8,8.0,8.2,6.2,6.5,7.8,7.1,5.2,3.6,2.8,2.4,2.4,4.8,8.8,12
,PENDLETON,2.1,3.1,3.2,3.1,2.4,1.9,2.1,2.7,5.7,5.8,4.6,5.5,5.8,6.4,4.9,4.6,4.8,5.6,4.3,3.4,1.9,1.3,1.6,1.6,3.7,6.4,13
16 AMBTEMP °F,ALPINE,71.0,70.6,66.7,66.1,64.7,65.8,71.6,72.1,70.2,71.2,72.8,74.0,72.8,72.8,74.2,75.6,75.3,73.4,68.9,65.2,61.6,60.5,62.5,62.3,69.2,75.6,15
,CARMEL MT RCH,56.0,55.5,55.3,55.5,55.2,57.0,61.2,64.5,66.7,69.3,71.8,72.3,71.8,72.1,75.6,73.6,73.3,69.8,63.8,60.8,59.0,58.6,57.7,57.2,63.9,75.6,14
,CHULA VISTA,58.6,57.7,57.5,56.8,56.7,57.3,60.3,62.5,62.4,62.3,63.0,64.3,65.4,65.9,66.1,66.7,66.1,64.1,62.2,61.2,61.1,60.7,60.4,61.0,61.7,66.7,15
,DOWNTOWN SES,58.6,58.6,58.1,57.7,57.3,58.1,61.1,62.6,62.0,61.5,61.7,63.0,64.5,65.4,66.1,66.6,66.2,65.3,63.1,62.0,61.8,61.3,61.0,61.2,61.9,66.6,15
,EL CAJON LES,58.3,57.6,56.8,56.4,55.9,57.7,62.3,67.0,70.0,71.3,71.3,71.7,72.1,74.9,76.5,77.7,76.6,74.9,68.8,63.6,61.5,60.1,59.7,59.0,65.9,77.7,15
,KEARNY MESA,56.7,55.3,55.5,54.6,56.2,57.4,61.1,64.2,65.1,66.0,66.6,66.8,67.3,69.3,70.8,71.0,71.3,69.1,63.6,60.7,59.8,59.5,58.8,58.1,62.7,71.3,16
,OTAY MESA DVN,56.3,55.9,55.9,56.2,56.1,57.1,61.0,64.0,65.6,66.2,67.7,68.6,69.6,70.3,70.7,71.2,70.7,67.5,62.1,59.7,58.7,58.1,57.5,57.4,62.7,71.2,15
,PENDLETON,58.9,57.9,57.4,56.9,56.5,57.7,60.4,62.0,62.4,61.9,62.8,63.0,63.7,65.2,66.6,66.6,66.5,65.3,62.9,61.8,61.8,61.4,61.3,61.4,61.8,66.6,14
17 RELHUM %,ALPINE,45,43,46,48,52,45,36,38,53,53,51,50,53,53,50,47,48,51,62,72,83,86,81,82,55,86,21
,EL CAJON LES,84,86,88,89,89,84,74,66,61,60,59,59,58,53,50,48,50,53,63,75,81,85,86,87,70,89,03
,KEARNY MESA,96,95,95,96,96,92,88,81,80,78,75,74,72,68,65,64,64,68,81,88,91,93,94,96,83,96,00
18 PRES mmHg,EL CAJON LES,746,745,745,745,745,746,746,746,747,747,747,747,747,746,746,746,745,746,746,747,747,747,747,747,746,747,08
,KEARNY MESA,747,747,746,746,746,747,747,748,748,748,748,748,748,748,747,747,747,747,748,748,748,749,749,749,748,749,21
19 SOLAR W/M2,EL CAJON LES,0,1,1,1,4,86,286,494,692,864,973,1021,1009,917,771,590,383,169,23,-1,0,-1,0,0,345,1021,11
,KEARNY MESA,-1,-1,0,0,4,94,291,519,721,872,982,986,944,950,810,639,427,203,37,0,-1,0,-1,-1,353,986,11
25 NOY,EL CAJON LES,6.80,6.38,6.29,6.80,6.76,C,C,11.87,M,M,M,M,M,M,5.27,6.58,7.32,8.08,9.25,6.14,6.72,5.14,5.57,5.81,6.92,11.87,07
26 NOY-NO,EL CAJON LES,6.82,6.39,6.30,6.78,6.75,C,C,8.73,M,M,M,M,M,M,4.55,5.72,6.15,7.35,8.63,5.94,6.51,5.04,5.33,5.78,6.42,8.73,07
27 NO Trace,EL CAJON LES,-.01,-.01,.00,.01,.00,C,C,3.14,M,M,M,M,M,M,.72,.86,1.16,.72,.62,.20,.20,.10,.23,.03,.49,3.14,07
28 SO2 Tr PPB,EL CAJON LES,.0,.0,C,C,C,.0,.1,.1,.3,.1,.0,.1,.0,.0,.0,.0,.1,.1,.1,.0,.0,.0,.0,.0,.0,.3,08
29 CO Tr PPB,EL CAJON LES,253.2,260.3,C,C,C,315.7,416.0,942.2,M,M,C,C,M,M,245.5,258.7,257.3,280.7,262.9,208.8,212.1,197.4,202.1,207.1,301.3,942.2,07
BCarbon ug/m3,10TH AVE MARINE TERM,.46,.39,.55,.56,.55,.71,1.08,.55,.52,.47,.63,.36,.28,.24,.18,.33,.28,.23,.24,.15,.17,.28,.36,.23,.41,1.08,06
,ALPINE,.35,.34,.31,.31,.80,1.88,.82,.49,.68,.88,.90,.67,.54,.52,.51,.50,.48,.47,.41,.35,.42,.38,.41,.36,.57,1.88,05
,CHICANO PARK,.39,.36,.51,.55,.70,.76,.76,.60,.50,.48,.50,.36,.23,.33,.28,.28,.21,.20,.23,.19,.22,.32,.42,.24,.40,.76,05
,DOWNTOWN SES,.50,.53,.70,.55,.56,.80,.78,.71,.52,.42,.45,.33,.22,.17,.23,.30,.38,.24,.18,.34,.52,.35,.51,.34,.44,.80,05
,OCEANVIEW BLVD,.50,.46,.53,.63,.97,1.51,1.05,.61,.53,.52,.55,.49,.28,.24,.29,.35,.38,.22,.29,.26,.33,.32,.56,.47,.51,1.51,05
,SAN YSIDRO,.48,.65,.43,.51,.64,.77,.67,.71,.77,.80,.68,.32,.22,.22,.20,.21,.18,.16,.12,.13,.14,.21,.23,.15,.40,.80,09
PM10 STD,DOWNTOWN SES,32.5,31.9,29.8,31.7,30.4,31.0,34.6,39.0,35.8,33.6,37.9,29.0,28.3,24.2,25.3,28.9,26.1,25.9,24.5,23.8,28.7,28.3,28.7,28.2,29.9,39.0,07
RAINFALL,EL CAJON LES,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,00
