Current Date:,5/4/2022,6:12 AM,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Daily Parameter Report
5/3/2022
,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Summary
Parameter,SiteName,,,,,,,,,,,,,,,,,,,,,,,,,Avg,Max,Hr. of Max
01 OZONE PPM,ALPINE,.044,.042,C,C,.037,.037,.036,.038,.040,M,M,M,.061,.063,C,C,C,C,C,C,C,.038,.028,.025,.040,.063,13
,PENDLETON,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,00
11 PM2.5 µg/M3,ALPINE,5.8,8.2,8.2,6.4,6.6,9.9,12.0,11.6,9.6,10.4,9.7,11.9,10.6,10.0,7.6,11.7,14.3,10.5,12.0,13.4,10.6,10.8,9.5,8.1,9.9,14.3,16
,DOWNTOWN SES,12.5,11.1,9.6,9.6,6.7,8.9,11.0,8.0,6.8,10.6,6.2,10.4,9.1,18.6,13.4,10.1,15.2,15.2,11.5,11.3,14.1,15.4,13.1,15.2,11.4,18.6,13
,EL CAJON LES,11.6,13.2,10.4,16.0,14.5,13.4,9.3,12.0,10.6,16.5,15.4,13.4,12.4,16.9,14.4,16.8,13.4,15.1,14.7,13.7,10.2,14.5,11.9,8.9,13.3,16.9,13
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OTAY MESA DVN,18.0,20.7,15.5,16.2,11.0,14.6,13.7,12.8,18.6,14.8,10.5,15.1,17.2,15.0,14.4,12.6,12.8,17.7,11.3,15.3,13.3,13.4,18.8,12.7,14.8,20.7,01
,PENDLETON,10.6,10.2,9.1,8.3,6.9,8.3,9.3,7.8,7.1,10.6,10.1,10.0,9.7,9.9,13.8,10.0,12.2,11.9,13.4,11.6,11.4,14.8,12.7,16.4,10.6,16.4,23
12 VWDR °,ALPINE,138,235,200,204,152,135,104,148,166,221,238,261,278,251,270,281,280,309,313,324,324,348,132,203,0,348,21
,CHULA VISTA,154,212,188,222,210,215,213,211,231,237,223,248,254,250,254,250,252,255,248,243,208,200,184,189,0,255,17
,DOWNTOWN SES,200,191,197,215,227,213,204,197,223,224,218,214,221,235,227,216,209,216,212,233,230,227,220,201,0,235,13
,EL CAJON LES,166,141,151,163,169,195,213,216,205,199,224,244,231,214,230,220,223,223,214,228,208,191,177,146,0,244,11
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,0,,
,KEARNY MESA,200,181,180,198,218,221,216,200,195,201,221,228,235,263,260,249,251,263,259,299,310,316,120,99,0,316,21
,OTAY MESA DVN,236,208,208,201,180,180,197,198,194,209,239,238,279,298,291,297,293,295,291,318,348,11,19,19,0,348,20
,PENDLETON,169,151,113,213,218,212,186,177,173,185,193,206,216,231,238,233,229,226,198,179,184,161,141,49,0,238,14
13 SIGTHETA °,ALPINE,33,36,23,47,20,21,27,42,64,44,41,39,37,40,36,31,32,24,22,21,22,40,46,56,35,64,08
,CHULA VISTA,26,23,17,21,22,21,28,24,22,23,27,23,26,26,25,28,24,22,21,19,21,20,17,23,23,28,06
,DOWNTOWN SES,26,16,18,19,20,21,20,20,20,21,22,21,25,22,23,23,24,24,19,25,27,24,23,18,22,27,20
,EL CAJON LES,22,17,27,26,19,22,20,28,27,57,39,26,33,25,27,22,23,22,19,17,21,16,19,14,25,57,09
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,22,21,12,16,16,14,13,16,21,26,22,28,26,16,20,23,16,17,16,7,8,9,15,11,17,28,11
,OTAY MESA DVN,38,18,16,14,15,15,15,18,25,26,29,30,37,17,19,16,17,12,13,15,19,15,12,15,19,38,00
,PENDLETON,17,20,12,31,14,16,18,17,17,17,18,15,16,18,17,18,18,19,19,18,16,9,25,12,17,31,03
14 VWSP MPH,ALPINE,1.3,.6,1.5,1.4,3.9,4.1,2.4,1.5,1.2,3.0,4.1,3.7,4.7,4.3,4.8,4.9,4.0,4.0,2.4,2.1,.9,1.0,.1,.0,.0,4.9,15
,CHULA VISTA,2.0,1.9,3.5,3.3,3.9,4.4,3.5,5.1,4.9,6.7,6.0,7.7,7.6,7.5,7.2,6.5,5.8,5.3,3.5,2.5,1.9,1.7,1.3,.9,.0,7.7,11
,DOWNTOWN SES,3.8,4.2,4.8,4.8,5.3,5.5,5.2,6.1,6.0,7.6,7.1,8.6,7.1,7.5,6.8,6.6,5.4,4.6,3.7,2.6,2.4,2.2,2.2,2.3,.0,8.6,11
,EL CAJON LES,2.8,3.3,2.2,2.0,3.7,3.4,3.9,3.5,4.0,2.5,4.8,6.6,5.6,6.6,6.1,6.6,5.6,4.9,4.1,3.2,2.3,2.1,2.2,1.6,.0,6.6,11
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,.0,,
,KEARNY MESA,4.3,3.5,4.3,4.4,4.7,5.4,6.5,6.4,6.3,6.6,7.2,7.5,8.1,11.6,8.8,8.0,7.4,6.0,5.2,4.1,3.3,2.1,.7,1.8,.0,11.6,13
,OTAY MESA DVN,1.2,3.1,4.2,5.3,4.8,6.3,5.8,6.0,5.7,6.0,6.5,6.4,6.5,8.4,9.2,8.2,6.2,7.0,5.7,4.0,2.6,2.8,2.4,2.3,.0,9.2,14
,PENDLETON,4.5,4.0,3.6,4.1,4.5,4.3,4.4,5.0,5.8,6.3,6.8,8.9,8.4,6.9,6.4,5.9,5.5,4.1,2.7,2.6,1.7,1.7,1.0,1.9,.0,8.9,11
15 SWSP MPH,ALPINE,1.6,.8,1.6,1.7,4.3,4.6,2.6,2.0,2.2,4.1,5.0,5.2,5.8,5.5,5.7,5.7,4.6,4.3,2.6,2.2,1.0,1.0,.1,.0,3.1,5.8,12
,CHULA VISTA,2.7,2.2,3.6,3.5,4.2,4.7,3.9,5.5,5.3,7.3,6.7,8.3,8.4,8.2,8.1,7.1,6.2,5.7,3.7,2.7,2.1,1.8,1.4,1.0,4.8,8.4,12
,DOWNTOWN SES,4.2,4.6,5.2,5.2,5.8,5.9,5.6,6.6,6.4,8.3,7.6,9.3,7.8,8.0,7.4,7.2,5.8,5.0,3.9,2.9,2.7,2.4,2.4,2.5,5.5,9.3,11
,EL CAJON LES,3.1,3.6,2.7,2.3,3.9,3.7,4.2,4.0,4.6,3.8,5.9,7.3,6.5,7.3,6.8,7.2,6.1,5.3,4.3,3.4,2.5,2.3,2.4,1.8,4.4,7.3,11
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,4.7,3.8,4.4,4.7,5.0,5.6,6.7,6.7,6.8,7.4,7.8,8.5,9.0,12.0,9.4,8.8,7.7,6.3,5.4,4.2,3.3,2.2,1.0,1.9,6.0,12.0,13
,OTAY MESA DVN,1.7,3.4,4.5,5.5,4.9,6.5,6.1,6.3,6.1,6.6,7.5,7.4,7.9,8.8,9.8,8.6,6.5,7.2,6.1,4.3,2.7,2.9,2.5,2.4,5.7,9.8,14
,PENDLETON,4.8,4.4,3.6,4.7,4.7,4.6,4.6,5.3,6.1,6.6,7.2,9.1,8.7,7.3,6.7,6.2,5.7,4.3,3.1,2.8,1.8,1.7,1.4,1.9,4.9,9.1,11
16 AMBTEMP °F,ALPINE,51.9,51.7,51.7,50.9,50.7,50.1,51.0,52.9,54.8,58.9,61.7,64.4,65.4,66.7,66.8,65.5,63.4,60.5,57.1,54.4,53.0,51.7,51.4,50.9,56.6,66.8,14
,CARMEL MT RCH,57.7,58.1,58.2,58.2,58.2,58.5,58.7,59.0,60.8,62.1,65.1,66.5,67.2,67.5,68.0,66.5,64.3,62.2,58.2,55.7,55.1,54.8,54.0,53.5,60.3,68.0,14
,CHULA VISTA,61.1,60.9,60.5,59.7,58.7,58.0,58.9,60.5,60.8,62.2,62.9,62.7,62.7,62.7,62.0,61.9,61.3,59.7,58.1,57.4,57.0,56.6,56.2,55.7,59.9,62.9,10
,DOWNTOWN SES,61.4,61.0,60.9,60.0,58.6,58.5,59.2,60.4,60.6,61.5,62.0,62.6,62.4,62.0,62.2,61.2,60.5,59.6,58.3,57.8,57.7,57.6,57.6,57.6,60.1,62.6,11
