Current Date:,11/6/2021,6:12 AM,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Daily Parameter Report
11/5/2021
,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Summary
Parameter,SiteName,,,,,,,,,,,,,,,,,,,,,,,,,Avg,Max,Hr. of Max
01 OZONE PPM,ALPINE,.055,.057,C,C,.057,.055,.054,.048,.047,.055,.054,.054,.065,.073,.073,.066,.062,.053,.065,.056,.051,.060,.054,.056,.057,.073,13
,CHULA VISTA,.035,.032,C,C,.002,.001,.002,.008,.011,.023,.029,.037,.049,.061,.062,.063,.056,.054,.049,.045,.037,.030,.040,.044,.035,.063,15
,DOWNTOWN SES,.029,.028,C,C,.018,.011,.009,.008,.012,.020,.027,.035,.052,.059,.057,.059,.057,.052,.053,.053,.046,.037,.046,.049,.037,.059,13
,EL CAJON LES,.025,.024,C,C,C,.005,.005,.009,.012,.023,.026,.044,.056,.054,.058,.056,.049,.044,.038,.033,.025,.024,.032,.032,.032,.058,14
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.019,.019,.015,.009,.009,.007,.005,.006,.008,.016,.031,.044,.053,.060,.063,.058,.055,.043,.035,.033,.032,.034,.034,.038,.030,.063,14
,OTAY MESA DVN,.023,.020,C,C,.002,.006,.008,.008,.010,.016,.027,.042,.043,.054,.060,.061,.055,.046,.038,.037,.035,.031,.028,.027,.030,.061,15
,PENDLETON,.035,.026,C,C,.016,M,M,M,M,M,.036,.045,.050,.057,.061,.062,.059,.058,.053,.051,.055,.051,.050,.048,.047,.062,15
02 NOX PPM,ALPINE,.002,.002,C,C,.001,.003,.005,.006,.009,.007,.007,.008,.007,.008,.012,.016,.016,.020,.009,.013,.010,.005,.007,.006,.008,.020,17
,CARMEL MT RCH,.008,.008,C,C,.054,.041,.051,.104,.062,.064,.046,.057,.047,.040,.029,.030,.029,.026,.043,.034,.023,.019,.014,.013,.038,.104,07
,CHULA VISTA,.009,.009,C,C,.024,.026,.033,.027,.029,.025,.023,.021,.016,.007,.006,.006,.006,.005,.005,.007,.010,.014,.010,.006,.015,.033,06
,DOWNTOWN SES,.017,.017,C,C,.013,.018,.023,.035,.039,.037,.032,.034,.018,.009,.010,.008,.009,.009,.008,.006,.009,.015,.010,.008,.017,.039,08
,EL CAJON LES,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.009,.010,.010,.012,.013,.018,.023,.027,.036,.037,.031,.023,.020,.012,.010,.009,.009,.014,.017,.016,.014,.012,.011,.007,.017,.037,09
,OTAY MESA DVN,.008,.009,C,C,.060,.038,.021,.029,.031,.051,.052,.025,.022,.017,.013,.011,.009,.008,.008,.008,.008,.009,.009,.014,.021,.060,04
,PENDLETON,.007,.006,C,C,.008,M,M,M,M,M,.015,.005,.006,.006,.003,.002,.002,.002,.006,.006,.003,.003,.004,.004,.005,.015,10
03 NO2 PPM,ALPINE,.002,.002,C,C,.001,.003,.004,.005,.007,.005,.005,.007,.006,.007,.011,.015,.016,.020,.009,.012,.010,.004,.007,.006,.007,.020,17
,CARMEL MT RCH,.008,.008,C,C,.021,.019,.019,.025,.020,.020,.016,.025,.027,.024,.019,.021,.021,.020,.032,.027,.018,.013,.011,.011,.019,.032,18
,CHULA VISTA,.009,.009,C,C,.021,.018,.022,.021,.020,.017,.017,.016,.013,.006,.006,.006,.006,.005,.005,.007,.010,.014,.010,.006,.012,.022,06
,DOWNTOWN SES,.017,.017,C,C,.013,.017,.021,.027,.028,.025,.024,.026,.016,.009,.009,.007,.009,.009,.007,.006,.009,.015,.010,.007,.015,.028,08
,EL CAJON LES,.007,.005,C,C,C,.018,.016,.014,.012,.011,.020,.016,.017,.016,.010,.010,.012,.011,.010,.010,.012,.013,.008,.006,.012,.020,10
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.009,.010,.010,.012,.013,.016,.017,.016,.019,.020,.022,.019,.018,.011,.009,.008,.009,.014,.017,.016,.014,.012,.011,.007,.014,.022,10
,OTAY MESA DVN,.008,.009,C,C,.033,.026,.017,.017,.019,.029,.036,.020,.017,.015,.011,.010,.008,.008,.007,.007,.008,.008,.009,.013,.015,.036,10
,PENDLETON,.007,.006,C,C,.008,M,M,M,M,M,.009,.004,.005,.005,.003,.002,.002,.003,.006,.006,.003,.003,.004,.005,.005,.009,10
04 NO PPM,ALPINE,.000,.000,C,C,.000,.001,.001,.001,.002,.001,.001,.002,.001,.001,.001,.002,.001,.001,.000,.001,.000,.000,.000,.000,.001,.002,08
,CARMEL MT RCH,.000,.000,C,C,.032,.022,.033,.079,.043,.045,.030,.032,.021,.016,.010,.009,.008,.006,.010,.006,.005,.005,.003,.002,.019,.079,07
,CHULA VISTA,.000,.000,C,C,.003,.009,.011,.006,.008,.007,.006,.005,.003,.001,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.003,.011,06
,DOWNTOWN SES,.000,.000,C,C,.001,.002,.003,.008,.011,.011,.009,.008,.003,.001,.001,.000,.000,.000,.000,.000,.000,.000,.000,.000,.003,.011,08
,EL CAJON LES,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.000,.000,.000,.000,.001,.001,.006,.010,.017,.017,.009,.004,.003,.001,.001,.000,.000,.000,.000,.000,.000,.000,.000,.000,.003,.017,08
,OTAY MESA DVN,.001,.001,C,C,.027,.012,.004,.011,.012,.021,.016,.005,.004,.003,.002,.001,.001,.001,.001,.001,.001,.001,.000,.001,.006,.027,04
,PENDLETON,.000,.000,C,C,.000,M,M,M,M,M,.006,.001,.001,.001,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.001,.006,10
06 CO PPM,CARMEL MT RCH,.3,.3,C,C,C,.7,1.0,1.3,.8,1.0,.8,.9,.9,1.0,.7,.7,.8,.7,.9,.8,.7,.6,.5,.4,.8,1.3,07
10 INTMP °C,ALPINE,26,26,26,26,26,26,26,25,24,24,24,24,24,24,24,24,24,25,25,26,25,25,26,26,25,26,00
,CARMEL MT RCH,26,26,27,27,27,26,26,26,26,25,25,25,25,25,25,25,25,26,26,26,26,26,26,26,26,27,02
,CHULA VISTA,24,24,24,24,24,25,25,25,25,25,25,25,25,25,25,25,24,24,24,24,24,24,25,24,25,25,05
,DOWNTOWN SES,24,24,24,24,24,24,24,24,24,23,22,22,22,22,22,23,23,23,23,23,24,23,23,24,23,24,00
,EL CAJON LES,24,25,24,25,24,25,25,25,25,25,25,24,24,24,24,24,24,24,24,24,24,24,24,24,24,25,01
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,21,21,21,20,20,20,20,19,20,21,22,24,25,24,24,25,25,25,24,23,22,22,22,22,22,25,12
,OTAY MESA DVN,26,26,26,26,26,26,26,26,26,26,26,25,25,25,24,24,24,24,25,25,26,26,26,26,25,26,00
,PENDLETON,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,00
11 PM2.5 µg/M3,ALPINE,8.6,4.6,1.9,2.6,1.6,.4,2.9,3.3,-1.5,-2.6,.3,.3,3.4,7.4,15.0,24.4,23.4,20.6,13.3,13.1,11.0,10.9,10.4,16.8,8.0,24.4,15
,DOWNTOWN SES,34.0,33.6,26.3,18.6,17.6,25.7,32.3,34.2,40.3,40.4,41.9,35.0,28.1,15.6,17.5,16.2,15.0,15.9,10.0,11.4,14.7,25.8,19.1,14.6,24.3,41.9,10
,EL CAJON LES,34.3,28.6,17.1,11.3,15.3,20.9,20.5,24.2,24.8,18.9,25.6,23.7,19.9,34.8,31.6,19.6,22.3,27.0,26.9,30.9,36.2,32.0,29.3,28.1,25.1,36.2,20
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OTAY MESA DVN,12.1,9.5,30.1,51.5,45.8,30.5,20.4,25.6,36.4,55.4,53.5,38.4,37.8,30.6,26.5,29.7,24.6,19.8,17.0,17.1,15.9,12.7,9.8,11.0,27.5,55.4,09
,PENDLETON,21.8,20.1,13.3,9.6,7.4,4.4,2.8,3.8,7.3,10.6,12.3,13.6,11.1,11.3,11.9,11.7,9.1,10.0,17.6,11.3,11.4,11.3,11.2,13.2,11.1,21.8,00
12 VWDR °,ALPINE,25,106,53,38,81,63,349,150,240,207,287,295,262,260,288,321,299,91,89,89,114,115,40,13,0,349,06
,CHULA VISTA,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,0,M,M
,DOWNTOWN SES,49,116,105,104,358,356,36,230,103,196,215,240,226,215,223,215,216,187,183,197,215,239,237,164,0,358,04
,EL CAJON LES,142,70,32,248,24,320,23,66,144,279,266,268,268,221,224,249,189,186,151,164,114,241,276,91,0,320,05
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,0,,
,KEARNY MESA,101,122,94,293,320,348,308,194,146,202,229,233,234,235,248,234,203,258,160,163,274,308,310,26,0,348,05
,OTAY MESA DVN,48,130,137,126,130,352,343,321,313,174,307,298,288,299,298,303,321,316,333,345,356,344,336,330,0,356,20
,PENDLETON,83,108,39,21,19,19,40,84,275,300,249,248,244,249,241,219,214,163,127,205,210,258,6,66,0,300,09
13 SIGTHETA °,ALPINE,28,20,16,17,31,33,43,25,32,36,23,32,44,34,29,21,37,17,15,21,13,14,35,32,27,44,12
,CHULA VISTA,72,18,18,45,21,17,48,35,68,45,24,25,21,23,22,25,37,18,20,27,42,22,23,38,31,72,00
,DOWNTOWN SES,32,30,26,26,50,20,55,39,57,36,25,29,20,20,26,28,21,24,20,21,22,31,22,37,30,57,08
,EL CAJON LES,61,33,30,43,56,27,67,51,56,59,23,39,48,25,26,19,22,22,17,37,31,17,22,43,36,67,06
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,22,11,14,28,11,16,14,41,33,53,38,33,22,14,17,18,16,21,35,10,25,25,13,23,23,53,09
,OTAY MESA DVN,15,56,12,10,12,37,30,13,25,20,50,18,15,13,13,11,16,25,31,23,17,13,12,12,21,56,01
,PENDLETON,17,18,15,12,11,11,13,43,40,30,38,15,16,16,15,23,34,28,18,32,22,26,41,15,23,43,07
14 VWSP MPH,ALPINE,.6,1.1,1.5,1.9,1.0,1.0,1.5,.6,1.4,1.9,4.0,3.1,2.8,4.1,3.9,4.4,1.5,1.4,1.7,1.9,4.2,3.6,.6,1.6,.0,4.4,15
,CHULA VISTA,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,.0,M,M
,DOWNTOWN SES,1.7,3.3,3.2,3.0,2.3,2.8,.6,1.3,.9,2.6,4.0,3.9,7.1,6.4,5.0,4.0,3.2,2.5,3.5,3.1,2.7,2.4,3.4,1.0,.0,7.1,12
,EL CAJON LES,.8,1.3,1.0,.5,.2,1.0,.1,.7,.5,1.3,4.1,2.4,2.1,5.8,4.6,5.8,3.7,2.2,2.0,.8,.5,1.9,2.4,.8,.0,5.8,13
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,.0,,
,KEARNY MESA,1.9,5.1,2.7,.7,3.4,3.8,2.4,1.3,1.9,1.4,3.5,3.8,5.5,8.4,6.8,5.1,3.1,1.5,2.7,3.3,1.2,3.0,4.5,2.5,.0,8.4,13
,OTAY MESA DVN,1.7,1.3,5.8,4.7,3.2,1.2,1.7,4.1,2.5,4.1,2.9,5.5,8.1,7.1,7.2,7.5,4.7,3.0,1.7,1.6,2.5,4.0,5.1,5.0,.0,8.1,12
,PENDLETON,4.9,3.9,2.3,2.7,3.6,2.8,2.7,1.2,1.1,1.3,2.5,4.2,4.7,5.7,5.4,3.2,1.4,2.3,1.9,1.2,2.5,1.7,.3,3.3,.0,5.7,13
15 SWSP MPH,ALPINE,.8,1.6,2.1,2.4,1.0,1.8,1.6,1.3,1.6,2.7,4.6,3.8,3.6,5.0,4.5,4.7,1.9,1.5,1.8,2.1,4.3,3.7,1.8,2.2,2.6,5.0,13
,CHULA VISTA,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,,M,M
,DOWNTOWN SES,2.0,3.7,3.5,3.3,2.9,2.9,1.3,2.1,1.4,3.3,4.5,4.5,7.6,6.9,5.5,4.7,3.4,2.7,3.8,3.4,3.2,2.8,3.8,1.9,3.5,7.6,12
,EL CAJON LES,1.4,1.9,1.1,.8,.7,1.1,.6,1.0,1.4,2.0,4.5,3.1,2.9,6.7,5.3,6.1,3.9,2.4,2.2,1.1,1.2,2.2,2.6,1.9,2.4,6.7,13
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,2.1,5.2,2.8,2.1,3.5,3.9,2.6,2.1,2.2,2.7,4.3,4.3,6.0,8.7,7.1,5.4,3.2,1.9,2.9,3.4,2.0,3.1,4.7,3.1,3.7,8.7,13
,OTAY MESA DVN,1.9,1.7,6.0,4.7,3.3,2.4,2.2,4.5,3.3,4.4,3.5,5.8,8.4,7.3,7.3,7.7,4.9,3.4,2.2,2.0,2.6,4.1,5.2,5.1,4.3,8.4,12
,PENDLETON,5.2,4.1,2.5,2.9,3.7,2.8,3.0,1.7,1.5,1.5,2.8,4.3,4.8,5.9,5.6,3.5,1.7,2.6,2.3,1.6,2.7,1.9,1.9,3.4,3.1,5.9,13
16 AMBTEMP °F,ALPINE,67.2,67.3,69.1,69.3,70.0,70.1,69.5,72.0,74.4,79.9,79.4,78.0,80.1,80.4,78.4,72.9,68.3,67.6,69.0,67.0,66.1,68.8,65.3,61.6,71.3,80.4,13
,CARMEL MT RCH,54.3,53.3,53.3,54.3,54.5,52.9,53.9,56.2,60.3,64.4,68.4,73.5,78.4,78.5,69.8,67.0,63.9,60.0,60.0,58.4,56.1,55.6,55.9,55.9,60.8,78.5,13
,CHULA VISTA,58.7,58.2,57.2,56.7,55.6,54.8,56.2,57.9,58.9,62.0,64.4,65.5,65.8,64.3,63.8,61.7,60.8,59.8,58.8,58.1,57.7,58.1,57.7,57.6,59.6,65.8,12
,DOWNTOWN SES,58.6,58.7,58.2,57.2,56.5,56.3,56.6,57.6,59.3,61.3,63.8,67.3,66.4,63.3,62.2,61.4,60.4,59.8,59.8,59.4,58.6,58.3,58.5,58.8,59.9,67.3,11
,EL CAJON LES,57.6,56.9,54.8,54.7,54.2,54.3,53.6,54.6,60.7,68.1,71.7,75.2,79.9,78.4,74.1,69.7,66.0,62.6,60.4,59.1,57.8,56.7,56.7,56.8,62.3,79.9,12
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,55.3,56.1,55.8,54.0,54.7,54.4,53.0,54.4,56.1,60.7,68.1,72.9,75.9,69.7,66.4,64.7,62.6,60.4,59.3,58.2,57.5,57.6,57.4,57.5,60.1,75.9,12
,OTAY MESA DVN,55.7,55.5,55.0,54.9,54.8,54.5,54.6,54.1,55.7,63.2,70.6,73.8,72.7,71.0,68.2,65.0,61.3,58.0,56.9,56.0,55.8,54.4,54.6,55.8,59.7,73.8,11
,PENDLETON,57.6,56.7,55.8,55.3,54.7,55.3,54.1,53.9,55.4,57.2,59.3,61.5,62.5,61.9,61.2,60.5,59.9,59.7,59.9,59.8,59.7,60.0,59.9,59.8,58.4,62.5,12
17 RELHUM %,ALPINE,34,34,29,28,25,26,28,27,23,20,23,28,24,25,31,48,58,58,45,46,41,33,42,61,35,61,23
,EL CAJON LES,97,98,99,100,100,100,100,100,88,59,56,47,36,46,55,62,71,80,85,88,90,93,97,97,81,100,03
,KEARNY MESA,100,100,100,100,100,100,100,100,100,90,68,58,53,68,74,79,85,90,92,95,98,100,100,99,90,100,00
18 PRES mmHg,EL CAJON LES,749,748,748,748,748,748,748,749,749,749,749,748,747,747,748,748,748,748,749,749,749,750,750,750,749,750,21
,KEARNY MESA,749,749,749,748,749,749,749,749,750,750,749,749,748,748,749,749,749,749,749,749,750,750,751,751,749,751,22
19 SOLAR W/M2,EL CAJON LES,3,2,1,3,2,3,21,97,383,534,633,663,629,528,386,200,35,-2,-1,0,0,1,3,3,172,663,11
,KEARNY MESA,0,0,0,0,0,1,20,75,208,470,591,625,595,504,370,205,46,0,0,0,0,0,0,0,155,625,11
25 NOY,EL CAJON LES,13.43,10.90,8.00,9.54,10.56,C,C,25.18,25.14,19.20,32.40,24.64,24.13,23.33,16.02,14.01,14.85,14.11,13.69,15.29,17.78,18.05,13.88,12.68,17.12,32.40,10
26 NOY-NO,EL CAJON LES,13.39,10.88,7.99,9.50,10.51,C,C,16.73,14.27,13.19,21.32,19.71,20.25,20.13,14.37,12.96,14.36,13.91,13.65,15.17,17.59,17.56,13.82,12.66,14.72,21.32,10
27 NO Trace,EL CAJON LES,.04,.02,.00,.04,.04,C,C,8.44,10.87,6.00,11.08,4.92,3.87,3.20,1.64,1.04,.49,.19,.03,.12,.18,.48,.06,.01,2.39,11.08,10
28 SO2 Tr PPB,EL CAJON LES,.0,.0,C,C,C,.0,.0,.0,.1,.1,.1,.1,.2,.2,.1,.1,.0,.0,.0,.0,.0,.0,.0,.0,.0,.2,12
29 CO Tr PPB,EL CAJON LES,360.5,338.2,C,C,C,679.2,530.3,576.2,569.5,492.5,727.4,541.9,543.6,516.2,404.5,377.3,379.7,359.2,361.1,405.4,456.7,456.7,381.4,371.9,468.0,727.4,10
BCarbon ug/m3,10TH AVE MARINE TERM,1.37,1.22,.98,.91,.95,1.04,1.52,1.70,1.74,2.00,1.76,1.76,1.27,.76,.72,.73,.55,.53,.54,.52,1.03,1.25,.89,.64,1.10,2.00,09
,ALPINE,.25,.23,.20,.18,.14,.31,.24,.21,.25,.24,.36,.50,.51,.69,1.03,1.40,1.30,1.37,.93,1.09,.72,.53,.68,.88,.59,1.40,15
,CHICANO PARK,1.25,1.31,.98,.91,1.21,1.64,2.00,2.03,2.13,2.42,2.01,2.05,1.36,.82,.88,.93,.87,.71,.65,.63,1.08,1.59,1.17,.88,1.31,2.42,09
,DOWNTOWN SES,1.31,1.33,.99,.88,1.19,1.49,1.90,2.21,2.30,2.69,2.49,2.28,1.72,.96,.97,.87,.84,.71,.72,.65,1.16,1.63,1.16,.97,1.39,2.69,09
,OCEANVIEW BLVD,1.20,1.02,.72,.72,.84,1.13,1.58,1.76,1.85,2.46,1.96,1.87,1.36,.83,.86,.86,.84,.69,.59,.59,.99,1.61,1.08,.80,1.18,2.46,09
,SAN YSIDRO,.73,1.11,2.70,3.76,4.29,3.48,3.06,2.73,2.24,2.58,2.17,1.47,1.40,1.65,1.37,.72,.57,.57,.81,.95,1.13,1.89,2.21,1.11,1.86,4.29,04
RAINFALL,EL CAJON LES,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,00
