Current Date:,11/17/2021,6:12 AM,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Daily Parameter Report
11/16/2021
,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Summary
Parameter,SiteName,,,,,,,,,,,,,,,,,,,,,,,,,Avg,Max,Hr. of Max
01 OZONE PPM,ALPINE,.064,.062,C,C,.061,.062,.057,.049,.052,.059,.054,.046,.051,.054,.055,.057,.054,.045,.041,.015,.016,.034,.039,.036,.048,.064,00
,CHULA VISTA,.007,.013,C,C,.002,.001,.001,.003,.007,.022,.036,<,.054,.054,.041,.035,.036,.030,.029,.029,.032,.031,.023,.021,.024,.054,12
,DOWNTOWN SES,.004,.013,C,C,.002,.014,.020,.009,.010,.023,.034,.045,.052,.046,.039,.036,.033,.035,.035,.035,.034,.033,.036,.036,.028,.052,12
,EL CAJON LES,.007,.011,C,C,C,.003,.002,.006,.011,.024,.030,.027,.039,.049,.056,.049,.031,.025,.024,.024,.029,.028,.026,.025,.025,.056,14
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.008,.007,C,C,.005,.012,.011,.008,.012,.022,.033,.043,.051,P,.049,.040,.036,.030,.028,.030,.028,.029,.027,.028,.025,.051,12
,OTAY MESA DVN,.005,.009,C,C,.008,.009,.016,.005,.005,.009,.017,.030,.041,.050,.044,.040,.033,.030,.025,.026,.025,.016,.011,.010,.021,.050,13
,PENDLETON,.027,.033,C,C,.016,.014,.009,.013,.016,.031,.038,.040,.047,.047,.046,.042,.038,.032,.036,.036,.022,.023,.024,.018,.029,.047,12
02 NOX PPM,ALPINE,.001,.002,C,C,.001,.002,.006,.009,.007,.003,.002,.015,.015,.016,.013,.014,.015,.018,.017,.038,.031,.013,.008,.007,.012,.038,19
,CARMEL MT RCH,.033,.050,C,C,.054,.051,.029,.051,.082,.056,.050,.032,.033,.044,.036,.027,.029,.029,.026,.022,.010,.007,.009,.007,.035,.082,08
,CHULA VISTA,.019,.013,C,C,.017,.020,.032,.032,.039,.023,.013,<,.005,.004,.005,.008,.005,.007,.006,.005,.004,.005,.011,.012,.014,.039,08
,DOWNTOWN SES,.030,.015,C,C,.024,.014,.011,.024,.034,.030,.016,.012,.010,.006,.006,.008,.009,.006,.004,.004,.004,.006,.004,.004,.013,.034,08
,EL CAJON LES,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.012,.015,C,C,.018,.009,.010,.017,.021,.023,.019,.010,.008,P,.006,.007,.007,.010,.009,.008,.009,.008,.008,.007,.011,.023,09
,OTAY MESA DVN,.087,.040,C,C,.168,.099,.029,.100,.140,.091,.068,.025,.014,.009,.020,.009,.007,.006,.007,.007,.007,.016,.018,.017,.045,.168,04
,PENDLETON,.012,.005,C,C,.009,.010,.013,.012,.012,.006,.005,.005,.003,.009,.005,.003,.002,.011,.001,.001,.011,.009,.007,.012,.007,.013,06
03 NO2 PPM,ALPINE,.001,.001,C,C,.001,.002,.005,.007,.005,.003,.002,.012,.013,.013,.011,.012,.014,.017,.016,.035,.029,.012,.008,.006,.010,.035,19
,CARMEL MT RCH,.031,.035,C,C,.033,.019,.017,.020,.027,.020,.024,.016,.019,.026,.023,.016,.018,.018,.016,.014,.008,.006,.007,.007,.019,.035,01
,CHULA VISTA,.019,.013,C,C,.015,.017,.020,.018,.020,.016,.010,<,.004,.004,.004,.007,.005,.007,.006,.005,.004,.006,.011,.012,.011,.020,06
,DOWNTOWN SES,.026,.015,C,C,.021,.013,.010,.018,.019,.020,.012,.010,.008,.005,.005,.007,.008,.006,.004,.003,.004,.005,.004,.004,.010,.026,00
,EL CAJON LES,.024,.018,C,C,C,.021,.022,.025,.029,.020,.016,.022,.013,.009,.008,.009,.013,.011,.010,.009,.005,.005,.005,.005,.014,.029,08
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.011,.014,C,C,.013,.008,.008,.011,.012,.016,.014,.008,.007,P,.006,.006,.007,.010,.008,.008,.009,.008,.008,.007,.009,.016,09
,OTAY MESA DVN,.040,.037,C,C,.031,.025,.022,.034,.047,.041,.040,.019,.011,.007,.016,.008,.006,.006,.007,.006,.006,.014,.017,.016,.021,.047,08
,PENDLETON,.009,.005,C,C,.008,.009,.010,.009,.009,.005,.004,.004,.003,.006,.003,.002,.002,.007,.001,.001,.011,.009,.007,.010,.006,.011,20
04 NO PPM,ALPINE,.000,.000,C,C,.000,.000,.001,.002,.001,.001,.000,.003,.003,.003,.002,.001,.001,.001,.001,.003,.003,.001,.000,.000,.001,.003,11
,CARMEL MT RCH,.002,.015,C,C,.021,.031,.013,.030,.055,.035,.026,.016,.015,.018,.014,.012,.011,.011,.011,.008,.002,.001,.001,.000,.016,.055,08
,CHULA VISTA,.001,.000,C,C,.002,.003,.011,.014,.019,.007,.003,<,.000,.000,.001,.001,.000,.000,.000,.000,.000,.000,.000,.000,.003,.019,08
,DOWNTOWN SES,.004,.000,C,C,.002,.001,.001,.007,.015,.010,.004,.002,.002,.001,.001,.001,.000,.000,.000,.000,.000,.000,.000,.000,.002,.015,08
,EL CAJON LES,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.001,.001,C,C,.005,.001,.001,.006,.009,.007,.004,.001,.001,P,.001,.001,.000,.000,.000,.000,.000,.000,.000,.000,.002,.009,08
,OTAY MESA DVN,.047,.004,C,C,.139,.074,.007,.065,.093,.050,.028,.006,.003,.002,.004,.001,.001,.001,.001,.001,.001,.001,.001,.001,.024,.139,04
,PENDLETON,.003,.000,C,C,.001,.001,.003,.003,.003,.001,.001,.001,.000,.003,.002,.001,.000,.004,.000,.000,.000,.000,.000,.002,.001,.004,17
06 CO PPM,CARMEL MT RCH,.8,.8,C,C,C,1.0,.7,.9,1.1,.7,C,.6,.5,.6,.7,.6,.5,.7,.6,.6,.3,.3,.3,.3,.6,1.1,08
10 INTMP °C,ALPINE,26,26,26,26,26,27,26,26,26,25,25,25,25,25,25,25,25,26,26,27,26,27,28,27,26,28,22
,CARMEL MT RCH,26,26,27,27,27,26,27,26,26,25,25,25,25,26,25,25,25,26,26,26,26,26,26,26,26,27,02
,CHULA VISTA,25,24,24,24,24,24,24,24,24,25,25,<,25,25,25,25,24,24,25,25,24,25,25,24,24,25,00
,DOWNTOWN SES,24,23,24,23,24,24,24,24,23,23,23,23,23,22,22,22,23,23,23,23,23,23,23,23,23,24,00
,EL CAJON LES,25,24,25,24,25,25,24,25,25,25,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,25,00
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,26,26,26,26,26,26,26,26,26,25,25,25,25,P,24,25,25,25,25,25,25,25,25,25,25,26,00
,OTAY MESA DVN,25,26,26,26,26,26,26,26,26,26,26,25,25,25,25,24,24,24,25,26,26,26,26,26,26,26,01
,PENDLETON,25,25,25,25,25,25,25,24,23,23,24,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,00
11 PM2.5 µg/M3,ALPINE,4.0,3.4,1.6,1.5,1.7,-.2,-3.5,-2.6,-2.3,-4.0,-3.3,3.9,7.7,10.7,10.1,13.2,16.4,18.3,23.5,15.3,11.8,12.5,17.0,-2.2,6.4,23.5,18
,DOWNTOWN SES,18.4,6.8,7.4,9.9,7.6,12.9,10.8,12.0,11.2,17.3,16.0,15.4,13.7,10.2,7.4,4.7,4.8,6.1,6.1,4.2,6.2,4.5,3.3,5.1,9.2,18.4,00
,EL CAJON LES,9.1,10.4,9.7,10.2,8.1,6.9,10.1,10.9,13.9,11.5,17.4,25.1,16.9,21.5,20.8,14.1,9.8,7.7,12.4,10.7,8.4,13.7,11.2,13.0,12.6,25.1,11
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OTAY MESA DVN,29.0,23.0,43.9,49.5,33.2,31.3,19.4,44.9,61.4,37.3,34.4,28.6,12.5,13.0,13.0,9.8,5.2,1.9,1.8,3.4,9.7,18.6,20.6,22.4,23.6,61.4,08
,PENDLETON,7.4,11.6,15.5,15.5,11.2,11.2,11.5,12.4,11.1,10.3,9.8,11.7,12.6,11.9,8.0,3.6,1.6,5.0,2.9,1.1,5.4,5.0,4.9,3.5,8.5,15.5,02
12 VWDR °,ALPINE,340,311,83,76,93,80,327,107,121,206,210,312,290,233,280,303,314,143,19,278,89,35,110,116,0,340,00
,CHULA VISTA,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,0,M,M
,DOWNTOWN SES,349,6,48,8,345,336,27,103,165,253,240,278,283,218,231,249,265,219,247,224,162,156,177,168,0,349,00
,EL CAJON LES,219,111,226,249,113,201,103,300,272,269,236,258,264,196,229,229,218,193,195,189,148,134,155,145,0,300,07
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,0,,
,KEARNY MESA,305,11,57,308,326,335,359,31,285,254,228,287,254,P,243,279,290,290,298,223,137,150,140,123,0,359,06
,OTAY MESA DVN,46,52,129,117,103,20,359,164,151,290,268,302,299,267,253,291,288,292,344,356,318,174,358,313,0,359,06
,PENDLETON,324,61,58,19,15,46,73,57,M,M,254,250,225,239,223,244,229,241,252,221,51,37,46,28,0,324,00
13 SIGTHETA °,ALPINE,34,44,25,23,33,35,64,14,20,36,41,21,37,36,25,36,22,40,46,40,34,38,16,51,34,64,06
,CHULA VISTA,44,48,43,34,21,24,24,27,43,33,27,<,23,35,27,23,21,19,19,46,41,21,23,28,30,48,01
,DOWNTOWN SES,29,21,22,35,19,19,24,35,53,32,34,25,30,27,24,24,26,21,22,20,32,29,20,29,27,53,08
,EL CAJON LES,53,47,61,46,47,50,21,52,31,44,30,23,29,33,25,25,19,22,18,23,24,42,30,31,34,61,02
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,17,27,39,15,16,13,15,27,35,35,31,17,24,P,24,17,14,11,11,30,33,23,14,14,22,39,02
,OTAY MESA DVN,39,39,19,30,24,35,41,19,40,35,30,15,14,31,23,12,11,13,34,20,37,34,49,56,29,56,23
,PENDLETON,21,57,28,9,14,14,11,16,M,M,36,18,21,25,18,23,23,18,20,20,28,12,10,12,21,57,01
14 VWSP MPH,ALPINE,.5,.4,1.0,1.3,.7,.7,.6,2.0,2.1,2.2,2.5,4.8,2.9,3.2,3.9,2.7,2.1,.4,.7,.2,.6,.5,2.5,1.4,.0,4.8,11
,CHULA VISTA,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,.0,M,M
,DOWNTOWN SES,2.0,1.2,2.2,.5,1.4,3.6,2.4,1.7,.4,2.6,3.4,5.1,4.4,4.7,5.4,4.5,2.6,3.1,1.9,2.0,1.4,2.1,3.2,2.1,.0,5.4,14
,EL CAJON LES,.4,1.6,.4,.6,.6,.6,1.0,.4,1.0,1.3,3.0,5.4,4.1,3.9,4.7,3.8,3.8,2.7,2.3,2.3,1.7,2.1,2.2,1.6,.0,5.4,11
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,.0,,
,KEARNY MESA,3.0,1.4,1.5,2.4,3.3,5.0,3.2,1.0,2.1,2.8,3.4,7.6,4.8,P,5.1,6.7,4.3,3.6,3.3,1.0,2.9,4.2,4.8,3.6,.0,7.6,11
,OTAY MESA DVN,.9,1.1,3.3,1.8,1.4,1.3,2.5,3.6,1.9,2.0,3.2,7.6,7.5,3.8,4.5,7.4,5.5,2.5,1.2,2.8,.4,1.2,.4,.4,.0,7.6,11
,PENDLETON,2.8,.8,1.8,3.9,4.0,3.1,3.5,3.1,M,M,1.8,4.2,3.9,3.3,4.7,2.8,2.0,2.8,1.7,2.1,1.1,3.7,3.6,3.6,.0,4.7,14
15 SWSP MPH,ALPINE,.8,.5,1.0,1.3,.8,.7,.8,2.0,2.3,2.7,3.5,5.1,3.8,4.0,4.9,3.1,2.4,.6,.8,.2,.9,1.2,2.6,1.6,2.0,5.1,11
,CHULA VISTA,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,,M,M
,DOWNTOWN SES,2.1,1.4,2.3,.5,1.5,3.8,2.7,2.1,1.5,3.3,4.2,5.6,5.2,5.2,5.8,4.9,2.9,3.4,2.1,2.1,1.9,2.6,3.4,2.5,3.0,5.8,14
,EL CAJON LES,.9,1.7,.8,.9,.7,1.7,1.1,.9,1.8,1.7,3.5,5.9,4.6,4.5,5.3,4.1,4.1,2.9,2.4,2.6,2.5,2.6,2.5,2.0,2.6,5.9,11
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,3.3,2.0,1.7,2.9,3.5,5.3,3.6,2.2,2.7,3.5,4.6,7.9,5.9,P,5.6,7.1,4.5,3.7,3.4,2.7,3.5,4.6,5.0,3.7,4.0,7.9,11
,OTAY MESA DVN,2.1,1.7,3.5,2.3,2.3,3.4,3.0,3.8,3.3,3.3,4.4,7.8,7.7,4.7,5.7,7.6,5.7,2.6,1.4,3.1,1.6,1.4,1.1,.8,3.5,7.8,11
,PENDLETON,3.0,1.5,2.1,4.0,4.2,3.5,3.9,3.5,M,M,2.5,4.4,4.2,3.6,4.9,3.1,2.2,2.9,1.8,2.4,2.4,3.8,3.7,3.8,3.2,4.9,14
16 AMBTEMP °F,ALPINE,67.6,66.4,64.6,66.0,65.5,65.2,64.9,64.5,68.1,71.2,73.4,67.9,66.2,69.3,68.5,65.6,62.2,59.2,58.0,56.2,53.1,54.6,56.9,57.9,63.9,73.4,10
,CARMEL MT RCH,56.9,54.1,52.6,55.7,55.3,51.7,50.1,53.0,59.3,59.8,63.6,62.4,66.2,68.8,68.6,64.4,59.9,57.5,55.9,55.7,55.8,55.6,55.4,55.6,58.1,68.8,13
,CHULA VISTA,57.7,57.9,57.4,55.6,53.2,52.6,53.5,53.0,54.2,57.5,60.6,<,62.4,63.1,63.2,62.0,60.4,58.9,58.1,58.7,59.2,58.8,58.8,58.7,58.1,63.2,14
,DOWNTOWN SES,57.5,56.5,56.2,55.8,54.8,54.5,54.5,54.5,55.9,59.8,62.1,62.4,63.0,64.4,63.8,63.0,61.2,59.7,59.3,59.6,59.8,60.2,60.2,60.0,59.1,64.4,13
,EL CAJON LES,54.0,52.3,51.6,50.7,49.7,49.2,49.2,52.6,57.7,64.2,67.6,67.0,67.0,69.7,69.7,68.3,63.9,59.5,57.4,56.9,57.4,57.1,56.5,56.0,58.6,69.7,13
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,52.1,52.6,51.6,49.9,49.4,52.5,52.2,51.7,54.1,58.7,63.3,63.7,62.9,P,65.7,63.8,60.0,57.7,57.0,58.2,58.4,58.4,58.5,58.3,57.0,65.7,14
,OTAY MESA DVN,58.0,58.2,55.8,57.5,56.7,55.6,54.2,54.5,57.8,62.0,66.6,65.3,62.3,65.6,67.1,63.3,59.2,56.4,55.6,55.6,56.0,56.0,56.0,55.9,58.8,67.1,14
,PENDLETON,56.4,56.1,55.0,53.0,53.1,53.4,52.7,51.6,54.9,58.1,59.0,60.5,61.1,61.0,60.8,60.5,60.0,59.4,59.5,59.7,59.1,58.6,58.3,58.1,57.5,61.1,12
17 RELHUM %,ALPINE,18,19,22,21,20,21,21,23,20,18,17,27,32,31,37,54,65,75,77,69,82,66,40,27,38,82,20
,EL CAJON LES,60,61,64,67,68,71,72,65,53,40,43,51,58,55,54,57,69,80,87,89,88,88,89,89,67,89,19
,KEARNY MESA,100,100,100,100,100,100,100,100,99,87,69,76,79,P,69,75,85,90,92,90,90,90,89,89,90,100,00
18 PRES mmHg,EL CAJON LES,751,751,750,750,750,750,750,750,750,750,750,750,749,749,748,748,748,748,749,749,749,749,749,749,749,751,00
,KEARNY MESA,752,752,751,751,751,751,751,751,751,751,751,751,750,P,750,749,750,750,750,750,750,751,750,750,751,752,00
19 SOLAR W/M2,EL CAJON LES,0,0,0,0,0,1,22,94,274,387,471,325,441,500,359,184,30,-2,-1,1,3,3,3,3,129,500,13
,KEARNY MESA,-1,0,0,-1,-1,0,12,84,284,353,410,279,512,P,355,193,34,0,0,0,0,0,0,0,109,512,12
25 NOY,EL CAJON LES,24.78,19.18,22.11,22.49,21.55,C,C,47.98,52.03,29.07,22.95,29.73,18.67,14.15,11.60,11.49,12.20,10.51,10.09,8.83,5.76,6.03,6.63,7.05,18.85,52.03,08
26 NOY-NO,EL CAJON LES,24.16,19.08,21.44,21.28,20.67,C,C,25.11,28.15,20.00,16.91,22.93,15.46,12.13,10.30,10.36,11.47,10.02,9.36,8.35,5.72,6.03,6.59,7.01,15.11,28.15,08
27 NO Trace,EL CAJON LES,.61,.10,.67,1.20,.87,C,C,22.87,23.87,9.06,6.04,6.80,3.21,2.02,1.29,1.13,.73,.49,.73,.47,.04,.00,.03,.04,3.73,23.87,08
28 SO2 Tr PPB,EL CAJON LES,.1,.0,C,C,C,.0,.1,.1,.2,.1,.2,.3,.2,.2,.1,.1,.0,.0,.0,.0,.0,.0,.0,.0,.0,.3,11
29 CO Tr PPB,EL CAJON LES,582.5,454.8,C,C,C,572.6,661.4,788.6,878.6,595.1,537.8,598.1,444.7,368.5,315.3,286.9,289.3,275.4,268.3,269.2,226.0,212.7,218.3,217.8,431.5,878.6,08
BCarbon ug/m3,10TH AVE MARINE TERM,.89,.42,1.12,1.10,1.12,.56,.57,.97,1.47,.92,1.10,.90,.59,.32,.25,.32,.16,.21,.21,.26,.41,.34,.27,.15,.61,1.47,08
,ALPINE,.13,.14,.17,.16,.10,.16,.28,.31,.19,.15,.12,.83,1.09,1.09,1.00,1.16,.90,.91,1.03,1.27,1.18,.75,.37,.19,.57,1.27,19
,CHICANO PARK,1.50,.80,.74,1.23,1.45,1.05,.88,1.23,1.41,1.15,1.05,1.04,.64,.36,.42,.47,.42,.37,.38,.28,.38,.38,.31,.22,.76,1.50,00
,DOWNTOWN SES,1.53,.72,.72,1.04,1.02,.68,.65,.99,1.30,1.25,1.00,.89,.68,.35,.37,.38,.34,.26,.19,.17,.31,.37,.31,.32,.66,1.53,00
,OCEANVIEW BLVD,1.21,.76,.78,1.03,.93,.77,.63,.78,.92,1.41,1.14,.83,.69,.51,.34,.39,.42,.38,.38,.31,.30,.36,.45,.71,.68,1.41,09
,SAN YSIDRO,.97,.61,.58,1.14,2.68,2.41,1.38,1.66,2.49,.94,.79,.57,.40,.34,.31,.17,.23,.23,.56,.48,.57,.88,.89,.85,.92,2.68,04
RAINFALL,EL CAJON LES,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,00
