Current Date:,11/7/2021,6:12 AM,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Daily Parameter Report
11/6/2021
,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Summary
Parameter,SiteName,,,,,,,,,,,,,,,,,,,,,,,,,Avg,Max,Hr. of Max
01 OZONE PPM,ALPINE,.052,.058,C,C,.059,.058,.053,.043,.032,.030,.041,.053,.052,.061,.064,.067,.063,.052,.047,.029,.037,.042,.032,.039,.048,.067,15
,CHULA VISTA,.043,.039,C,C,.030,.027,.025,.024,.025,.027,.032,.043,.053,.057,.058,.050,.043,.039,.036,.036,.043,.042,.040,.040,.038,.058,14
,DOWNTOWN SES,.050,.045,C,C,.035,.032,.030,.026,.027,.033,.037,.045,.054,.055,.055,.052,.047,.048,.047,.046,.041,.044,.046,.045,.042,.055,13
,EL CAJON LES,.026,.026,C,C,C,.019,.020,.020,.022,.024,.029,.038,.048,.054,.061,.054,.048,.042,.039,.033,.029,.035,.038,.035,.035,.061,14
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.036,.032,.032,.031,.026,.027,.027,.031,.032,.034,.038,.045,.054,.056,.055,.052,.049,.046,.044,.048,.045,.043,.043,.042,.040,.056,13
,OTAY MESA DVN,.028,.022,C,C,.018,.019,.016,.016,.019,.024,.030,.038,.051,.054,.057,.054,.046,.036,.034,.029,.030,.026,.027,.029,.031,.057,14
,PENDLETON,.046,.042,C,C,.035,.035,.029,.030,.035,.045,.048,.050,.052,.053,.055,.056,.057,.059,.058,.058,.058,.056,.051,.046,.047,.059,17
02 NOX PPM,ALPINE,.005,.003,C,C,.002,.001,.005,.008,.025,.016,.008,.005,.007,.005,.005,.007,.008,.010,.009,.019,.013,.009,.011,.007,.009,.025,08
,CARMEL MT RCH,.009,.007,C,C,.017,.020,.024,.024,.027,.023,.015,.019,.020,.018,.018,.019,.017,.014,.015,.024,.015,.010,.004,.005,.017,.027,08
,CHULA VISTA,.006,.006,C,C,.007,.007,.007,.008,.014,.017,.015,.013,.011,.008,.006,.004,.004,.005,.008,.007,.004,.005,.005,.005,.008,.017,09
,DOWNTOWN SES,.006,.008,C,C,.011,.011,.011,.015,.016,.017,.019,.019,.011,.012,.008,.006,.007,.008,.009,.010,.011,.007,.005,.006,.011,.019,10
,EL CAJON LES,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.007,.008,.008,.007,.006,.006,.007,.006,.006,.007,.009,.011,.010,.009,.007,.006,.006,.006,.006,.005,.006,.006,.006,.006,.007,.011,11
,OTAY MESA DVN,.010,.017,C,C,.011,.009,.011,.011,.011,.010,.011,.011,.012,.012,.010,.007,.005,.004,.005,.006,.007,.011,.010,.009,.010,.017,01
,PENDLETON,.005,.005,C,C,.004,.005,.004,.004,.004,.004,.004,.003,.003,.003,.003,.002,.003,.002,.002,.002,.002,.003,.003,.003,.003,.005,00
03 NO2 PPM,ALPINE,.004,.002,C,C,.002,.001,.004,.007,.017,.010,.006,.004,.006,.004,.004,.006,.008,.009,.009,.018,.012,.008,.011,.006,.007,.018,19
,CARMEL MT RCH,.008,.006,C,C,.012,.013,.014,.013,.013,.013,.009,.011,.013,.012,.012,.012,.011,.009,.011,.018,.012,.008,.004,.004,.011,.018,19
,CHULA VISTA,.006,.006,C,C,.007,.007,.007,.008,.011,.013,.012,.011,.009,.007,.005,.004,.004,.005,.008,.007,.004,.005,.005,.005,.007,.013,09
,DOWNTOWN SES,.006,.008,C,C,.011,.011,.011,.014,.015,.015,.015,.016,.010,.010,.008,.006,.007,.008,.008,.009,.011,.006,.005,.006,.010,.016,11
,EL CAJON LES,.006,.005,C,C,C,.005,.005,.006,.006,.006,.006,.006,.006,.008,.007,.006,.007,.008,.007,.007,.007,.004,.004,.004,.006,.008,13
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.007,.008,.008,.007,.006,.006,.007,.006,.005,.006,.008,.010,.009,.009,.007,.006,.006,.006,.006,.005,.006,.006,.006,.006,.007,.010,11
,OTAY MESA DVN,.009,.016,C,C,.010,.008,.011,.010,.010,.008,.009,.009,.011,.011,.009,.006,.005,.004,.004,.005,.006,.011,.010,.008,.009,.016,01
,PENDLETON,.005,.005,C,C,.004,.005,.005,.004,.004,.004,.004,.003,.003,.003,.003,.002,.003,.002,.002,.002,.002,.003,.003,.003,.003,.005,00
04 NO PPM,ALPINE,.000,.000,C,C,.000,.000,.001,.001,.008,.006,.002,.001,.001,.001,.001,.001,.000,.000,.000,.001,.001,.001,.000,.000,.001,.008,08
,CARMEL MT RCH,.002,.001,C,C,.005,.007,.009,.010,.014,.010,.006,.007,.007,.006,.007,.007,.006,.004,.004,.006,.003,.001,.000,.000,.006,.014,08
,CHULA VISTA,.000,.000,C,C,.000,.000,.000,.000,.003,.004,.003,.002,.001,.001,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.001,.004,09
,DOWNTOWN SES,.000,.000,C,C,.000,.000,.000,.001,.002,.002,.003,.003,.001,.001,.001,.001,.000,.000,.000,.000,.000,.000,.000,.000,.001,.003,10
,EL CAJON LES,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
