Current Date:,11/5/2021,6:12 AM,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Daily Parameter Report
11/4/2021
,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Summary
Parameter,SiteName,,,,,,,,,,,,,,,,,,,,,,,,,Avg,Max,Hr. of Max
01 OZONE PPM,ALPINE,.049,.045,C,C,.048,.046,.043,.043,.041,.047,.053,.047,.058,.057,.058,.059,.058,.053,.047,.052,.057,.056,.056,.056,.051,.059,15
,CHULA VISTA,.029,.020,C,C,.014,.011,.008,.006,.011,.015,.025,.040,.048,M,.053,.055,.055,.050,.049,.048,.043,.036,.036,.038,.032,.055,15
,DOWNTOWN SES,.041,.045,C,C,.014,.009,.008,.024,.025,.021,.021,.037,.041,.045,.051,.051,.046,.042,.039,.032,.048,.048,.015,.030,.033,.051,14
,EL CAJON LES,.015,.015,C,C,C,.005,.003,.007,.012,.018,.022,.032,.039,.045,.052,.051,.045,.033,.031,.031,.031,.031,.032,.027,.027,.052,14
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.029,.031,C,C,.010,.005,.005,.012,.014,.019,.030,.034,.037,.048,.052,.057,.049,.042,.038,.033,.023,.031,.035,.028,.030,.057,15
,OTAY MESA DVN,.016,.015,C,C,.003,.002,.007,.008,.013,.016,.024,.029,.044,.049,.052,.050,.045,.041,.039,.033,.034,.029,.024,.023,.027,.052,14
,PENDLETON,.038,.033,C,C,.021,,,M,M,.020,.032,.050,.052,.052,.053,.054,.054,.052,.051,.051,.052,.051,.051,.048,.045,.054,15
02 NOX PPM,ALPINE,.002,.002,C,C,.002,.004,.006,.006,.010,.007,.004,.009,.006,.010,.011,.010,.008,.011,.015,.010,.005,.004,.002,.003,.007,.015,18
,CARMEL MT RCH,.009,.007,C,C,.012,.014,.048,.044,.029,.056,.051,.033,M,.029,.031,.027,.033,.030,.034,.042,.028,.022,.013,.009,.029,.056,09
,CHULA VISTA,.006,.011,C,C,.006,.007,.010,.023,.024,.023,.024,.012,.006,M,.008,.008,.007,.005,.004,.004,.006,.010,.010,.009,.011,.024,08
,DOWNTOWN SES,.007,.005,C,C,.014,.018,.020,.015,.016,.033,.040,.019,.017,.017,.014,.017,.022,.022,.023,.027,.010,.007,.038,.020,.019,.040,10
,EL CAJON LES,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.007,.006,C,C,.009,.014,.016,.011,.011,.013,.016,.015,.013,.011,.013,.011,.012,.011,.011,.011,.011,.011,.008,.009,.011,.016,06
,OTAY MESA DVN,.009,.007,C,C,.035,.035,.016,.015,.015,.021,.026,.025,.013,.011,.009,.010,.011,.010,.008,.008,.008,.008,.009,.008,.014,.035,04
,PENDLETON,.004,.005,C,C,.006,,,M,M,.010,.006,.004,.009,.010,.009,.006,.005,.005,.003,.002,.002,.002,.002,.004,.005,.010,09
03 NO2 PPM,ALPINE,.002,.002,C,C,.001,.003,.006,.005,.007,.005,.004,.007,.005,.008,.009,.009,.008,.010,.014,.009,.005,.004,.002,.002,.006,.014,18
,CARMEL MT RCH,.007,.006,C,C,.010,.010,.015,.015,.012,.017,.019,.015,M,.016,.019,.019,.023,.020,.026,.028,.018,.016,.011,.008,.016,.028,19
,CHULA VISTA,.006,.012,C,C,.006,.007,.009,.016,.014,.014,.016,.009,.006,M,.007,.007,.007,.005,.005,.004,.007,.010,.010,.009,.009,.016,07
,DOWNTOWN SES,.007,.005,C,C,.013,.017,.017,.013,.013,.021,.024,.014,.014,.014,.012,.016,.022,.021,.023,.026,.009,.007,.038,.020,.017,.038,22
,EL CAJON LES,.010,.009,C,C,C,.009,.014,.012,.011,.011,.012,.011,.011,.012,.009,.011,.014,.020,.016,.011,.009,.007,.005,.007,.011,.020,17
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.007,.006,C,C,.009,.013,.013,.009,.008,.009,.012,.011,.011,.010,.011,.011,.011,.011,.011,.011,.011,.011,.008,.009,.010,.013,05
,OTAY MESA DVN,.008,.006,C,C,.022,.022,.012,.008,.008,.012,.017,.017,.010,.009,.008,.009,.010,.010,.008,.007,.007,.008,.008,.008,.011,.022,04
,PENDLETON,.004,.005,C,C,.006,,,M,M,.006,.005,.004,.007,.007,.007,.006,.005,.005,.003,.003,.002,.002,.003,.004,.005,.007,12
04 NO PPM,ALPINE,.000,.000,C,C,.000,.001,.001,.001,.003,.002,.001,.002,.001,.002,.002,.001,.000,.000,.001,.001,.000,.000,.000,.000,.001,.003,08
,CARMEL MT RCH,.001,.000,C,C,.003,.003,.032,.030,.017,.039,.032,.018,M,.012,.012,.008,.011,.010,.008,.014,.010,.005,.002,.001,.013,.039,09
,CHULA VISTA,.000,.000,C,C,.000,.000,.001,.007,.010,.010,.008,.002,.001,M,.001,.000,.000,.000,.000,.000,.000,.000,.000,.000,.002,.010,08
,DOWNTOWN SES,.000,.000,C,C,.001,.001,.003,.002,.003,.012,.016,.005,.003,.003,.002,.001,.001,.000,.000,.000,.000,.000,.001,.000,.002,.016,10
,EL CAJON LES,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.000,.000,C,C,.000,.001,.003,.002,.003,.005,.004,.003,.003,.001,.001,.001,.000,.000,.000,.000,.000,.000,.000,.000,.001,.005,09
,OTAY MESA DVN,.001,.001,C,C,.013,.012,.004,.007,.006,.009,.009,.008,.003,.002,.001,.001,.001,.001,.000,.001,.001,.001,.001,.001,.004,.013,04
,PENDLETON,.000,.000,C,C,.000,,,M,M,.004,.001,.000,.002,.003,.002,.001,.000,.000,.000,.000,.000,.000,.000,.000,.001,.004,09
06 CO PPM,CARMEL MT RCH,.3,.3,C,C,C,.4,1.0,.7,.5,.7,.7,.6,M,.8,.8,.7,.7,.7,.8,.9,.6,.5,.4,.3,.6,1.0,06
10 INTMP °C,ALPINE,26,26,26,26,26,26,26,25,25,24,24,24,24,24,24,24,24,25,25,25,26,26,26,26,25,26,00
,CARMEL MT RCH,26,26,26,27,26,26,26,26,26,25,25,25,25,25,25,25,25,25,26,26,26,26,26,26,26,27,03
,CHULA VISTA,24,25,25,25,24,24,24,24,25,25,25,25,25,25,25,25,24,24,24,24,24,24,24,24,24,25,01
,DOWNTOWN SES,24,23,24,23,24,24,24,24,23,23,22,22,22,22,22,22,22,23,23,23,23,23,23,24,23,24,00
,EL CAJON LES,24,24,25,24,24,24,24,24,25,25,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,25,02
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,22,22,22,22,22,21,21,21,21,22,24,25,24,24,24,24,24,25,24,23,22,22,22,21,23,25,11
,OTAY MESA DVN,26,26,26,26,25,26,26,26,26,26,26,25,25,24,24,24,24,24,25,25,26,25,26,25,25,26,00
,PENDLETON,25,25,25,25,25,,,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,00
11 PM2.5 µg/M3,ALPINE,.9,-.1,.2,2.8,4.9,6.5,4.9,3.8,1.3,-2.5,-2.3,.4,1.8,4.1,7.0,10.9,9.6,13.3,12.9,12.7,10.6,5.6,1.1,7.6,4.9,13.3,17
,DOWNTOWN SES,14.4,18.4,17.9,23.3,27.8,22.1,16.8,18.7,15.2,19.1,17.9,20.3,21.1,22.6,20.4,22.2,17.8,16.8,18.5,20.6,16.1,13.0,21.4,29.7,19.6,29.7,23
,EL CAJON LES,25.5,22.7,24.9,23.6,17.3,9.8,10.1,22.8,20.8,14.0,14.1,10.5,6.3,16.7,19.7,21.9,15.9,28.7,29.5,29.6,22.2,23.6,24.9,34.1,20.3,34.1,23
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OTAY MESA DVN,5.0,5.2,7.0,8.9,19.5,28.6,10.4,8.0,10.5,24.6,26.2,20.6,15.4,20.6,22.0,24.7,25.7,25.4,14.5,12.6,9.2,9.5,9.1,11.8,15.6,28.6,05
,PENDLETON,13.4,16.4,17.3,23.1,,,16.6,22.0,14.1,14.2,18.9,17.2,15.6,14.9,14.6,11.7,13.6,13.0,9.9,11.4,8.2,11.7,8.8,16.0,14.6,23.1,03
12 VWDR °,ALPINE,321,271,89,56,94,90,92,21,284,235,284,316,272,307,316,312,318,73,44,80,346,89,95,4,0,346,20
,CHULA VISTA,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,0,M,M
,DOWNTOWN SES,341,4,4,43,62,19,352,346,16,255,272,279,282,282,278,282,284,310,343,232,218,230,17,355,0,355,23
,EL CAJON LES,291,358,317,352,41,133,307,341,73,329,281,275,243,M,249,247,183,202,177,157,182,180,150,60,0,358,01
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,0,,
