Current Date:,11/11/2021,6:12 AM,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Daily Parameter Report
11/10/2021
,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Summary
Parameter,SiteName,,,,,,,,,,,,,,,,,,,,,,,,,Avg,Max,Hr. of Max
01 OZONE PPM,ALPINE,.037,.041,C,C,.031,.034,.023,.023,.026,.035,.039,.044,.048,<,.053,.053,.047,.046,.040,.039,.044,.049,.049,.049,.040,.053,14
,CHULA VISTA,.032,.032,C,C,.031,.029,.029,.031,.033,.034,.033,.035,.039,.041,.040,.037,.035,.024,.013,.002,.001,.001,.001,.001,.025,.041,13
,DOWNTOWN SES,.033,.033,C,C,.033,.031,.030,.031,.031,.032,.033,.037,.036,.037,.042,.041,.037,.029,.020,.020,.014,.009,.005,.003,.028,.042,14
,EL CAJON LES,.033,.034,C,C,C,.032,.032,.032,.034,.035,.038,.043,.047,.050,.046,.043,.039,.029,.010,.005,.006,.003,.002,.002,.028,.050,13
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.034,.032,.030,.031,.031,.033,.033,.033,.032,.033,.037,.041,.044,.043,.043,.042,.039,.031,.028,.028,.022,.019,.016,.007,.031,.044,12
,OTAY MESA DVN,.032,.032,C,C,.032,.032,.031,.030,.024,.031,.037,.039,.040,.039,.039,.037,.032,.018,.002,.004,.009,.009,.008,.002,.025,.040,12
,PENDLETON,.028,.027,C,C,.023,.021,.017,.019,.025,.035,<,.041,.042,.042,.041,.040,.041,.039,.036,.025,.023,.014,.012,.013,.028,.042,12
02 NOX PPM,ALPINE,.005,.005,C,C,.007,.005,.015,.015,.017,.010,.007,.006,.005,<,.004,.005,.009,.008,.014,.008,.005,.003,.001,.001,.007,.017,08
,CARMEL MT RCH,.008,.008,C,C,.017,.012,.004,.010,.034,.029,.019,.018,.028,.028,.029,.029,.034,.031,.029,.045,.039,.040,.039,.031,.026,.045,19
,CHULA VISTA,.004,.004,C,C,.004,.005,.007,.006,.006,.007,.010,.008,.006,.005,.010,.012,.010,.017,.021,.035,.038,.048,.053,.053,.017,.053,22
,DOWNTOWN SES,.004,.004,C,C,.005,.006,.008,.008,.008,.009,.010,.008,.013,.015,.010,.009,.011,.015,.020,.019,.025,.029,.033,.035,.014,.035,23
,EL CAJON LES,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.003,.003,.004,.005,.005,.004,.004,.004,.006,.008,.008,.008,.008,.007,.006,.006,.006,.010,.009,.008,.012,.012,.014,.018,.007,.018,23
,OTAY MESA DVN,.005,.003,C,C,.003,.004,.004,.005,.011,.007,.005,.006,.007,.008,.007,.010,.011,.026,.066,.049,.029,.032,.034,.064,.018,.066,18
,PENDLETON,.006,.005,C,C,.006,.006,.019,.010,.006,.004,<,.002,.002,.002,.002,.002,.002,.004,.007,.016,.015,.020,.018,.012,.008,.020,21
03 NO2 PPM,ALPINE,.005,.005,C,C,.007,.005,.012,.010,.011,.007,.005,.004,.004,<,.003,.004,.008,.007,.012,.008,.004,.002,.001,.001,.006,.012,06
