Current Date:,7/5/2019,6:12 AM,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Daily Parameter Report
7/4/2019
,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Summary
Parameter,SiteName,,,,,,,,,,,,,,,,,,,,,,,,,Avg,Max,Hr. of Max
01 OZONE PPM,ALPINE,.020,.018,C,C,.022,.023,.024,.025,.030,.036,.048,.061,.065,.060,.058,.057,.053,.049,.044,.037,.030,.025,.024,.017,.037,.065,12
,CHULA VISTA,.027,.027,C,C,.031,.032,.032,.034,.036,.038,.036,.037,.036,.036,.035,.035,.035,.033,.032,.033,.034,.031,.031,.029,.033,.038,09
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.028,.028,C,C,C,.021,.022,.025,.033,.043,.052,.051,.047,.046,.046,.044,.042,.039,.035,.030,.029,.026,.024,.024,.035,.052,10
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.027,.029,C,C,.026,.028,.031,.033,.037,.039,.043,.042,.040,.039,.039,.034,.035,.033,.034,.030,.029,.026,.026,.018,.032,.043,10
,OTAY MESA DVN,.018,.016,C,C,.012,.013,.015,.019,.027,.033,.040,.039,.040,.041,.039,.035,.035,.033,.030,.028,.029,.027,.025,.023,.028,.041,13
,PENDLETON,.029,.029,C,C,.026,.029,.029,.034,.037,.037,.035,.034,.033,.033,.035,.035,.034,.034,.034,.033,<,P,,,.032,.037,08
02 NOX PPM,ALPINE,.004,.004,C,C,.003,.003,.003,.003,.004,.003,.003,.004,.004,.003,.003,.003,.003,.003,.004,.005,.006,.006,.005,.007,.004,.007,23
,CARMEL MT RCH,.004,.004,C,C,C,.003,.004,.006,.009,.011,.012,.012,.010,.011,.010,.008,.008,.008,.008,.008,.010,.011,.011,.013,.009,.013,23
,CHULA VISTA,.003,.004,C,C,.002,.002,.003,.003,.002,.001,.001,.001,.001,.001,.000,.000,.001,.000,.000,.001,.001,.002,.002,.003,.002,.004,01
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.001,.001,C,C,C,.003,.004,.005,.005,.005,.004,.003,.003,.002,.002,.002,.003,.003,.003,.004,.004,.004,.005,.004,.003,.005,07
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.003,.003,C,C,.004,.004,.003,.003,.003,.003,.003,.003,.002,.002,.002,.004,.003,.005,.002,.003,.003,.005,.005,.008,.003,.008,23
,OTAY MESA DVN,.010,.010,C,C,.013,.014,.016,.019,.020,.022,.010,.003,.003,.003,.003,.002,.002,.002,.002,.002,.002,.002,.003,.005,.008,.022,09
,PENDLETON,.002,.003,C,C,.004,.004,.003,.002,.001,.001,.001,.001,.000,.000,.000,.000,.000,.000,.000,.001,.000,P,,,.001,.004,04
03 NO2 PPM,ALPINE,.004,.004,C,C,.003,.003,.002,.002,.003,.003,.003,.004,.004,.003,.003,.003,.003,.003,.004,.004,.005,.006,.005,.007,.004,.007,23
,CARMEL MT RCH,.004,.004,C,C,C,.003,.003,.005,.006,.008,.009,.007,.006,.007,.006,.005,.005,.005,.005,.006,.007,.008,.007,.010,.006,.010,23
,CHULA VISTA,.003,.004,C,C,.002,.002,.003,.003,.002,.001,.001,.001,.000,.001,.000,.000,.000,.000,.000,.001,.001,.002,.002,.003,.001,.004,01
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.001,.001,C,C,C,.003,.003,.004,.004,.004,.004,.002,.002,.002,.002,.002,.002,.002,.003,.004,.004,.004,.005,.004,.003,.005,22
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.003,.003,C,C,.004,.004,.003,.003,.003,.003,.003,.002,.002,.002,.002,.003,.003,.004,.002,.003,.003,.005,.005,.008,.003,.008,23
,OTAY MESA DVN,.009,.010,C,C,.011,.012,.013,.013,.013,.016,.007,.002,.002,.002,.002,.001,.001,.001,.001,.002,.001,.001,.002,.004,.006,.016,09
,PENDLETON,.002,.002,C,C,.004,.003,.003,.002,.001,.001,.001,.000,.000,.000,.000,.000,.000,.000,.000,.001,.000,P,,,.001,.004,04
04 NO PPM,ALPINE,.000,.000,C,C,.000,.000,.000,.001,.001,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.001,07
,CARMEL MT RCH,.000,.000,C,C,C,.000,.000,.001,.003,.003,.003,.004,.004,.004,.004,.003,.003,.003,.003,.003,.003,.004,.003,.003,.003,.004,11
,CHULA VISTA,.000,.000,C,C,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,00
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.000,.000,C,C,C,.000,.000,.001,.001,.001,.000,.000,.001,.000,.001,.000,.001,.001,.000,.000,.000,.000,.000,.000,.000,.001,07
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.000,.000,C,C,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.001,.001,.001,.000,.000,.000,.000,.000,.000,.000,.001,15
,OTAY MESA DVN,.001,.001,C,C,.002,.002,.004,.006,.006,.007,.003,.001,.001,.001,.001,.001,.001,.001,.001,.001,.001,.001,.001,.001,.002,.007,09
,PENDLETON,.000,.000,C,C,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,P,,,.000,.000,00
06 CO PPM,CARMEL MT RCH,.2,.2,C,C,C,.1,.1,.2,.2,.3,.3,.4,.3,.4,.3,.3,.3,.4,.3,.3,.4,.4,.4,.5,.3,.5,23
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
