Current Date:,7/26/2019,6:12 AM,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Daily Parameter Report
7/25/2019
,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Summary
Parameter,SiteName,,,,,,,,,,,,,,,,,,,,,,,,,Avg,Max,Hr. of Max
01 OZONE PPM,ALPINE,.050,.044,C,C,.036,.021,.027,.036,.041,M,.054,.066,.073,.073,.064,.058,.056,.047,.038,.032,.020,.021,.028,.038,.043,.073,12
,CHULA VISTA,.022,.020,C,C,.022,.019,.014,.012,.021,.021,.023,.032,.038,.036,.033,.031,.029,.027,.026,.024,.023,.017,.013,.017,.023,.038,12
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.020,.017,C,C,C,.013,.014,.013,.019,.041,.057,.049,.048,.049,.044,.040,.036,.032,.028,.025,.023,.022,.018,.017,.029,.057,10
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.005,.003,C,C,.012,.008,.006,M,M,M,M,M,.042,.046,.036,.033,.029,.030,.027,.024,.020,.015,.009,.007,.020,.046,13
,OTAY MESA DVN,.020,.010,C,C,.014,.012,.006,.009,.022,.035,.047,.051,.051,.038,.032,.031,.030,.027,.024,.021,.020,.018,.015,.014,.024,.051,11
,PENDLETON,.013,.021,.022,.020,.017,.010,.015,.015,.014,.018,.025,.029,.028,.029,.029,.029,.029,.032,.029,.026,.026,.023,.021,.024,.022,.032,17
02 NOX PPM,ALPINE,.002,.002,C,C,.006,.015,.010,.006,.004,M,.005,.005,.008,.006,.004,.003,.004,.005,.006,.007,.012,.010,.007,.004,.006,.015,05
,CARMEL MT RCH,.018,.021,C,C,C,.039,.016,.056,.063,.042,.033,.028,.031,.033,.022,.020,.016,.019,.018,.022,.021,.021,.020,.020,.028,.063,08
,CHULA VISTA,.003,.003,C,C,.002,.004,.010,.015,.012,.019,.012,.004,.002,.002,.002,.001,.001,.001,.001,.003,.003,.008,.012,.009,.006,.019,09
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.007,.006,C,C,C,.007,.008,.016,.022,.017,.009,.016,.009,.004,.004,.004,.004,.005,.005,.006,.006,.005,.006,.007,.008,.022,08
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.017,.021,C,C,.007,.013,.023,M,M,M,M,M,.007,.006,.006,.005,.006,.005,.006,.008,.011,.015,.018,.019,.011,.023,06
,OTAY MESA DVN,.007,.012,C,C,.006,.012,.036,.054,.035,.024,.010,.006,.005,.003,.003,.003,.004,.004,.005,.005,.005,.005,.006,.007,.012,.054,07
,PENDLETON,.010,.003,.002,.002,.003,.012,.009,.013,.010,.008,.003,.002,.004,.004,.005,.001,.001,.000,.000,.000,.000,.003,.004,.002,.004,.013,07
03 NO2 PPM,ALPINE,.002,.002,C,C,.006,.013,.008,.005,.003,M,.004,.004,.007,.006,.003,.003,.004,.005,.006,.007,.012,.010,.007,.004,.006,.013,05
,CARMEL MT RCH,.016,.017,C,C,C,.017,.012,.020,.023,.022,.019,.015,.016,.018,.014,.012,.008,.010,.010,.013,.013,.013,.013,.012,.015,.023,08
,CHULA VISTA,.003,.003,C,C,.002,.004,.008,.010,.008,.013,.008,.003,.002,.002,.001,.001,.001,.001,.001,.003,.003,.008,.012,.009,.005,.013,09
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.007,.006,C,C,C,.006,.006,.011,.015,.013,.008,.012,.007,.003,.003,.003,.003,.004,.005,.006,.005,.005,.006,.007,.007,.015,08
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.017,.020,C,C,.007,.012,.015,M,M,M,M,M,.006,.005,.005,.004,.005,.005,.006,.008,.011,.015,.018,.018,.010,.020,01
,OTAY MESA DVN,.006,.010,C,C,.005,.008,.016,.026,.025,.019,.008,.004,.003,.002,.002,.002,.002,.002,.003,.004,.004,.004,.005,.006,.008,.026,07
,PENDLETON,.010,.003,.002,.002,.003,.011,.006,.008,.007,.005,.002,.002,.002,.002,.002,.001,.001,.000,.000,.000,.000,.003,.004,.002,.003,.011,05
04 NO PPM,ALPINE,.000,.000,C,C,.000,.001,.001,.001,.001,M,.002,.000,.001,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.002,10
,CARMEL MT RCH,.002,.004,C,C,C,.021,.005,.036,.040,.020,.014,.013,.015,.016,.009,.008,.007,.009,.008,.009,.008,.007,.007,.007,.013,.040,08
,CHULA VISTA,.000,.000,C,C,.000,.000,.002,.005,.004,.006,.004,.001,.000,.000,.001,.000,.000,.000,.000,.000,.000,.000,.000,.000,.001,.006,09
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.000,.000,C,C,C,.001,.002,.005,.007,.004,.002,.003,.002,.001,.001,.001,.001,.001,.001,.001,.001,.000,.001,.001,.002,.007,08
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.000,.001,C,C,.000,.001,.008,M,M,M,M,M,.001,.001,.001,.001,.001,.001,.000,.000,.000,.000,.000,.001,.001,.008,06
,OTAY MESA DVN,.001,.002,C,C,.001,.004,.020,.028,.010,.005,.002,.002,.002,.001,.002,.001,.001,.001,.001,.001,.001,.001,.001,.001,.004,.028,07
,PENDLETON,.000,.000,.000,.000,.000,.001,.003,.005,.004,.003,.001,.000,.002,.002,.004,.000,.000,.000,.000,.000,.000,.000,.000,.000,.001,.005,07
06 CO PPM,CARMEL MT RCH,.4,.3,C,C,C,.5,.3,.8,.8,.5,.5,.4,.5,.6,.3,.3,.3,.5,.5,.5,.5,.5,.5,.3,.5,.8,07
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
10 INTMP °C,ALPINE,24,24,24,24,24,24,24,24,24,22,23,23,23,23,23,23,23,23,23,23,24,24,24,24,24,24,00
,CARMEL MT RCH,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,00
,CHULA VISTA,25,25,25,25,24,25,25,25,25,25,25,25,25,25,25,25,25,25,24,25,25,25,25,25,25,25,00
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,25,26,25,25,25,25,25,26,25,25,25,25,25,25,24,25,25,25,25,25,25,25,25,25,25,26,01
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,24,24,24,24,24,24,24,25,25,24,24,24,24,24,24,24,24,24,24,24,24,24,24,25,24,25,07
,OTAY MESA DVN,26,26,25,26,26,26,26,26,25,25,25,24,24,24,24,24,24,24,24,25,25,26,26,26,25,26,00
,PENDLETON,24,24,24,24,24,24,24,24,24,24,24,23,23,23,23,23,23,23,23,24,24,24,24,24,24,24,00
,SAN YSIDRO,,,,,,,,,,,,,,,,,,,,,,,,,,,
11 PM2.5 µg/M3,ALPINE,6.8,5.3,5.4,7.8,6.3,8.5,7.0,8.0,7.6,3.8,6.8,10.7,14.4,13.1,8.8,7.8,7.4,11.2,11.1,12.8,15.4,12.8,13.1,9.7,9.2,15.4,20
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,12.9,14.4,15.5,15.5,14.4,16.6,15.6,14.9,17.7,17.9,17.7,8.8,18.8,14.6,10.1,10.1,11.4,13.0,12.7,15.5,15.8,17.7,19.3,18.5,14.9,19.3,22
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OTAY MESA DVN,15.8,16.8,7.1,8.8,9.0,13.7,23.3,40.2,35.9,26.1,22.0,16.1,13.3,8.0,7.6,7.5,17.1,19.4,13.8,16.3,14.8,18.9,17.4,12.7,16.7,40.2,07
,PENDLETON,12.5,11.7,12.1,11.7,10.0,7.6,11.9,16.4,13.4,11.3,12.8,14.6,M,13.9,14.1,15.7,13.2,11.5,19.4,12.5,10.5,9.4,15.9,11.6,12.7,19.4,18
,SAN YSIDRO,,,,,,,,,,,,,,,,,,,,,,,,,,,
12 VWDR °,ALPINE,87,86,344,71,311,114,104,255,286,281,288,265,268,255,279,266,294,303,307,329,201,15,79,84,216,344,02
,CHULA VISTA,234,232,244,249,295,174,202,325,334,257,248,250,251,252,253,262,259,258,266,256,298,348,331,246,264,348,21
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,198,109,203,214,216,123,74,265,281,268,264,248,238,218,236,228,251,243,206,211,190,164,182,225,211,281,08
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,158,218,266,285,267,96,108,302,333,283,255,231,228,221,236,226,235,239,232,204,165,129,203,287,225,333,08
,OTAY MESA DVN,4,344,334,328,333,49,150,145,321,304,298,300,303,300,297,303,308,309,316,315,342,337,359,299,279,359,22
,PENDLETON,318,265,310,318,274,108,173,350,269,266,270,262,246,244,221,212,212,206,192,192,194,169,326,257,244,350,07
13 SIGTHETA °,ALPINE,11,24,33,17,20,11,15,47,25,27,30,30,30,31,28,32,26,22,22,44,29,47,22,12,26,47,07
,CHULA VISTA,22,17,17,24,27,29,42,32,32,23,20,23,27,26,19,20,20,25,23,27,55,37,32,34,27,55,20
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,25,53,20,18,36,25,50,46,46,55,25,24,25,27,22,22,25,22,16,24,27,25,26,40,30,55,09
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,41,39,10,12,24,44,23,31,25,28,19,15,19,23,19,17,17,20,14,13,12,16,37,18,22,44,05
,OTAY MESA DVN,14,63,19,16,16,56,41,40,24,24,15,12,20,23,15,15,14,11,14,15,10,42,47,40,25,63,01
,PENDLETON,20,30,22,29,44,39,28,54,26,18,16,17,9,16,20,17,16,16,18,17,16,27,36,26,24,54,07
14 VWSP MPH,ALPINE,1.1,.4,.8,.5,.7,1.3,2.0,.6,3.6,4.1,4.3,5.5,4.8,5.4,5.7,5.2,4.9,4.8,2.5,.9,.7,1.1,.8,2.1,2.7,5.7,14
,CHULA VISTA,1.9,3.2,3.3,2.1,1.3,1.0,.6,1.2,1.9,4.2,6.0,6.8,5.6,5.6,7.4,7.2,6.5,4.5,3.0,2.0,.7,.5,.7,1.6,3.3,7.4,14
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.4,.5,1.4,1.6,1.3,1.2,.9,1.0,1.1,2.4,5.5,6.3,6.2,5.7,6.1,6.7,5.2,4.4,4.1,2.8,2.0,.8,1.4,.9,2.9,6.7,15
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,1.5,1.0,3.6,3.0,1.3,1.6,1.4,2.0,2.8,4.0,6.7,10.0,8.4,7.0,7.7,8.5,7.3,5.4,4.6,4.4,3.1,2.5,.1,2.5,4.2,10.0,11
,OTAY MESA DVN,2.6,.8,4.3,4.1,3.3,.3,1.9,.7,3.2,4.7,8.0,9.2,7.3,6.1,8.3,6.9,8.6,8.7,5.3,4.2,4.5,1.8,.6,.9,4.4,9.2,11
,PENDLETON,.5,.8,2.7,2.6,.1,1.2,2.6,.9,1.7,2.0,3.2,3.4,8.0,6.3,5.5,6.5,6.3,5.4,4.6,3.4,3.6,.1,.0,.0,3.0,8.0,12
15 SWSP MPH,ALPINE,1.2,.6,1.1,.6,.7,1.3,2.1,2.1,4.0,4.6,5.1,6.3,5.5,6.3,6.5,5.9,5.5,5.1,2.7,1.0,1.2,1.2,1.1,2.1,3.1,6.5,14
,CHULA VISTA,2.0,3.4,3.4,2.4,1.5,1.2,1.4,1.6,2.3,4.6,6.4,7.4,6.2,6.2,7.9,7.7,7.1,4.9,3.3,2.3,1.2,.8,.9,1.8,3.7,7.9,14
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.5,1.0,1.6,1.7,1.4,1.3,1.3,1.3,1.7,3.2,6.1,6.9,6.9,6.3,6.7,7.8,5.8,5.1,4.4,3.0,2.2,1.4,1.5,1.0,3.3,7.8,15
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,2.2,2.6,3.7,3.1,1.5,2.0,2.2,2.3,3.3,4.5,7.1,10.4,8.9,7.6,8.1,8.9,7.6,5.7,4.8,4.7,3.2,2.6,1.3,3.0,4.6,10.4,11
