Current Date:,7/17/2019,6:12 AM,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Daily Parameter Report
7/16/2019
,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Summary
Parameter,SiteName,,,,,,,,,,,,,,,,,,,,,,,,,Avg,Max,Hr. of Max
01 OZONE PPM,ALPINE,.051,.050,.050,.049,.050,.049,.041,.043,.046,M,.066,.068,.061,.052,.046,.046,.044,.039,.032,.023,.016,.016,.011,.027,.042,.068,11
,CHULA VISTA,.030,.029,C,C,.023,.020,.017,.015,M,.030,.029,.026,.025,.023,.024,.024,.023,.022,.023,.024,.022,.018,.015,.019,.022,.030,00
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.010,.009,C,C,C,.007,.012,.018,.031,.039,.048,.059,.046,.038,.031,.031,.028,.025,.023,.020,.019,.018,.019,.020,.026,.059,11
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.009,.006,C,C,.012,.008,.011,.016,.021,.026,M,.033,.027,.022,.023,.023,.025,.023,.020,.018,.019,.021,.021,.019,.019,.033,11
,OTAY MESA DVN,.019,.017,C,C,.014,.010,M,M,.028,.035,M,M,M,M,.028,.026,.025,.022,.020,.018,.017,.016,.014,.014,.020,.035,09
,PENDLETON,.014,.018,C,C,.014,.011,.011,.022,.034,.038,.038,.036,.038,.028,.022,.022,.023,.025,.028,.030,.029,.029,.026,.026,.025,.038,09
02 NOX PPM,ALPINE,.000,.000,.000,.001,.001,.002,.006,.010,.007,M,.008,.005,.003,.002,.002,.003,.004,.004,.005,.007,.014,.013,.017,.006,.005,.017,22
,CARMEL MT RCH,.023,.032,C,C,C,.064,.060,.064,M,M,M,M,M,M,M,.021,.019,.023,.020,.021,.022,.016,.016,.011,.029,.064,05
,CHULA VISTA,.003,.004,C,C,.006,.007,.011,.018,M,.005,.003,.003,.002,.001,.002,.001,.001,.001,.001,.001,.003,.005,.008,.005,.004,.018,07
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.011,.010,C,C,C,.010,.009,.014,.013,.011,.009,.006,.004,.003,.003,.003,.003,.003,.003,.003,.004,.004,.003,.002,.006,.014,07
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.015,.017,C,C,.013,.017,.018,.023,.025,.020,M,M,.007,.007,.006,.007,.007,.007,.008,.007,.007,.006,.004,.005,.011,.025,08
,OTAY MESA DVN,.007,.006,C,C,.006,.012,M,M,.021,.018,M,M,M,M,.005,.004,.004,.004,.004,.003,.004,.005,.005,.006,.007,.021,08
,PENDLETON,.015,.009,C,C,.012,.015,.014,.013,.005,.004,.003,.002,.001,.001,.001,.001,.001,.001,.000,.001,.001,.001,.002,.002,.005,.015,00
03 NO2 PPM,ALPINE,.001,.000,.000,.001,.001,.001,.005,.008,.005,M,.007,.005,.003,.002,.002,.003,.003,.004,.004,.007,.013,.013,.016,.006,.005,.016,22
,CARMEL MT RCH,.018,.022,C,C,C,.020,.021,.023,M,M,M,M,M,M,M,.010,.009,.011,.010,.012,.012,.010,.010,.008,.014,.023,07
,CHULA VISTA,.003,.004,C,C,.006,.007,.009,.013,M,.004,.002,.002,.001,.001,.001,.001,.001,.001,.001,.001,.003,.005,.008,.005,.004,.013,07
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.011,.010,C,C,C,.007,.006,.008,.009,.008,.007,.005,.003,.002,.002,.002,.002,.002,.002,.003,.003,.004,.003,.002,.005,.011,00
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.014,.016,C,C,.012,.014,.014,.015,.015,.013,M,M,.005,.004,.004,.004,.005,.006,.007,.007,.007,.006,.004,.005,.009,.016,01
,OTAY MESA DVN,.006,.005,C,C,.005,.008,M,M,.014,.013,M,M,M,M,.003,.002,.002,.002,.002,.002,.003,.004,.004,.005,.005,.014,08
,PENDLETON,.014,.009,C,C,.011,.013,.011,.009,.004,.003,.002,.001,.001,.001,.001,.000,.000,.000,.000,.001,.001,.001,.002,.002,.004,.014,00
04 NO PPM,ALPINE,.000,.000,.000,.000,.000,.000,.001,.002,.001,M,.001,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.002,07
,CARMEL MT RCH,.005,.011,C,C,C,.044,.039,.041,M,M,M,M,M,M,M,.011,.010,.012,.010,.009,.010,.007,.006,.002,.016,.044,05
,CHULA VISTA,.000,.000,C,C,.000,.000,.002,.005,M,.002,.001,.001,.001,.000,.001,.000,.000,.000,.000,.000,.000,.000,.000,.000,.001,.005,07
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.000,.000,C,C,C,.002,.004,.005,.004,.003,.002,.001,.001,.001,.001,.001,.001,.001,.001,.000,.001,.000,.000,.000,.001,.005,07
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.000,.001,C,C,.001,.002,.004,.008,.010,.007,M,M,.002,.002,.002,.002,.002,.002,.001,.000,.000,.000,.000,.000,.002,.010,08
,OTAY MESA DVN,.001,.001,C,C,.001,.004,M,M,.006,.005,M,M,M,M,.002,.002,.001,.002,.001,.001,.001,.001,.001,.001,.002,.006,08
,PENDLETON,.002,.000,C,C,.001,.002,.004,.004,.001,.001,.000,.000,.000,.000,.000,.001,.000,.000,.000,.000,.000,.000,.000,.000,.001,.004,06
06 CO PPM,CARMEL MT RCH,.4,.5,C,C,C,.7,.7,.7,M,M,C,C,M,M,M,.4,.4,.5,.4,.4,.3,.3,.3,.2,.4,.7,05
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
10 INTMP °C,ALPINE,24,24,24,24,25,25,24,24,23,23,22,23,23,23,23,23,23,24,24,24,24,24,25,25,24,25,04
,CARMEL MT RCH,26,26,26,26,26,26,26,25,25,25,25,25,25,25,25,25,25,25,25,25,26,26,26,26,25,26,00
,CHULA VISTA,24,25,25,24,25,24,25,25,25,24,25,25,25,25,25,25,25,25,25,25,25,25,24,25,25,25,01
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,24,24,24,24,24,24,24,24,24,24,24,23,23,23,23,23,22,22,23,23,23,23,23,23,23,24,00
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,25,25,25,25,25,25,25,25,25,25,24,24,24,24,24,24,24,24,24,25,25,25,25,25,25,25,00
,OTAY MESA DVN,26,27,27,27,27,27,27,27,27,26,26,26,25,24,24,24,25,25,25,26,26,26,27,27,26,27,01
,PENDLETON,24,24,24,24,24,24,24,24,24,25,26,26,26,26,26,26,26,25,25,24,24,24,24,24,25,26,10
,SAN YSIDRO,,,,,,,,,,,,,,,,,,,,,,,,,,,
11 PM2.5 µg/M3,ALPINE,2.6,2.0,2.4,3.3,3.7,3.0,1.8,1.6,1.6,5.4,10.0,11.9,8.8,5.7,5.4,11.8,11.2,12.2,15.2,11.3,16.5,10.4,9.2,7.4,7.2,16.5,20
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,13.5,14.7,14.0,10.0,9.9,11.1,10.1,12.0,20.9,16.7,10.9,17.1,13.0,15.9,11.4,12.9,13.2,11.0,11.3,9.4,14.2,10.8,9.4,12.4,12.7,20.9,08
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OTAY MESA DVN,11.1,7.6,4.4,8.7,9.0,5.9,10.4,22.8,26.6,23.6,21.0,17.3,19.4,M,M,16.2,11.7,14.8,15.2,14.2,9.5,12.6,9.5,12.6,13.8,26.6,08
,PENDLETON,9.2,12.1,8.8,10.7,10.1,10.7,19.4,17.9,13.3,9.9,11.5,7.7,8.1,13.4,9.3,9.7,8.7,7.8,7.1,6.5,4.9,7.0,14.0,12.1,10.4,19.4,06
,SAN YSIDRO,,,,,,,,,,,,,,,,,,,,,,,,,,,
12 VWDR °,ALPINE,102,87,105,95,98,102,111,169,225,274,281,271,266,274,241,273,283,302,298,259,107,239,92,3,190,302,17
,CHULA VISTA,228,265,229,222,212,253,279,308,277,261,253,244,247,249,250,253,244,250,255,235,221,234,212,237,247,308,07
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,91,40,109,107,214,238,270,162,181,261,232,215,222,216,221,210,221,223,207,199,212,207,184,208,194,270,06
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,62,46,75,58,91,144,164,155,176,201,185,201,195,192,196,186,194,198,183,167,162,162,167,147,154,201,09
,OTAY MESA DVN,349,347,354,352,344,354,338,326,300,304,303,302,298,302,298,297,290,300,309,332,343,348,350,335,324,354,02
,PENDLETON,55,55,63,89,74,91,71,141,207,212,218,231,215,204,209,211,225,218,181,187,179,152,155,160,158,231,11
13 SIGTHETA °,ALPINE,12,12,11,12,14,13,13,24,24,26,33,28,28,27,29,32,39,29,19,41,17,31,24,21,23,41,19
,CHULA VISTA,36,26,55,46,34,40,37,48,30,26,24,21,21,22,24,26,23,20,22,25,31,25,34,25,30,55,02
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,53,61,27,18,47,43,40,53,48,50,30,24,24,21,26,19,21,21,15,18,18,17,19,37,31,61,01
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,12,20,43,17,18,30,29,41,29,30,23,21,20,20,21,21,18,21,15,11,17,33,21,24,23,43,02
,OTAY MESA DVN,9,23,11,21,21,9,16,18,21,23,15,30,20,19,19,15,17,12,12,13,24,9,14,16,17,30,11
,PENDLETON,15,12,13,15,15,16,31,40,21,18,21,20,20,20,19,23,22,22,23,22,22,18,19,21,20,40,07
14 VWSP MPH,ALPINE,1.4,1.4,1.1,1.3,1.5,2.2,3.4,1.7,2.9,3.4,4.3,5.2,6.1,5.9,4.9,4.1,2.8,3.1,2.1,.4,1.2,.3,.9,1.2,2.6,6.1,12
,CHULA VISTA,1.4,1.3,.8,.8,1.2,1.3,1.5,1.7,3.1,5.1,5.6,7.6,8.9,8.7,7.5,6.1,5.8,5.3,4.5,3.0,2.3,2.8,2.3,2.9,3.8,8.9,12
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.5,.1,.3,.7,.3,.5,.2,1.1,1.0,2.8,4.6,5.5,6.1,6.6,5.9,6.2,5.6,4.9,5.4,3.4,2.9,2.7,2.9,1.8,3.0,6.6,13
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,2.2,1.0,.6,1.0,1.8,2.2,2.7,3.3,3.8,4.8,6.8,8.0,8.8,8.5,7.9,6.8,6.5,5.6,5.8,6.3,4.7,3.1,3.6,4.2,4.6,8.8,12
,OTAY MESA DVN,2.5,1.2,2.5,1.0,1.5,2.3,2.8,3.5,3.5,4.5,7.2,4.9,7.1,8.1,8.3,9.0,6.5,7.3,6.7,4.5,3.0,3.8,2.9,3.2,4.5,9.0,15
,PENDLETON,2.4,2.7,2.9,2.4,2.2,2.1,2.0,1.5,4.8,6.0,5.7,6.2,6.5,6.5,6.7,5.3,5.1,4.3,3.5,3.7,4.4,4.5,4.3,5.2,4.2,6.7,14
