Current Date:,4/22/2022,6:12 AM,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Daily Parameter Report
4/21/2022
,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Summary
Parameter,SiteName,,,,,,,,,,,,,,,,,,,,,,,,,Avg,Max,Hr. of Max
01 OZONE PPM,ALPINE,.039,.040,C,C,.038,.035,.040,.035,M,M,M,M,M,M,M,M,M,.043,.040,.040,.040,.039,.039,.038,.038,.043,17
,PENDLETON,25,25,25,25,25,25,25,25,25,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,25,00
11 PM2.5 µg/M3,ALPINE,2.9,1.1,2.5,1.2,1.5,2.6,2.1,-1.9,-7.8,-5.9,-2.3,-.1,4.5,4.9,4.2,6.3,5.4,3.3,1.9,4.5,2.0,1.6,3.3,1.9,1.6,6.3,15
,DOWNTOWN SES,6.1,5.3,5.0,4.6,4.0,4.2,4.2,4.3,6.2,5.9,5.4,3.6,5.7,7.5,5.7,2.6,3.1,1.3,2.4,4.6,6.9,4.9,2.8,4.3,4.6,7.5,13
,EL CAJON LES,4.2,2.9,2.3,4.2,3.1,3.0,9.8,8.7,9.4,8.0,4.4,6.0,5.4,4.1,2.3,-.1,4.4,5.3,4.1,2.7,2.5,2.1,3.6,3.2,4.4,9.8,06
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OTAY MESA DVN,3.0,3.1,4.6,6.2,3.8,3.0,5.6,5.4,7.1,2.3,2.9,2.6,4.6,6.2,4.7,3.9,3.2,1.0,-1.0,.3,.1,.1,4.2,4.0,3.3,7.1,08
,PENDLETON,2.0,2.2,2.1,2.1,.2,-.1,3.0,3.7,2.7,2.4,2.7,3.6,4.8,3.7,1.7,1.0,2.0,1.5,1.5,2.2,5.0,7.2,6.8,4.5,2.8,7.2,21
12 VWDR °,ALPINE,92,14,91,36,89,315,146,254,297,256,271,292,272,272,277,278,282,276,281,283,283,261,265,261,0,315,05
,CHULA VISTA,67,49,51,68,44,52,54,35,345,269,262,263,266,275,278,286,284,273,270,301,300,281,272,256,0,345,08
,DOWNTOWN SES,50,17,35,40,17,58,58,3,285,288,275,293,286,289,291,291,290,282,291,324,329,309,280,233,0,329,20
,EL CAJON LES,88,79,67,105,67,104,86,6,308,293,215,259,253,268,276,272,287,272,275,282,282,275,258,244,0,308,08
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,0,,
,KEARNY MESA,36,46,38,41,46,53,47,348,347,310,296,298,298,297,286,300,299,296,301,300,298,275,270,265,0,348,07
,OTAY MESA DVN,35,96,37,41,25,31,18,341,320,291,290,298,278,284,290,284,280,280,290,303,309,312,276,268,0,341,07
,PENDLETON,26,18,47,37,33,66,54,55,245,255,264,258,258,261,270,281,276,278,299,309,309,305,268,240,0,309,19
13 SIGTHETA °,ALPINE,16,34,27,18,23,23,38,42,37,44,37,32,41,33,27,28,30,30,25,24,25,25,28,29,30,44,09
,CHULA VISTA,21,21,23,16,22,17,20,25,37,24,23,19,19,20,19,20,19,20,18,20,22,23,19,20,21,37,08
,DOWNTOWN SES,16,23,15,24,26,45,31,39,56,25,24,19,26,22,23,25,22,18,20,23,22,23,25,21,26,56,08
,EL CAJON LES,19,15,28,20,31,14,19,48,53,41,65,47,42,21,25,20,20,20,17,20,21,23,18,19,28,65,10
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,15,10,12,18,13,31,28,31,52,48,35,19,17,14,16,14,14,12,10,10,13,12,12,13,20,52,08
,OTAY MESA DVN,22,49,17,9,23,13,20,17,28,32,18,18,18,14,13,13,13,10,10,11,13,17,11,34,18,49,01
,PENDLETON,11,8,13,9,10,10,12,24,24,15,15,13,14,14,14,15,15,16,14,11,12,15,18,14,14,24,07
14 VWSP MPH,ALPINE,.9,1.3,1.0,.9,.4,.7,.3,.8,2.4,3.3,3.9,5.4,4.2,6.2,6.4,7.0,4.9,4.8,3.9,4.5,3.9,2.1,2.8,2.9,.0,7.0,15
,CHULA VISTA,.9,.9,.9,2.5,2.2,3.3,3.6,3.9,2.6,5.5,6.3,9.0,9.3,10.9,10.4,10.2,8.2,6.8,5.7,6.1,4.5,2.9,3.7,3.6,.0,10.9,13
,DOWNTOWN SES,1.5,1.3,2.1,1.8,1.8,.7,2.0,3.0,2.1,5.4,6.5,9.2,8.2,9.7,9.2,9.0,7.9,7.1,5.9,5.8,4.9,3.8,3.5,3.7,.0,9.7,13
,EL CAJON LES,2.1,2.9,1.0,2.7,.8,1.9,2.4,1.1,1.9,2.4,1.8,4.0,5.0,9.6,7.8,9.8,7.4,7.3,6.3,6.1,4.0,2.9,4.3,3.4,.0,9.8,15
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,.0,,
,KEARNY MESA,1.8,2.0,2.3,3.0,2.3,1.1,2.5,3.8,2.5,4.4,6.3,10.1,11.3,13.9,13.0,13.1,9.6,8.9,7.9,7.7,5.4,4.3,5.1,4.5,.0,13.9,13
,OTAY MESA DVN,3.1,.6,1.9,3.2,2.2,4.0,3.9,6.1,3.8,4.7,7.1,9.9,10.6,14.4,13.2,14.7,12.3,10.8,7.1,6.1,5.5,3.0,4.3,4.2,.0,14.7,15
,PENDLETON,3.7,4.6,5.0,4.8,5.5,5.0,5.5,3.2,3.7,6.0,7.0,9.7,10.4,10.3,9.0,5.6,5.6,5.9,5.7,8.1,5.3,3.5,2.0,3.3,.0,10.4,12
15 SWSP MPH,ALPINE,1.0,1.7,1.1,1.1,.4,.8,1.7,2.2,3.0,4.1,4.8,6.4,5.2,7.1,7.1,7.8,5.6,5.3,4.3,4.8,4.2,2.4,3.3,3.3,3.7,7.8,15
,CHULA VISTA,1.0,1.0,1.1,2.7,2.4,3.5,3.9,4.4,3.5,5.9,6.8,9.5,9.8,11.7,10.9,11.0,8.7,7.3,6.0,6.5,4.8,3.3,3.9,4.0,5.6,11.7,13
,DOWNTOWN SES,1.7,1.4,2.2,2.1,2.0,1.0,2.6,3.8,3.2,5.9,7.2,9.7,9.1,10.4,10.0,9.8,8.6,7.4,6.3,6.2,5.4,4.4,3.8,4.1,5.3,10.4,13
,EL CAJON LES,2.3,3.0,1.2,2.9,1.7,2.0,2.5,2.5,2.7,3.4,3.6,5.5,6.2,10.2,8.6,10.4,8.2,7.7,6.5,6.4,4.4,3.4,4.5,3.8,4.7,10.4,15
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,2.0,2.1,2.6,3.4,2.4,1.3,3.1,4.4,3.5,5.5,7.5,10.7,11.9,14.5,13.6,13.5,9.9,9.1,8.1,7.9,5.6,4.6,5.2,4.6,6.5,14.5,13
,OTAY MESA DVN,3.4,1.0,2.0,3.4,2.8,4.1,4.3,6.3,4.2,5.5,7.5,10.5,11.2,14.9,13.6,15.1,12.6,11.0,7.2,6.2,5.7,3.5,4.4,4.4,6.9,15.1,15
,PENDLETON,3.9,4.7,5.2,4.9,5.6,5.0,5.6,3.6,3.9,6.2,7.2,9.9,10.6,10.6,9.3,5.8,5.8,6.2,5.9,8.3,5.4,3.7,2.2,3.4,6.0,10.6,12
16 AMBTEMP °F,ALPINE,48.1,48.1,48.2,48.5,48.4,47.2,48.2,52.6,55.9,60.5,63.9,65.4,67.7,68.4,65.4,62.8,60.1,57.5,54.4,52.8,51.6,51.8,51.8,51.5,55.5,68.4,13
,CARMEL MT RCH,52.1,51.2,50.6,50.0,50.2,50.2,52.4,56.7,59.9,63.0,66.6,67.2,67.4,66.2,65.1,63.9,63.1,61.8,58.4,57.9,57.8,57.8,56.6,56.2,58.4,67.4,12
,CHULA VISTA,56.0,54.5,53.7,53.3,52.2,52.3,55.8,58.9,61.6,63.9,65.2,66.1,66.1,65.5,65.0,64.6,63.9,62.7,60.8,60.7,60.9,60.9,60.2,59.8,60.2,66.1,11
,DOWNTOWN SES,56.8,56.3,55.6,54.8,54.2,54.2,56.8,59.7,62.1,63.6,65.8,66.3,66.4,66.0,65.2,64.7,63.7,62.4,61.2,60.8,60.7,60.7,60.2,59.8,60.8,66.4,12
,EL CAJON LES,53.0,51.6,50.8,49.2,49.0,48.6,52.4,58.0,61.0,65.8,69.2,71.8,72.8,71.8,70.3,67.9,66.0,64.0,61.4,59.8,60.1,59.9,59.4,59.2,60.5,72.8,12
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,52.6,51.7,50.6,50.4,50.8,50.8,55.7,58.5,61.7,65.2,67.3,68.2,67.9,66.3,65.4,64.2,63.2,61.9,59.5,59.6,59.6,59.5,59.1,58.5,59.5,68.2,11
,OTAY MESA DVN,53.5,52.4,52.2,52.2,50.6,51.1,54.3,57.1,60.4,64.5,67.0,67.4,68.7,67.0,65.0,64.0,63.1,60.6,57.8,57.0,58.0,57.6,56.7,55.9,58.9,68.7,12
