Current Date:,4/28/2022,11:08 PM
,,,,,,,,8 Hour Rolling Average Report
4/27/2022
,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Grand Total
Parameter,Site Name,,,,,,,,,,,,,,,,,,,,,,,,,Avg,Max,Hr. of Max
01 OZONE PPM,ALPINE,.035,,,,,,,,,,,.058,.055,.053,.049,.045,.042,.04,.038,.037,.036,.035,.035,.036,0.042,0.058,11
,CHULA VISTA,.041,.042,.043,.044,.045,.046,.047,.048,.048,.047,.047,.046,.045,.045,.044,.044,.044,.044,.045,.045,.045,.045,.045,.045,0.045,0.048,07
,DOWNTOWN SES,.044,.045,.045,.045,.045,.045,.046,.047,.046,.046,.045,.045,.044,.044,.044,.043,.044,.044,.045,.045,.045,.045,.045,.044,0.044,0.047,07
,EL CAJON LES,,,,.044,.046,.047,.049,.05,.051,.051,.051,.049,.047,.045,.044,.042,.04,.039,.038,.038,.038,,,,0.044,0.051,08
,KEARNY MESA,.043,.044,.044,.045,.046,.047,.048,.049,.049,.049,.048,.046,.045,.044,.043,.043,.043,.043,.044,.044,.045,.045,.044,.044,0.045,0.049,07
,OTAY MESA DVN,.033,.034,.035,.038,.039,.041,.042,.045,.047,.047,.047,.045,.043,.042,.04,.039,.038,.037,.038,.038,.038,.039,.04,.04,0.04,0.047,08
,PENDLETON,.049,.049,.048,.048,.048,.048,.048,.047,.046,.046,.046,.046,.046,.046,.046,.046,.046,.046,.046,.046,.046,.046,.045,.045,0.046,0.049,00
