,OTAY MESA DVN,-.018,-.027,C,C,.913,3.086,28.429,24.647,8.327,6.509,2.762,1.121,.340,.326,.341,.479,.299,.157,-.007,-.016,.045,-.006,.034,.009,3.534,28.429,06
,PENDLETON,-.075,-.002,C,C,.938,2.906,20.282,5.050,4.106,2.028,.116,-.070,2.972,2.666,.028,-.091,-.146,-.153,-.101,-.155,-.083,-.027,.006,2.349,1.934,20.282,06
06 CO PPM,CARMEL MT RCH,.3,.4,C,C,.5,.4,1.0,.5,.6,.6,.5,.6,.6,.7,.6,.5,.6,.7,.5,.5,.6,.5,.7,.6,.6,1.0,06
10 INTMP °C,ALPINE,27,27,27,28,27,27,27,26,25,25,25,25,25,25,25,25,25,25,25,25,26,26,26,26,26,28,03
,CARMEL MT RCH,25,25,25,26,26,25,25,26,25,25,25,24,25,24,24,24,24,24,25,25,25,25,26,26,25,26,03
,CHULA VISTA,25,25,25,25,24,24,24,24,25,25,26,27,27,27,27,27,27,27,27,27,27,27,26,26,26,27,11
,DOWNTOWN SES,26,26,26,25,25,25,26,26,25,25,25,24,24,24,24,24,24,25,25,25,25,25,25,25,25,26,00
,EL CAJON LES,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,00
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,24,24,24,25,24,24,24,24,25,25,25,25,25,25,25,25,25,25,25,25,25,25,24,25,25,25,03
,OTAY MESA DVN,26,26,26,26,26,26,26,26,26,26,26,26,25,25,25,25,25,24,24,25,25,26,26,26,26,26,00
,PENDLETON,25,25,25,25,25,25,25,25,25,25,24,24,24,24,24,25,25,25,25,25,25,25,25,25,25,25,00
11 PM2.5 µg/M3,ALPINE,6.6,9.8,9.4,12.6,7.5,6.2,7.2,4.4,1.4,1.7,11.4,9.1,21.4,14.5,14.0,14.4,14.8,14.7,16.4,16.7,14.7,18.1,13.6,16.0,11.5,21.4,12
,DOWNTOWN SES,12.5,18.8,18.3,10.8,8.9,11.9,14.1,18.1,18.4,19.7,20.8,16.3,18.3,14.3,15.2,17.0,15.8,11.5,11.3,9.3,10.2,10.4,8.5,10.1,14.1,20.8,10
,EL CAJON LES,7.6,7.1,5.6,7.3,7.1,11.8,14.7,16.2,12.6,24.8,27.1,21.5,23.4,19.9,16.0,13.5,12.7,M,15.3,17.5,19.5,19.3,14.3,15.9,15.2,27.1,10
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OTAY MESA DVN,4.5,12.0,23.4,31.3,13.0,11.0,37.6,23.0,22.2,27.1,17.9,26.0,14.9,17.3,13.8,13.6,15.1,12.2,12.6,10.7,15.5,20.2,19.2,22.7,18.2,37.6,06
,PENDLETON,6.9,10.0,6.1,11.1,7.8,13.4,11.3,11.9,12.7,16.2,11.9,12.7,11.4,12.8,8.9,9.3,11.5,8.0,11.4,12.7,7.9,10.0,10.6,10.5,10.7,16.2,09
12 VWDR °,ALPINE,66,354,94,44,335,83,96,248,244,246,259,301,M,294,269,263,303,314,345,89,67,9,72,347,0,354,01
,CHULA VISTA,101,71,113,108,50,113,242,274,256,277,265,255,265,260,255,257,260,261,249,350,15,16,40,63,0,350,19
,DOWNTOWN SES,40,48,91,62,43,82,110,173,212,221,206,202,M,M,M,204,203,207,208,193,194,211,228,324,0,324,23
,EL CAJON LES,296,84,249,190,163,108,260,41,344,269,246,248,212,258,212,235,220,209,212,191,127,143,104,72,0,344,08
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,0,,
,KEARNY MESA,47,57,104,37,61,91,309,136,279,262,246,233,237,244,238,240,241,234,214,160,155,103,96,50,0,309,06
,OTAY MESA DVN,7,17,139,141,16,20,146,320,275,298,292,291,291,301,289,285,289,295,345,13,46,144,28,94,0,345,18
,PENDLETON,67,57,40,57,62,52,55,138,200,218,220,236,244,230,216,212,208,200,170,159,117,90,65,78,0,244,12
13 SIGTHETA °,ALPINE,42,21,19,42,48,17,25,51,29,31,36,31,M,31,34,37,27,21,21,57,29,53,30,42,34,57,19
,CHULA VISTA,22,34,16,36,27,27,32,56,48,31,30,29,23,24,25,24,21,21,20,20,17,18,18,29,27,56,07
,DOWNTOWN SES,33,23,31,39,28,29,39,51,52,30,21,17,M,M,M,20,18,18,18,15,16,19,19,18,26,52,08
,EL CAJON LES,66,24,57,32,52,33,22,44,54,35,37,38,29,28,25,27,21,18,16,17,29,30,43,47,34,66,00
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,12,6,28,28,11,10,34,33,36,27,27,24,17,22,25,19,17,15,15,9,13,11,16,13,20,36,08
,OTAY MESA DVN,14,16,15,24,16,25,17,24,27,19,21,16,18,18,21,18,15,13,18,12,23,44,16,23,20,44,21
,PENDLETON,10,12,10,11,9,10,18,17,31,25,21,16,15,19,17,17,15,18,13,16,13,24,14,10,16,31,08
14 VWSP MPH,ALPINE,1.0,1.3,1.4,.9,.5,1.7,1.4,.8,2.1,3.0,3.6,4.4,M,4.6,4.3,3.5,3.8,2.8,1.5,.6,1.3,1.1,.5,.6,.0,4.6,13
,CHULA VISTA,.6,.8,1.9,.8,.5,.8,1.1,1.3,1.1,2.8,4.1,4.6,5.7,5.2,5.4,4.9,4.9,4.0,2.6,1.1,1.5,1.6,1.1,.5,.0,5.7,12
,DOWNTOWN SES,1.2,1.6,1.2,.9,.7,1.3,.7,1.6,1.7,3.2,5.4,6.6,M,M,M,6.3,5.6,4.6,3.5,3.5,3.0,2.4,1.6,1.3,.0,6.6,11
,EL CAJON LES,.6,1.5,.4,.5,.2,1.1,1.1,.3,.7,3.0,3.5,4.3,5.3,5.5,5.2,5.0,4.6,4.4,3.6,2.9,.9,.8,.6,.2,.0,5.5,13
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,.0,,
,KEARNY MESA,2.9,3.1,1.3,1.1,1.8,2.1,.9,1.9,2.8,3.9,4.6,5.7,7.1,6.3,5.5,6.4,6.1,5.3,3.7,4.4,2.7,2.2,1.2,1.8,.0,7.1,12
,OTAY MESA DVN,2.6,3.1,2.8,2.1,2.9,2.1,2.3,2.8,2.3,4.6,5.3,7.3,6.3,6.6,5.2,5.5,5.1,5.4,3.4,3.4,1.6,.9,1.7,1.5,.0,7.3,11
,PENDLETON,3.4,4.1,4.4,4.1,5.0,3.7,2.6,1.9,2.7,3.7,4.3,5.4,5.3,5.1,5.5,5.9,4.9,3.9,3.8,3.5,2.1,1.2,2.0,2.3,.0,5.9,15
15 SWSP MPH,ALPINE,1.2,1.7,1.5,1.4,.8,1.8,1.5,1.1,2.3,3.4,4.3,5.0,4.9,5.4,5.0,4.1,4.3,3.0,1.6,.9,1.6,1.4,.6,.9,2.5,5.4,13
,CHULA VISTA,.6,.9,2.0,1.1,.6,.8,1.4,1.6,2.0,3.2,4.5,5.1,6.1,5.7,6.0,5.4,5.3,4.3,2.8,1.3,1.5,1.7,1.1,.7,2.7,6.1,12
,DOWNTOWN SES,1.4,1.7,1.3,1.1,.8,1.5,1.0,2.1,2.3,3.7,5.9,6.9,M,M,M,6.7,5.9,4.9,3.8,3.6,3.1,2.6,1.8,1.4,3.0,6.9,11
,EL CAJON LES,1.0,2.2,1.0,.8,.4,1.2,1.2,1.3,1.8,3.8,4.7,5.3,5.9,6.1,5.9,6.0,5.0,4.6,3.8,3.2,1.5,1.1,.9,.3,2.9,6.1,13
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,3.0,3.1,1.6,1.3,1.9,2.2,1.5,2.6,3.5,4.4,5.2,6.2,7.4,6.8,6.1,6.7,6.4,5.5,4.2,4.5,2.7,2.3,1.4,2.2,3.9,7.4,12
,OTAY MESA DVN,2.7,3.2,2.9,2.4,3.2,2.5,2.5,3.4,2.6,4.8,5.7,7.6,6.7,6.9,5.8,5.8,5.3,5.5,3.6,3.5,2.2,1.4,1.9,2.5,3.9,7.6,11
,PENDLETON,3.5,4.3,4.5,4.2,5.0,3.9,2.7,2.0,3.0,4.0,4.6,5.7,5.5,5.4,5.8,6.1,5.0,4.1,3.9,3.6,2.3,1.5,2.2,2.4,4.0,6.1,15
16 AMBTEMP °F,ALPINE,58.8,57.7,57.0,58.7,56.8,56.6,59.0,62.9,64.2,67.1,69.1,69.9,72.1,72.4,73.3,72.9,70.5,67.6,64.8,63.1,64.2,63.3,63.2,63.1,64.5,73.3,14
,CARMEL MT RCH,54.2,53.1,53.1,53.8,52.7,52.3,55.5,59.3,62.0,65.4,69.8,72.5,73.7,75.5,75.5,75.2,71.4,67.6,63.0,61.4,60.5,59.2,58.8,58.2,62.7,75.5,13
,CHULA VISTA,56.0,55.2,54.6,53.6,53.4,53.8,55.2,55.9,56.7,58.2,60.7,62.3,64.3,65.3,66.4,65.9,65.2,63.9,62.1,61.5,60.5,59.5,59.2,58.1,59.5,66.4,14
,DOWNTOWN SES,57.2,56.3,55.6,55.3,54.8,54.8,56.4,58.0,58.2,59.9,63.3,64.1,65.6,66.5,65.7,64.7,63.8,62.7,61.7,61.4,61.2,60.7,60.5,59.9,60.3,66.5,13
,EL CAJON LES,55.4,54.5,53.6,53.0,52.3,51.6,54.1,58.8,64.4,68.7,71.7,74.3,75.4,75.9,76.0,75.8,73.8,70.0,64.7,61.8,60.7,60.0,59.4,58.9,63.5,76.0,14
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,54.2,53.5,53.1,54.0,52.9,52.2,54.7,58.9,61.5,63.5,67.1,69.4,69.7,70.9,71.5,71.4,68.3,65.7,62.5,61.1,60.2,58.0,57.3,57.5,61.2,71.5,14
,OTAY MESA DVN,54.5,54.2,54.5,54.3,53.3,53.0,55.0,56.6,61.3,63.6,66.3,67.1,68.3,68.9,70.3,70.5,68.9,65.3,61.5,60.0,60.6,60.7,59.5,58.7,61.1,70.5,15
,PENDLETON,55.6,54.7,53.3,53.4,53.6,53.6,55.1,57.7,59.3,62.0,64.1,65.2,66.0,67.2,67.2,67.2,66.3,64.1,62.0,61.7,61.6,61.1,60.0,59.6,60.5,67.2,13
17 RELHUM %,ALPINE,86,91,87,75,85,77,64,60,60,57,57,60,54,50,49,49,54,60,68,77,75,78,78,78,68,91,01
,EL CAJON LES,92,92,94,95,95,96,92,80,69,62,58,54,52,47,48,49,48,56,71,80,84,85,86,87,74,96,05
,KEARNY MESA,96,98,99,100,98,99,97,91,87,83,74,66,62,62,60,61,69,77,86,89,93,96,97,98,85,100,03
18 PRES mmHg,EL CAJON LES,748,748,747,747,747,747,748,748,747,747,747,747,747,746,746,746,745,746,746,746,747,747,747,747,747,748,00
,KEARNY MESA,749,749,748,748,748,748,749,749,749,749,748,748,748,748,747,747,747,747,747,747,748,748,748,748,748,749,00
19 SOLAR W/M2,EL CAJON LES,0,0,0,0,1,12,141,315,572,767,873,935,926,849,708,516,293,82,1,-1,-1,0,0,0,291,935,11
,KEARNY MESA,0,0,0,0,0,12,124,347,579,768,891,958,952,877,747,565,341,113,3,0,0,0,0,0,303,958,11
25 NOY,EL CAJON LES,8.58,9.18,8.08,9.36,11.64,C,C,36.17,15.55,19.63,17.28,14.83,11.08,9.29,8.45,8.79,8.95,9.44,9.02,9.86,8.05,8.20,9.86,9.85,11.87,36.17,07
26 NOY-NO,EL CAJON LES,8.44,9.12,7.91,8.86,10.97,C,C,14.52,10.35,14.54,14.04,12.60,9.91,8.59,7.68,7.88,7.91,8.97,8.78,7.80,7.40,8.10,9.44,9.67,9.70,14.54,09
27 NO Trace,EL CAJON LES,.13,.06,.16,.50,.66,C,C,21.65,5.20,5.08,3.24,2.22,1.16,.69,.77,.90,1.04,.47,.24,2.05,.64,.09,.41,.18,2.16,21.65,07
28 SO2 Tr PPB,EL CAJON LES,.0,.0,C,C,C,.0,.0,.1,.1,.2,.2,M,M,M,.1,.1,.1,.1,.0,.0,.0,.0,.0,.0,.0,.2,09
29 CO Tr PPB,EL CAJON LES,273.0,302.8,C,C,C,387.1,491.5,624.2,379.9,476.2,463.3,C,M,M,258.0,266.6,231.4,235.5,237.3,236.2,257.0,287.1,316.7,310.9,335.2,624.2,07
BCarbon ug/m3,10TH AVE MARINE TERM,.89,1.92,.74,.74,.67,1.09,1.91,.92,.60,.73,.93,.55,.52,.33,.35,.43,.31,.19,.18,.15,.13,.12,.30,.46,.63,1.92,01
,ALPINE,.29,.30,.25,.21,.29,.22,.19,.34,.30,.40,.55,1.09,1.38,.92,.73,.65,.61,.52,.52,.57,1.69,.55,.53,.51,.57,1.69,20
,CHICANO PARK,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,,<,<
,DOWNTOWN SES,.72,.57,.66,.69,.74,1.07,1.91,1.14,.68,.77,.81,.50,.43,.36,.26,.20,.16,.24,.22,.20,.21,.20,.35,.71,.57,1.91,06
,OCEANVIEW BLVD,.72,.70,1.00,1.04,.90,1.28,1.70,1.27,1.04,.71,.75,.54,.42,.38,.31,.25,.25,.24,.27,.20,.26,.38,.44,.56,.65,1.70,06
,SAN YSIDRO,.41,.42,.37,.67,2.02,2.01,1.16,1.00,1.11,1.44,.99,.64,.29,.26,.28,.26,.24,.27,.49,.62,.66,.76,.83,.68,.75,2.02,04
RAINFALL,EL CAJON LES,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,00
