Current Date:,8/22/2024,11:08 PM
,,,,,,,,8 Hour Rolling Average Report
8/21/2024
,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Grand Total
Parameter,Site Name,,,,,,,,,,,,,,,,,,,,,,,,,Avg,Max,Hr. of Max
01 OZONE PPM,ALPINE,.041,.042,.044,.048,.051,.057,.064,.069,.071,.073,.073,.071,.066,.058,.051,.047,.044,.042,.04,.039,.04,.042,.043,.043,0.052,0.073,09
,CHULA VISTA,.021,.023,.026,.029,.031,.034,.037,.039,.041,.042,.042,.04,.039,.037,.036,.035,.033,.032,.031,.03,.029,.027,.025,.024,0.032,0.042,09
,DOWNTOWN SES,.023,.025,.026,.03,.032,.033,.035,.037,.039,.041,.041,.039,.037,.036,.035,.034,.033,.032,.031,.031,.03,.03,.03,.029,0.032,0.041,09
,EL CAJON LES,,,,.033,.04,.045,.051,.056,.059,.061,.06,.056,.05,.043,.039,.034,.031,.027,.024,.023,.021,,,,0.041,0.061,09
,KEARNY MESA,.021,.025,.03,.034,.038,.043,.047,.05,.052,.053,.053,.049,.045,.04,.035,.03,.026,.023,.02,.017,.015,.016,.017,.02,0.033,0.053,09
,OTAY MESA DVN,.017,.02,.025,.03,.035,.04,.044,.047,.051,.054,.053,.049,.044,.041,.038,.035,.032,.028,.026,.025,.024,.022,.02,.019,0.034,0.054,09
,PENDLETON,.015,.017,.019,.021,.023,.027,.03,.034,.037,.038,.038,.038,.038,.037,.036,.033,.031,.027,.025,.023,.022,.019,.017,.017,0.027,0.038,09
