Current Date:,8/13/2024,11:08 PM
,,,,,,,,8 Hour Rolling Average Report
8/12/2024
,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Grand Total
Parameter,Site Name,,,,,,,,,,,,,,,,,,,,,,,,,Avg,Max,Hr. of Max
01 OZONE PPM,ALPINE,.027,.029,.033,.036,.041,.047,.051,.056,.06,.062,.063,.06,.056,.05,.045,.039,.035,.032,.029,.028,.027,.027,.028,.028,0.041,0.063,10
,CHULA VISTA,.02,.021,.023,.025,.028,.032,.035,.039,.041,.042,.042,.042,.041,.039,.038,.036,.035,.033,.032,.031,.031,.03,.028,.026,0.032,0.042,09
,DOWNTOWN SES,.015,.015,.018,.021,.024,.027,.031,.034,.037,.039,.039,.038,.036,.033,.031,.03,.029,.027,.026,.025,.025,.026,.026,.025,0.028,0.039,09
,EL CAJON LES,,,,.027,.033,.037,.044,.05,.054,.056,.056,.053,.048,.043,.039,.034,.031,.027,.025,.022,.021,.019,.017,.016,0.035,0.056,09
,KEARNY MESA,.015,.016,.022,.027,.031,.036,.04,.043,.046,.049,.048,.045,.041,.037,.034,.031,.028,.025,.022,.02,.019,.019,.019,.018,0.03,0.049,09
,OTAY MESA DVN,.005,.007,.013,.018,.023,.03,.037,.042,.046,.05,.05,.048,.045,.041,.037,.034,.032,.029,.027,.025,.024,.021,.018,.016,0.029,0.05,09
,PENDLETON,.017,.018,.021,.023,.025,.028,.032,.034,.035,.036,.036,.036,.036,.035,.034,.034,.032,.03,.029,.028,.026,.023,.021,.019,0.028,0.036,09
