Current Date:,8/31/2024,11:08 PM
,,,,,,,,8 Hour Rolling Average Report
8/30/2024
,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Grand Total
Parameter,Site Name,,,,,,,,,,,,,,,,,,,,,,,,,Avg,Max,Hr. of Max
01 OZONE PPM,ALPINE,.022,.022,.022,.025,.028,.033,.04,.047,.054,.058,.061,.061,.06,.056,.05,.044,.041,.039,.038,.037,.037,.04,.042,.045,0.041,0.061,10
,CHULA VISTA,.032,.034,.036,.037,.039,.041,.043,.045,.045,.046,.046,.045,.043,.042,.04,.038,.035,.032,.029,.027,.026,.021,.017,.017,0.035,0.046,09
,DOWNTOWN SES,.042,.042,.042,.043,.043,.044,.045,.045,.045,.046,.045,.044,.043,.041,.039,.038,.037,.035,.034,.034,.033,.031,.029,.028,0.039,0.046,09
,EL CAJON LES,,,,.033,.037,.04,.044,.048,.052,.054,.055,.055,.052,.049,.046,.043,.04,.037,.035,.034,.033,,,,0.043,0.055,10
,KEARNY MESA,.04,.042,.043,.044,.044,.045,.047,.048,.049,.049,.049,.048,.046,.044,.041,.037,.033,.03,.026,.024,.022,.019,.019,.021,0.037,0.049,08
,OTAY MESA DVN,.029,.031,.034,.036,.038,.042,.045,.047,.049,.05,.05,.048,.046,.043,.04,.037,.034,.031,.028,.027,.026,.024,.021,.019,0.036,0.05,09
,PENDLETON,.028,.029,.03,.032,.034,.036,.039,.042,.044,.046,.047,.048,.048,.046,.044,.041,.039,.037,.034,.032,.029,.027,.027,.026,0.036,0.048,11
