,OTAY MESA DVN,26,26,27,27,26,27,27,27,27,26,26,26,26,26,25,25,25,25,25,26,26,26,26,26,26,27,02
,PENDLETON,26,27,27,27,27,27,27,P,,,,,,,P,26,26,26,27,27,27,27,27,27,27,27,01
11 PM2.5 µg/M3,ALPINE,9.5,8.4,8.0,7.8,7.9,7.6,7.5,8.1,10.7,14.0,15.4,12.7,18.3,19.2,16.3,14.8,14.3,14.1,14.2,14.5,14.8,15.3,14.3,15.5,12.6,19.2,13
,DOWNTOWN SES,35.8,39.1,31.3,22.6,19.4,22.5,27.5,29.7,27.9,25.3,17.2,14.7,14.6,14.0,13.2,13.3,14.0,13.8,14.5,14.9,14.9,14.8,14.8,16.8,20.2,39.1,01
,EL CAJON LES,13.6,13.4,13.5,14.6,15.6,15.5,26.9,25.7,22.4,19.7,20.1,20.9,15.0,13.6,13.3,12.1,10.9,11.5,12.2,11.6,12.6,14.2,15.2,15.5,15.8,26.9,06
,OTAY MESA DVN,33.8,48.9,39.7,12.9,13.7,21.5,40.0,39.7,35.6,33.4,32.0,24.7,22.2,20.0,18.0,15.9,14.3,13.4,17.0,17.2,17.1,18.7,19.8,22.2,24.6,48.9,01
,PENDLETON,16.8,17.3,14.6,14.5,19.6,18.9,18.7,P,,,,,,,P,11.4,12.3,12.9,13.4,13.1,13.1,12.9,13.1,13.3,14.7,19.6,04
12 VWDR °,ALPINE,96,82,6,40,52,345,298,275,275,266,292,287,276,306,303,306,302,312,323,325,88,225,208,10,0,345,05
,CHULA VISTA,107,17,4,257,241,270,205,246,272,265,249,242,244,243,255,255,254,249,231,233,220,225,197,161,0,272,08
,DOWNTOWN SES,181,212,222,195,203,214,216,227,217,215,220,211,218,225,219,230,222,210,224,220,212,223,187,169,0,230,15
,EL CAJON LES,117,117,232,251,89,100,360,344,329,312,256,248,240,232,257,251,227,224,220,197,189,198,175,169,0,360,06
,KEARNY MESA,154,158,174,187,162,197,227,268,254,221,222,217,198,190,222,236,249,234,200,191,173,103,148,179,0,268,07
,OTAY MESA DVN,131,108,104,343,348,3,350,305,313,300,289,309,289,303,314,323,324,319,323,339,343,317,259,104,0,350,06
,PENDLETON,114,150,170,163,172,175,188,P,,,,,,,P,237,223,196,190,209,177,149,172,165,0,237,15
13 SIGTHETA °,ALPINE,13,13,27,28,47,44,50,21,25,31,34,27,33,28,28,26,23,20,23,17,52,61,27,31,30,61,21
,CHULA VISTA,28,35,27,44,39,24,30,47,65,28,26,22,21,21,20,20,20,18,22,22,24,27,33,41,29,65,08
,DOWNTOWN SES,19,20,18,19,19,20,24,26,26,21,21,22,20,20,21,22,23,22,32,26,21,24,27,49,23,49,23
,EL CAJON LES,29,14,25,32,49,14,39,53,65,52,55,24,26,30,23,20,24,20,19,18,16,14,35,58,31,65,08
,KEARNY MESA,9,16,20,15,17,34,38,18,42,34,32,22,19,18,18,17,14,15,16,13,22,39,27,24,22,42,08
,OTAY MESA DVN,14,24,31,17,24,14,21,25,28,29,22,20,30,17,18,17,15,14,13,11,14,18,24,31,20,31,02
,PENDLETON,13,16,18,17,14,14,14,P,,,,,,,P,17,21,30,24,25,17,32,18,23,20,32,21
14 VWSP MPH,ALPINE,1.2,1.5,.8,.5,.4,.8,.3,2.1,3.2,3.5,3.9,5.3,5.0,5.3,5.1,5.4,5.1,4.2,2.2,1.6,.1,.4,.3,.9,.0,5.4,15
,CHULA VISTA,.5,.8,1.5,2.0,1.3,1.4,1.6,1.4,2.0,5.1,6.5,8.2,8.4,8.6,8.9,9.8,7.3,5.8,3.8,3.3,2.7,2.2,2.3,1.6,.0,9.8,15
,DOWNTOWN SES,3.4,3.5,5.4,6.3,6.5,4.8,4.1,3.8,4.0,5.2,7.9,8.7,9.2,9.3,8.7,7.5,5.5,4.4,3.5,3.3,3.6,2.9,3.0,1.9,.0,9.3,13
,EL CAJON LES,.6,1.3,1.1,1.4,.9,2.1,1.8,1.8,1.7,2.3,3.0,6.6,5.5,5.3,6.3,7.8,5.8,4.8,4.1,3.1,2.5,2.7,2.1,1.5,.0,7.8,15
,KEARNY MESA,4.2,3.8,2.9,4.2,4.5,2.5,2.5,3.9,2.9,4.1,5.4,7.8,8.1,8.1,7.5,9.6,7.8,6.0,5.3,4.1,2.5,1.5,3.0,3.1,.0,9.6,15
,OTAY MESA DVN,1.5,.7,.7,2.1,2.5,4.0,2.6,3.3,4.9,4.7,6.4,6.8,5.2,7.9,7.6,10.0,8.7,7.9,5.7,4.4,3.6,3.3,2.9,1.8,.0,10.0,15
,PENDLETON,3.7,4.1,4.2,4.6,6.4,5.8,5.0,P,,,,,,,P,6.4,4.7,3.6,3.6,2.9,3.1,3.1,4.1,3.7,.0,6.4,04
15 SWSP MPH,ALPINE,1.2,1.5,.9,.9,.6,1.2,.7,2.4,3.6,4.1,4.5,6.2,5.8,5.9,5.7,5.9,5.5,4.4,2.4,1.7,1.0,.5,.5,1.1,2.8,6.2,11
,CHULA VISTA,1.0,1.1,1.6,2.2,1.7,1.6,1.9,1.9,3.1,5.7,7.1,8.7,9.0,9.2,9.5,10.5,7.8,6.1,4.1,3.6,3.1,2.5,2.6,2.1,4.5,10.5,15
,DOWNTOWN SES,3.6,3.9,5.7,6.7,6.9,5.1,4.5,4.2,4.4,5.6,8.5,9.4,9.8,9.9,9.3,8.2,6.0,4.8,4.1,3.7,3.8,3.2,3.4,2.9,5.7,9.9,13
,EL CAJON LES,.8,1.3,1.2,1.8,1.2,2.3,2.3,2.4,2.8,3.3,4.2,7.3,6.2,6.1,7.1,8.3,6.4,5.1,4.3,3.3,2.7,2.9,2.6,2.3,3.7,8.3,15
,KEARNY MESA,4.3,4.0,3.1,4.4,4.7,3.0,3.0,4.2,3.6,4.8,6.1,8.6,8.6,8.6,8.0,10.1,8.1,6.3,5.7,4.3,2.6,2.0,3.4,3.5,5.2,10.1,15
,OTAY MESA DVN,1.6,.8,2.5,2.2,2.5,4.1,2.8,3.5,5.7,5.2,6.9,7.5,5.9,8.3,8.1,10.4,9.0,8.2,6.0,4.5,3.7,3.6,3.2,2.4,4.9,10.4,15
,PENDLETON,3.8,4.4,4.6,4.9,6.6,5.9,5.3,P,,,,,,,P,6.7,5.0,4.3,4.1,3.4,3.2,3.6,4.4,4.1,4.6,6.7,15
16 AMBTEMP °F,ALPINE,62.9,64.2,64.3,63.7,62.3,62.2,62.9,65.7,64.9,67.6,69.7,71.8,72.1,70.9,71.1,69.7,65.2,60.6,56.9,54.8,53.7,52.7,50.7,50.0,62.9,72.1,12
,CARMEL MT RCH,58.4,57.5,56.3,53.7,54.4,55.4,56.3,57.1,59.0,65.0,69.6,71.7,72.5,73.4,69.7,67.6,65.5,62.8,58.0,56.9,56.8,56.8,56.6,56.2,61.1,73.4,13
,CHULA VISTA,59.5,58.5,58.3,58.2,58.5,58.7,59.3,59.7,61.8,64.0,65.9,67.7,68.5,68.0,67.4,64.7,62.9,60.6,59.7,59.1,59.3,59.3,59.2,58.8,61.6,68.5,12
,DOWNTOWN SES,59.0,58.7,57.7,57.4,57.6,57.3,57.4,57.9,58.7,60.0,61.1,61.8,62.0,62.1,62.0,61.0,60.1,59.2,58.6,58.3,58.1,58.0,58.0,57.9,59.2,62.1,13
,EL CAJON LES,58.0,56.5,56.1,55.5,55.0,55.1,57.4,59.0,62.2,66.7,70.9,71.0,71.7,72.1,71.9,68.5,65.3,62.9,59.5,57.6,56.8,56.8,57.1,56.9,61.7,72.1,13
,KEARNY MESA,57.4,57.7,57.6,57.5,56.9,56.9,57.3,57.9,58.9,62.2,66.1,66.7,66.4,66.4,66.5,64.0,62.8,61.1,58.6,57.6,57.7,58.0,58.0,57.6,60.3,66.7,11
,OTAY MESA DVN,59.2,58.8,56.7,52.8,52.7,53.3,56.1,58.0,60.7,64.8,68.2,69.0,72.3,71.6,71.9,68.1,62.8,60.1,56.7,55.2,55.0,55.8,55.2,55.8,60.5,72.3,12
,PENDLETON,60.2,59.6,58.5,57.8,57.7,57.9,58.1,P,,,,,,,P,63.2,61.6,60.4,59.7,59.6,59.4,59.3,58.8,58.6,59.4,63.2,15
17 RELHUM %,ALPINE,46,40,39,38,41,40,43,43,54,52,50,40,46,50,48,49,59,70,80,85,88,89,95,97,58,97,23
,EL CAJON LES,80,83,85,92,97,97,90,83,73,63,54,54,52,51,51,57,63,69,78,83,86,87,86,87,75,97,04
,KEARNY MESA,99,100,100,100,98,97,95,92,88,79,71,70,70,69,69,76,79,82,87,90,90,89,89,91,86,100,01
18 PRES mmHg,EL CAJON LES,744,744,744,744,744,744,745,745,745,745,745,745,745,745,744,744,745,745,745,745,746,746,746,746,745,746,20
,KEARNY MESA,746,745,745,745,745,746,746,746,747,746,746,746,746,746,746,746,746,746,746,747,747,747,747,747,746,747,08
19 SOLAR W/M2,EL CAJON LES,-3,-3,-3,-2,-1,16,84,316,588,786,902,954,954,874,733,549,329,112,2,-4,-4,-1,0,-1,299,954,11
,KEARNY MESA,1,1,1,1,1,13,69,148,350,771,865,917,908,840,719,556,354,133,8,1,1,1,1,1,278,917,11
20 UVRAD W/M2,EL CAJON LES,0,0,0,0,0,1,5,18,33,44,50,54,54,48,40,29,17,6,0,0,0,0,0,0,17,54,11
25 NOY,EL CAJON LES,8.23,7.35,7.01,7.93,C,C,7.64,7.35,6.70,6.22,8.02,6.43,4.70,4.26,4.68,4.09,3.50,3.51,3.39,4.29,5.12,5.02,3.69,3.39,5.56,8.23,00
26 NOY-NO,EL CAJON LES,7.86,7.06,6.66,7.61,C,C,5.14,5.38,5.05,4.95,6.55,5.40,3.84,3.49,3.65,3.15,2.48,2.78,2.86,3.62,4.50,4.53,3.37,3.10,4.68,7.86,00
27 NO Trace,EL CAJON LES,.37,.29,.34,.32,C,C,2.50,1.97,1.65,1.26,1.46,1.02,.86,.77,1.02,.93,1.01,.73,.52,.67,.61,.49,.31,.29,.88,2.50,06
28 SO2 Tr PPB,EL CAJON LES,.0,C,C,C,.0,.0,.0,.1,.2,.2,.2,.2,.2,.2,.2,.1,.0,.0,.0,.0,.0,.0,.0,.0,.0,.2,08
29 CO Tr PPB,EL CAJON LES,324.7,C,C,C,284.2,301.6,303.7,282.4,265.5,262.7,296.7,265.7,228.1,229.3,224.7,205.0,190.1,192.7,202.8,204.3,206.1,203.1,190.3,190.6,240.6,324.7,00
BCarbon ug/m3,10TH AVE MARINE TERM,1.04,.62,.50,.25,.23,.35,.67,.84,.68,.58,.27,.23,.20,.27,.28,.18,.18,.17,.14,.14,.12,.11,.15,.32,.36,1.04,00
,BOSTON AVE,.82,1.08,.79,.62,.60,.52,.82,.94,.79,.48,.23,.17,.15,.14,.12,.14,.11,.13,.11,.11,.12,.12,.13,.28,.40,1.08,01
,CHICANO PARK,.81,.85,.61,.34,.25,.42,.78,.94,.72,.55,.31,.19,.17,.22,.16,.18,.16,.16,.21,.15,.13,.16,.13,.24,.37,.94,07
,DOWNTOWN SES,.74,.90,.60,.38,.26,.40,.73,.85,.73,.58,.27,.14,.13,.14,.11,.12,.11,.09,.09,.10,.11,.12,.11,.19,.33,.90,01
,OCEANVIEW BLVD,.63,.98,.86,.81,1.16,.66,.83,.97,.81,.60,.26,.16,.14,.15,.12,.14,.12,.11,.14,.15,.12,.14,.14,.23,.43,1.16,04
,SAN YSIDRO,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,,<,<
PM10 STD,ALPINE,26.8,27.3,23.6,24.9,23.0,22.6,23.3,31.7,27.7,35.2,35.6,35.5,41.8,46.0,38.1,37.5,36.4,33.7,30.7,31.9,30.8,30.4,26.6,27.8,31.2,46.0,13
,DOWNTOWN SES,72.1,78.0,62.9,45.0,41.2,46.1,53.2,59.3,56.0,50.9,37.2,31.9,32.1,31.3,28.4,28.7,30.1,29.0,31.6,31.6,31.5,31.7,30.3,34.7,41.8,78.0,01
,EL CAJON LES,31.2,31.2,29.4,27.7,27.3,29.9,52.9,49.2,45.3,41.3,43.1,47.1,35.8,33.9,33.3,29.2,25.5,25.0,27.7,24.6,26.5,29.1,30.4,30.1,33.6,52.9,06
,OTAY MESA DVN,109.6,133.1,114.8,32.1,32.4,60.8,83.8,78.1,65.0,65.2,67.5,58.8,65.2,63.4,60.4,46.7,36.3,31.7,34.1,35.8,37.0,39.0,37.9,41.5,59.5,133.1,01
,PENDLETON,34.7,35.4,26.7,26.9,37.8,37.9,37.8,P,,,,,,,P,22.4,25.0,26.4,27.2,27.1,27.1,25.8,27.0,27.7,29.5,37.9,05
RAINFALL,EL CAJON LES,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,00
