Current Date:,11/8/2019,6:12 AM,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Daily Parameter Report
11/7/2019
,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Summary
Parameter,SiteName,,,,,,,,,,,,,,,,,,,,,,,,,Avg,Max,Hr. of Max
01 OZONE PPM,ALPINE,.049,.051,C,C,.048,.048,.047,.038,.041,.040,.045,.051,.055,.060,.067,.066,.060,.049,.041,.042,.043,.042,.039,.041,.048,.067,14
,CHULA VISTA,.028,.033,C,C,.030,.022,.018,.015,.017,.022,.030,.039,.047,.045,M,.048,.052,.049,.050,.048,.047,.041,.039,.036,.036,.052,16
,DOWNTOWN SES,.031,.034,C,C,.033,.031,.024,.019,.021,.029,.031,.042,.041,.045,.055,.052,.045,.041,.037,.038,.036,.029,.028,.023,.034,.055,14
,EL CAJON LES,.002,.002,C,C,C,.001,.002,.004,.009,.021,.031,M,M,M,M,M,.046,.036,.036,.030,.021,.019,.014,.007,.017,.046,16
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.033,.028,C,C,.018,.013,.010,.011,.017,.032,.040,.042,.045,.052,.057,.058,.053,.041,.038,.036,.019,.019,.025,.025,.032,.058,15
,OTAY MESA DVN,.025,.023,C,C,.015,.016,.013,.006,.014,.025,.029,.031,.036,.042,.041,.043,.036,.035,.036,.035,.027,.021,.015,.014,.026,.043,15
,PENDLETON,.025,.027,C,C,.025,.024,.020,.015,.016,.029,.038,.045,.049,.054,.056,.059,.055,.052,.057,.059,.062,.056,.052,.047,.041,.062,20
02 NOX PPM,ALPINE,.004,.002,C,C,.003,.002,.002,.007,.008,.008,.006,.005,.005,.007,.007,.006,.008,.017,.012,.009,.005,.002,.003,.001,.006,.017,17
,CARMEL MT RCH,.017,.012,C,C,.012,.010,.017,.035,.063,.049,.041,.033,.033,.029,.031,.027,.032,.034,.041,.035,.024,.027,.038,.023,.030,.063,08
,CHULA VISTA,.011,.007,C,C,.006,.008,.008,.012,.015,.022,.025,.016,.008,.011,M,.009,.006,.004,.003,.003,.004,.007,.005,.005,.009,.025,10
,DOWNTOWN SES,.011,.009,C,C,.006,.006,.010,.014,.020,.016,.018,.014,.014,.015,.009,.011,.017,.015,.013,.011,.013,.014,.014,.015,.013,.020,08
,EL CAJON LES,.018,.017,C,C,C,.018,.021,.034,.036,.028,.021,M,M,M,M,M,.015,.017,.011,.011,.013,.011,.012,.014,.019,.036,08
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.007,.006,C,C,.008,.012,.014,.018,.013,.010,.012,.014,.010,.008,.007,.008,.011,.017,.011,.011,.018,.020,.011,.009,.012,.020,21
,OTAY MESA DVN,.006,.007,C,C,.014,.010,.014,.051,.026,.018,.017,.022,.019,.014,.013,.012,.011,.008,.006,.005,.009,.015,.014,.013,.015,.051,07
,PENDLETON,.008,.005,C,C,.005,.004,.006,.007,.011,.007,.007,.004,.004,.005,.005,.005,.006,.007,.005,.006,.005,.007,.008,.006,.006,.011,08
03 NO2 PPM,ALPINE,.004,.003,C,C,.003,.002,.002,.006,.006,.006,.005,.004,.005,.006,.007,.006,.008,.017,.012,.009,.005,.002,.003,.001,.006,.017,17
,CARMEL MT RCH,.013,.009,C,C,.011,.009,.012,.016,.024,.021,.021,.018,.019,.018,.020,.019,.026,.027,.030,.025,.018,.020,.030,.019,.019,.030,18
,CHULA VISTA,.011,.007,C,C,.006,.007,.008,.010,.011,.015,.018,.013,.007,.009,M,.008,.005,.004,.003,.003,.004,.007,.005,.005,.008,.018,10
,DOWNTOWN SES,.011,.009,C,C,.006,.006,.009,.012,.013,.012,.012,.011,.011,.013,.008,.010,.016,.015,.013,.011,.013,.014,.014,.015,.012,.016,16
,EL CAJON LES,.016,.015,C,C,C,.014,.015,.017,.019,.019,.016,M,M,M,M,M,.014,.016,.011,.011,.013,.011,.012,.013,.015,.019,08
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.007,.006,C,C,.008,.011,.013,.014,.010,.007,.010,.011,.008,.007,.006,.008,.011,.017,.011,.011,.018,.019,.011,.009,.011,.019,21
,OTAY MESA DVN,.005,.005,C,C,.010,.008,.011,.020,.017,.012,.012,.016,.014,.011,.010,.010,.010,.006,.004,.004,.007,.011,.011,.012,.010,.020,07
,PENDLETON,.008,.005,C,C,.005,.004,.005,.006,.008,.006,.005,.003,.003,.004,.004,.005,.006,.007,.005,.006,.005,.007,.008,.006,.006,.008,00
04 NO PPM,ALPINE,.000,.000,C,C,.000,.000,.000,.001,.002,.002,.001,.001,.001,.001,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.002,08
,CARMEL MT RCH,.003,.002,C,C,.001,.001,.004,.019,.039,.028,.020,.015,.014,.011,.011,.008,.006,.007,.011,.010,.006,.007,.009,.004,.011,.039,08
,CHULA VISTA,.000,.000,C,C,.000,.000,.001,.002,.005,.007,.007,.004,.001,.002,M,.001,.000,.000,.000,.000,.000,.000,.000,.000,.001,.007,09
,DOWNTOWN SES,.000,.000,C,C,.000,.000,.000,.002,.006,.005,.005,.003,.003,.003,.001,.001,.000,.000,.000,.000,.000,.000,.000,.000,.001,.006,08
,EL CAJON LES,.002,.002,C,C,C,.004,.006,.017,.017,.009,.005,M,M,M,M,M,.001,.001,.000,.000,.000,.000,.000,.001,.004,.017,07
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.000,.000,C,C,.000,.000,.002,.004,.003,.002,.003,.003,.002,.001,.001,.001,.000,.000,.000,.000,.000,.000,.000,.000,.001,.004,07
,OTAY MESA DVN,.001,.001,C,C,.004,.002,.003,.031,.009,.006,.005,.007,.005,.003,.003,.002,.001,.001,.001,.001,.002,.004,.003,.001,.004,.031,07
,PENDLETON,.000,.000,C,C,.000,.000,.000,.001,.003,.002,.002,.000,.000,.001,.001,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.003,08
06 CO PPM,CARMEL MT RCH,.4,.3,C,C,C,.5,.5,.9,.9,.7,.6,.6,.7,.7,.8,.7,.7,.9,.9,.8,.7,.6,.9,.7,.7,.9,07
10 INTMP °C,ALPINE,25,26,26,26,26,25,26,25,24,24,24,23,23,23,24,24,24,24,24,25,25,25,25,25,25,26,01
