Current Date:,11/30/2019,6:12 AM,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Daily Parameter Report
11/29/2019
,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Summary
Parameter,Site Name,,,,,,,,,,,,,,,,,,,,,,,,,Avg,Max,Hr. of Max
01 OZONE PPM,ALPINE,.043,.043,C,C,.041,.042,.041,.041,.042,.040,.043,.043,.041,.041,.042,.041,.035,.035,.030,.033,.035,.034,.034,.035,.038,.043,00
,CHULA VISTA,.046,.045,C,C,.044,.044,.042,.033,.035,.038,.042,.044,.043,.043,.042,.042,.040,.038,.039,.028,.021,.018,.024,.020,.036,.046,00
,DOWNTOWN SES,.046,.046,C,C,.038,.037,.032,.030,.033,.037,.040,.043,.044,.044,.041,.042,.040,.034,.034,.027,.011,.025,.016,.016,.034,.046,00
,EL CAJON LES,.036,.033,C,C,C,.029,.030,.032,.034,.037,.037,.040,.041,.042,.041,.038,.031,.022,.028,.028,.018,.007,.011,.007,.029,.042,13
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.041,,,,,.030,.034,,.035,.036,.038,.042,,.042,.042,.043,.038,,,.020,.018,.020,,<,.034,.043,15
,OTAY MESA DVN,.043,.043,C,C,.044,.038,.030,.039,.038,.041,.041,.044,.044,.044,.041,.040,.035,.026,.036,.035,.035,.034,.032,.033,.038,.044,04
,PENDLETON,.041,.038,C,C,.034,.029,.025,.027,.027,.031,.034,.037,.037,.039,.039,.039,.035,.029,.025,.023,.020,.020,.018,.017,.030,.041,00
02 NOX PPM,ALPINE,C,C,C,C,.001,.001,.001,.002,.001,.004,.002,.002,.003,.003,.002,.001,.004,.004,.007,.004,.002,.002,.002,.001,.002,.007,18
,CARMEL MT RCH,.006,.007,C,C,.010,.013,.012,.009,.009,.009,.007,.014,.014,.011,.012,.013,.021,.016,.017,.021,.019,.017,.017,.019,.013,.021,16
,CHULA VISTA,.001,.001,C,C,.001,.002,.002,.006,.006,.005,.003,.002,.002,.002,.002,.002,.004,.005,.004,.010,.015,.014,.010,.011,.005,.015,20
,DOWNTOWN SES,.002,.002,C,C,.003,.006,.008,.010,.009,.008,.007,.004,.003,.003,.005,.004,.005,.009,.009,.014,.027,.015,.019,.016,.009,.027,20
,EL CAJON LES,.004,.004,C,C,C,.006,.013,.006,.006,.004,.004,.004,.003,.002,.003,.005,.010,.015,.009,.006,.010,.020,.013,.015,.008,.020,21
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.002,,,,,.006,.005,,.006,.006,.007,.002,,.003,.002,.002,.004,,,.013,.009,.007,,<,.005,.013,19
,OTAY MESA DVN,.003,.003,C,C,.002,.009,.016,.006,.008,.004,.004,.002,.002,.002,.004,.004,.008,.017,.006,.005,.006,.005,.006,.005,.006,.017,17
,PENDLETON,.000,.002,C,C,.004,.005,.010,.009,.007,.006,.004,.002,.002,.001,.000,.000,.002,.004,.006,.005,.006,.006,.006,.004,.004,.010,06
03 NO2 PPM,ALPINE,C,C,C,C,.001,.001,.001,.002,.001,.003,.001,.002,.003,.002,.002,.001,.004,.004,.007,.004,.002,.002,.002,.001,.002,.007,18
,CARMEL MT RCH,.005,.005,C,C,.008,.011,.011,.008,.007,.006,.005,.007,.007,.006,.006,.007,.013,.012,.013,.016,.015,.014,.013,.015,.010,.016,19
,CHULA VISTA,.001,.001,C,C,.001,.001,.002,.005,.005,.004,.003,.002,.002,.002,.002,.002,.003,.004,.003,.010,.014,.014,.010,.011,.005,.014,20
