Current Date:,11/12/2019,6:12 AM,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Daily Parameter Report
11/11/2019
,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Summary
Parameter,SiteName,,,,,,,,,,,,,,,,,,,,,,,,,Avg,Max,Hr. of Max
01 OZONE PPM,ALPINE,.051,.056,C,C,.055,.057,.052,.048,.043,.046,.048,.050,.061,.066,.066,.063,.058,.051,.049,.047,.048,.049,.046,.043,.052,.066,13
,CHULA VISTA,.031,.030,C,C,.032,.033,.031,.030,.032,.034,.041,.050,.052,.052,.049,.047,.047,.046,.041,.028,.016,.002,.002,.004,.033,.052,12
,DOWNTOWN SES,.042,.039,C,C,.034,.034,.030,.027,.029,.032,.042,.049,.049,.048,.046,.045,.043,.041,.039,.036,.032,.021,.019,.022,.036,.049,11
,EL CAJON LES,.033,.028,C,C,C,.018,.016,.017,.022,.026,.035,.048,.054,.054,.054,.050,.042,.032,.030,.025,.021,.018,.011,.006,.030,.054,12
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.043,.041,C,C,.038,.034,.035,.033,.034,.036,.040,.047,.050,.051,.052,.053,.045,.039,.034,.030,.021,.017,.014,.012,.036,.053,15
,OTAY MESA DVN,M,C,C,C,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
,PENDLETON,.041,.040,C,C,.028,.027,.027,.028,.029,.034,.041,.043,.044,.045,.046,.046,.046,.047,.044,.020,.028,.028,.026,.022,.035,.047,17
02 NOX PPM,ALPINE,.005,.002,C,C,.002,.002,.004,.006,.012,.010,.006,.007,.006,.007,.009,.009,.009,.011,.011,.010,.006,.002,.001,.001,.006,.012,08
,CARMEL MT RCH,.008,.004,C,C,.009,.017,.023,.013,.010,.020,.033,.027,.022,.022,.026,.026,.030,.026,.024,.017,.021,.026,.043,.038,.022,.043,22
,CHULA VISTA,.008,.008,C,C,.005,.005,.006,.006,.007,.009,.010,.006,.004,.004,.004,.003,.003,.004,.006,.011,.021,.035,.030,.022,.010,.035,21
,DOWNTOWN SES,.005,.005,C,C,.007,.007,.008,.011,.014,.017,.013,.009,.007,.009,.013,.013,.012,.013,.013,.014,.014,.021,.020,.017,.012,.021,21
,EL CAJON LES,.003,.003,C,C,C,.005,.007,.008,.008,.012,.014,.010,.011,.009,.008,.010,.012,.013,.011,.012,.012,.012,.016,.018,.010,.018,23
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.003,.003,C,C,.005,.006,.005,.007,.009,.012,.015,.010,.007,.005,.005,.006,.008,.009,.010,.011,.014,.014,.013,.014,.009,.015,10
,OTAY MESA DVN,M,C,C,C,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
,PENDLETON,.003,.003,C,C,.004,.004,.005,.004,.004,.004,.003,.003,.003,.002,.002,.001,.001,.001,.004,.027,.013,.006,.009,.009,.005,.027,19
03 NO2 PPM,ALPINE,.005,.002,C,C,.002,.002,.004,.006,.009,.008,.005,.006,.005,.006,.008,.008,.009,.011,.011,.010,.006,.002,.001,.001,.006,.011,17
,CARMEL MT RCH,.007,.004,C,C,.007,.011,.014,.009,.007,.012,.018,.016,.014,.014,.017,.017,.020,.018,.017,.013,.017,.021,.033,.027,.015,.033,22
,CHULA VISTA,.008,.008,C,C,.005,.005,.006,.006,.006,.007,.008,.005,.003,.003,.003,.003,.003,.004,.006,.011,.020,.031,.026,.021,.009,.031,21
,DOWNTOWN SES,.005,.005,C,C,.007,.007,.008,.010,.011,.013,.011,.008,.006,.008,.011,.012,.012,.013,.013,.014,.014,.020,.019,.017,.011,.020,21
,EL CAJON LES,.003,.003,C,C,C,.005,.007,.007,.007,.010,.011,.009,.010,.008,.008,.009,.012,.013,.011,.012,.012,.013,.015,.016,.010,.016,23
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.004,.003,C,C,.005,.006,.006,.007,.007,.009,.012,.008,.006,.005,.005,.006,.008,.009,.010,.011,.014,.014,.013,.014,.008,.014,20
,OTAY MESA DVN,M,C,C,C,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
,PENDLETON,.003,.003,C,C,.004,.004,.005,.004,.004,.004,.003,.003,.003,.002,.002,.001,.001,.001,.004,.026,.013,.006,.008,.008,.005,.026,19
04 NO PPM,ALPINE,.000,.000,C,C,.000,.000,.000,.001,.002,.002,.001,.001,.000,.000,.001,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.002,08
,CARMEL MT RCH,.001,.000,C,C,.002,.007,.009,.004,.003,.008,.016,.011,.009,.008,.010,.009,.010,.008,.007,.004,.004,.005,.011,.011,.007,.016,10
,CHULA VISTA,.000,.000,C,C,.000,.000,.000,.001,.001,.002,.002,.001,.000,.000,.000,.000,.000,.000,.000,.000,.000,.004,.004,.002,.001,.004,21
,DOWNTOWN SES,.000,.000,C,C,.000,.000,.000,.001,.003,.004,.002,.001,.001,.001,.002,.001,.000,.000,.000,.000,.000,.001,.000,.000,.001,.004,09
,EL CAJON LES,.000,.000,C,C,C,.000,.000,.001,.001,.002,.003,.001,.001,.001,.001,.001,.000,.000,.000,.000,.000,.000,.001,.002,.001,.003,10
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.000,.000,C,C,.000,.000,.000,.000,.001,.002,.003,.001,.001,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.003,10
,OTAY MESA DVN,M,C,C,C,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
,PENDLETON,.000,.000,C,C,.000,.000,.000,.000,.001,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.001,.001,.000,.001,.000,.000,.001,08
06 CO PPM,CARMEL MT RCH,.5,.5,C,C,C,.5,.6,.5,.4,.6,.6,.6,.6,.6,.7,.7,.7,.7,.7,.6,.6,.8,1.1,.9,.6,1.1,22
10 INTMP °C,ALPINE,26,26,26,26,26,26,26,26,25,24,24,24,24,24,24,24,24,24,25,25,25,25,25,26,25,26,00
,CARMEL MT RCH,26,26,26,26,26,26,26,26,26,25,25,25,25,25,25,25,25,25,26,26,26,26,26,27,26,27,23
,CHULA VISTA,24,24,24,24,24,23,24,23,24,23,23,23,23,23,23,23,23,23,23,24,24,24,24,24,24,24,00
,DOWNTOWN SES,25,25,24,25,25,25,25,25,25,24,23,23,23,23,23,23,23,24,24,24,24,25,24,25,24,25,00
,EL CAJON LES,26,26,26,26,26,26,26,26,26,26,26,26,26,25,25,25,25,25,26,26,26,26,26,26,26,26,00
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,25,25,25,25,25,24,25,24,25,24,24,24,24,24,24,24,24,24,24,24,25,25,25,25,24,25,00
