Current Date:,11/13/2019,6:12 AM,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Daily Parameter Report
11/12/2019
,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Summary
Parameter,SiteName,,,,,,,,,,,,,,,,,,,,,,,,,Avg,Max,Hr. of Max
,CARMEL MT RCH,27,26,27,26,26,27,27,26,26,25,24,25,25,25,25,25,25,26,26,26,26,26,26,26,26,27,00
,CHULA VISTA,24,24,24,23,23,23,23,24,24,23,23,23,23,23,23,23,23,23,24,24,24,23,24,24,23,24,00
,DOWNTOWN SES,25,25,25,25,25,25,25,25,25,24,24,23,23,23,23,23,23,24,24,24,24,25,24,25,24,25,00
,EL CAJON LES,26,27,27,26,26,27,27,27,27,27,27,26,26,26,25,25,25,26,26,26,26,26,26,27,26,27,01
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,25,25,25,25,25,25,25,25,24,24,24,24,24,24,24,24,24,24,24,24,25,24,25,25,24,25,00
,OTAY MESA DVN,27,27,27,27,27,27,27,27,27,27,27,26,26,25,25,24,24,25,26,26,26,27,27,27,26,27,00
,PENDLETON,26,26,26,26,26,26,26,26,26,26,25,25,25,25,25,25,25,25,26,26,26,26,26,26,26,26,00
11 PM2.5 µg/M3,ALPINE,-.2,-3.3,2.4,3.1,6.8,5.3,1.8,2.9,1.8,-1.2,-1.5,.1,1.3,3.6,5.1,6.9,11.1,9.3,9.8,10.6,9.1,5.3,2.7,6.0,4.1,11.1,16
,DOWNTOWN SES,15.9,11.5,8.2,11.1,12.4,14.0,11.7,15.3,14.4,12.2,11.8,14.0,24.1,26.7,27.6,31.4,40.7,28.9,24.1,24.0,25.7,26.6,34.1,30.8,20.7,40.7,16
,EL CAJON LES,15.9,12.6,13.9,12.8,11.3,9.9,11.9,19.8,14.7,11.4,11.9,10.5,7.4,6.9,9.3,10.2,20.7,23.6,27.5,34.6,31.5,40.4,42.2,44.1,18.9,44.1,23
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OTAY MESA DVN,26.7,31.1,39.5,62.4,40.4,35.5,40.1,33.2,62.4,46.3,32.3,15.2,19.4,16.9,21.8,22.9,29.2,28.8,35.3,50.6,16.1,12.7,11.8,17.1,31.1,62.4,03
,PENDLETON,3.3,1.9,1.2,.7,2.0,1.4,-.1,-.9,1.1,.9,-.4,.6,2.6,4.7,4.8,2.7,1.3,4.7,4.4,4.2,3.4,2.9,4.0,1.1,2.1,4.8,14
12 VWDR °,ALPINE,58,350,75,13,3,291,338,357,254,305,313,303,297,302,277,278,281,346,78,340,95,96,332,5,224,357,07
,CHULA VISTA,96,24,22,54,60,59,91,9,317,330,332,261,249,248,258,239,264,273,216,138,120,118,17,6,158,332,10
,DOWNTOWN SES,55,358,358,355,356,8,20,295,5,314,338,282,273,270,290,292,294,316,318,331,338,329,5,357,257,358,01
,EL CAJON LES,96,117,110,202,108,100,154,321,320,333,331,331,253,246,258,252,217,174,138,228,105,200,80,199,203,333,09
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,45,25,9,348,337,329,333,324,313,323,329,326,321,299,299,301,303,294,315,325,336,348,338,24,273,348,03
,OTAY MESA DVN,107,68,88,133,156,37,154,305,181,312,314,303,297,300,299,326,317,323,329,310,238,333,5,37,220,333,21
,PENDLETON,42,71,59,65,63,68,71,59,68,303,298,289,295,294,295,273,294,283,297,312,328,1,31,63,176,328,20
13 SIGTHETA °,ALPINE,43,27,44,36,72,78,62,44,27,27,24,22,26,24,26,27,28,17,24,28,14,15,20,17,32,78,05
,CHULA VISTA,32,33,21,23,23,23,22,40,46,39,35,20,24,25,24,25,18,31,26,24,16,46,21,43,28,46,08
,DOWNTOWN SES,20,20,24,23,29,27,20,38,31,48,31,23,23,15,19,18,16,22,21,19,20,36,20,32,25,48,09
,EL CAJON LES,31,42,39,47,41,26,40,73,42,41,65,50,31,23,23,19,17,26,39,49,39,44,31,29,38,73,07
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,11,28,10,13,15,24,25,54,23,21,18,13,17,17,16,13,9,9,12,14,16,19,29,14,18,54,07
,OTAY MESA DVN,14,19,35,27,30,42,36,46,33,24,22,15,12,12,13,18,14,14,43,43,35,22,16,19,25,46,07
,PENDLETON,11,13,13,12,10,11,11,12,25,31,20,20,21,19,19,16,18,18,18,21,29,28,49,39,20,49,22
14 VWSP MPH,ALPINE,1.6,1.3,.7,1.1,.5,.6,.9,.7,.9,2.7,3.5,4.6,4.7,5.3,4.4,3.9,2.3,1.8,1.4,1.2,1.5,.8,.4,.6,2.0,5.3,13
,CHULA VISTA,1.1,.7,1.6,.9,.9,1.1,.8,.9,1.0,1.9,2.5,4.7,4.3,4.0,3.6,2.9,3.4,1.5,.9,.5,1.0,.4,1.3,.8,1.8,4.7,11
,DOWNTOWN SES,1.6,2.1,2.4,2.3,1.4,1.3,1.7,.5,1.8,1.5,3.1,4.7,5.1,5.9,6.2,5.1,5.5,3.5,2.8,3.8,2.3,1.7,2.6,1.6,2.9,6.2,14
,EL CAJON LES,1.3,.3,1.0,.3,1.2,.7,.2,.1,.7,.8,.5,1.6,3.3,5.0,4.4,4.0,3.1,2.5,.5,.1,.7,.4,.0,.3,1.4,5.0,13
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,1.2,1.0,3.2,3.6,2.8,1.9,2.5,1.6,2.9,4.0,5.6,7.8,7.0,6.2,6.5,6.3,6.5,5.3,3.6,4.5,4.4,3.2,2.2,2.6,4.0,7.8,11
,OTAY MESA DVN,2.1,1.7,1.6,2.0,1.6,.7,1.2,.7,1.7,2.5,4.0,6.6,8.5,6.7,5.7,4.6,4.6,3.4,.8,.5,.3,1.0,1.4,1.5,2.7,8.5,12
,PENDLETON,4.0,3.5,3.4,4.0,3.8,3.8,4.8,4.3,2.4,2.3,4.1,4.1,4.0,4.5,4.4,3.7,4.1,2.8,3.3,3.4,2.0,1.8,.5,1.6,3.4,4.8,06
15 SWSP MPH,ALPINE,2.5,1.6,1.3,1.5,1.8,2.0,1.6,1.6,1.6,3.0,3.8,5.0,5.2,5.8,4.9,4.3,2.7,1.9,1.6,1.4,1.6,.8,.5,1.1,2.5,5.8,13
,CHULA VISTA,1.3,.9,1.7,1.0,1.1,1.1,.9,1.1,1.4,2.5,3.1,5.0,4.8,4.4,4.0,3.2,3.6,1.7,.9,.7,1.0,.8,1.4,1.4,2.0,5.0,11
,DOWNTOWN SES,1.9,2.3,2.7,2.5,1.8,1.5,1.8,1.4,2.1,2.6,4.0,5.1,5.5,6.2,6.7,5.4,5.8,3.8,3.0,4.0,2.5,2.2,2.8,2.0,3.3,6.7,14
,EL CAJON LES,1.5,.7,1.1,.4,1.3,.9,.5,.4,1.1,1.3,1.4,2.2,3.9,5.4,4.8,4.2,3.3,2.7,1.0,.3,.9,.9,.7,.9,1.7,5.4,13
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,1.2,1.2,3.3,3.8,3.0,2.1,2.7,2.4,3.1,4.4,5.9,8.1,7.3,6.6,6.9,6.6,6.7,5.4,3.7,4.7,4.6,3.5,2.7,3.0,4.3,8.1,11
,OTAY MESA DVN,2.3,2.6,2.9,2.5,1.9,.9,1.4,1.0,2.1,2.8,4.2,6.8,8.7,6.9,5.8,5.0,4.9,3.6,1.4,.9,.4,1.5,1.5,1.6,3.1,8.7,12
,PENDLETON,4.1,3.7,3.6,4.1,3.9,3.8,4.9,4.4,2.6,2.7,4.4,4.4,4.3,4.8,4.7,3.9,4.4,3.1,3.6,3.6,2.5,2.1,1.0,1.8,3.6,4.9,06
16 AMBTEMP °F,ALPINE,65.5,66.1,65.2,67.2,66.2,67.5,67.7,71.7,76.9,79.6,81.7,82.4,83.8,83.2,83.2,80.6,74.9,69.2,67.3,67.2,65.9,66.7,66.2,65.9,72.2,83.8,12
,CARMEL MT RCH,53.9,52.9,53.0,53.1,51.5,49.9,49.7,52.6,58.0,62.0,67.6,71.7,76.0,79.0,76.6,73.8,68.2,63.9,61.3,58.3,56.8,56.2,55.8,55.7,60.7,79.0,13
,CHULA VISTA,54.6,54.7,55.6,54.7,53.9,52.0,51.4,53.3,56.8,61.4,66.6,68.7,69.9,70.1,69.3,69.1,66.3,64.2,62.7,61.5,60.4,59.3,59.0,58.8,60.6,70.1,13
,DOWNTOWN SES,57.1,58.1,58.0,57.5,56.9,56.7,56.3,56.3,57.1,60.9,66.6,70.5,71.6,70.9,69.4,69.0,65.6,64.0,62.7,61.6,60.3,60.2,60.2,60.0,62.0,71.6,12
,EL CAJON LES,51.9,51.3,49.8,49.3,47.9,47.3,47.5,51.0,58.1,65.7,72.0,78.2,82.7,83.6,83.9,81.9,76.1,69.1,66.1,63.6,60.8,59.2,57.4,55.9,62.9,83.9,14
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,54.0,53.5,56.1,56.6,55.8,55.4,54.8,54.4,55.2,57.1,64.6,70.5,74.9,76.2,74.2,71.8,66.1,61.3,59.8,59.2,59.2,59.0,58.7,57.9,61.1,76.2,13
,OTAY MESA DVN,56.1,55.8,54.7,55.0,53.4,52.0,51.9,53.1,58.1,66.2,71.5,75.3,74.9,75.6,74.7,72.9,68.8,64.6,61.8,60.9,58.8,57.6,58.3,57.7,62.1,75.6,13
,PENDLETON,55.6,56.3,55.9,54.9,54.3,54.1,53.4,54.6,57.6,61.0,61.6,62.0,62.7,63.9,64.4,63.8,63.6,64.1,64.2,63.9,63.0,62.1,61.3,61.7,60.0,64.4,14
17 RELHUM %,ALPINE,15,15,16,15,15,15,14,13,12,10,10,10,12,17,14,17,25,31,31,32,27,21,21,23,18,32,19
,EL CAJON LES,89,89,90,90,90,89,88,86,67,44,36,28,22,20,23,27,48,65,72,76,81,87,89,93,66,93,23
,KEARNY MESA,95,95,96,98,99,99,99,99,99,99,77,56,50,48,52,58,77,92,95,97,98,98,98,98,86,99,04
18 PRES mmHg,EL CAJON LES,750,750,750,750,750,750,750,751,751,751,750,749,749,748,748,748,748,749,749,749,749,749,750,750,750,751,07
,KEARNY MESA,748,748,748,748,748,748,748,749,749,749,748,748,747,746,746,746,746,747,747,748,748,748,748,747,748,749,07
19 SOLAR W/M2,EL CAJON LES,0,0,0,0,0,0,19,243,419,532,628,655,608,518,386,186,33,-4,-3,-2,-1,-1,-1,1,176,655,11
,KEARNY MESA,0,1,1,0,0,0,13,79,185,451,640,674,639,547,403,218,42,0,0,1,0,0,0,0,162,674,11
25 NOY,EL CAJON LES,12.46,13.59,12.49,11.96,13.91,C,C,32.51,32.91,27.74,25.14,32.67,15.53,9.93,13.62,14.37,24.60,24.70,26.60,37.02,33.45,29.91,32.19,26.81,22.91,37.02,19
26 NOY-NO,EL CAJON LES,12.25,13.24,11.97,11.60,12.54,C,C,15.12,20.46,17.99,17.31,23.12,12.13,8.47,11.99,13.22,23.80,24.45,26.53,36.00,32.71,29.52,31.08,26.63,19.64,36.00,19
27 NO Trace,EL CAJON LES,.21,.35,.52,.35,1.36,C,C,17.38,12.45,9.75,7.83,9.54,3.38,1.46,1.63,1.14,.80,.25,.07,1.01,.73,.39,1.10,.17,3.26,17.38,07
28 SO2 Tr PPB,EL CAJON LES,.0,.0,C,C,C,.0,.0,.0,.1,.1,.1,M,M,M,.1,.1,.2,.1,C,C,.0,.0,.0,.0,.0,.2,16
29 CO Tr PPB,EL CAJON LES,402.0,406.9,C,C,C,453.2,660.1,718.9,598.8,544.5,512.3,621.5,416.4,323.5,378.7,418.8,593.4,521.4,C,C,757.8,719.6,747.9,689.8,551.8,757.8,20
BCarbon ng/m3,DOWNTOWN SES,1139.4,720.9,537.9,586.5,662.2,653.3,707.3,895.0,1024.8,1212.9,996.9,1265.1,1674.3,1563.6,1467.8,1665.9,1807.9,1400.1,1109.9,1026.4,1035.6,1030.5,1055.9,1001.9,1093.4,1807.9,16
