Current Date:,11/15/2019,6:12 AM,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Daily Parameter Report
11/14/2019
,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Summary
Parameter,SiteName,,,,,,,,,,,,,,,,,,,,,,,,,Avg,Max,Hr. of Max
01 OZONE PPM,ALPINE,.056,.057,C,C,.051,.045,.047,.047,.049,.046,.049,.049,.051,.055,.059,.058,.051,.045,.036,.042,.044,.045,.050,.052,.049,.059,14
,CHULA VISTA,.002,.001,C,C,.029,.018,.009,.014,.020,.031,.039,.041,.047,.050,.051,.048,.038,.036,.033,.031,.015,.021,.014,.012,.027,.051,14
,DOWNTOWN SES,.009,.020,C,C,.038,.036,.028,.023,.031,.037,.038,.043,.045,.048,.050,.044,.042,.043,.036,.036,.035,.024,.014,.013,.033,.050,14
,EL CAJON LES,.005,.002,C,C,C,.008,.004,.007,.012,.018,.030,.039,.048,.051,.051,.049,.045,.039,.036,.031,.027,.016,.008,.012,.025,.051,13
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.012,.014,C,C,.026,.011,.004,.027,.033,.033,.043,.046,.051,.053,.053,.049,.042,.041,.041,.036,.033,.016,.011,.013,.031,.053,13
,OTAY MESA DVN,.003,.005,C,C,.002,.004,.012,.015,.020,.019,.028,.047,M,M,M,M,.047,.034,.024,.024,.020,.016,.011,.016,.019,.047,11
,PENDLETON,.031,.032,C,C,.022,.024,.016,.014,.021,.027,.035,.040,.043,M,.042,.046,.041,.040,.040,.029,.019,.014,.017,.016,.029,.046,15
02 NOX PPM,ALPINE,.001,.001,C,C,.001,.005,.003,.003,.005,.009,.003,.003,.005,.006,.007,.009,.010,.012,.017,.011,.009,.007,.003,.002,.006,.017,18
,CARMEL MT RCH,.038,.025,C,C,.010,.035,.048,.034,.021,.023,.046,.035,.030,.030,.029,.026,.025,.024,.024,.020,.023,.031,.033,.022,.029,.048,06
,CHULA VISTA,.031,.022,C,C,.007,.010,.019,.020,.018,.015,.014,.014,.008,.009,.009,.011,.011,.011,.016,.012,.025,.018,.020,.019,.015,.031,00
,DOWNTOWN SES,.022,.013,C,C,.004,.005,.012,.018,.014,.011,.014,.012,.015,.015,.013,.010,.007,.009,.010,.009,.011,.016,.023,.023,.013,.023,22
,EL CAJON LES,.016,.016,C,C,C,.015,.020,.026,.023,.025,.020,.018,.011,.012,.015,.010,.011,.009,.011,.014,.015,.017,.019,.013,.016,.026,07
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.015,.010,C,C,.006,.016,.026,.013,.009,.013,.012,.010,.009,.008,.007,.007,.006,.010,.008,.009,.010,.020,.020,.016,.012,.026,06
,OTAY MESA DVN,.041,.036,C,C,.040,.033,.015,.018,.026,.057,.045,.017,M,M,M,M,.010,.010,.015,.013,.028,.023,.029,.026,.027,.057,09
,PENDLETON,.007,.005,C,C,.006,.012,.012,.034,.011,.007,.006,.005,.005,M,.009,.007,.006,.005,.003,.011,.015,.018,.012,.012,.010,.034,07
03 NO2 PPM,ALPINE,.001,.001,C,C,.001,.004,.003,.003,.004,.007,.003,.003,.005,.005,.006,.009,.010,.012,.016,.011,.008,.007,.003,.002,.006,.016,18
,CARMEL MT RCH,.022,.016,C,C,.009,.019,.021,.020,.013,.013,.026,.020,.018,.019,.017,.016,.017,.017,.017,.014,.017,.024,.024,.018,.018,.026,10
,CHULA VISTA,.021,.018,C,C,.007,.010,.016,.015,.013,.011,.011,.011,.007,.008,.008,.010,.010,.010,.012,.012,.024,.018,.020,.019,.013,.024,20
,DOWNTOWN SES,.020,.013,C,C,.004,.005,.011,.015,.011,.009,.011,.010,.012,.012,.012,.009,.007,.009,.010,.009,.011,.015,.022,.023,.012,.023,23
,EL CAJON LES,.015,.014,C,C,C,.015,.017,.019,.017,.017,.015,.014,.009,.010,.013,.009,.010,.009,.011,.013,.015,.017,.018,.012,.014,.019,07
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.015,.009,C,C,.006,.014,.020,.011,.008,.010,.010,.009,.008,.007,.006,.006,.006,.010,.008,.009,.010,.019,.020,.016,.011,.020,06
,OTAY MESA DVN,.032,.028,C,C,.029,.024,.012,.014,.019,.033,.030,.013,M,M,M,M,.009,.009,.013,.012,.018,.019,.027,.018,.020,.033,09
,PENDLETON,.006,.005,C,C,.006,.010,.011,.014,.007,.006,.005,.004,.004,M,.008,.006,.006,.005,.003,.010,.015,.016,.012,.012,.008,.016,21
04 NO PPM,ALPINE,.000,.000,C,C,.000,.001,.000,.000,.002,.002,.001,.000,.001,.001,.001,.001,.000,.000,.000,.000,.001,.000,.000,.000,.001,.002,08
,CARMEL MT RCH,.016,.008,C,C,.001,.016,.028,.014,.008,.009,.020,.016,.012,.012,.012,.010,.009,.007,.007,.006,.006,.007,.009,.004,.011,.028,06
,CHULA VISTA,.010,.004,C,C,.000,.000,.003,.004,.005,.004,.003,.003,.001,.001,.001,.001,.001,.000,.004,.000,.001,.000,.000,.000,.002,.010,00
,DOWNTOWN SES,.002,.000,C,C,.000,.000,.001,.003,.003,.003,.003,.003,.003,.002,.002,.001,.000,.000,.000,.000,.000,.001,.001,.001,.001,.003,07
,EL CAJON LES,.001,.001,C,C,C,.001,.003,.006,.006,.008,.005,.004,.002,.002,.002,.001,.000,.000,.000,.000,.000,.000,.001,.000,.002,.008,09
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.000,.000,C,C,.000,.002,.006,.002,.001,.003,.002,.002,.001,.001,.001,.001,.000,.000,.000,.000,.000,.001,.000,.000,.001,.006,06
,OTAY MESA DVN,.009,.008,C,C,.011,.009,.002,.004,.007,.024,.015,.004,M,M,M,M,.001,.001,.002,.001,.010,.004,.002,.008,.007,.024,09
,PENDLETON,.001,.000,C,C,.000,.002,.001,.019,.004,.002,.001,.001,.000,M,.002,.001,.000,.000,.000,.000,.000,.002,.000,.001,.002,.019,07
06 CO PPM,CARMEL MT RCH,1.4,.6,C,C,C,.8,.9,.7,.6,.6,.6,.6,.6,.6,.7,.6,.4,.5,.6,.5,.6,.7,1.1,1.9,.7,1.9,23
10 INTMP °C,ALPINE,26,26,26,26,26,25,26,26,25,24,24,24,24,24,24,24,24,24,25,25,25,25,26,26,25,26,00
,CARMEL MT RCH,27,27,26,26,27,27,27,26,26,26,25,25,25,25,25,25,25,26,26,26,26,26,26,26,26,27,00
,CHULA VISTA,23,23,24,24,24,24,24,23,24,23,23,23,23,23,23,23,23,24,24,24,24,24,24,24,24,24,02
,DOWNTOWN SES,24,24,24,23,24,23,24,24,23,23,23,22,22,22,22,22,22,23,23,23,23,24,23,24,23,24,00
,EL CAJON LES,27,27,27,27,27,27,26,26,26,27,27,26,26,25,26,26,26,26,26,26,27,27,27,27,26,27,00
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,25,25,25,25,24,25,25,25,24,24,24,24,24,24,24,24,24,24,24,24,25,25,25,25,24,25,00
,OTAY MESA DVN,27,27,26,26,26,26,26,26,27,27,27,26,26,25,25,24,24,25,25,26,26,26,26,26,26,27,00
,PENDLETON,26,26,26,26,26,26,26,26,26,25,24,24,24,24,24,25,25,25,26,26,26,26,26,26,25,26,00
11 PM2.5 µg/M3,ALPINE,2.9,2.2,4.2,6.0,5.6,2.9,4.6,5.4,2.4,-.6,-2.1,-1.8,M,8.1,5.8,5.9,9.8,11.6,16.2,16.6,11.8,8.8,11.6,6.1,6.2,16.6,19
,DOWNTOWN SES,13.1,15.0,11.7,14.9,11.8,16.8,17.8,15.7,12.8,19.8,14.7,14.7,16.4,17.6,20.2,7.5,12.5,15.6,10.1,8.1,11.2,10.8,11.2,16.0,14.0,20.2,14
,EL CAJON LES,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,9.2,14.0,11.8,16.2,25.2,22.7,22.4,22.7,18.8,18.1,25.2,19
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OTAY MESA DVN,36.4,28.6,30.0,53.2,39.8,34.5,21.8,19.0,23.6,46.1,35.4,13.8,19.1,16.8,18.8,18.4,14.5,9.0,18.4,16.2,16.5,19.9,45.3,16.9,25.5,53.2,03
,PENDLETON,2.1,1.5,3.2,2.9,2.0,1.5,-.4,4.8,4.3,1.0,1.3,.6,1.2,.9,M,-.7,1.1,1.9,2.2,1.7,4.8,3.8,1.1,.2,1.8,4.8,07
12 VWDR °,ALPINE,99,91,327,328,84,6,62,333,359,218,288,294,294,304,273,264,328,352,92,339,56,82,70,4,206,359,08
,CHULA VISTA,46,63,50,43,51,38,45,47,38,341,275,265,263,257,271,290,292,319,329,332,13,53,46,49,159,341,09
,DOWNTOWN SES,338,4,85,41,17,352,336,14,20,356,275,290,281,284,289,303,326,328,331,329,347,8,13,23,208,356,09
,EL CAJON LES,99,191,126,81,330,104,119,353,293,M,M,M,M,M,M,M,300,313,307,312,324,118,103,112,211,353,07
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,16,5,24,45,57,71,41,352,19,355,299,295,301,295,306,302,310,323,321,327,356,15,35,30,188,356,20
,OTAY MESA DVN,72,26,37,137,128,32,349,348,356,163,226,307,303,296,292,287,290,312,336,11,18,87,102,30,189,356,08
,PENDLETON,37,36,54,53,72,43,34,49,43,347,271,284,279,287,294,296,303,308,310,330,17,18,21,35,159,347,09
13 SIGTHETA °,ALPINE,24,10,37,30,13,32,20,44,51,45,26,26,23,25,29,33,25,26,16,27,24,46,39,12,28,51,08
,CHULA VISTA,53,31,17,18,20,24,22,16,21,36,43,22,19,20,24,18,18,18,17,16,18,17,13,27,23,53,00
,DOWNTOWN SES,49,45,21,16,44,51,37,19,23,56,49,21,20,21,21,23,22,21,19,20,19,19,19,21,28,56,09
,EL CAJON LES,29,51,54,55,38,25,38,35,42,M,M,M,M,M,M,M,19,15,14,18,25,46,40,20,33,55,03
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,6,9,12,13,8,14,22,13,23,49,45,22,18,14,13,12,11,11,9,9,10,25,11,20,17,49,09
,OTAY MESA DVN,33,21,11,60,27,28,12,12,47,28,68,26,14,14,12,12,11,18,29,35,16,13,26,12,24,68,10
,PENDLETON,14,14,15,15,15,16,12,15,16,38,17,18,17,17,18,17,16,14,13,13,10,8,8,10,15,38,09
14 VWSP MPH,ALPINE,.8,1.4,.3,.3,2.2,.9,1.0,1.0,.8,1.5,3.4,4.1,4.8,4.8,4.1,3.8,1.7,.8,1.1,.9,.8,.7,1.2,1.8,1.8,4.8,12
,CHULA VISTA,.4,.3,2.1,2.4,2.0,1.7,1.4,3.7,4.1,1.8,2.2,5.3,5.4,6.0,5.5,6.6,5.1,3.7,2.3,1.9,1.0,.9,1.0,.9,2.8,6.6,15
,DOWNTOWN SES,.6,.9,.9,1.8,1.6,1.4,1.3,3.1,3.7,1.6,3.3,6.6,6.3,7.5,6.6,6.6,5.3,4.4,3.1,3.7,2.2,1.0,.9,1.4,3.2,7.5,13
,EL CAJON LES,.6,.4,.9,.8,.6,1.0,1.0,.9,.4,M,M,M,M,M,M,M,4.1,4.3,3.6,2.7,.9,.7,.3,1.7,1.5,4.3,17
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
