Current Date:,2/14/2018,6:12 AM,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Daily Parameter Report,,,,,,,,,,,,,,,,,,
2/13/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Summary,,
Parameter,SiteName,,,,,,,,,,,,,,,,,,,,,,,,,Avg,Max,Hr. of Max
01 OZONE PPM,ALPINE,.036,.032,C,C,.040,.039,.038,.028,.033,.045,.045,.045,.044,M,.048,.049,.048,.044,.041,.036,.035,.036,.034,.034,.039,.049,15
,CHULA VISTA,.038,.032,.033,.027,.024,.021,.016,.012,.022,.036,M,M,M,.046,.048,.047,.045,.044,.032,.020,.017,.021,.014,.009,.028,.048,14
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.027,.030,C,C,C,.018,.009,.008,.021,.038,.045,.045,.047,.047,.048,.047,.045,.041,.032,.024,.019,.017,.014,.018,.030,.048,14
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.030,.032,C,C,.022,.021,.021,.020,.031,.041,.045,.043,.043,M,M,.049,.048,.045,.040,.027,.022,.019,.026,.028,.032,.049,15
,OTAY MESA DVN,.045,.043,C,C,.030,.034,.037,.028,<,<,.045,.043,.042,.044,.047,.047,.043,.035,.039,.036,.034,.022,.009,.005,.035,.047,14
,PENDLETON,.029,.029,C,C,.021,.019,.018,.018,.025,.029,.037,.045,M,.042,.043,.040,.041,.039,.034,.024,.024,.029,.027,.026,.030,.045,11
02 NOX PPM,ALPINE,.003,.003,C,C,.000,.001,.003,.010,.008,.001,.001,.001,.001,M,.003,.003,.004,.005,.006,.009,.008,.004,.003,.003,.004,.010,07
,CARMEL MT RCH,.010,.006,C,C,C,.027,.027,.069,.018,.011,M,.030,.032,.035,.033,.029,.024,.027,.033,.029,.036,.048,.033,.020,.029,.069,07
,CHULA VISTA,.003,.005,.004,.011,.008,.009,.021,.026,.017,.009,M,M,M,.005,.002,.002,.002,.003,.011,.021,.021,.016,.019,.020,.011,.026,07
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.007,.005,C,C,C,.010,.019,.029,.018,.002,.000,.000,.001,.005,.004,.005,.005,.007,.011,.013,.016,.018,.019,.011,.010,.029,07
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.004,.003,C,C,.007,.009,.010,.016,.010,.004,.003,.005,.007,M,M,.004,.004,.003,.007,.014,.017,.018,.011,.009,.008,.018,21
,OTAY MESA DVN,.000,.000,C,C,.002,.003,.003,.011,<,<,.004,.006,.007,.006,.005,.004,.005,.009,.004,.004,.004,.012,.026,.033,.007,.033,23
,PENDLETON,.003,.004,C,C,.005,.008,.010,.010,.006,.005,.008,.002,M,.009,.002,.009,.003,.004,.007,.016,.016,.009,.008,.009,.007,.016,19
03 NO2 PPM,ALPINE,.003,.003,C,C,.000,.001,.003,.007,.005,.001,.001,.001,.001,M,.002,.003,.004,.005,.006,.008,.008,.004,.003,.003,.003,.008,19
,CARMEL MT RCH,.008,.005,C,C,C,.019,.019,.026,.011,.007,M,.016,.016,.019,.018,.017,.015,.017,.021,.022,.026,.032,.026,.017,.018,.032,21
,CHULA VISTA,.002,.005,.004,.008,.008,.008,.016,.020,.012,.005,M,M,M,.004,.002,.002,.001,.002,.011,.019,.020,.016,.018,.020,.010,.020,07
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.007,.005,C,C,C,.009,.015,.016,.010,.001,-.001,.000,.000,.003,.003,.004,.004,.005,.011,.013,.015,.018,.018,.010,.008,.018,21
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.004,.003,C,C,.007,.009,.009,.012,.007,.003,.002,.004,.005,M,M,.003,.003,.003,.007,.014,.017,.018,.011,.009,.008,.018,21
,OTAY MESA DVN,.000,.000,C,C,.002,.003,.003,.010,<,<,.003,.004,.005,.005,.004,.003,.004,.009,.004,.004,.004,.012,.025,.032,.007,.032,23
,PENDLETON,.003,.003,C,C,.004,.005,.007,.006,.003,.003,.005,.001,M,.004,.001,.005,.002,.003,.006,.015,.015,.008,.007,.008,.005,.015,19
04 NO PPM,ALPINE,.000,.000,C,C,.000,.000,.000,.003,.002,.000,.001,.000,.000,M,.001,.001,.000,.000,.000,.001,.000,.000,.000,.000,.000,.003,07
,CARMEL MT RCH,.002,.000,C,C,C,.008,.009,.043,.008,.004,M,.013,.016,.017,.016,.013,.009,.010,.012,.007,.010,.016,.006,.003,.011,.043,07
,CHULA VISTA,.000,.000,.000,.003,.000,.001,.006,.007,.005,.004,M,M,M,.001,.000,.001,.000,.000,.000,.001,.001,.000,.000,.000,.001,.007,07
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.000,.000,C,C,C,.000,.004,.013,.008,.001,.000,.001,.001,.002,.001,.001,.002,.001,.001,.000,.001,.001,.001,.000,.002,.013,07
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.000,.000,C,C,.000,.000,.000,.004,.003,.001,.001,.001,.002,M,M,.001,.000,.000,.000,.000,.000,.000,.000,.000,.001,.004,07
,OTAY MESA DVN,.000,.000,C,C,.000,.001,.000,.002,<,<,.001,.001,.001,.001,.001,.001,.001,.000,.000,.000,.000,.001,.001,.002,.001,.002,07
,PENDLETON,.000,.000,C,C,.001,.003,.003,.003,.003,.002,.003,.001,M,.005,.001,.005,.002,.001,.000,.001,.001,.001,.000,.001,.002,.005,13
06 CO PPM,CARMEL MT RCH,.5,.4,C,C,C,.7,.7,1.3,.5,.5,M,.3,.5,.5,.5,.5,.4,.6,.7,.6,.7,.8,.7,.4,.6,1.3,07
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
10 INTMP °C,ALPINE,25,25,25,25,25,24,24,24,24,24,25,25,26,25,26,26,26,25,26,26,26,26,26,26,25,26,12
,CARMEL MT RCH,25,25,25,24,25,24,24,24,24,24,24,24,24,24,24,24,24,24,25,24,25,25,25,24,24,25,00
,CHULA VISTA,24,24,24,24,24,25,24,24,25,25,24,25,24,23,25,25,25,25,25,25,25,25,25,25,25,25,05
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,26,26,26,26,26,26,26,26,26,26,26,26,26,25,25,26,26,26,26,26,26,26,26,26,26,26,00
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,25,24,25,25,25,24,24,24,24,25,24,24,24,24,24,24,25,25,25,25,25,25,25,25,25,25,00
,OTAY MESA DVN,25,25,25,25,25,25,25,25,25,25,25,24,24,24,24,24,24,24,24,24,25,25,25,25,25,25,00
,PENDLETON,25,25,24,24,24,24,24,24,23,24,25,25,25,25,25,25,26,26,26,26,26,25,25,25,25,26,16
,SAN YSIDRO,,,,,,,,,,,,,,,,,,,,,,,,,,,
11 PM2.5 µg/M3,ALPINE,3.5,5.1,4.4,3.0,1.8,.2,1.0,2.8,1.7,2.4,3.5,5.7,8.0,3.8,6.4,9.9,7.6,5.1,6.8,7.4,7.2,8.1,8.1,7.4,5.0,9.9,15
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,6.7,5.3,3.8,3.9,4.3,5.1,4.0,3.9,3.3,3.1,1.5,-1.6,1.9,6.0,7.1,4.0,1.2,4.6,3.6,3.8,5.9,11.8,8.6,8.0,4.5,11.8,21
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OTAY MESA DVN,4.4,2.5,4.9,4.3,7.0,7.9,6.2,10.1,7.8,4.0,5.7,4.6,10.7,6.5,4.1,4.8,4.0,4.4,4.3,3.9,7.8,9.9,26.4,27.1,7.6,27.1,23
,PENDLETON,7.4,6.7,5.4,10.1,9.6,7.4,6.4,5.8,5.6,6.8,6.3,3.0,4.4,6.1,6.2,5.2,4.2,6.0,7.2,6.5,6.5,6.9,9.7,14.1,6.8,14.1,23
,SAN YSIDRO,,,,,,,,,,,,,,,,,,,,,,,,,,,
12 VWDR °,ALPINE,119,142,106,101,108,100,88,89,140,149,160,168,182,183,227,240,246,265,359,63,253,299,124,85,167,359,18
,CHULA VISTA,137,57,69,22,45,49,59,80,66,96,180,242,254,253,248,254,249,248,357,19,44,38,17,56,131,357,18
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,39,351,330,289,295,347,149,107,63,27,167,187,170,204,217,247,232,226,160,109,187,15,77,71,178,351,01
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,33,47,62,46,79,72,70,113,122,109,137,215,272,244,242,232,225,207,16,31,21,29,23,48,112,272,12
,OTAY MESA DVN,55,87,111,95,343,54,304,50,329,136,136,163,201,182,284,292,303,240,0,17,350,20,87,94,164,350,20
,PENDLETON,68,61,40,48,46,39,42,40,40,47,212,242,248,256,251,268,278,295,11,33,53,45,31,38,114,295,17
13 SIGTHETA °,ALPINE,14,11,19,17,17,20,29,26,18,21,22,17,19,21,31,31,28,28,43,47,31,44,34,25,26,47,19
,CHULA VISTA,39,26,19,33,14,12,16,25,20,40,33,25,22,19,24,26,20,20,26,18,19,23,24,30,24,40,09
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,43,65,26,48,21,50,41,64,62,47,56,35,48,24,30,25,21,34,59,12,40,33,37,62,41,65,01
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,10,8,18,13,34,12,15,15,13,34,40,33,39,22,23,23,20,20,34,11,10,12,17,41,22,41,23
,OTAY MESA DVN,31,10,14,25,18,40,49,26,19,51,28,23,30,46,20,16,39,27,19,21,34,40,43,26,29,51,09
,PENDLETON,13,17,9,10,12,10,9,9,11,27,35,15,12,12,11,15,16,19,15,26,15,16,17,8,15,35,10
14 VWSP MPH,ALPINE,1.9,4.4,2.5,2.4,3.5,2.1,1.7,1.3,3.3,5.6,6.2,11.0,9.0,8.4,5.8,5.8,4.2,2.6,1.2,.9,1.7,.3,1.2,1.3,3.7,11.0,11
,CHULA VISTA,1.7,1.1,1.7,.8,2.7,4.5,3.3,1.6,2.5,1.5,3.6,5.1,5.5,6.0,6.0,6.3,5.4,3.1,1.5,1.7,1.5,1.3,.4,.3,2.9,6.3,15
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,1.2,.4,1.2,.7,1.5,1.3,.4,.1,.6,1.4,2.8,3.6,1.7,5.2,5.0,5.7,5.4,1.7,.5,1.8,.4,.7,.9,.7,1.9,5.7,15
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,4.4,4.6,2.9,2.8,2.0,5.8,3.6,3.4,6.0,4.7,4.3,4.4,3.8,7.5,8.1,6.6,6.2,4.6,2.8,3.3,3.3,2.8,3.2,1.9,4.3,8.1,14
,OTAY MESA DVN,2.4,2.6,3.6,2.6,2.9,2.2,.4,.8,3.4,5.1,6.1,6.6,5.9,3.4,6.9,8.3,3.0,2.9,4.0,3.0,1.4,1.1,1.4,1.9,3.4,8.3,15
,PENDLETON,5.7,3.8,6.4,5.5,5.0,7.1,7.8,7.9,8.3,4.6,2.0,6.1,6.3,6.4,7.1,4.4,3.1,2.0,2.4,2.9,3.1,3.1,3.7,4.7,5.0,8.3,08
15 SWSP MPH,ALPINE,1.9,4.6,2.7,2.5,3.6,2.3,1.9,1.5,3.4,6.1,6.6,11.6,9.7,9.0,6.5,6.6,5.1,2.9,1.4,1.8,2.4,1.3,1.5,1.6,4.1,11.6,11
,CHULA VISTA,2.0,1.3,1.8,2.0,2.8,4.6,3.4,1.8,3.1,2.6,4.4,6.4,5.9,6.4,6.6,6.7,5.8,3.2,1.7,1.9,1.7,1.5,.7,.5,3.3,6.7,15
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,2.0,.6,1.3,1.1,1.7,1.5,1.5,.9,1.5,2.1,3.9,4.4,3.2,5.6,5.8,6.2,5.8,2.4,.9,1.8,.6,1.1,1.6,1.4,2.5,6.2,15
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,4.5,4.6,3.2,3.0,2.5,6.1,3.7,3.8,6.2,5.4,5.3,6.0,5.9,8.6,8.9,7.0,6.9,4.9,3.4,3.3,3.3,3.0,3.4,2.1,4.8,8.9,14
,OTAY MESA DVN,3.1,2.7,3.8,3.9,3.5,2.9,1.5,1.7,3.5,6.2,7.0,7.4,6.7,5.0,7.3,8.7,4.6,3.5,4.2,3.3,1.8,1.4,1.6,2.2,4.1,8.7,15
,PENDLETON,5.9,4.1,6.5,5.6,5.1,7.2,7.9,8.0,8.5,5.0,3.8,6.3,6.5,6.5,7.2,4.7,3.3,2.2,2.6,3.0,3.3,3.3,3.9,4.8,5.2,8.5,08
16 AMBTEMP °F,ALPINE,46.1,45.8,45.0,45.0,45.6,45.3,45.9,46.6,50.1,53.5,55.8,57.4,58.7,58.4,58.6,59.2,57.8,54.2,52.5,51.5,51.3,52.2,52.9,52.4,51.7,59.2,15
,CARMEL MT RCH,49.3,49.6,49.2,48.5,48.0,48.3,47.7,49.2,53.1,57.0,59.4,60.7,61.2,62.8,63.1,62.0,60.0,57.4,56.1,55.6,54.8,54.1,54.2,54.2,54.8,63.1,14
,CHULA VISTA,54.6,53.2,53.1,52.1,50.9,50.1,50.8,52.3,56.6,63.9,65.6,65.9,65.2,63.4,65.5,63.7,62.1,60.7,58.3,57.6,57.8,58.6,57.6,57.2,58.2,65.9,11
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,52.3,51.9,51.8,51.3,51.1,50.8,49.0,49.4,55.0,60.6,62.5,63.0,63.8,64.8,66.0,65.1,61.7,59.3,58.3,56.7,56.5,57.0,56.4,56.0,57.1,66.0,14
