Current Date:,2/20/2018,6:12 AM,,,,,,,,,,,,,,,,,,,,,,,,,,
,OTAY MESA DVN,24,25,25,25,25,25,25,25,25,25,25,25,25,25,25,24,24,24,24,24,25,25,25,25,25,25,01
,PENDLETON,25,25,24,24,24,24,23,23,,,,,,,,,,P,23,23,23,24,24,24,24,25,00
,SAN YSIDRO,,,,,,,,,,,,,,,,,,,,,,,,,,,
11 PM2.5 µg/M3,ALPINE,6.3,3.2,1.1,2.7,4.9,3.4,3.5,7.2,6.6,2.7,1.3,2.7,4.1,6.3,3.1,1.7,3.2,1.7,.8,4.8,6.8,5.4,5.6,2.7,3.8,7.2,07
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,1.6,.6,7.0,6.6,8.5,6.2,5.9,9.4,8.9,5.3,4.9,6.7,3.1,.8,3.9,3.4,1.3,2.4,5.2,3.8,6.3,6.0,10.2,11.9,5.4,11.9,23
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OTAY MESA DVN,-.6,.3,4.6,7.0,9.0,7.0,4.3,13.8,13.0,8.0,5.8,3.0,5.9,5.8,3.5,4.8,7.6,4.9,3.3,2.2,3.9,4.3,8.9,6.5,5.7,13.8,07
,PENDLETON,6.0,14.2,10.3,10.0,9.5,13.5,16.0,10.1,,,,,,,,,M,M,5.6,11.2,8.0,10.5,9.5,7.2,10.1,16.0,06
,SAN YSIDRO,,,,,,,,,,,,,,,,,,,,,,,,,,,
12 VWDR °,ALPINE,218,230,272,269,263,274,267,241,276,274,280,284,288,282,279,278,277,284,280,284,303,329,357,83,270,357,22
,CHULA VISTA,246,272,272,270,275,277,282,282,289,286,287,281,281,283,281,277,273,279,292,300,293,308,339,353,287,353,23
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,201,252,265,251,258,268,261,250,271,269,270,285,273,275,272,271,266,267,269,275,44,293,70,105,241,293,21
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,270,275,265,264,271,272,268,280,285,293,296,296,285,279,280,272,277,278,283,286,321,258,345,339,285,345,22
,OTAY MESA DVN,219,255,271,259,270,275,275,272,281,278,280,274,272,269,280,274,274,272,287,304,16,320,13,345,256,345,23
,PENDLETON,251,244,258,259,255,269,265,279,,,,,,,,,,P,286,289,315,331,10,344,261,344,23
13 SIGTHETA °,ALPINE,23,26,24,29,30,25,28,26,24,25,25,23,24,23,23,21,24,23,25,24,32,37,54,48,28,54,22
,CHULA VISTA,24,21,21,20,20,19,19,18,20,20,19,20,20,21,20,19,20,20,17,20,19,26,17,17,20,26,21
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,19,20,17,20,19,19,21,20,21,18,20,21,20,22,21,20,19,18,16,21,42,55,59,45,25,59,22
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,10,10,10,10,10,11,12,11,13,11,13,14,15,15,12,11,11,10,10,27,25,15,20,8,13,27,19
,OTAY MESA DVN,12,11,9,9,11,11,11,10,12,14,12,15,13,12,13,12,14,10,10,19,32,34,18,14,14,34,21
,PENDLETON,10,11,8,11,9,14,10,13,,,,,,,,,,P,14,12,14,14,13,22,13,22,23
14 VWSP MPH,ALPINE,6.3,6.8,8.6,5.7,4.8,6.9,5.2,5.2,6.7,8.6,10.3,10.5,10.4,11.7,11.8,11.6,8.9,9.2,8.5,6.6,3.4,1.6,.3,1.0,7.1,11.8,14
,CHULA VISTA,5.4,8.3,9.1,8.9,9.8,9.4,10.2,11.1,11.4,11.6,12.9,12.8,12.6,12.5,13.5,12.9,11.4,10.7,10.5,9.5,8.4,4.6,2.4,2.0,9.7,13.5,14
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,4.7,7.1,9.5,6.0,7.7,8.0,6.4,6.6,9.7,11.7,13.2,11.3,12.7,11.1,13.4,12.0,11.3,10.5,9.8,7.9,.9,.8,1.6,1.3,8.1,13.4,14
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,12.3,14.7,13.5,11.9,13.1,13.4,11.7,11.9,14.7,19.2,19.5,19.0,17.7,18.6,20.0,18.7,18.0,15.9,13.5,10.7,7.8,6.6,4.1,3.7,13.8,20.0,14
,OTAY MESA DVN,6.8,9.9,10.4,9.1,9.0,10.8,10.4,12.5,14.9,18.1,19.6,19.5,19.5,20.1,19.3,18.0,15.6,14.2,13.7,8.3,2.4,3.9,2.9,3.8,12.2,20.1,13
,PENDLETON,18.5,14.5,16.8,12.8,14.5,8.9,14.8,10.5,,,,,,,,,,P,10.9,9.8,8.3,7.4,5.4,3.9,11.2,18.5,00
15 SWSP MPH,ALPINE,6.8,7.8,9.3,6.3,5.4,7.4,5.8,5.6,7.4,9.3,11.2,11.3,11.3,12.6,12.6,12.4,9.5,9.8,9.2,7.1,4.1,2.4,.5,1.3,7.8,12.6,13
,CHULA VISTA,6.8,8.9,9.6,9.4,10.3,9.9,10.7,11.6,12.1,12.3,13.7,13.5,13.3,13.3,14.3,13.6,12.1,11.4,10.9,10.0,8.9,6.1,2.6,2.1,10.3,14.3,14
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,5.1,7.9,9.9,6.4,8.2,8.5,6.9,7.0,10.4,12.2,14.0,12.5,13.5,12.0,14.3,12.6,11.9,11.0,10.2,8.7,2.9,3.0,2.1,1.9,8.9,14.3,14
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,12.5,14.9,13.7,12.1,13.3,13.7,11.9,12.1,15.2,19.7,20.1,19.5,18.3,19.3,20.5,19.1,18.4,16.1,13.8,11.4,9.0,7.1,4.6,3.8,14.2,20.5,14
,OTAY MESA DVN,7.1,10.8,10.6,9.3,9.2,11.0,10.7,12.7,15.2,18.7,20.2,20.2,20.1,20.6,19.9,18.5,16.1,14.4,14.0,9.4,2.6,5.0,3.2,3.9,12.6,20.6,13
,PENDLETON,18.9,15.0,17.0,13.1,14.7,9.2,15.1,10.9,,,,,,,,,,P,11.5,10.7,9.0,7.7,5.6,4.3,11.6,18.9,00
16 AMBTEMP °F,ALPINE,47.8,46.8,44.9,43.9,43.9,43.4,43.3,43.9,44.8,46.9,48.5,49.3,48.9,49.7,48.6,47.6,46.0,44.0,42.8,42.3,40.1,39.3,39.7,38.9,44.8,49.7,13
,CARMEL MT RCH,53.9,52.5,51.6,51.5,51.4,51.1,50.9,51.2,52.7,53.6,53.6,53.8,54.8,55.0,54.9,54.2,51.8,50.8,49.6,47.6,47.9,47.2,46.2,43.8,51.3,55.0,13
,CHULA VISTA,56.1,55.5,55.3,55.1,54.9,54.3,54.0,54.7,56.1,58.2,59.2,60.0,59.8,59.5,59.0,57.8,56.3,54.0,52.5,50.3,51.7,50.3,48.6,46.9,55.0,60.0,11
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,54.6,54.3,53.6,53.2,53.3,52.7,52.3,52.8,54.9,56.7,57.9,58.3,58.3,57.4,57.4,56.6,54.4,52.5,51.1,50.4,48.6,49.0,48.6,45.7,53.5,58.3,11
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,55.8,54.8,54.0,53.9,53.7,53.1,52.9,53.6,54.9,55.9,56.5,56.4,56.7,56.5,55.9,54.9,54.0,52.2,51.5,51.4,50.1,48.4,47.7,46.6,53.4,56.7,12
,OTAY MESA DVN,52.3,52.3,51.3,50.2,50.6,50.9,50.7,51.3,52.9,54.2,55.6,56.0,56.3,56.7,55.4,54.2,53.5,51.0,50.2,46.8,46.6,47.2,47.5,46.8,51.7,56.7,13
,PENDLETON,56.6,56.3,55.9,55.4,55.1,54.7,55.3,55.6,,,,,,,,,,P,54.3,53.7,53.2,50.6,48.1,48.1,53.8,56.6,00
17 RELHUM %,ALPINE,90,98,98,88,85,81,74,73,71,58,48,40,40,34,38,43,52,60,63,63,77,85,84,83,68,98,01
,EL CAJON LES,85,79,65,59,57,53,52,53,44,39,33,29,28,34,29,36,42,48,47,47,58,58,57,66,50,85,00
,KEARNY MESA,76,69,59,59,56,54,56,52,46,41,38,37,38,39,38,46,49,50,49,50,57,67,62,52,52,76,00
18 PRES mmHg,KEARNY MESA,746,746,746,745,745,745,746,746,747,747,747,747,747,747,747,747,747,747,747,747,747,748,749,749,747,749,22
19 SOLAR W/M2,KEARNY MESA,1,1,1,1,1,1,9,125,401,465,689,808,842,764,622,379,221,17,1,1,1,1,1,1,223,842,12
28 SO2 Tr PPB,EL CAJON LES,.0,.0,C,C,C,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,00
29 CO Tr PPB,EL CAJON LES,143.3,145.5,C,C,C,147.6,173.4,189.8,174.8,165.9,160.6,139.6,144.8,144.9,144.8,148.4,158.4,166.9,165.0,173.5,231.3,191.5,297.8,290.0,176.0,297.8,22
