Current Date:,2/24/2018,6:12 AM,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Daily Parameter Report,,,,,,,,,,,,,,,,,,
2/23/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Summary,,
Parameter,SiteName,,,,,,,,,,,,,,,,,,,,,,,,,Avg,Max,Hr. of Max
01 OZONE PPM,ALPINE,.040,.041,C,C,.040,.038,.039,.041,.043,.046,.047,.048,.049,M,.051,.051,.051,.048,.044,.040,.043,.041,.041,.044,.044,.051,14
,CHULA VISTA,.044,.044,C,C,.042,.043,.042,.041,.043,.043,.044,M,M,.046,.046,.045,.044,.043,.035,.018,.017,.020,.021,.023,.037,.046,13
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.023,.030,C,C,C,.020,.005,.030,.043,.046,.046,M,M,M,M,.050,.049,.048,.039,.022,.028,.030,.026,.029,.033,.050,15
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.043,.042,C,C,.037,.043,.043,.045,.046,.046,.046,.047,.047,.049,.050,.049,.049,.045,.038,.019,.025,.028,.026,.030,.040,.050,14
,OTAY MESA DVN,.036,.041,C,C,.039,.041,.041,.043,.044,.046,.046,.046,.048,.048,.050,.049,.047,.046,.043,.041,.043,.043,.036,.026,.042,.050,14
,PENDLETON,.050,.049,C,C,.049,.050,.048,.046,.047,M,.042,.046,.047,.050,.052,.052,.052,.051,.046,.038,.033,.029,.030,.031,.044,.052,14
02 NOX PPM,ALPINE,.002,.001,C,C,.002,.002,.004,.003,.003,.001,.001,.001,.002,M,.002,.002,.001,.003,.006,.008,.004,.003,.003,.002,.003,.008,19
,CARMEL MT RCH,.007,.009,.018,.025,.030,.026,.030,.029,.022,.023,.028,.025,.021,.026,.027,.023,.022,.026,.038,.035,.022,.018,.012,.033,.024,.038,18
,CHULA VISTA,.002,.001,C,C,.002,.002,.002,.004,.003,.003,.003,M,M,.004,.003,.003,.003,.005,.012,.025,.026,.020,.017,.016,.008,.026,20
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.012,.006,C,C,C,.014,.050,.018,.006,.001,.001,M,M,M,M,.002,.002,.004,.009,.021,.011,.006,.007,.004,.010,.050,06
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.003,.003,C,C,.005,.001,.003,.003,.002,.002,.001,.003,.004,.003,.001,.002,.002,.004,.009,.024,.015,.013,.014,.008,.006,.024,19
,OTAY MESA DVN,.005,.002,C,C,.003,.001,.002,.002,.002,.001,.001,.001,.002,.003,.003,.001,.001,.001,.002,.002,.002,.002,.008,.012,.003,.012,23
,PENDLETON,.000,.000,C,C,.001,.000,.009,.007,.003,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,.003,.009,06
03 NO2 PPM,ALPINE,.002,.002,C,C,.002,.002,.003,.002,.002,.001,.001,.001,.001,M,.002,.002,.001,.002,.005,.007,.004,.003,.002,.002,.002,.007,19
,CARMEL MT RCH,.005,.007,.016,.021,.021,.016,.016,.015,.011,.011,.014,.012,.010,.012,.014,.012,.013,.016,.027,.028,.021,.017,.012,.027,.016,.028,19
,CHULA VISTA,.001,.001,C,C,.001,.002,.002,.003,.003,.002,.002,M,M,.003,.002,.001,.002,.004,.011,.025,.025,.019,.017,.015,.007,.025,19
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.012,.005,C,C,C,.012,.027,.012,.004,.000,.000,M,M,M,M,.001,.001,.003,.008,.020,.010,.006,.007,.004,.008,.027,06
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.003,.003,C,C,.005,.001,.002,.002,.001,.001,.001,.002,.002,.002,.001,.001,.002,.004,.008,.024,.014,.013,.014,.008,.005,.024,19
,OTAY MESA DVN,.004,.001,C,C,.003,.001,.002,.001,.002,.001,.000,.000,.001,.002,.002,.001,.001,.001,.002,.002,.001,.002,.008,.012,.002,.012,23
,PENDLETON,.000,.000,C,C,.001,.000,.005,.004,.002,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,.002,.005,06
04 NO PPM,ALPINE,.000,.000,C,C,.000,.000,.001,.000,.001,.000,.000,.000,.000,M,.001,.001,.000,.000,.000,.001,.000,.000,.000,.000,.000,.001,06
,CARMEL MT RCH,.002,.002,.003,.004,.009,.011,.015,.014,.012,.012,.015,.013,.011,.014,.014,.010,.009,.010,.011,.006,.001,.001,.001,.007,.009,.015,06
,CHULA VISTA,.000,.000,C,C,.001,.001,.000,.001,.001,.001,.001,M,M,.001,.001,.001,.001,.001,.001,.001,.001,.001,.001,.001,.001,.001,04
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.001,.000,C,C,C,.002,.022,.006,.002,.001,.001,M,M,M,M,.001,.001,.001,.001,.001,.000,.000,.000,.000,.002,.022,06
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.000,.000,C,C,.000,.000,.001,.001,.001,.001,.001,.001,.001,.001,.001,.001,.001,.000,.000,.001,.000,.000,.000,.000,.001,.001,06
,OTAY MESA DVN,.000,.000,C,C,.000,.000,.000,.000,.001,.000,.000,.000,.000,.001,.001,.000,.001,.000,.000,.000,.000,.000,.000,.000,.000,.001,08
,PENDLETON,.000,.000,C,C,.000,.000,.004,.003,.000,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,.001,.004,06
06 CO PPM,CARMEL MT RCH,.3,.3,.3,.4,.5,.5,.6,.5,.5,.4,.4,.4,.5,.5,.5,.5,.5,.7,.9,.7,.5,.5,.4,1.0,.5,1.0,23
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
10 INTMP °C,ALPINE,23,23,23,23,23,23,22,22,22,22,22,22,23,24,24,25,25,25,25,24,24,24,23,23,23,25,15
,CARMEL MT RCH,25,25,25,25,24,24,24,24,25,25,25,25,25,25,25,25,25,25,25,25,25,25,24,24,25,25,00
,CHULA VISTA,24,24,24,26,25,24,24,25,24,26,25,25,25,24,25,25,24,24,23,24,24,24,24,25,24,26,03
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,26,26,27,27,27,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,27,27,26,27,26,27,02
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,24,23,24,24,24,23,25,24,23,23,23,23,23,23,24,24,24,24,24,24,23,25,24,24,24,25,06
,OTAY MESA DVN,24,25,24,25,25,24,24,25,25,25,25,25,25,25,25,25,24,24,23,23,24,25,25,25,25,25,01
,PENDLETON,25,24,24,24,24,23,23,23,23,23,23,23,24,24,24,25,25,25,24,24,24,24,24,24,24,25,00
,SAN YSIDRO,,,,,,,,,,,,,,,,,,,,,,,,,,,
11 PM2.5 µg/M3,ALPINE,3.4,5.4,5.0,3.1,1.1,3.3,4.3,3.9,4.9,7.5,9.0,5.7,5.8,5.2,3.6,5.6,4.2,5.8,6.8,5.9,4.7,5.0,4.0,3.0,4.8,9.0,10
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,6.2,7.4,6.8,10.0,6.8,3.6,5.9,6.5,9.7,7.2,8.8,8.1,4.4,2.5,6.3,5.5,7.0,10.0,8.5,20.0,15.1,15.4,18.9,12.0,8.8,20.0,19
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OTAY MESA DVN,5.5,6.7,4.9,9.3,12.6,7.3,.9,5.4,5.1,4.0,4.9,,M,M,M,7.8,9.2,7.6,4.6,2.3,4.9,5.8,15.3,10.1,6.7,15.3,22
,PENDLETON,10.7,10.0,9.3,7.2,7.0,19.3,M,9.5,12.6,13.2,9.7,M,12.1,8.3,7.1,10.2,7.8,16.2,9.3,10.4,10.0,13.5,13.1,14.2,10.9,19.3,05
,SAN YSIDRO,,,,,,,,,,,,,,,,,,,,,,,,,,,
12 VWDR °,ALPINE,275,240,231,233,238,253,302,293,290,280,284,274,275,277,278,268,276,282,337,28,5,88,90,95,229,337,18
,CHULA VISTA,291,281,282,284,291,295,301,295,298,294,286,293,308,304,291,281,277,303,337,89,95,107,97,97,253,337,18
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
