Current Date:,2/21/2018,6:12 AM,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Daily Parameter Report,,,,,,,,,,,,,,,,,,
2/20/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Summary,,
Parameter,SiteName,,,,,,,,,,,,,,,,,,,,,,,,,Avg,Max,Hr. of Max
01 OZONE PPM,ALPINE,.041,C,C,.036,.034,.040,.040,.029,.034,.045,.046,.047,.048,.049,.049,.046,.046,.045,.045,.043,.039,.043,.044,.044,.042,.049,13
,CHULA VISTA,.023,C,C,.020,.019,.014,.007,.011,.025,.037,.037,.038,M,M,.045,.046,.046,.043,.039,.020,.010,.004,.023,.030,.026,.046,15
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.025,C,C,C,.022,.018,.022,.023,.024,.030,.043,.045,.046,.044,.045,.047,.048,.045,.042,.024,.025,.030,.031,.031,.033,.048,16
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.024,C,C,.023,.018,.017,.015,.020,.034,.039,.040,.041,.043,.046,.047,.048,.047,.043,.037,.019,.027,.029,.033,.030,.032,.048,15
,OTAY MESA DVN,.041,C,C,.038,.040,.027,.011,.022,.018,.041,.045,.045,.044,.047,.048,.049,.049,.047,.044,.041,.041,.041,.044,.042,.039,.049,15
,PENDLETON,.030,.030,.025,.021,.019,.021,.019,.021,.025,.033,M,M,.044,.043,.046,.047,.046,.047,.044,.018,.020,.021,.025,.029,.030,.047,15
02 NOX PPM,ALPINE,.000,C,C,.001,.002,.000,.003,.011,.011,.002,.001,.001,.000,.001,.002,.005,.004,.004,.003,.004,.005,.003,.003,.002,.003,.011,07
,CARMEL MT RCH,.028,C,C,C,.024,.058,.062,.051,.014,.013,M,.006,.027,.034,.031,.026,.024,.024,.032,.031,.033,.034,.043,.041,.032,.062,06
,CHULA VISTA,.013,C,C,.014,.013,.019,.031,.036,.017,.006,.008,.009,M,M,.003,.004,.004,.006,.008,.024,.033,.039,.017,.009,.016,.039,21
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.008,C,C,C,.003,.006,.007,.010,.014,.007,.001,.002,.001,.004,.004,.003,.002,.004,.007,.020,.017,.007,.004,.003,.006,.020,19
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.010,C,C,.005,.009,.012,.015,.016,.006,.005,.006,.006,.005,.003,.003,.002,.003,.006,.011,.024,.016,.014,.007,.007,.009,.024,19
,OTAY MESA DVN,.001,C,C,.002,.000,.011,.026,.020,.044,.005,.001,.003,.005,.003,.002,.001,.001,.001,.002,.003,.002,.003,.002,.002,.006,.044,08
,PENDLETON,.008,.004,.004,.005,.008,.009,.013,.013,.011,.006,M,M,.001,M,M,M,M,M,M,M,M,M,M,M,.007,.013,06
03 NO2 PPM,ALPINE,.000,C,C,.001,.002,.000,.002,.007,.007,.001,.001,.000,.000,.001,.001,.004,.003,.004,.003,.004,.005,.003,.002,.002,.002,.007,07
,CARMEL MT RCH,.022,C,C,C,.018,.027,.028,.021,.010,.008,M,.004,.014,.016,.015,.013,.014,.015,.022,.026,.026,.031,.032,.032,.020,.032,22
,CHULA VISTA,.013,C,C,.013,.012,.018,.025,.023,.011,.004,.006,.006,M,M,.002,.003,.003,.004,.007,.023,.030,.034,.016,.008,.013,.034,21
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.008,C,C,C,.002,.006,.006,.007,.008,.004,.000,.000,.000,.003,.003,.002,.001,.004,.006,.019,.015,.007,.004,.003,.005,.019,19
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.010,C,C,.005,.008,.011,.013,.011,.004,.003,.004,.004,.003,.002,.002,.002,.002,.005,.011,.024,.016,.014,.007,.007,.008,.024,19
,OTAY MESA DVN,.001,C,C,.001,.000,.009,.022,.014,.022,.003,.001,.002,.004,.002,.001,.001,.001,.001,.002,.003,.002,.002,.002,.002,.004,.022,06
,PENDLETON,.008,.004,.004,.005,.007,.008,.010,.009,.007,.004,M,M,.000,M,M,M,M,M,M,M,M,M,M,M,.006,.010,06
04 NO PPM,ALPINE,.000,C,C,.000,.000,.000,.002,.004,.004,.000,.000,.000,.000,.000,.000,.001,.001,.000,.000,.000,.000,.000,.000,.000,.001,.004,07
,CARMEL MT RCH,.006,C,C,C,.006,.031,.034,.030,.005,.005,M,.002,.012,.018,.016,.013,.010,.008,.010,.005,.007,.003,.011,.009,.012,.034,06
,CHULA VISTA,.001,C,C,.001,.001,.002,.006,.013,.006,.002,.003,.003,M,M,.001,.001,.001,.001,.001,.000,.002,.004,.001,.000,.003,.013,07
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.000,C,C,C,.001,.001,.001,.003,.006,.003,.001,.002,.001,.002,.002,.001,.001,.000,.001,.001,.001,.000,.000,.000,.001,.006,08
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.000,C,C,.000,.001,.001,.002,.004,.002,.001,.002,.002,.001,.001,.001,.001,.001,.001,.000,.001,.000,.000,.000,.000,.001,.004,07
,OTAY MESA DVN,.000,C,C,.000,.000,.001,.004,.005,.022,.002,.000,.001,.002,.001,.001,.001,.000,.000,.000,.000,.000,.000,.000,.000,.002,.022,08
,PENDLETON,.000,.000,.000,.000,.001,.001,.003,.004,.004,.002,M,M,.000,M,M,M,M,M,M,M,M,M,M,M,.001,.004,07
06 CO PPM,CARMEL MT RCH,.6,C,C,C,.4,.8,.9,.8,.4,.3,M,.2,.4,.5,.5,.4,.4,.5,.7,.6,.7,.7,.9,.8,.6,.9,06
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
10 INTMP °C,ALPINE,23,23,24,24,25,25,25,24,23,23,24,24,24,25,25,26,26,26,26,26,25,25,24,24,24,26,15
,CARMEL MT RCH,24,24,24,24,24,24,24,24,24,24,24,24,25,25,25,24,24,25,25,25,25,24,24,24,24,25,12
,CHULA VISTA,25,26,26,25,26,26,26,26,25,26,25,25,23,25,25,25,25,25,24,24,24,24,24,24,25,26,01
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,27,27,26,27,27,27,27,27,27,27,27,26,26,26,26,26,26,26,26,26,26,26,26,26,26,27,00
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,24,25,24,25,23,25,24,25,24,24,24,24,24,24,25,24,25,25,25,24,24,23,24,25,24,25,01
,OTAY MESA DVN,25,25,26,25,25,25,25,25,25,25,25,25,25,25,25,24,24,23,24,24,24,24,25,25,25,26,02
,PENDLETON,24,24,24,24,24,24,24,24,23,23,23,24,25,25,25,26,26,25,25,24,24,24,24,24,24,26,15
,SAN YSIDRO,,,,,,,,,,,,,,,,,,,,,,,,,,,
11 PM2.5 µg/M3,ALPINE,1.4,2.3,3.3,5.2,5.6,5.2,4.0,3.0,2.9,4.0,3.2,3.5,5.7,5.3,4.7,5.4,4.8,7.2,4.6,3.4,5.7,5.9,5.1,3.3,4.3,7.2,17
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,6.5,3.0,6.8,7.2,5.9,7.1,8.8,8.2,4.1,2.1,3.4,3.4,5.7,5.7,7.6,5.8,5.0,4.0,4.4,9.4,15.8,10.8,9.6,9.4,6.6,15.8,20
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OTAY MESA DVN,6.4,10.0,6.5,2.9,1.7,2.1,15.5,12.4,16.6,1.5,.9,3.0,7.2,5.3,2.1,1.1,1.3,5.0,6.7,5.0,3.0,5.0,6.9,7.1,5.6,16.6,08
,PENDLETON,7.5,5.0,8.8,10.4,9.4,8.5,9.1,8.2,7.5,6.6,5.0,5.6,6.6,6.0,5.9,4.2,7.5,7.4,6.7,17.1,17.4,12.0,13.7,9.2,8.5,17.4,20
,SAN YSIDRO,,,,,,,,,,,,,,,,,,,,,,,,,,,
12 VWDR °,ALPINE,115,83,62,94,98,92,90,108,139,215,226,216,253,256,235,271,274,287,295,48,91,22,70,350,166,350,23
,CHULA VISTA,16,40,96,71,76,89,41,37,95,9,296,267,265,273,274,279,284,287,309,71,64,96,80,88,146,309,18
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,42,83,94,60,70,68,69,52,34,6,52,227,252,248,251,265,273,293,305,118,82,96,76,84,133,305,18
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,358,38,72,79,84,84,79,88,73,19,179,228,237,248,265,295,290,301,334,87,68,66,74,79,155,358,00
,OTAY MESA DVN,357,19,101,60,45,94,115,268,182,318,286,238,248,270,269,269,266,280,338,42,25,45,54,109,179,357,00
,PENDLETON,29,60,44,51,40,39,40,41,29,70,99,233,252,262,261,270,271,282,304,72,80,54,49,57,125,304,18
13 SIGTHETA °,ALPINE,34,47,29,26,18,16,16,15,38,49,37,56,39,41,35,25,29,25,35,23,17,36,18,26,30,56,11
,CHULA VISTA,12,19,41,15,33,49,18,45,28,43,57,23,20,21,20,21,20,18,20,13,28,42,23,26,27,57,10
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,64,72,27,61,25,67,17,17,41,66,64,56,55,32,30,18,19,17,19,27,15,12,16,17,36,72,01
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,18,19,25,7,7,8,7,12,37,53,49,44,24,17,19,15,12,10,18,6,8,5,5,6,18,53,09
,OTAY MESA DVN,13,36,19,12,46,41,14,45,21,46,36,39,26,16,15,12,11,11,13,11,14,7,5,17,22,46,04
,PENDLETON,15,23,54,19,12,9,14,15,16,22,38,45,12,10,9,11,11,16,17,14,7,11,10,12,18,54,02
14 VWSP MPH,ALPINE,1.4,1.4,1.3,2.2,2.4,2.0,2.3,2.1,2.6,2.6,3.7,4.0,4.9,4.4,3.9,6.3,5.5,3.7,1.6,.6,1.7,1.3,1.1,.3,2.6,6.3,15
,CHULA VISTA,1.3,1.3,1.0,3.3,1.6,.7,1.9,1.2,2.3,2.2,2.6,6.9,8.2,9.6,9.3,8.8,7.6,5.3,2.3,1.6,.8,.5,2.8,2.6,3.6,9.6,13
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.6,.3,2.2,1.5,3.0,1.6,3.1,3.2,1.5,.4,1.2,2.8,3.6,5.3,6.6,8.1,7.3,6.1,3.4,1.4,2.2,3.0,1.9,2.6,3.0,8.1,15
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,3.2,2.6,3.2,4.9,5.5,5.3,5.0,3.9,2.9,1.3,3.7,3.7,8.6,10.5,9.7,11.8,10.4,6.6,2.6,2.8,2.0,3.8,4.9,4.3,5.1,11.8,15
,OTAY MESA DVN,3.6,2.5,3.5,4.4,3.4,1.3,3.3,.4,2.9,3.6,4.7,3.9,8.3,10.8,12.0,12.7,11.3,6.2,2.9,3.7,3.5,4.5,5.1,1.8,5.0,12.7,15
,PENDLETON,3.7,5.0,3.1,4.0,6.3,6.5,5.0,4.8,5.6,4.6,3.1,5.2,8.7,7.8,9.0,6.6,6.1,5.1,2.9,3.1,4.7,4.5,5.4,5.1,5.2,9.0,14
15 SWSP MPH,ALPINE,1.6,1.6,1.5,2.5,2.5,2.1,2.4,2.2,3.2,3.5,4.5,5.5,6.0,5.7,4.9,7.0,6.2,4.0,1.8,1.2,1.8,1.8,1.2,.4,3.1,7.0,15
,CHULA VISTA,1.4,1.5,1.2,3.4,2.0,1.8,2.1,1.5,2.7,3.3,4.1,7.6,8.7,10.3,9.9,9.4,8.1,5.6,2.8,1.6,.9,.6,2.9,2.8,4.0,10.3,13
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,1.8,1.2,2.5,1.9,3.2,2.2,3.2,3.5,1.7,1.5,2.7,4.2,5.1,6.4,7.6,8.5,7.7,6.4,3.6,2.1,2.4,3.2,1.9,2.8,3.6,8.5,15
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,3.5,2.8,3.5,4.9,5.5,5.4,5.1,4.0,4.0,3.6,5.5,4.9,9.6,11.0,10.4,12.2,10.6,6.7,3.1,2.8,2.1,3.8,4.9,4.4,5.6,12.2,15
,OTAY MESA DVN,3.7,2.7,3.6,4.7,4.2,3.1,3.5,1.1,3.1,5.2,5.4,5.8,9.4,11.3,12.5,13.0,11.5,6.3,3.5,3.8,3.8,4.6,5.2,1.9,5.5,13.0,15
,PENDLETON,4.7,5.9,3.7,4.4,6.4,6.6,5.1,4.9,5.9,5.0,4.3,6.4,8.9,7.9,9.1,6.8,6.3,5.3,3.4,3.2,4.7,4.6,5.6,5.2,5.6,9.1,14
