Current Date:,2/2/2018,6:12 AM,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Daily Parameter Report,,,,,,,,,,,,,,,,,,
2/1/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Summary,,
Parameter,SiteName,,,,,,,,,,,,,,,,,,,,,,,,,Avg,Max,Hr. of Max
01 OZONE PPM,ALPINE,.055,.053,C,C,.052,.041,.047,.044,.049,.055,.056,.059,.063,.065,.065,.060,.053,.044,.039,.047,.049,.052,.054,.054,.052,.065,13
,CHULA VISTA,.019,.012,.008,.010,.014,.010,.002,.003,.011,.020,.023,.027,.037,M,M,.048,.048,.036,.025,.012,.002,.002,.015,.012,.018,.048,15
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.002,.002,C,C,C,.002,.002,.004,.007,.015,.033,.045,.050,.056,.061,.061,.048,.039,.027,.021,.015,.005,.002,.002,.023,.061,14
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.027,.027,C,C,.023,.012,.003,.011,.025,.031,.036,.042,.049,M,M,M,.067,.039,.008,.007,.003,.016,.020,.024,.024,.067,16
,OTAY MESA DVN,.026,.022,C,C,.031,.024,.018,.011,.025,.034,.036,.040,.051,.062,.062,.063,.082,.068,.054,.053,.042,.039,.048,.036,.042,.082,16
,PENDLETON,.026,.027,C,C,.015,.018,.009,.009,.023,.026,.029,.035,.036,.035,.036,.038,.039,.038,.035,.029,.003,.005,.011,.018,.024,.039,16
02 NOX PPM,ALPINE,.003,.003,C,C,.003,.006,.003,.006,.003,.002,.002,.003,.004,.005,.007,.015,.022,.024,.025,.009,.007,.007,.006,.005,.008,.025,18
,CARMEL MT RCH,.043,.032,C,C,C,.068,.025,.081,.122,.060,.061,.054,.047,.041,.035,.037,.037,.059,.076,.076,.080,.051,.047,.045,.056,.122,08
,CHULA VISTA,.019,.024,.025,.020,.019,.023,.044,.082,.060,.032,.023,.022,.020,M,M,.012,.012,.016,.019,.028,.056,.057,.033,.029,.031,.082,07
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.048,.041,C,C,C,.049,.061,.070,.075,.056,.027,.017,.015,.014,.013,.016,.022,.024,.029,.032,.036,.047,.053,.053,.038,.075,08
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.014,.013,C,C,.014,.025,.054,.034,.024,.023,.023,.022,.022,M,M,M,.016,.030,.048,.043,.050,.035,.029,.020,.028,.054,06
,OTAY MESA DVN,.018,.020,C,C,.009,.014,.020,.045,.026,.019,.025,.025,.015,.011,.013,.013,.009,.009,.010,.012,.025,.019,.008,.020,.018,.045,07
,PENDLETON,.013,.010,C,C,.017,.017,.024,.041,.017,.023,.025,.018,.020,.020,.011,.005,.006,.006,.007,.010,.051,.037,.022,.013,.019,.051,20
03 NO2 PPM,ALPINE,.003,.003,C,C,.003,.006,.003,.005,.003,.002,.002,.003,.003,.005,.006,.013,.021,.024,.023,.008,.006,.006,.005,.005,.007,.024,17
,CARMEL MT RCH,.035,.028,C,C,C,.034,.020,.035,.044,.030,.035,.032,.031,.027,.024,.028,.029,.044,.055,.054,.053,.044,.038,.037,.036,.055,18
,CHULA VISTA,.019,.024,.025,.020,.018,.021,.032,.034,.025,.021,.015,.015,.015,M,M,.011,.011,.016,.019,.026,.034,.037,.031,.028,.023,.037,21
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.032,.030,C,C,C,.024,.024,.025,.029,.028,.018,.012,.012,.011,.011,.014,.020,.024,.028,.031,.033,.038,.039,.035,.025,.039,22
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.014,.013,C,C,.014,.022,.031,.026,.017,.017,.017,.017,.018,M,M,M,.015,.029,.045,.041,.044,.034,.029,.019,.024,.045,18
,OTAY MESA DVN,.018,.020,C,C,.009,.013,.019,.031,.019,.014,.018,.019,.012,.010,.011,.011,.008,.009,.010,.012,.025,.019,.008,.019,.015,.031,07
,PENDLETON,.013,.010,C,C,.015,.015,.022,.024,.012,.014,.017,.013,.013,.011,.007,.004,.006,.006,.007,.010,.034,.027,.018,.012,.014,.034,20
04 NO PPM,ALPINE,.000,.000,C,C,.000,.000,.000,.001,.001,.000,.000,.000,.000,.001,.001,.002,.001,.000,.002,.000,.000,.001,.000,.000,.000,.002,15
,CARMEL MT RCH,.008,.005,C,C,C,.034,.005,.047,.078,.031,.027,.021,.015,.014,.011,.010,.008,.015,.021,.022,.028,.007,.009,.008,.020,.078,08
,CHULA VISTA,.000,.000,.000,.000,.000,.002,.012,.048,.035,.011,.008,.007,.005,M,M,.002,.001,.001,.000,.002,.021,.020,.003,.001,.008,.048,07
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.016,.011,C,C,C,.026,.037,.044,.046,.028,.009,.004,.003,.003,.002,.002,.002,.001,.000,.001,.003,.009,.015,.018,.013,.046,08
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.000,.000,C,C,.000,.004,.023,.009,.006,.006,.006,.005,.004,M,M,M,.001,.001,.003,.002,.006,.001,.000,.000,.004,.023,06
,OTAY MESA DVN,.000,.000,C,C,.000,.001,.001,.014,.007,.005,.007,.006,.003,.002,.002,.002,.001,.000,.000,.000,.000,.000,.000,.000,.002,.014,07
,PENDLETON,.000,.000,C,C,.002,.002,.002,.017,.005,.009,.008,.005,.006,.009,.004,.001,.000,.000,.000,.000,.017,.010,.004,.002,.005,.017,07
06 CO PPM,CARMEL MT RCH,1.1,.8,C,C,C,.9,.6,1.3,1.5,.8,.8,.8,.8,.8,.8,.8,1.0,1.3,1.5,1.4,1.5,1.3,1.3,1.3,1.1,1.5,08
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
10 INTMP °C,ALPINE,27,27,26,27,26,27,27,26,25,24,24,24,24,24,24,24,24,24,25,25,25,26,26,26,25,27,00
,CARMEL MT RCH,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,00
,CHULA VISTA,24,23,24,23,24,24,24,23,24,25,23,24,24,24,24,24,24,25,25,25,25,25,24,24,24,25,09
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,26,26,26,26,26,26,26,26,26,26,26,26,25,25,25,25,25,25,25,25,26,26,26,26,26,26,00
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,26,26,26,26,26,26,25,25,26,25,25,25,24,24,24,25,25,25,25,25,26,25,26,26,25,26,00
,OTAY MESA DVN,24,25,25,25,25,25,25,25,25,25,24,24,24,24,23,23,22,22,23,24,24,24,25,25,24,25,01
,PENDLETON,26,25,25,25,25,24,24,24,24,25,25,25,25,25,25,25,26,26,27,27,27,26,26,26,25,27,18
,SAN YSIDRO,,,,,,,,,,,,,,,,,,,,,,,,,,,
11 PM2.5 µg/M3,ALPINE,3.0,8.8,5.7,6.9,5.1,6.9,4.9,3.5,1.7,3.1,2.3,.3,5.3,6.0,7.2,10.0,15.3,18.6,19.2,7.7,8.0,7.9,8.5,8.4,7.2,19.2,18
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,18.1,18.5,14.3,13.2,12.0,15.9,12.8,12.4,20.6,15.6,10.2,7.7,5.4,8.9,9.5,14.9,17.5,15.7,22.7,26.1,28.6,20.1,25.0,18.4,16.0,28.6,20
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OTAY MESA DVN,17.7,23.8,7.1,6.6,14.4,17.1,19.9,25.4,14.2,11.9,9.1,20.0,14.1,9.3,M,M,20.1,21.7,18.8,16.0,44.1,18.2,11.4,26.7,17.6,44.1,20
,PENDLETON,10.8,9.0,7.2,9.0,12.0,10.9,11.5,8.8,5.2,3.8,19.5,18.2,M,11.7,8.7,12.7,11.9,13.3,12.2,14.0,27.4,25.1,14.4,15.3,12.7,27.4,20
,SAN YSIDRO,,,,,,,,,,,,,,,,,,,,,,,,,,,
12 VWDR °,ALPINE,39,17,49,64,90,109,99,41,341,313,304,310,300,290,300,315,317,329,99,92,75,53,103,95,173,341,08
,CHULA VISTA,78,60,105,90,91,87,103,33,349,277,268,256,240,261,258,254,238,259,223,120,16,59,108,59,162,349,08
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,224,102,93,159,117,200,171,195,288,280,275,291,271,240,228,266,219,171,116,107,205,242,212,152,201,291,11
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,67,38,28,56,55,79,134,49,237,232,226,223,202,251,260,307,317,170,139,132,47,40,44,39,141,317,16
,OTAY MESA DVN,109,98,1,76,101,117,114,109,341,316,299,290,284,286,290,293,286,355,71,112,92,59,33,101,176,355,17
,PENDLETON,57,40,45,53,41,57,42,30,66,139,178,206,290,275,246,226,188,189,181,147,69,39,33,34,120,290,12
13 SIGTHETA °,ALPINE,42,40,39,28,18,17,14,38,24,23,23,25,26,32,25,20,20,13,20,17,26,32,21,36,26,42,00
,CHULA VISTA,16,40,32,37,17,22,22,34,22,25,22,20,24,19,23,31,17,20,19,24,23,18,21,58,25,58,23
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,41,38,57,35,34,48,40,33,50,54,33,45,49,27,24,19,20,26,17,16,43,65,53,61,39,65,21
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,5,7,10,6,6,8,31,23,51,28,30,51,30,15,25,17,16,18,42,9,26,10,11,10,20,51,08
,OTAY MESA DVN,21,41,18,30,15,14,9,15,45,14,16,20,12,16,11,11,12,12,35,7,12,25,29,39,20,45,08
,PENDLETON,9,9,8,16,23,18,37,29,15,19,9,18,15,14,13,19,17,17,32,14,11,9,11,8,16,37,06
14 VWSP MPH,ALPINE,.8,.8,.6,.7,1.9,2.9,3.8,1.4,2.4,3.4,3.9,4.2,4.2,3.8,4.5,4.5,2.2,1.9,2.2,2.5,1.5,.7,1.1,1.2,2.4,4.5,14
,CHULA VISTA,2.7,1.3,1.0,.7,2.3,1.7,1.8,.9,1.9,2.0,3.2,3.5,3.2,5.8,3.9,2.1,3.0,1.5,.9,.8,1.7,1.1,1.7,.7,2.1,5.8,13
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.4,.4,.4,.5,.8,.3,.4,.3,.4,.2,1.9,2.1,2.5,3.7,5.2,4.1,2.6,1.2,1.7,1.8,.5,.1,.4,.2,1.3,5.2,14
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,4.1,4.6,5.1,4.8,5.1,4.4,2.4,1.5,1.5,2.3,2.7,2.2,3.2,9.0,4.9,4.6,3.1,2.6,.9,2.1,2.3,3.1,3.2,4.3,3.5,9.0,13
,OTAY MESA DVN,2.8,1.5,4.1,2.5,3.4,3.8,4.0,3.9,1.9,3.9,5.1,5.5,7.3,6.6,8.5,6.1,4.8,3.2,1.4,3.5,2.4,1.8,1.9,1.2,3.8,8.5,14
,PENDLETON,4.5,5.0,5.3,2.6,3.3,3.4,.8,3.1,3.0,2.8,5.7,4.5,5.6,4.0,5.1,3.8,2.1,1.2,.3,1.2,1.8,2.8,4.5,5.3,3.4,5.7,10
15 SWSP MPH,ALPINE,1.2,1.0,1.0,1.2,2.1,3.0,3.9,2.4,2.7,3.7,4.2,4.5,4.6,4.3,5.0,4.7,2.4,2.0,2.4,2.6,2.1,1.5,1.2,1.4,2.7,5.0,14
,CHULA VISTA,3.0,1.6,1.4,1.0,2.6,1.9,2.2,1.7,2.1,2.3,3.4,3.8,3.5,6.1,4.3,2.4,3.2,1.6,1.1,.9,1.8,1.4,1.8,1.1,2.3,6.1,13
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.7,.5,.8,1.1,1.1,1.4,1.0,1.1,.9,.9,2.3,2.6,3.4,4.2,5.7,4.4,2.9,1.6,1.7,1.9,.8,.4,.8,.3,1.8,5.7,14
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,4.1,4.6,5.4,4.9,5.1,4.6,2.8,1.6,1.8,2.6,3.1,2.9,3.7,9.3,5.5,4.8,3.2,2.9,1.4,2.2,2.7,3.3,3.3,4.6,3.8,9.3,13
,OTAY MESA DVN,3.0,1.9,4.2,3.6,3.6,3.9,4.1,4.3,2.1,4.0,5.3,5.9,7.4,6.9,8.7,6.2,5.0,3.4,2.3,3.6,2.5,2.5,2.6,1.3,4.1,8.7,14
,PENDLETON,4.6,5.1,5.4,2.8,3.6,3.7,1.6,3.3,3.2,4.2,5.8,4.9,5.9,4.1,5.2,4.1,2.3,1.3,.4,1.2,1.8,2.9,4.7,5.4,3.6,5.9,12
16 AMBTEMP °F,ALPINE,66.9,65.5,64.9,64.8,64.0,59.1,63.5,65.3,69.9,72.3,73.7,74.3,75.8,77.7,77.2,75.4,71.7,67.8,65.5,66.8,66.1,66.2,66.6,66.2,68.6,77.7,13
,CARMEL MT RCH,56.9,55.8,55.2,54.0,54.0,53.3,54.9,58.8,62.3,66.6,71.1,74.3,76.8,76.1,71.1,71.2,70.1,67.2,64.0,61.8,60.5,60.1,59.4,58.4,63.1,76.8,12
,CHULA VISTA,55.6,54.2,51.8,50.2,51.2,50.8,51.5,54.6,61.5,67.7,67.4,67.9,71.3,67.9,63.9,66.8,63.7,59.2,56.4,55.1,53.8,53.1,54.0,53.6,58.5,71.3,12
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,51.9,50.4,48.8,47.5,46.5,45.8,45.4,47.8,55.4,64.0,72.6,78.4,81.0,82.6,79.7,76.8,74.2,69.2,64.3,61.6,59.8,57.7,56.0,54.3,61.3,82.6,13
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,59.2,58.8,56.5,57.3,57.0,55.6,53.6,59.5,64.4,67.7,71.6,74.2,77.0,73.1,69.9,70.2,69.4,66.8,62.0,58.6,59.1,59.7,60.4,58.6,63.3,77.0,12
,OTAY MESA DVN,59.9,58.6,59.4,58.4,57.8,56.0,55.2,58.5,63.7,68.5,73.6,76.8,77.4,78.7,71.8,70.0,68.8,65.1,63.4,62.3,63.5,62.1,62.4,62.9,64.8,78.7,13
