Current Date:,2/27/2018,6:12 AM,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Daily Parameter Report,,,,,,,,,,,,,,,,,,
2/26/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Summary,,
Parameter,SiteName,,,,,,,,,,,,,,,,,,,,,,,,,Avg,Max,Hr. of Max
01 OZONE PPM,ALPINE,.049,C,C,.050,.050,.048,.043,.046,.041,.049,.051,.056,.059,.061,.063,.063,.060,.056,.050,.047,.044,.044,.041,.042,.050,.063,14
,CHULA VISTA,.019,C,C,.024,.024,.016,.010,.016,.022,.037,.045,.052,.055,.054,.054,.053,.048,.046,.043,.042,.043,.044,.043,.037,.037,.055,12
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.009,C,C,C,.004,.003,.003,.005,.009,.027,.049,.051,.057,.060,.060,.058,.054,.048,.042,.042,.037,.044,.042,.041,.035,.060,13
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.029,C,C,.031,.024,.010,.002,.019,.035,.041,M,.054,.057,.058,.057,.053,.050,.049,.045,.040,.041,.042,.037,.030,.038,.058,13
,OTAY MESA DVN,.021,C,C,.030,.031,.022,.021,.018,.018,.039,.047,.051,.057,.059,.058,.058,.055,.047,.038,.035,.032,.032,.039,.037,.038,.059,13
,PENDLETON,.020,C,C,.027,.026,.023,.020,.019,.026,M,M,.052,.058,.050,.051,.050,.050,.051,.051,.052,.051,.051,.050,.050,.041,.058,12
02 NOX PPM,ALPINE,.001,C,C,.000,.001,.003,.007,.005,.009,.003,.001,.003,.005,.004,.002,.003,.003,.003,.003,.002,.003,.002,.002,.002,.003,.009,08
,CARMEL MT RCH,.035,.023,.050,.023,.037,.076,.083,.065,.016,.026,.037,.034,.031,.023,.030,.027,.025,.025,.027,.020,.019,.017,.017,.010,.032,.083,06
,CHULA VISTA,.018,C,C,.010,.010,.020,.035,.032,.032,.017,.011,.003,.003,.003,.002,.002,.002,.002,.003,.002,.003,.003,.002,.005,.010,.035,06
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.023,C,C,C,.023,.028,.045,.075,.073,.026,.009,.008,.004,.002,.002,.002,.003,.003,.006,.004,.007,.003,.004,.002,.017,.075,07
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.010,C,C,.006,.013,.031,.068,.032,.015,.014,M,.006,.004,.003,.003,.002,.002,.003,.003,.005,.004,.003,.008,.010,.012,.068,06
