Current Date:,3/14/2020,6:12 AM,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Daily Parameter Report
3/13/2020
,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Summary
Parameter,Site Name,,,,,,,,,,,,,,,,,,,,,,,,,Avg,Max,Hr. of Max
01 OZONE PPM,ALPINE,.032,.035,C,C,.037,.032,.029,.034,.037,.037,.038,.039,.039,.038,.035,.035,.038,.037,.036,.038,.038,.038,.038,.036,.036,.039,11
,CHULA VISTA,.025,.026,C,C,.021,.016,.016,.017,.023,.029,.038,.039,.038,.039,.039,.039,.037,.038,.037,.037,.033,.025,.025,.021,.029,.039,11
,DOWNTOWN SES,.029,.028,.028,.028,.037,.026,.017,.024,.034,.039,.039,.039,.039,.039,.039,.039,.039,.037,.039,.035,.036,.038,.041,.035,.034,.041,22
,EL CAJON LES,.030,.030,C,C,C,.026,.028,.031,.030,M,M,M,M,M,.035,.037,.036,.034,.032,.031,.023,.016,.021,.021,.028,.037,15
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.027,.024,C,C,.017,.022,.021,.021,.028,.033,.038,.038,.036,.035,.034,.036,.035,.034,.031,.031,.030,.014,.016,.016,.028,.038,10
,OTAY MESA DVN,.035,.035,C,C,.037,.021,.033,.032,.033,M,M,M,M,M,M,M,M,.026,.025,.027,.033,.030,.026,.024,.029,.037,04
,PENDLETON,.017,.019,C,C,.020,.026,.037,.032,.029,.039,.040,.039,.038,.038,.038,.038,.040,.040,.038,.040,.043,.040,.020,.019,.033,.043,20
02 NOX PPM,ALPINE,.001,.001,C,C,.001,.006,.008,.004,.002,.003,.002,.002,.002,.002,.004,.003,.002,.002,.002,.002,.002,.002,.002,.002,.003,.008,06
,CARMEL MT RCH,.005,.002,C,C,.005,.008,.010,.007,.004,.016,.040,.024,.029,.019,.030,.032,.022,.016,.014,.014,.012,.015,.006,.007,.015,.040,10
,CHULA VISTA,.007,.006,C,C,.012,.017,.022,.028,.018,.012,.003,.002,.002,.003,.002,.002,.003,.002,.004,.004,.004,.008,.009,.011,.008,.028,07
,DOWNTOWN SES,.004,.004,.004,.005,.003,.010,.015,.015,.007,.003,.003,.003,.002,.002,.002,.003,.002,.004,.003,.007,.005,.004,.003,.005,.005,.015,06
,EL CAJON LES,.002,.002,C,C,C,.004,.004,.002,.002,M,M,M,M,M,.004,.002,.004,.004,.005,.007,.009,.010,.006,.005,.005,.010,21
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.004,.006,C,C,.013,.010,.012,.014,.012,.009,.003,M,.005,.005,.005,.004,.005,.005,.004,.005,.006,.012,.010,.010,.008,.014,07
,OTAY MESA DVN,M,C,C,C,M,M,M,M,M,M,M,M,M,M,M,M,M,.011,.012,.008,.002,.006,.011,.009,.008,.012,18
,PENDLETON,.009,.006,C,C,.008,.007,.003,.011,.009,.003,.001,.001,.004,.004,.003,.002,.001,.000,.002,.001,.000,.002,.012,.012,.005,.012,22
03 NO2 PPM,ALPINE,.001,.001,C,C,.001,.005,.007,.003,.002,.002,.002,.002,.002,.002,.004,.003,.002,.002,.002,.002,.002,.002,.002,.002,.002,.007,06
,CARMEL MT RCH,.004,.002,C,C,.005,.007,.008,.006,.004,.010,.021,.013,.017,.012,.017,.016,.013,.009,.009,.009,.010,.010,.005,.005,.010,.021,10
,CHULA VISTA,.006,.006,C,C,.011,.016,.019,.021,.015,.010,.002,.002,.002,.002,.002,.002,.003,.002,.003,.003,.004,.008,.009,.010,.007,.021,07
,DOWNTOWN SES,.003,.004,.003,.005,.003,.009,.014,.013,.006,.002,.002,.002,.001,.002,.002,.002,.001,.004,.002,.007,.004,.004,.003,.005,.004,.014,06
,EL CAJON LES,.002,.002,C,C,C,.004,.003,.002,.002,M,M,M,M,M,.003,.002,.003,.004,.005,.006,.008,.010,.006,.005,.004,.010,21
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.004,.006,C,C,.013,.009,.011,.013,.010,.007,.003,M,.004,.005,.005,.004,.004,.005,.004,.004,.006,.012,.010,.010,.007,.013,04
,OTAY MESA DVN,M,C,C,C,M,M,M,M,M,M,M,M,M,M,M,M,M,.011,.012,.008,.002,.007,.011,.009,.009,.012,18
,PENDLETON,.009,.007,C,C,.008,.008,.003,.009,.008,.003,.001,.001,.003,.004,.003,.002,.001,.001,.003,.002,.001,.002,.013,.012,.005,.013,22
04 NO PPM,ALPINE,.000,.000,C,C,.000,.001,.002,.001,.000,.001,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.002,06
,CARMEL MT RCH,.000,.000,C,C,.000,.001,.002,.001,.001,.006,.019,.010,.012,.007,.013,.016,.010,.007,.006,.005,.002,.004,.001,.001,.006,.019,10
,CHULA VISTA,.000,.000,C,C,.001,.001,.003,.007,.002,.002,.001,.001,.001,.002,.000,.000,.001,.000,.000,.000,.000,.000,.000,.000,.001,.007,07
,DOWNTOWN SES,.000,.000,.000,.000,.000,.001,.001,.002,.001,.001,.001,.001,.001,.001,.001,.001,.000,.000,.000,.000,.000,.000,.000,.000,.001,.002,07
,EL CAJON LES,.000,.000,C,C,C,.000,.000,.000,.000,M,M,M,M,M,.001,.000,.001,.001,.000,.001,.000,.000,.000,.000,.000,.001,14
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.000,.000,C,C,.001,.001,.001,.001,.002,.002,.000,M,.001,.001,.001,.000,.000,.000,.000,.000,.000,.000,.000,.000,.001,.002,08
,OTAY MESA DVN,M,C,C,C,M,M,M,M,M,M,M,M,M,M,M,M,M,.000,.000,.000,.000,.000,.000,.000,.000,.000,17
,PENDLETON,.000,.000,C,C,.000,.000,.000,.002,.001,.001,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.002,07
06 CO PPM,CARMEL MT RCH,.2,.2,C,C,C,.2,.2,.2,.2,.2,.4,.3,.4,.3,.5,.7,.6,.4,.5,.5,.4,.4,.2,.3,.3,.7,15
10 INTMP °C,ALPINE,27,27,26,26,26,26,26,26,26,26,26,26,25,26,26,26,26,26,26,26,26,26,26,26,26,27,00
