Current Date:,3/20/2020,6:12 AM,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Daily Parameter Report
3/19/2020
,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Summary
Parameter,Site Name,,,,,,,,,,,,,,,,,,,,,,,,,Avg,Max,Hr. of Max
01 OZONE PPM,ALPINE,.042,.041,C,C,.038,.037,.038,.039,.041,.043,.043,.044,.044,.044,.045,.043,.041,.039,.035,.031,.029,.032,.033,.033,.038,.045,14
,CHULA VISTA,.043,.036,C,C,.028,.022,.017,.021,M,M,M,M,.044,.044,.043,.043,.043,.042,.035,.026,.023,.014,.019,.016,.031,.044,12
,DOWNTOWN SES,.044,.043,C,C,.024,.012,.006,.018,.030,.036,.043,.045,.045,.044,.045,.043,.044,.044,.042,.034,.025,.021,.023,.025,.033,.045,11
,EL CAJON LES,.037,.035,C,C,C,.022,.015,.029,.035,.038,.042,.042,M,.043,.043,.043,.042,.041,.039,.031,.026,.019,.019,.018,.032,.043,13
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.035,.028,C,C,.016,.015,.013,.020,.033,.040,.045,.044,.043,.043,.043,.043,.040,.041,.040,.027,.020,.021,.020,.019,.031,.045,10
,OTAY MESA DVN,.027,.036,C,C,.038,.037,.032,M,M,M,M,M,M,M,M,.039,.041,.036,.026,.022,.035,.039,.032,.016,.032,.041,16
,PENDLETON,.040,.042,C,C,.025,.015,.028,.029,.024,.038,.042,.043,.041,.043,.044,.044,.043,.041,.042,.042,.037,.036,.031,.029,.036,.044,14
02 NOX PPM,ALPINE,.000,.001,C,C,.002,.004,.002,.002,.001,.001,.001,.002,.002,.001,.001,.001,.002,.003,.005,.007,.005,.002,.001,.001,.002,.007,19
,CARMEL MT RCH,.007,.008,C,C,.009,.010,.010,.011,.005,.012,.028,.029,.019,.015,.015,.018,.017,.009,.023,.013,.005,.003,.008,.006,.013,.029,11
,CHULA VISTA,.001,.004,C,C,.009,.017,.024,.020,M,M,M,M,.004,.003,.003,.003,.003,.003,.007,.013,.015,.021,.014,.014,.010,.024,06
,DOWNTOWN SES,.001,.001,C,C,.011,.023,.032,.022,.012,.011,.004,.001,.001,.002,.001,.001,.001,.000,.002,.008,.015,.014,.011,.007,.008,.032,06
,EL CAJON LES,.002,.003,C,C,C,.009,.015,.004,.003,.002,.003,.003,M,.002,.001,.001,.002,.002,.004,.007,.008,.008,.005,.003,.004,.015,06
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.003,.008,C,C,.013,.014,.017,.017,.006,.005,.001,.002,.002,.002,.001,.002,.002,.002,.002,.011,.012,.009,.010,.007,.007,.017,06
,OTAY MESA DVN,.021,.005,C,C,.003,.005,.008,M,M,M,M,M,M,M,M,.006,.004,.006,.016,.017,.006,.001,.004,.013,.008,.021,00
,PENDLETON,.001,.000,C,C,.005,.008,.005,.005,.006,M,M,.003,.004,.000,.000,M,M,M,M,M,M,M,M,M,.003,.008,05
03 NO2 PPM,ALPINE,.000,.001,C,C,.002,.003,.002,.002,.001,.001,.001,.001,.002,.001,.001,.001,.002,.003,.004,.006,.005,.001,.001,.001,.002,.006,19
,CARMEL MT RCH,.006,.007,C,C,.007,.009,.008,.008,.004,.007,.015,.015,.011,.007,.007,.009,.010,.006,.015,.010,.004,.003,.006,.006,.008,.015,10
,CHULA VISTA,.001,.004,C,C,.009,.014,.019,.015,M,M,M,M,.002,.001,.001,.001,.001,.001,.005,.011,.013,.020,.012,.012,.008,.020,21
,DOWNTOWN SES,.001,.001,C,C,.010,.020,.025,.016,.009,.007,.003,.001,.000,.001,.000,.000,.000,.000,.001,.008,.014,.014,.011,.007,.007,.025,06
,EL CAJON LES,.002,.002,C,C,C,.008,.013,.004,.002,.002,.002,.003,M,.001,.001,.001,.001,.002,.004,.006,.007,.008,.005,.003,.004,.013,06
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.003,.007,C,C,.013,.013,.015,.012,.005,.003,.001,.001,.002,.001,.001,.001,.002,.002,.002,.011,.012,.009,.010,.007,.006,.015,06
,OTAY MESA DVN,.013,.005,C,C,.003,.004,.007,M,M,M,M,M,M,M,M,.005,.004,.006,.014,.017,.006,.001,.005,.013,.007,.017,19
,PENDLETON,.001,.000,C,C,.005,.008,.005,.005,.005,M,M,.002,.002,.000,.000,M,M,M,M,M,M,M,M,M,.003,.008,05
04 NO PPM,ALPINE,.000,.000,C,C,.000,.001,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.001,.000,.000,.000,.000,.000,.001,05
,CARMEL MT RCH,.001,.001,C,C,.002,.001,.002,.003,.001,.005,.013,.014,.008,.008,.008,.009,.007,.002,.008,.003,.000,.000,.002,.001,.005,.014,11
,CHULA VISTA,.000,.000,C,C,.000,.003,.005,.004,M,M,M,M,.002,.002,.002,.002,.002,.002,.002,.002,.002,.002,.002,.002,.002,.005,06
