Current Date:,3/23/2020,6:12 AM,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Daily Parameter Report
3/22/2020
,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Summary
Parameter,Site Name,,,,,,,,,,,,,,,,,,,,,,,,,Avg,Max,Hr. of Max
01 OZONE PPM,ALPINE,.033,C,C,.040,.039,.041,.040,.025,.034,.040,.041,.041,.042,.044,.050,.046,.039,.037,.034,.031,.028,.029,.030,.031,.037,.050,14
,CHULA VISTA,.020,C,C,.017,.016,.011,.016,.020,.024,.030,.036,.042,.041,.042,.041,.038,.037,.034,.030,.031,.028,.029,.027,.028,.029,.042,11
,DOWNTOWN SES,.013,C,C,.015,.017,.013,.011,.019,.026,.033,.034,.042,.043,.043,.041,.040,.038,.033,.027,.033,.033,.033,.032,.030,.029,.043,12
,EL CAJON LES,.009,C,C,C,.009,.004,.007,.022,.024,.034,.040,.041,.043,.049,.045,.038,.034,.034,.032,.030,.027,.026,.023,.024,.028,.049,13
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.021,C,C,.017,.017,.015,.017,.023,.033,.040,.041,.043,.045,.046,.043,.040,.037,.034,.029,.024,.023,.022,.026,.028,.030,.046,13
,OTAY MESA DVN,.025,C,C,.017,.018,.017,.014,.017,.024,.031,.037,.040,.041,.044,.041,.038,.033,.031,.029,.026,.025,.026,.024,.027,.028,.044,13
,PENDLETON,.027,C,C,.019,.017,.017,.016,.019,.027,.038,.044,.045,.047,.049,.049,.050,.049,.044,.036,.029,.027,.032,.034,.039,.034,.050,15
02 NOX PPM,ALPINE,.002,C,C,.001,.001,.001,.002,.008,.003,.001,.001,.001,.001,.001,.003,.002,.001,.001,.002,.002,.002,.001,.001,.001,.002,.008,07
,CARMEL MT RCH,.006,C,C,.009,.012,.017,.025,.026,.015,.010,.005,.002,.007,.009,.006,.007,.008,.004,.003,.002,.002,.001,.001,.002,.008,.026,07
,CHULA VISTA,.007,C,C,.006,.006,.009,.007,.007,.013,.011,.008,.007,.004,.003,.003,.003,.003,.003,.004,.004,.005,.005,.005,.004,.006,.013,08
,DOWNTOWN SES,.015,C,C,.008,.007,.008,.010,.009,.010,.010,.012,.009,.005,.003,.003,.002,.001,.004,.008,.001,.001,.001,.001,.003,.006,.015,00
,EL CAJON LES,.008,C,C,C,.005,.012,.011,.003,.005,.003,.002,.001,.003,.004,.002,.002,.003,.002,.002,.002,.002,.002,.003,.002,.004,.012,05
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.002,C,C,.003,.002,.003,.003,.003,.003,.002,.002,.002,.004,.002,.001,.001,.001,.002,.004,.005,.005,.005,.004,.002,.003,.005,19
,OTAY MESA DVN,.005,C,C,.006,.006,.011,.010,.013,.014,.009,.008,.007,.006,.004,.002,.002,.002,.003,.004,.006,.008,.007,.005,.003,.006,.014,08
,PENDLETON,C,C,C,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,,M,M
03 NO2 PPM,ALPINE,.002,C,C,.001,.001,.001,.001,.006,.002,.001,.001,.001,.001,.001,.002,.001,.001,.001,.001,.002,.001,.001,.001,.001,.001,.006,07
,CARMEL MT RCH,.005,C,C,.007,.008,.010,.012,.013,.009,.006,.003,.002,.005,.006,.003,.004,.005,.003,.002,.002,.002,.001,.001,.002,.005,.013,07
,CHULA VISTA,.005,C,C,.005,.005,.007,.005,.004,.008,.007,.005,.004,.002,.001,.001,.001,.001,.001,.003,.002,.003,.003,.004,.002,.004,.008,08
,DOWNTOWN SES,.014,C,C,.008,.007,.008,.007,.006,.006,.007,.009,.007,.003,.002,.002,.001,.001,.004,.007,.001,.000,.000,.001,.002,.005,.014,00
,EL CAJON LES,.008,C,C,C,.005,.008,.008,.002,.003,.003,.001,.000,.002,.003,.002,.001,.002,.001,.002,.002,.002,.002,.003,.002,.003,.008,00
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.002,C,C,.003,.002,.003,.002,.002,.002,.002,.002,.002,.003,.002,.001,.001,.001,.002,.004,.005,.005,.005,.004,.002,.003,.005,19
,OTAY MESA DVN,.005,C,C,.005,.005,.009,.008,.009,.007,.007,.007,.005,.005,.004,.002,.002,.002,.003,.004,.006,.008,.006,.005,.003,.005,.009,05
,PENDLETON,C,C,C,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,,M,M
04 NO PPM,ALPINE,.000,C,C,.000,.000,.000,.000,.002,.001,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.002,07
,CARMEL MT RCH,.001,C,C,.003,.004,.007,.013,.013,.005,.003,.001,.001,.003,.003,.003,.003,.003,.001,.001,.000,.000,.000,.000,.001,.003,.013,06
,CHULA VISTA,.002,C,C,.002,.002,.002,.002,.003,.005,.004,.003,.002,.002,.002,.002,.002,.002,.002,.002,.002,.002,.002,.002,.002,.002,.005,08
,DOWNTOWN SES,.001,C,C,.000,.001,.001,.002,.003,.004,.003,.004,.002,.001,.001,.001,.001,.000,.001,.000,.000,.000,.000,.000,.000,.001,.004,08
,EL CAJON LES,.000,C,C,C,.000,.004,.004,.001,.002,.001,.000,.000,.001,.001,.001,.001,.001,.000,.000,.000,.000,.000,.000,.000,.001,.004,05
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.000,C,C,.000,.000,.000,.000,.001,.001,.000,.000,.000,.001,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.001,07
,OTAY MESA DVN,.000,C,C,.001,.000,.002,.002,.005,.006,.002,.002,.001,.001,.001,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.001,.006,08
,PENDLETON,C,C,C,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,,M,M
06 CO PPM,CARMEL MT RCH,.3,C,C,.2,.4,.5,.7,.6,.4,.4,.3,.2,.3,.4,.3,.3,.4,.2,.2,.2,.1,.2,.2,.2,.3,.7,06
10 INTMP °C,ALPINE,26,27,27,27,27,27,27,26,25,24,24,24,24,24,24,24,24,25,25,25,25,26,26,26,25,27,01
,CARMEL MT RCH,26,26,27,27,26,26,26,26,26,25,25,24,25,25,25,25,25,25,25,26,26,26,26,26,26,27,02
,CHULA VISTA,23,23,23,22,22,22,22,22,25,26,26,25,26,25,25,26,26,26,25,25,26,26,26,26,25,26,09
,DOWNTOWN SES,26,26,26,26,26,27,26,26,25,25,25,25,25,24,24,25,25,25,25,26,25,26,26,26,25,27,05
,EL CAJON LES,27,27,27,27,27,27,27,27,27,27,27,27,26,26,26,26,26,26,26,27,26,27,27,26,27,27,00
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,25,25,25,25,25,25,25,25,25,25,24,24,24,24,24,24,24,25,24,25,25,25,25,25,25,25,00
,OTAY MESA DVN,26,26,26,26,26,25,25,25,25,26,26,26,26,26,26,25,25,26,25,26,26,26,26,26,26,26,00
,PENDLETON,27,27,28,27,27,27,26,26,26,25,25,25,25,25,25,25,26,26,27,27,27,27,27,27,26,28,02
