Current Date:,3/26/2020,6:12 AM,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Daily Parameter Report
3/25/2020
,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Summary
Parameter,Site Name,,,,,,,,,,,,,,,,,,,,,,,,,Avg,Max,Hr. of Max
01 OZONE PPM,ALPINE,.039,.040,C,C,.039,.037,.041,.042,.044,.045,.046,.048,.050,.050,.048,.047,.044,.043,.040,.040,.040,.039,.038,.040,.042,.050,12
,CHULA VISTA,.040,.035,C,C,.033,.029,.030,M,M,M,M,M,.046,.045,.044,.044,.042,.042,.041,.041,.036,.036,.037,.039,.038,.046,12
,DOWNTOWN SES,.043,.042,C,C,.041,.036,.042,.042,.045,.046,.047,.047,.047,.046,.045,.044,.043,.043,.043,.042,.040,.041,.040,.045,.043,.047,10
,EL CAJON LES,.039,.036,C,C,C,.027,.022,.034,.040,.041,.044,.047,.050,M,.046,.044,.043,.041,.041,.041,.037,.034,.034,.038,.038,.050,12
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.038,.036,C,C,.038,.033,.027,.038,.042,.045,.047,.048,.047,.046,.044,.044,.041,.041,.042,.040,.039,.039,.041,.041,.040,.048,11
,OTAY MESA DVN,.037,.034,C,C,.038,.036,.038,.040,.038,.044,.043,.048,.048,.048,.045,.045,.044,.042,.041,.040,.040,.036,.037,.035,.040,.048,11
,PENDLETON,.046,.046,C,C,.038,.033,.032,.031,.041,.041,M,M,M,M,M,.045,.043,.042,.042,.041,.043,.045,.046,.046,.041,.046,00
02 NOX PPM,ALPINE,.000,.000,C,C,.001,.003,.002,.001,.001,.001,.001,.001,.001,.001,.001,.002,.001,.001,.001,.001,.001,.001,.001,.001,.001,.003,05
,CARMEL MT RCH,.005,.007,C,C,.019,.014,.016,.008,.021,.022,.017,.017,.013,.016,.016,.012,.010,.007,.008,.009,.006,.003,.001,.002,.011,.022,09
,CHULA VISTA,.003,.006,C,C,.007,.010,.012,M,M,M,M,M,.003,.003,.003,.004,.004,.003,.004,.003,.005,.004,.004,.004,.005,.012,06
,DOWNTOWN SES,.001,.001,C,C,.004,.009,.005,.005,.002,.003,.002,.002,.002,.001,.002,.002,.001,.002,.002,.002,.001,.001,.001,.000,.002,.009,05
,EL CAJON LES,.000,.001,C,C,C,.007,.007,.005,.004,.003,.003,.002,.002,M,.002,.002,.001,.001,.002,.002,.003,.003,.003,.002,.003,.007,05
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.001,.002,C,C,.004,.007,.008,.005,.003,.002,.001,.001,.001,.001,.001,.001,.001,.001,.001,.001,.002,.001,.001,.001,.002,.008,06
,OTAY MESA DVN,.001,.001,C,C,.002,.004,.004,.002,.006,.003,.004,.002,.002,.001,.001,.001,.001,.001,.001,.002,.002,.002,.002,.003,.002,.006,08
,PENDLETON,M,C,C,C,M,M,M,M,M,M,M,M,M,M,M,.001,.000,.000,.000,.000,.000,.000,.001,.000,.000,.001,15
03 NO2 PPM,ALPINE,.000,.000,C,C,.001,.003,.002,.001,.001,.001,.001,.001,.001,.001,.001,.001,.001,.001,.001,.001,.001,.001,.001,.001,.001,.003,05
,CARMEL MT RCH,.003,.005,C,C,.013,.009,.010,.006,.012,.012,.009,.009,.007,.008,.008,.006,.004,.004,.005,.006,.003,.002,.000,.001,.006,.013,04
,CHULA VISTA,.001,.004,C,C,.005,.008,.010,M,M,M,M,M,.001,.001,.001,.002,.002,.001,.002,.001,.003,.002,.002,.002,.003,.010,06
,DOWNTOWN SES,.001,.001,C,C,.003,.009,.004,.004,.001,.002,.001,.001,.001,.001,.001,.001,.000,.001,.002,.002,.001,.001,.001,.000,.002,.009,05
,EL CAJON LES,.001,.001,C,C,C,.007,.007,.004,.003,.003,.002,.001,.001,M,.001,.001,.001,.001,.002,.002,.003,.003,.002,.001,.002,.007,05
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.001,.002,C,C,.004,.007,.008,.004,.003,.002,.001,.001,.001,.001,.001,.001,.001,.001,.001,.001,.001,.001,.001,.001,.002,.008,06
,OTAY MESA DVN,.001,.001,C,C,.002,.004,.003,.002,.004,.002,.003,.002,.001,.001,.001,.001,.001,.001,.001,.002,.002,.002,.002,.003,.002,.004,05
,PENDLETON,M,C,C,C,M,M,M,M,M,M,M,M,M,M,M,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,15
04 NO PPM,ALPINE,.000,.000,C,C,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,00
,CARMEL MT RCH,.002,.001,C,C,.007,.005,.006,.002,.009,.010,.007,.009,.006,.008,.009,.006,.005,.004,.004,.003,.003,.001,.000,.001,.005,.010,09
,CHULA VISTA,.002,.002,C,C,.002,.002,.002,M,M,M,M,M,.002,.002,.002,.002,.002,.002,.002,.002,.002,.002,.002,.002,.002,.002,00
