,KEARNY MESA,.003,.005,.009,.004,.011,.011,.013,.004,.003,.003,.003,.003,.003,.002,M,.002,.002,.002,.003,.003,.004,.005,.005,.005,.005,.013,06
,OTAY MESA DVN,,,,,,,,P,M,C,C,C,M,M,M,.001,.133,.009,.004,.003,.007,.009,.007,.007,.020,.133,16
,PENDLETON,.002,.002,C,C,.005,.009,.012,.045,.011,.002,.001,.001,.002,.002,.002,.002,.001,.002,.002,.004,.011,.009,.008,.006,.006,.045,07
03 NO2 PPM,ALPINE,.000,.000,C,C,.002,.002,.004,.003,.002,.002,.001,.001,.001,.001,.002,.002,.002,.002,.003,.004,.008,.003,.002,.001,.002,.008,20
,CARMEL MT RCH,.006,.010,C,C,.014,.023,.013,.005,.010,.012,.012,.010,.008,.010,.008,.007,.008,.008,.010,.012,.014,.008,.010,.014,.011,.023,05
,CHULA VISTA,.007,.005,C,C,.006,.006,.010,.007,.002,.003,.005,.003,.003,.003,.002,.004,.005,.007,.006,.006,.007,.009,.012,.009,.006,.012,22
,DOWNTOWN SES,.004,.003,C,C,.014,.016,.013,.011,.005,.004,.008,.005,.003,.002,.002,.002,.002,.003,.003,.004,.006,.007,.006,.005,.006,.016,05
,EL CAJON LES,.004,.002,C,C,C,.002,.003,.003,.001,.002,.002,.002,.002,M,.002,.002,.002,.002,.004,.007,.008,.007,.008,.007,.004,.008,20
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.003,.005,.008,.004,.010,.010,.010,.003,.002,.003,.003,.002,.002,.002,M,.002,.001,.002,.002,.003,.004,.005,.005,.005,.004,.010,04
,OTAY MESA DVN,,,,,,,,P,M,C,C,C,M,M,M,.000,.050,.008,.004,.003,.006,.009,.007,.007,.010,.050,16
,PENDLETON,.002,.002,C,C,.004,.007,.008,.015,.006,.001,.001,.001,.001,.001,.001,.002,.001,.002,.002,.004,.011,.008,.008,.006,.004,.015,07
04 NO PPM,ALPINE,.000,.000,C,C,.001,.000,.001,.001,.001,.001,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.001,04
,CARMEL MT RCH,.000,.002,C,C,.010,.023,.010,.002,.008,.009,.009,.007,.006,.009,.008,.006,.006,.005,.005,.004,.003,.002,.003,.001,.006,.023,05
,CHULA VISTA,.002,.002,C,C,.002,.002,.003,.004,.002,.002,.003,.003,.003,.002,.002,.003,.003,.002,.002,.002,.002,.002,.002,.002,.002,.004,07
,DOWNTOWN SES,.000,.000,C,C,.001,.003,.004,.005,.003,.002,.004,.002,.001,.001,.001,.001,.001,.000,.000,.000,.000,.000,.000,.000,.001,.005,07
,EL CAJON LES,.000,.000,C,C,C,.000,.001,.001,.000,.000,.001,.001,.000,M,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.001,06
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.000,.000,.000,.000,.001,.001,.003,.001,.001,.001,.001,.001,.001,.000,M,.001,.000,.000,.000,.000,.000,.000,.000,.000,.001,.003,06
,OTAY MESA DVN,,,,,,,,P,M,C,C,C,M,M,M,.000,.083,.001,.000,.000,.000,.000,.000,.000,.009,.083,16
,PENDLETON,.000,.000,C,C,.001,.002,.004,.030,.005,.000,.001,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.002,.030,07
06 CO PPM,CARMEL MT RCH,.3,.2,C,C,C,.8,.4,.2,.3,.3,C,.4,.4,.5,.4,.4,.4,.4,.4,.5,.4,.3,.3,.5,.4,.8,05
10 INTMP °C,ALPINE,27,26,27,27,27,27,27,26,25,24,24,24,24,24,24,24,24,24,25,25,26,26,26,26,25,27,00
,CARMEL MT RCH,26,26,27,26,27,27,26,26,26,25,25,25,25,25,25,25,24,25,25,26,26,26,26,26,26,27,02
,CHULA VISTA,24,24,23,23,23,23,23,23,25,26,25,25,25,26,25,26,25,26,26,26,25,24,24,24,25,26,09
,DOWNTOWN SES,26,26,26,26,26,26,26,26,25,25,25,24,24,24,24,24,24,25,25,26,25,26,26,26,25,26,00
,EL CAJON LES,27,27,27,27,27,27,27,27,26,26,26,26,26,26,26,26,26,26,26,26,27,27,27,27,27,27,00
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,24,24,24,24,24,23,23,24,25,25,24,24,24,24,25,25,25,25,25,25,26,25,26,26,25,26,20
,OTAY MESA DVN,,,,,,,,P,23,24,25,26,25,25,26,26,25,25,25,26,26,26,26,27,25,27,23
,PENDLETON,27,27,27,27,27,27,26,27,26,25,25,24,24,24,25,25,25,26,26,26,26,27,27,27,26,27,00
11 PM2.5 µg/M3,ALPINE,6.4,5.5,3.6,5.9,5.0,3.5,4.0,6.3,4.3,1.9,-.8,.4,4.8,5.8,8.6,10.6,9.3,9.4,9.3,9.7,11.5,11.3,7.6,4.5,6.1,11.5,20
,DOWNTOWN SES,10.4,9.0,12.5,11.3,7.6,5.8,9.5,11.2,7.6,5.7,8.7,6.5,8.3,7.6,7.4,7.2,8.9,11.7,9.7,7.8,8.2,7.4,7.8,8.3,8.5,12.5,02
,EL CAJON LES,13.5,8.5,9.4,7.6,11.1,7.2,7.5,6.4,M,3.0,4.6,9.0,8.1,5.6,10.3,6.4,3.3,3.6,6.0,6.8,8.6,6.6,6.0,6.5,7.2,13.5,00
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OTAY MESA DVN,,,,,,,,17.0,10.1,5.9,.0,2.0,8.4,7.7,7.9,6.3,10.5,8.6,6.5,4.2,6.8,16.6,8.2,10.0,8.0,17.0,07
,PENDLETON,8.9,5.2,7.7,8.4,5.9,7.1,8.4,9.1,6.4,5.1,8.0,8.1,6.9,8.7,7.7,6.3,9.2,7.1,6.9,8.5,7.8,7.5,5.4,16.9,7.8,16.9,23
12 VWDR °,ALPINE,3,353,37,10,9,57,100,154,231,253,309,293,307,286,271,274,293,291,346,44,103,102,358,357,0,358,22
,CHULA VISTA,56,51,51,44,63,57,45,114,31,10,292,269,273,268,279,298,293,296,331,351,346,351,26,49,0,351,19
,DOWNTOWN SES,16,33,44,36,59,54,47,116,21,356,275,287,280,280,288,306,303,326,343,351,337,357,351,339,0,357,21
,EL CAJON LES,79,88,94,89,99,82,72,78,24,0,303,308,305,274,268,261,303,302,300,302,299,352,107,101,0,352,21
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,0,,
,KEARNY MESA,39,44,63,54,67,64,96,98,17,342,329,298,289,290,293,292,305,301,325,329,337,356,2,8,0,356,21
,OTAY MESA DVN,,,,,,,,P,333,329,331,310,293,288,290,293,290,290,326,334,140,99,32,24,0,334,19
,PENDLETON,38,34,35,51,61,63,51,61,45,262,267,283,289,288,279,292,306,300,311,320,348,15,25,20,0,348,20
13 SIGTHETA °,ALPINE,14,12,17,11,11,22,18,27,42,42,35,31,31,42,25,29,22,24,15,27,33,15,38,16,25,42,08
,CHULA VISTA,24,16,16,25,32,21,21,26,30,47,31,18,19,19,21,20,19,18,18,18,15,25,40,22,23,47,09
,DOWNTOWN SES,16,14,24,34,25,17,20,35,43,50,40,21,19,20,22,24,25,23,17,19,23,18,16,17,24,50,09
,EL CAJON LES,20,38,17,15,21,21,14,37,38,50,42,37,32,31,23,19,20,19,17,15,15,34,41,32,27,50,09
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,7,16,15,9,8,10,15,30,36,38,28,23,14,13,12,11,12,11,8,7,9,7,8,8,15,38,09
,OTAY MESA DVN,,,,,,,,26,43,16,20,18,13,15,15,14,11,10,12,16,43,25,16,21,20,43,08
,PENDLETON,13,16,16,14,14,13,15,16,26,62,15,18,18,18,16,18,16,18,12,12,12,10,15,13,17,62,09
14 VWSP MPH,ALPINE,2.1,2.0,1.3,1.5,1.4,.8,1.7,2.2,1.4,2.4,3.1,3.5,4.1,3.7,5.7,5.0,3.9,2.5,1.7,.8,.8,.8,1.0,1.6,.0,5.7,14
,CHULA VISTA,.7,3.2,2.2,1.3,1.6,3.3,3.0,2.1,3.3,2.5,5.2,9.6,9.9,9.8,9.3,8.9,7.1,6.3,4.2,3.5,2.0,1.6,.8,1.0,.0,9.9,12
,DOWNTOWN SES,1.4,2.4,1.5,.9,1.6,2.6,2.9,1.8,2.4,2.5,4.1,8.8,10.7,10.1,9.1,7.3,6.4,5.9,4.8,4.0,2.3,2.9,3.4,3.2,.0,10.7,12
,EL CAJON LES,1.6,.8,2.7,1.8,2.0,2.6,3.0,1.8,2.2,2.0,3.7,3.9,4.7,5.0,7.5,7.0,6.6,5.8,4.6,2.8,2.0,1.3,.6,.8,.0,7.5,14
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,.0,,
,KEARNY MESA,3.7,1.6,1.7,3.1,3.0,3.6,2.9,2.8,3.3,3.2,4.8,8.7,12.0,12.7,12.7,11.7,10.8,7.0,6.4,5.6,4.6,5.0,4.0,4.8,.0,12.7,13
,OTAY MESA DVN,,,,,,,,P,3.1,6.0,6.6,10.5,13.0,11.4,11.0,10.8,9.6,8.0,5.7,3.3,1.0,1.0,1.4,3.0,.0,13.0,12
,PENDLETON,4.9,4.9,5.2,4.4,5.9,5.9,5.4,5.0,3.5,1.9,5.0,5.1,5.8,6.2,6.5,7.5,10.6,7.2,8.6,6.6,4.0,4.6,3.0,4.9,.0,10.6,16
15 SWSP MPH,ALPINE,2.2,2.0,1.4,1.5,1.4,1.2,1.8,2.5,2.1,3.2,3.7,4.0,4.6,4.5,6.3,5.6,4.3,2.8,1.8,1.3,1.2,.8,1.5,1.7,2.6,6.3,14
,CHULA VISTA,1.0,3.3,2.3,1.4,1.8,3.5,3.2,2.4,3.8,3.8,6.6,10.0,10.6,10.3,9.9,9.4,7.5,6.7,4.4,3.7,2.1,1.8,1.2,1.2,4.7,10.6,12
,DOWNTOWN SES,1.5,2.4,1.6,1.3,1.8,2.7,3.1,2.2,3.5,3.7,5.4,9.3,11.2,10.7,9.8,8.2,7.1,6.4,5.0,4.2,2.5,3.0,3.6,3.3,4.7,11.2,12
,EL CAJON LES,1.7,1.4,2.9,1.8,2.2,2.8,3.1,2.2,2.9,3.1,4.8,4.7,5.8,6.5,8.1,7.4,7.1,6.2,4.8,2.9,2.2,1.4,.8,1.1,3.7,8.1,14
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,3.8,1.7,1.8,3.1,3.0,3.7,3.0,3.2,3.9,4.3,5.5,9.3,12.4,13.1,13.0,12.1,11.1,7.1,6.5,5.7,4.8,5.1,4.1,4.9,6.1,13.1,13
,OTAY MESA DVN,,,,,,,,P,3.9,6.3,7.1,11.2,13.3,11.9,11.4,11.2,9.9,8.1,5.9,3.6,1.2,1.0,1.7,3.3,6.9,13.3,12
,PENDLETON,5.0,5.1,5.4,4.6,6.1,6.1,5.6,5.3,4.3,3.8,5.2,5.4,6.1,6.5,6.8,8.0,10.9,7.5,8.8,6.8,4.5,4.7,3.1,5.0,5.9,10.9,16
16 AMBTEMP °F,ALPINE,47.1,46.7,46.6,46.0,45.7,44.8,45.2,50.1,53.6,57.5,61.3,64.3,65.6,68.3,69.0,66.3,64.2,61.1,57.3,56.7,55.0,56.2,56.1,57.2,55.9,69.0,14
,CARMEL MT RCH,52.3,52.5,51.8,52.1,51.2,51.4,52.4,56.5,57.9,60.2,64.1,66.9,68.0,68.3,66.1,65.1,63.5,60.9,58.3,57.3,57.0,56.2,54.9,53.0,58.2,68.3,13
,CHULA VISTA,55.0,53.9,53.2,52.4,53.0,53.6,54.7,57.8,61.4,64.4,67.0,65.9,67.0,66.9,66.6,66.3,65.6,63.9,61.9,60.5,59.2,57.8,56.6,56.1,60.0,67.0,10
,DOWNTOWN SES,57.1,56.3,54.8,53.4,53.4,54.7,56.3,59.6,61.9,64.6,66.7,66.2,66.1,65.9,65.5,65.0,65.0,63.3,61.4,60.5,59.6,59.1,58.4,57.4,60.5,66.7,10
,EL CAJON LES,51.1,51.2,51.3,51.4,51.1,49.9,50.6,54.9,59.9,63.0,67.1,70.5,73.7,74.9,72.6,71.3,69.1,65.2,61.5,59.9,58.6,57.2,55.3,54.2,60.2,74.9,13
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,52.0,53.1,53.0,52.9,52.5,52.8,54.8,59.3,60.9,63.1,65.5,66.9,66.7,65.7,65.1,64.0,63.3,60.7,58.8,57.6,56.5,54.8,54.8,53.6,58.7,66.9,11
,OTAY MESA DVN,,,,,,,,P,59.0,62.4,65.5,67.4,66.2,66.2,66.1,65.9,65.1,62.4,60.1,57.9,56.6,56.4,55.6,55.5,61.8,67.4,11
,PENDLETON,53.4,52.5,51.5,52.4,51.9,50.1,51.1,55.6,59.7,63.0,62.9,63.2,63.6,63.9,64.1,63.9,63.3,62.0,60.3,59.3,57.5,56.5,54.7,54.2,57.9,64.1,14
17 RELHUM %,ALPINE,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,,M,M
,EL CAJON LES,88,85,82,81,82,81,77,69,61,55,48,42,37,42,46,47,52,56,69,75,79,81,86,87,67,88,00
,KEARNY MESA,90,90,91,91,90,89,85,70,66,62,55,58,62,59,61,67,67,80,80,82,87,88,86,89,77,91,02
18 PRES mmHg,EL CAJON LES,753,753,753,753,753,754,754,755,755,755,754,754,753,752,752,752,752,753,753,753,753,753,753,752,753,755,07
,KEARNY MESA,754,754,754,754,754,755,755,756,756,756,756,755,754,754,754,754,753,754,754,754,754,754,754,754,754,756,07
19 SOLAR W/M2,EL CAJON LES,-1,2,2,2,1,6,146,379,613,824,960,1012,1004,907,751,555,313,77,-1,-2,-2,-2,-1,-1,314,1012,11
,KEARNY MESA,1,0,0,0,0,4,117,365,582,759,884,943,937,861,727,553,333,89,3,0,0,0,0,0,298,943,11
25 NOY,EL CAJON LES,4.41,2.70,1.78,1.91,3.34,C,C,4.30,2.79,3.29,3.97,3.87,3.82,M,4.00,4.09,4.11,3.88,5.02,8.40,8.95,7.35,8.84,7.20,4.66,8.95,20
26 NOY-NO,EL CAJON LES,4.36,2.64,1.73,1.87,3.23,C,C,3.08,2.26,2.70,3.12,3.30,3.25,M,3.48,3.34,3.59,3.65,4.93,8.09,8.67,7.28,8.68,7.05,4.30,8.68,22
27 NO Trace,EL CAJON LES,.05,.06,.05,.03,.11,C,C,1.21,.53,.59,.84,.57,.57,M,.51,.74,.51,.23,.08,.31,.27,.06,.15,.14,.36,1.21,07
28 SO2 Tr PPB,EL CAJON LES,.0,.0,C,C,C,.0,.0,.0,.0,.0,.0,.0,.0,M,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,00
29 CO Tr PPB,EL CAJON LES,255.8,213.7,C,C,C,165.2,183.1,198.7,188.1,193.1,199.5,199.2,206.6,M,215.0,213.8,217.3,193.3,207.0,234.6,249.1,256.3,279.7,237.7,215.3,279.7,22
BCarbon ug/m3,DOWNTOWN SES,.29,.23,.28,.37,.47,.55,.53,.84,.36,.39,.35,.24,.23,.19,.22,.19,.20,.26,.25,.24,.31,.33,.34,.27,.33,.84,07
RAINFALL,EL CAJON LES,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,00
