Current Date:,4/8/2019,6:12 AM,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Daily Parameter Report
4/7/2019
,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Summary
Parameter,SiteName,,,,,,,,,,,,,,,,,,,,,,,,,Avg,Max,Hr. of Max
01 OZONE PPM,ALPINE,.022,C,C,.036,.040,.037,.038,.029,.033,.038,.043,.048,.052,.054,.056,.057,.059,.058,.051,.048,.047,.052,.051,.050,.045,.059,16
,CHULA VISTA,.010,C,C,.013,.007,.006,.006,.017,.028,.032,.039,.044,.046,.047,.046,.046,.049,.044,.034,.036,.028,.020,.016,.005,.028,.049,16
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.015,C,C,C,.005,.003,.006,.010,.023,.034,.045,.048,.051,.055,.057,.057,.057,.056,.041,.027,.032,.022,.019,.018,.032,.057,14
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.023,C,C,.013,.009,.006,.006,.028,.032,.033,.040,.043,.045,.049,.049,.049,.051,.045,.046,.049,.041,.037,.034,.026,.034,.051,16
,OTAY MESA DVN,.025,C,C,.021,.017,.020,.019,.026,.027,.027,.038,.041,.045,.047,.049,.043,.042,.039,.035,.029,.027,.022,.018,.016,.030,.049,14
,PENDLETON,.020,C,C,.015,.015,.010,.013,.018,.027,.032,.038,.037,.039,.044,.047,.049,.051,.044,.044,.041,.031,.025,.016,.015,.030,.051,16
02 NOX PPM,ALPINE,.003,C,C,.001,.001,.002,.003,.003,.005,.006,.003,.003,.003,.003,.002,.002,.002,.002,.005,.005,.004,.003,.002,.002,.003,.006,09
,CARMEL MT RCH,.015,C,C,C,.021,.013,.026,.012,.003,.010,.013,.012,.013,.015,.013,.013,.014,.018,.013,.023,.012,.007,.024,.025,.015,.026,06
,CHULA VISTA,.013,C,C,.006,.008,.010,.018,.009,.004,.007,.007,.004,.005,.007,.006,.007,.004,.005,.008,.006,.011,.015,.014,.018,.009,.018,06
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.004,C,C,C,.007,.009,.011,.014,.005,.003,.003,.002,.002,.001,.001,.001,.001,.002,.010,.015,.010,.011,.011,.009,.006,.015,19
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.005,C,C,.005,.006,.010,.013,.004,.002,.003,.003,.002,.002,.002,.002,.002,.002,.005,.005,.005,.008,.011,.013,.013,.006,.013,06
,OTAY MESA DVN,C,C,C,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
,PENDLETON,.004,C,C,.003,.015,.006,.007,.006,.003,.003,.002,.001,.001,.001,.001,.001,.001,.001,.002,.001,.008,.009,.014,.016,.005,.016,23
03 NO2 PPM,ALPINE,.003,C,C,.001,.001,.002,.003,.002,.004,.004,.002,.002,.002,.002,.002,.002,.001,.002,.005,.005,.004,.002,.002,.002,.003,.005,18
,CARMEL MT RCH,.012,C,C,C,.013,.009,.012,.007,.002,.006,.007,.006,.007,.009,.008,.008,.010,.012,.010,.018,.011,.007,.022,.022,.010,.022,22
,CHULA VISTA,.012,C,C,.005,.007,.009,.008,.005,.003,.003,.005,.003,.004,.005,.004,.005,.003,.004,.007,.005,.010,.014,.013,.017,.007,.017,23
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.004,C,C,C,.006,.007,.007,.007,.003,.003,.002,.002,.002,.001,.001,.001,.002,.002,.011,.015,.010,.012,.011,.009,.006,.015,19
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.005,C,C,.005,.005,.008,.008,.003,.002,.002,.002,.002,.002,.002,.002,.002,.002,.005,.005,.005,.008,.011,.013,.013,.005,.013,22
,OTAY MESA DVN,C,C,C,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
,PENDLETON,.004,C,C,.002,.004,.005,.005,.004,.002,.002,.001,.001,.001,.001,.001,.001,.001,.001,.002,.001,.008,.009,.014,.015,.004,.015,23
04 NO PPM,ALPINE,.000,C,C,.000,.000,.000,.001,.001,.001,.001,.001,.001,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.001,06
,CARMEL MT RCH,.003,C,C,C,.008,.004,.014,.005,.001,.004,.006,.006,.005,.006,.005,.005,.004,.006,.004,.005,.001,.000,.002,.003,.005,.014,06
,CHULA VISTA,.001,C,C,.001,.001,.002,.009,.004,.002,.004,.002,.001,.002,.002,.002,.002,.001,.001,.001,.001,.001,.001,.001,.002,.002,.009,06
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,-.001,C,C,C,.001,.002,.004,.007,.002,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,-.001,.000,.000,-.001,.001,.007,07
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.000,C,C,.000,.001,.002,.004,.001,.001,.001,.001,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.001,.004,06
,OTAY MESA DVN,C,C,C,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
,PENDLETON,.000,C,C,.000,.011,.001,.002,.002,.001,.001,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.002,.001,.011,04
06 CO PPM,CARMEL MT RCH,.4,C,C,C,.6,.3,.6,.4,.2,.3,.5,.5,.5,.6,.6,.6,.6,.6,.5,.7,.5,.3,.7,.7,.5,.7,19
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
10 INTMP °C,ALPINE,26,26,26,26,26,26,26,26,25,24,24,23,23,23,23,23,23,23,24,24,24,25,24,25,25,26,00
,CARMEL MT RCH,26,26,26,27,27,26,26,26,26,25,25,25,25,25,25,25,25,25,25,25,26,26,26,26,26,27,03
,CHULA VISTA,25,25,25,24,24,24,24,24,26,26,26,26,26,26,26,26,26,25,25,26,26,26,26,26,25,26,08
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,26,27,27,27,27,26,26,26,26,26,26,26,26,26,26,25,25,26,26,26,26,26,26,26,26,27,01
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,25,25,25,25,25,25,25,25,25,25,25,25,24,24,24,25,24,24,25,25,25,25,25,25,25,25,00
,OTAY MESA DVN,28,27,28,28,27,28,28,27,27,27,27,27,26,26,26,26,25,25,25,26,26,26,27,27,27,28,00
,PENDLETON,24,24,24,24,25,24,25,24,23,23,23,23,23,23,23,23,23,23,23,23,24,24,24,24,24,25,04
,SAN YSIDRO,,,,,,,,,,,,,,,,,,,,,,,,,,,
11 PM2.5 µg/M3,ALPINE,3.2,3.6,3.8,2.2,2.3,2.3,4.0,6.6,2.3,-4.0,-3.2,-1.1,.4,3.4,3.3,4.2,3.8,.8,1.3,6.1,6.9,8.0,5.7,4.2,2.9,8.0,21
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,4.3,6.8,5.2,1.4,2.3,3.3,2.1,2.4,1.8,4.4,3.3,1.8,4.4,3.9,1.8,2.1,1.9,.7,5.6,9.3,5.7,8.0,8.1,5.4,4.0,9.3,19
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OTAY MESA DVN,8.5,12.4,8.3,3.9,1.1,1.7,8.3,11.0,7.8,11.3,8.4,8.9,12.2,12.5,6.9,7.8,7.0,6.9,8.2,14.0,7.4,16.9,26.3,28.6,10.2,28.6,23
,PENDLETON,2.3,2.6,1.8,1.9,1.7,.6,1.7,2.9,3.1,5.5,5.3,2.7,2.3,1.8,1.6,3.9,3.0,5.4,5.5,4.0,5.6,7.0,7.9,10.7,3.7,10.7,23
,SAN YSIDRO,,,,,,,,,,,,,,,,,,,,,,,,,,,
12 VWDR °,ALPINE,87,77,91,93,28,336,66,332,138,261,279,299,280,304,295,318,326,291,315,72,16,55,82,54,187,336,05
,CHULA VISTA,129,60,55,56,103,102,16,45,40,357,278,273,263,266,268,276,241,230,231,161,140,134,57,10,158,357,09
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,85,101,90,116,220,116,326,26,69,14,288,253,298,300,299,294,295,271,235,220,176,75,112,126,184,326,06
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,5,35,56,46,354,61,2,10,69,27,298,304,301,319,299,296,307,283,316,311,36,84,275,328,184,354,04
,OTAY MESA DVN,122,5,22,31,97,43,14,340,163,216,292,293,293,295,292,293,301,285,357,318,42,135,124,113,187,357,18
,PENDLETON,47,56,47,40,64,42,29,86,65,259,275,285,292,292,294,283,254,294,280,240,90,35,160,86,162,294,14
13 SIGTHETA °,ALPINE,17,26,30,38,51,56,30,49,60,42,27,25,34,29,27,36,37,30,27,34,23,28,27,40,34,60,08
,CHULA VISTA,31,24,19,22,41,23,45,19,25,45,21,21,22,24,22,18,23,22,26,25,24,16,25,22,25,45,06
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,18,24,47,44,65,43,41,42,40,64,29,29,34,33,30,23,24,19,32,35,31,50,58,39,37,65,04
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,12,6,6,9,40,9,31,18,16,39,18,18,19,19,14,11,18,13,10,15,21,16,17,12,17,40,04
,OTAY MESA DVN,17,31,13,39,37,47,37,22,40,50,20,13,12,14,12,15,21,26,26,20,14,15,13,11,24,50,09
,PENDLETON,13,12,10,10,13,12,14,12,33,12,15,18,19,21,19,19,22,16,19,31,18,48,59,24,20,59,22
14 VWSP MPH,ALPINE,1.7,.9,1.2,.8,.5,1.2,.9,1.0,1.2,1.9,4.0,5.0,4.2,4.4,5.1,3.5,2.5,2.2,1.5,1.0,1.2,1.9,1.4,.9,2.1,5.1,14
,CHULA VISTA,.9,.8,2.1,1.2,.2,1.3,.9,2.8,4.0,2.0,7.9,7.7,6.9,5.3,7.6,8.2,4.7,4.1,1.9,1.3,1.5,2.3,1.1,1.6,3.3,8.2,15
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,1.6,1.2,.6,1.0,.6,1.3,1.0,1.0,2.7,.3,3.9,4.9,4.2,4.5,5.6,7.1,5.4,4.1,2.8,1.8,.9,.4,1.3,.5,2.4,7.1,15
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,3.4,3.3,3.3,3.5,2.0,2.9,1.8,3.6,5.2,1.3,7.2,9.4,8.9,8.0,11.9,9.1,4.9,5.6,8.1,4.4,1.7,3.3,2.1,2.4,4.9,11.9,14
,OTAY MESA DVN,2.9,1.6,2.6,2.2,1.6,2.0,1.9,3.0,2.2,.8,6.7,11.8,10.0,9.1,11.4,10.2,4.9,2.6,2.7,3.4,2.9,4.7,5.7,3.4,4.6,11.8,11
,PENDLETON,3.3,3.6,4.3,4.5,4.4,3.7,3.6,5.2,3.3,6.9,5.0,5.6,5.6,5.3,6.2,4.3,3.8,5.3,3.1,2.0,2.5,.7,.4,2.7,4.0,6.9,09
15 SWSP MPH,ALPINE,1.8,1.0,1.4,.9,1.2,2.1,2.5,1.5,1.8,2.4,4.6,5.4,5.0,4.9,5.6,4.3,3.1,2.6,1.7,1.2,1.6,2.4,1.5,2.1,2.6,5.6,14
,CHULA VISTA,1.0,1.0,2.2,1.3,.6,1.6,1.2,3.0,4.4,2.9,8.5,8.2,7.4,5.7,8.4,8.7,5.3,4.4,2.2,1.6,1.7,2.5,1.6,1.8,3.6,8.7,15
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,1.7,1.3,.9,1.2,1.2,1.3,1.6,1.5,3.2,2.0,4.4,5.7,5.3,5.5,6.4,7.7,6.0,4.4,3.5,2.3,3.2,1.2,1.6,1.1,3.1,7.7,15
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,3.6,3.4,3.3,3.6,3.0,3.0,2.0,3.8,5.6,3.9,7.6,10.0,9.5,8.5,12.3,9.3,5.1,5.8,8.3,4.8,2.7,3.7,3.3,4.2,5.4,12.3,14
,OTAY MESA DVN,3.1,2.0,2.7,2.8,1.7,2.3,2.4,3.7,3.3,2.6,7.1,12.2,10.3,9.4,11.7,10.6,5.2,3.1,3.8,4.2,4.0,4.9,5.9,3.5,5.1,12.2,11
,PENDLETON,3.4,3.7,4.5,4.6,4.6,3.9,3.8,5.3,3.9,7.1,5.2,5.9,6.0,5.6,6.5,4.6,4.2,5.7,3.6,2.1,2.8,1.3,.7,2.8,4.2,7.1,09
16 AMBTEMP °F,ALPINE,49.6,51.2,51.4,52.3,53.1,53.2,55.5,55.2,63.1,71.7,-35.3,-60.4,-60.2,-60.2,-60.0,-59.9,-60.1,-60.5,56.1,67.5,65.9,66.3,64.5,65.3,20.2,71.7,09
,CARMEL MT RCH,53.8,52.9,52.7,51.7,51.6,51.1,53.3,55.8,61.5,67.0,70.4,70.8,72.5,76.0,78.3,77.0,77.5,75.1,65.4,64.9,64.3,63.4,63.6,62.6,63.9,78.3,14
,CHULA VISTA,55.6,54.8,54.9,54.3,53.0,53.2,54.5,58.0,62.3,67.9,68.6,68.5,70.9,73.9,74.1,72.8,70.1,66.0,62.8,62.6,62.9,62.1,61.9,60.2,62.7,74.1,14
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,54.0,53.1,52.2,51.5,50.8,50.7,52.6,55.4,60.8,68.3,74.3,77.4,79.7,81.4,83.6,84.3,83.2,80.8,74.6,69.9,66.4,65.0,63.4,62.0,66.5,84.3,15
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
