,CARMEL MT RCH,26,26,26,26,26,26,26,26,26,25,25,25,25,25,25,25,25,25,25,26,26,26,26,26,26,26,00
,CHULA VISTA,26,26,26,25,25,25,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,25,25,26,26,00
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,27,27,27,27,27,27,27,27,27,26,26,26,26,26,25,25,26,25,26,26,26,26,26,26,26,27,00
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,00
,OTAY MESA DVN,27,27,27,27,27,27,27,27,27,27,27,26,25,25,25,25,25,25,25,26,26,27,27,27,26,27,00
,PENDLETON,25,25,25,25,25,25,25,24,25,24,24,24,24,24,24,24,24,24,24,24,24,24,24,25,24,25,00
,SAN YSIDRO,,,,,,,,,,,,,,,,,,,,,,,,,,,
11 PM2.5 µg/M3,ALPINE,6.6,7.7,7.5,5.7,5.9,5.0,6.7,5.5,2.2,7.4,M,M,M,18.6,17.1,13.2,15.9,14.6,16.6,10.1,14.0,21.4,11.2,15.0,10.8,21.4,21
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,9.2,7.3,9.3,11.6,8.9,7.6,10.3,12.6,17.1,30.6,29.5,20.9,18.4,18.5,17.8,15.0,9.9,18.3,17.0,12.2,12.2,10.3,7.3,8.3,14.1,30.6,09
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OTAY MESA DVN,3.6,6.6,7.9,11.7,16.4,13.8,16.5,47.0,43.7,36.9,M,M,M,M,23.2,16.8,17.3,18.1,14.2,8.2,7.8,7.0,10.5,9.9,16.8,47.0,07
,PENDLETON,12.8,11.5,13.4,19.0,16.5,15.1,11.2,11.0,10.5,17.0,13.8,14.2,12.5,13.5,11.3,11.2,11.8,9.7,9.0,12.6,10.3,10.8,8.2,10.9,12.4,19.0,03
,SAN YSIDRO,,,,,,,,,,,,,,,,,,,,,,,,,,,
12 VWDR °,ALPINE,103,89,83,154,114,91,311,255,261,254,281,290,277,286,292,285,286,313,315,286,273,41,359,51,223,359,22
,CHULA VISTA,291,288,326,33,61,259,151,187,233,276,269,266,263,261,261,255,256,260,251,247,238,284,249,233,237,326,02
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,128,217,157,131,66,89,115,214,237,256,267,251,251,269,255,244,254,222,203,188,189,167,187,144,196,269,13
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,M,M,M,M,M,M,M,M,M,M,M,M,241,236,255,260,281,290,290,286,281,271,274,315,273,315,23
,OTAY MESA DVN,347,343,353,34,102,58,122,239,316,304,298,294,295,294,294,302,289,300,304,332,347,342,344,25,262,353,02
,PENDLETON,75,85,40,24,39,68,84,169,173,189,210,226,247,248,248,245,247,253,250,252,231,228,184,155,174,253,17
13 SIGTHETA °,ALPINE,24,17,22,66,22,23,44,34,29,43,35,32,30,31,26,29,29,27,23,60,69,35,23,23,33,69,20
,CHULA VISTA,47,25,35,48,37,50,39,37,29,29,30,24,25,23,22,22,25,20,16,16,24,25,24,40,30,50,05
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,37,23,22,25,42,37,61,67,42,56,52,32,29,23,21,18,27,22,15,16,19,15,20,19,31,67,07
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,M,M,M,M,M,M,M,M,M,M,M,M,22,27,17,17,17,12,8,7,5,4,8,34,15,34,23
,OTAY MESA DVN,40,9,14,43,49,37,33,28,30,19,17,14,14,14,12,12,13,12,12,18,13,17,18,21,21,49,04
,PENDLETON,14,20,24,15,21,16,25,22,21,22,26,21,14,13,13,14,14,15,19,19,28,36,39,28,21,39,22
14 VWSP MPH,ALPINE,1.1,1.8,1.2,.5,1.3,.5,.4,1.4,3.4,2.8,3.1,4.9,4.9,4.7,5.7,5.1,4.1,3.1,2.1,.5,.2,.8,.8,.9,2.3,5.7,14
,CHULA VISTA,1.2,2.0,1.2,1.0,.4,.8,1.9,1.8,3.6,3.9,4.5,5.9,5.3,6.2,6.3,5.4,4.6,4.9,4.1,3.4,2.2,1.8,2.0,1.2,3.2,6.3,14
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.4,1.5,1.5,1.5,1.2,1.2,.8,.9,2.1,1.9,2.3,4.2,5.6,6.2,6.5,6.8,4.0,4.7,4.1,2.9,2.3,2.0,2.0,1.9,2.9,6.8,15
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,M,M,M,M,M,M,M,M,M,M,M,M,6.9,5.9,7.9,7.2,5.2,7.3,5.2,4.1,3.3,3.0,3.7,1.0,5.1,7.9,14
,OTAY MESA DVN,1.9,3.8,2.9,.9,.6,1.0,1.3,1.5,3.1,5.4,7.2,8.9,8.8,9.7,10.4,8.8,7.8,5.8,5.8,3.3,3.2,2.1,2.2,2.5,4.5,10.4,14
,PENDLETON,2.6,1.8,1.8,2.9,2.6,3.1,1.9,3.1,4.1,4.8,4.5,5.1,6.7,6.3,6.7,5.8,5.3,3.9,2.7,2.5,1.8,1.6,1.9,1.8,3.6,6.7,12
15 SWSP MPH,ALPINE,1.2,1.9,1.4,.9,1.4,.5,.7,1.6,3.8,3.5,4.2,5.6,5.6,5.6,6.3,5.8,4.9,3.4,2.3,1.1,.3,.9,.9,1.2,2.7,6.3,14
,CHULA VISTA,1.6,2.3,1.8,1.4,1.5,1.2,2.3,2.5,4.1,4.4,5.0,6.4,5.8,6.7,6.8,5.8,5.0,5.2,4.2,3.5,2.4,2.3,2.2,1.4,3.6,6.8,14
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.6,1.7,1.6,1.7,1.5,1.3,1.3,1.4,2.7,2.8,3.1,4.7,6.3,6.8,6.9,7.2,4.4,5.2,4.2,3.1,2.5,2.1,2.2,2.0,3.2,7.2,15
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,1.5,.6,1.9,.9,2.0,3.1,3.1,3.2,4.7,5.0,M,M,7.3,6.5,8.5,7.7,5.5,7.5,5.2,4.1,3.3,3.0,3.8,1.1,4.1,8.5,14
,OTAY MESA DVN,2.1,3.8,3.0,1.5,1.3,1.5,1.9,2.3,3.5,5.8,7.6,9.2,9.1,10.0,10.6,9.0,8.1,6.2,6.0,3.5,3.3,2.8,2.6,2.7,4.9,10.6,14
,PENDLETON,2.7,2.0,2.0,3.0,2.9,3.2,2.1,3.6,4.4,5.3,5.0,5.5,6.9,6.4,6.9,5.9,5.5,4.0,2.8,2.6,2.5,2.0,2.4,2.3,3.8,6.9,12
16 AMBTEMP °F,ALPINE,62.5,63.0,64.0,62.1,61.2,62.2,65.6,69.9,71.8,74.1,78.1,80.7,82.7,83.1,82.2,81.3,78.1,73.9,68.1,64.1,62.1,61.6,62.5,61.6,69.9,83.1,13
,CARMEL MT RCH,57.0,56.0,55.4,54.8,54.7,54.7,55.6,59.0,63.3,68.9,73.9,75.8,76.0,77.2,77.7,75.4,73.6,69.7,64.2,61.5,59.6,57.0,55.8,55.3,63.8,77.7,14
,CHULA VISTA,58.9,58.6,58.2,57.9,58.1,58.2,58.9,59.3,60.7,64.9,66.4,67.2,67.8,68.4,67.4,67.4,66.4,64.0,61.7,60.7,60.5,60.6,60.3,60.0,62.2,68.4,13
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,56.6,55.9,56.8,57.0,56.7,56.1,57.0,64.0,71.0,74.3,79.3,82.1,M,M,81.2,78.6,78.2,74.7,68.1,64.3,62.0,60.3,59.4,58.3,66.0,82.1,11
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,58.2,59.2,59.2,58.8,58.7,58.5,59.1,60.5,64.2,67.1,71.2,74.1,73.8,75.2,74.7,73.7,72.8,69.0,62.5,60.0,59.2,58.6,57.8,58.8,64.4,75.2,13
,OTAY MESA DVN,56.6,55.7,56.2,55.8,54.4,54.8,55.8,59.1,65.0,69.7,72.8,73.5,73.9,74.7,72.0,71.5,70.4,67.6,63.2,60.4,59.2,58.4,58.5,58.2,63.2,74.7,13
,PENDLETON,59.3,59.6,59.0,57.9,58.4,58.9,59.0,59.5,60.1,61.5,63.5,65.4,66.3,66.4,66.4,66.4,65.2,63.8,61.7,61.2,60.9,60.3,60.0,59.9,61.7,66.4,13
17 RELHUM %,ALPINE,44,43,42,46,46,44,42,36,36,34,30,26,22,29,30,27,37,46,57,66,72,72,68,69,44,72,20
,EL CAJON LES,86,88,90,91,92,92,92,77,61,52,41,36,M,M,37,44,40,50,65,75,81,86,88,91,71,92,04
,KEARNY MESA,94,96,96,97,98,98,96,93,81,72,62,54,56,52,55,56,56,68,84,90,92,94,95,95,80,98,04
18 PRES mmHg,KEARNY MESA,746,746,746,746,746,747,747,748,748,748,747,747,746,746,746,745,745,745,746,746,746,747,747,747,746,748,07
19 SOLAR W/M2,KEARNY MESA,0,0,0,0,0,16,86,215,666,815,928,985,963,895,781,602,385,155,11,0,0,0,0,0,313,985,11
28 SO2 Tr PPB,EL CAJON LES,.0,.0,C,C,C,.0,.0,.1,.1,.2,.2,.3,.2,.2,.2,.2,.2,.1,.1,.0,.0,.0,.0,.0,.1,.3,11
29 CO Tr PPB,EL CAJON LES,270.6,253.6,C,C,C,274.4,293.1,322.4,373.5,358.0,360.7,368.3,323.9,291.2,303.5,296.8,319.7,289.7,280.4,272.0,259.5,242.2,234.3,229.5,296.0,373.5,08
