Current Date:,4/12/2019,6:12 AM,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Daily Parameter Report
4/11/2019
,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Summary
Parameter,SiteName,,,,,,,,,,,,,,,,,,,,,,,,,Avg,Max,Hr. of Max
01 OZONE PPM,ALPINE,.053,.052,C,C,.054,.051,.049,.052,.051,.054,.056,.058,.063,.062,.062,.063,.059,.053,.047,.045,.042,.038,.039,.041,.052,.063,12
,CHULA VISTA,.013,.014,C,C,.011,.005,.013,.019,.032,.042,.053,.053,.054,.051,.051,.052,.048,.045,.046,.045,.041,.041,.049,.045,.037,.054,12
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.023,.022,C,C,C,.007,.008,.018,.030,.045,.052,.055,.059,.057,.053,.056,.052,.047,.045,.043,.041,.037,.039,.042,.039,.059,12
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.026,.028,C,C,.017,.015,.015,.032,.027,M,M,M,M,.055,.055,.056,.049,.048,.043,.041,.041,.040,.047,.048,.037,.056,15
,OTAY MESA DVN,.025,.028,C,C,.031,.025,.019,.022,.028,.037,M,M,M,M,.052,.050,.047,.040,.034,.033,.038,.037,.036,.038,.034,.052,14
,PENDLETON,,,,,,,,,,,.039,.045,.045,.046,.053,.053,.050,.044,.042,.042,.042,.043,.044,.045,.045,.053,14
02 NOX PPM,ALPINE,.002,.002,C,C,.003,.007,.006,.003,.005,.003,.004,.005,.008,.006,.007,.003,.003,.004,.004,.003,.004,.006,.005,.003,.004,.008,12
,CARMEL MT RCH,.017,.024,C,C,C,.083,.044,.078,.031,.056,.047,.043,.033,.032,.033,.024,.017,.022,.020,.007,.004,.003,.004,.004,.030,.083,05
,CHULA VISTA,.019,.019,C,C,.024,.035,.033,.030,.022,.020,.011,M,.003,.003,.003,.002,.002,.002,.003,.003,.004,.005,.002,.001,.012,.035,05
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.008,.007,C,C,C,.026,.040,.034,.019,.008,.006,.012,.006,.008,.005,.003,.004,.003,.002,.002,.003,.004,.002,.001,.010,.040,06
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.011,.008,C,C,.021,.023,.025,.018,.028,M,M,M,M,.006,.004,.004,.003,.002,.004,.006,.006,.006,.004,.002,.010,.028,08
,OTAY MESA DVN,M,C,C,C,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
,PENDLETON,,,,,,,,,,,.007,.004,.001,.001,.002,.001,.002,.000,.000,.001,.001,.001,.001,.003,.002,.007,10
03 NO2 PPM,ALPINE,.002,.002,C,C,.002,.005,.005,.002,.004,.003,.003,.004,.006,.005,.006,.003,.003,.004,.004,.003,.004,.006,.004,.003,.004,.006,12
,CARMEL MT RCH,.016,.021,C,C,C,.037,.025,.035,.018,.031,.026,.023,.019,.019,.019,.015,.011,.014,.014,.006,.003,.003,.004,.004,.017,.037,05
,CHULA VISTA,.018,.018,C,C,.022,.028,.023,.019,.015,.015,.008,M,.002,.002,.002,.001,.001,.001,.002,.002,.003,.004,.001,.001,.009,.028,05
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.008,.007,C,C,C,.020,.022,.019,.013,.006,.005,.009,.005,.006,.004,.002,.003,.003,.002,.003,.003,.004,.003,.002,.007,.022,06
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.011,.008,C,C,.021,.022,.019,.013,.019,M,M,M,M,.005,.003,.003,.003,.002,.004,.006,.005,.005,.004,.002,.009,.022,05
,OTAY MESA DVN,M,C,C,C,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
,PENDLETON,,,,,,,,,,,.006,.003,.001,.001,.002,.001,.002,.001,.001,.001,.001,.001,.001,.003,.002,.006,10
04 NO PPM,ALPINE,.000,.000,C,C,.000,.001,.001,.001,.001,.001,.001,.001,.001,.001,.001,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.001,05
,CARMEL MT RCH,.001,.003,C,C,C,.046,.020,.043,.012,.025,.021,.020,.014,.013,.013,.008,.006,.008,.006,.001,.000,.000,.000,.000,.012,.046,05
,CHULA VISTA,.001,.001,C,C,.002,.007,.010,.011,.007,.005,.002,M,.001,.001,.001,.001,.001,.001,.001,.001,.001,.001,.001,.001,.003,.011,07
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.000,.000,C,C,C,.006,.019,.015,.006,.003,.001,.003,.001,.001,.001,.000,.001,.001,.000,.000,.000,.000,.000,.000,.003,.019,06
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.000,.000,C,C,.000,.001,.006,.005,.009,M,M,M,M,.001,.001,.001,.000,.000,.000,.000,.001,.001,.001,.001,.002,.009,08
,OTAY MESA DVN,M,C,C,C,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
,PENDLETON,,,,,,,,,,,.002,.001,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.002,10
06 CO PPM,CARMEL MT RCH,.4,.3,C,C,C,1.0,.7,.9,.4,.5,.5,.4,.4,.5,.4,.4,.3,.5,.5,.2,.2,.2,.2,.2,.4,1.0,05
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
10 INTMP °C,ALPINE,26,26,26,26,26,26,26,25,24,24,24,23,24,24,24,24,24,24,25,25,26,26,26,26,25,26,00
,CARMEL MT RCH,26,26,26,27,27,27,26,26,26,25,25,25,25,25,25,25,25,25,25,26,26,25,26,26,26,27,03
,CHULA VISTA,27,27,27,27,27,27,27,27,27,27,26,26,26,26,26,26,26,27,27,27,27,27,27,27,27,27,00
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,27,27,27,27,27,27,27,27,26,26,26,25,26,26,26,26,26,26,26,26,26,26,26,26,26,27,00
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,25,25,26,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,26,26,26,26,25,26,02
,OTAY MESA DVN,28,27,27,28,28,28,28,28,27,26,26,26,26,26,26,26,26,26,26,26,26,27,27,27,27,28,00
,PENDLETON,,,,,,,,,,,24,23,23,23,24,24,24,24,24,25,25,25,25,25,24,25,19
,SAN YSIDRO,,,,,,,,,,,,,,,,,,,,,,,,,,,
11 PM2.5 µg/M3,ALPINE,2.6,1.5,.9,-.1,.7,.0,.2,1.3,.4,.5,1.2,4.7,8.4,11.9,12.8,8.6,4.6,9.9,9.2,11.6,16.3,12.7,13.2,11.6,6.0,16.3,20
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,5.7,5.4,3.3,1.9,2.5,3.7,7.4,8.9,5.0,2.5,5.1,12.0,9.4,11.0,10.1,6.5,7.2,9.4,9.0,10.0,10.0,14.3,11.6,13.1,7.7,14.3,21
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OTAY MESA DVN,18.4,19.3,12.9,7.3,7.9,16.4,25.3,28.4,13.1,11.6,21.0,18.6,16.1,13.2,10.5,6.6,10.9,13.0,15.0,14.0,12.9,11.8,16.9,20.4,15.0,28.4,07
,PENDLETON,,,,,,,,,,,7.7,9.7,13.8,10.2,7.6,6.7,6.3,5.8,4.6,11.4,10.7,11.6,11.1,13.6,9.3,13.8,12
,SAN YSIDRO,,,,,,,,,,,,,,,,,,,,,,,,,,,
12 VWDR °,ALPINE,337,102,5,4,54,323,345,304,254,258,270,245,255,247,244,221,229,216,216,210,170,152,173,134,207,345,06
,CHULA VISTA,84,94,128,54,61,53,66,24,187,233,248,250,249,250,239,240,239,234,211,183,167,181,205,191,170,250,11
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,231,96,112,105,90,244,27,308,23,251,264,240,230,240,205,209,219,208,187,196,186,139,133,161,179,308,07
