Current Date:,4/9/2019,6:12 AM,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Daily Parameter Report
4/8/2019
,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Summary
Parameter,SiteName,,,,,,,,,,,,,,,,,,,,,,,,,Avg,Max,Hr. of Max
01 OZONE PPM,ALPINE,.051,.053,C,C,.057,.057,.048,.038,.052,.055,.057,.063,.066,.076,.074,.070,.069,.068,.062,.058,.051,.061,.058,.059,.059,.076,13
,CHULA VISTA,.008,.011,C,C,.003,.001,.015,.020,.022,.029,.044,.061,.070,.067,.059,.055,.052,.049,.048,.037,.029,.032,.028,.016,.034,.070,12
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.011,.010,C,C,C,.003,.005,.009,.025,.038,.056,.067,.068,.075,.077,.075,.069,.066,.047,.035,.027,.024,.021,.020,.039,.077,14
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.018,.016,C,C,.012,.014,.021,.024,.026,.034,.035,.055,.060,.063,.066,.067,.064,.059,.046,.028,.022,.023,.012,.013,.035,.067,15
,OTAY MESA DVN,.023,.017,C,C,.031,.027,.011,.013,.024,.041,.050,.054,.064,.062,.066,.063,.059,.054,.045,.035,.026,.023,.029,.019,.038,.066,14
,PENDLETON,.017,.019,C,C,.005,.006,.010,.018,.026,.035,.038,M,.047,.046,.044,.048,.054,.054,.049,.046,.041,.029,.022,.025,.032,.054,16
02 NOX PPM,ALPINE,.001,.001,C,C,.001,.003,.006,.009,.006,.004,.003,.003,.003,.007,.004,.004,.004,.006,.008,.008,.009,.003,.003,.004,.005,.009,07
,CARMEL MT RCH,.018,.033,C,C,C,.060,.083,.067,.031,.054,.037,.031,.029,.031,.027,.025,.022,.025,.026,.032,.045,.038,.031,.020,.036,.083,06
,CHULA VISTA,.017,.014,C,C,.024,.039,.025,.024,.025,.036,.028,.016,.010,.006,.006,.005,.005,.006,.005,.011,.014,.010,.008,.016,.016,.039,05
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.013,.012,C,C,C,.026,.045,.054,.027,.019,.010,.006,.012,.006,.004,.003,.006,.004,.013,.015,.017,.016,.013,.011,.016,.054,07
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.015,.014,C,C,.019,.020,.016,.015,.026,.024,.029,.014,.010,.008,.006,.006,.006,.007,.020,.026,.023,.016,.028,.021,.017,.029,10
,OTAY MESA DVN,M,C,C,C,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
,PENDLETON,.008,.008,C,C,.017,.023,.020,.017,.014,.012,.005,M,.017,.018,.008,.003,.005,.003,.003,.002,.001,.011,.013,.010,.010,.023,05
03 NO2 PPM,ALPINE,.001,.001,C,C,.001,.002,.005,.006,.004,.003,.002,.003,.002,.006,.004,.003,.003,.005,.007,.008,.009,.003,.003,.004,.004,.009,20
,CARMEL MT RCH,.017,.028,C,C,C,.031,.034,.030,.019,.029,.023,.019,.018,.020,.018,.018,.017,.019,.021,.029,.040,.033,.028,.019,.024,.040,20
,CHULA VISTA,.016,.013,C,C,.015,.022,.018,.015,.016,.024,.021,.013,.008,.004,.004,.003,.004,.005,.004,.010,.013,.009,.007,.015,.012,.024,09
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.013,.012,C,C,C,.015,.018,.024,.017,.014,.009,.006,.011,.006,.004,.004,.006,.004,.013,.016,.017,.017,.014,.011,.012,.024,07
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.015,.014,C,C,.019,.019,.013,.011,.018,.017,.021,.012,.009,.007,.005,.005,.006,.007,.020,.026,.023,.016,.027,.021,.015,.027,22
,OTAY MESA DVN,M,C,C,C,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
,PENDLETON,.008,.008,C,C,.012,.014,.011,.010,.009,.009,.004,M,.010,.008,.005,.002,.005,.003,.003,.002,.001,.010,.013,.010,.007,.014,05
04 NO PPM,ALPINE,.000,.000,C,C,.000,.001,.002,.003,.001,.001,.000,.000,.000,.001,.001,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.003,07
,CARMEL MT RCH,.002,.005,C,C,C,.029,.048,.037,.012,.025,.014,.011,.011,.011,.009,.008,.006,.006,.005,.003,.005,.004,.003,.001,.012,.048,06
,CHULA VISTA,.001,.001,C,C,.009,.017,.007,.008,.010,.011,.007,.003,.002,.001,.001,.001,.001,.001,.001,.001,.001,.001,.001,.001,.004,.017,05
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.000,-.001,C,C,C,.011,.027,.030,.010,.005,.001,.000,.001,.000,.000,.000,.000,.000,.000,-.001,-.001,.000,.000,-.001,.004,.030,07
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.000,.001,C,C,.001,.002,.002,.004,.008,.007,.007,.002,.002,.001,.001,.001,.001,.000,.000,.000,.000,.000,.002,.000,.002,.008,08
,OTAY MESA DVN,M,C,C,C,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
,PENDLETON,.000,.000,C,C,.005,.009,.009,.007,.005,.004,.001,M,.007,.010,.003,.000,.000,.000,.000,.000,.000,.001,.000,.000,.003,.010,13
06 CO PPM,CARMEL MT RCH,.4,.5,C,C,C,.9,1.1,1.0,.4,.6,.5,.6,.6,.7,.6,.5,.6,.8,.7,.7,.8,.7,.6,.4,.7,1.1,06
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
10 INTMP °C,ALPINE,25,25,25,25,25,25,25,24,24,23,23,23,23,23,23,23,23,23,23,24,24,24,24,25,24,25,00
,CARMEL MT RCH,26,26,26,26,26,26,26,25,25,25,25,25,25,25,25,25,25,25,25,25,25,26,26,26,25,26,00
,CHULA VISTA,26,26,27,27,26,26,26,26,26,26,26,25,25,26,25,25,25,26,26,26,25,26,25,26,26,27,02
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,26,26,26,27,26,27,27,26,26,26,26,26,26,26,25,25,25,26,26,26,26,26,26,26,26,27,03
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,25,25,25,25,25,25,25,25,25,25,25,M,25,25,25,25,25,25,25,25,25,25,25,25,25,25,00
,OTAY MESA DVN,27,27,27,27,27,27,27,27,27,27,26,26,25,25,25,25,25,24,25,25,26,26,27,27,26,27,00
,PENDLETON,24,24,24,24,24,24,24,24,23,23,23,23,23,23,23,23,23,23,24,24,24,24,24,24,24,24,00
,SAN YSIDRO,,,,,,,,,,,,,,,,,,,,,,,,,,,
11 PM2.5 µg/M3,ALPINE,4.6,4.9,3.3,1.8,.9,1.4,3.8,.8,.2,.3,-.5,3.3,4.5,5.1,4.8,4.0,4.6,3.6,6.0,4.5,7.3,4.8,8.0,8.7,3.7,8.7,23
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,4.1,9.6,9.8,6.5,7.3,9.8,6.7,7.8,6.1,3.4,4.5,4.8,5.4,6.4,8.6,6.8,6.8,4.5,8.4,9.7,9.4,11.3,13.2,11.3,7.5,13.2,22
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OTAY MESA DVN,14.0,26.9,14.3,13.5,14.9,15.1,28.7,32.9,20.5,9.9,14.7,11.6,7.5,10.3,11.5,12.5,6.7,9.2,10.7,13.3,22.2,29.9,22.3,28.4,16.7,32.9,07
,PENDLETON,7.2,5.7,5.5,3.4,5.0,5.6,4.9,5.4,8.3,11.5,7.0,7.5,12.3,8.4,7.7,6.4,8.9,13.2,9.0,11.7,8.5,4.1,5.3,7.8,7.5,13.2,17
,SAN YSIDRO,,,,,,,,,,,,,,,,,,,,,,,,,,,
12 VWDR °,ALPINE,77,87,29,5,73,88,94,115,16,245,280,284,253,270,270,273,273,273,327,63,87,85,117,97,158,327,18
,CHULA VISTA,76,44,77,90,100,88,93,75,321,287,266,242,254,245,235,247,233,242,210,217,197,221,135,77,178,321,08
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,256,253,119,239,189,160,254,305,345,311,311,266,247,249,272,276,258,284,204,143,109,198,107,114,228,345,08
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,34,55,8,359,51,57,54,8,193,273,299,M,300,304,301,292,290,289,287,70,116,272,73,73,176,359,03
,OTAY MESA DVN,163,119,352,95,57,107,121,141,161,167,302,296,298,294,294,282,294,302,342,76,100,102,45,94,192,352,02
,PENDLETON,44,26,37,54,55,31,17,55,277,272,294,283,271,245,239,246,231,178,166,208,210,116,81,56,154,294,10
13 SIGTHETA °,ALPINE,53,24,21,49,48,23,26,26,39,50,36,31,29,27,26,30,25,22,28,33,50,28,27,19,32,53,00
,CHULA VISTA,20,22,29,25,53,23,25,35,60,29,24,20,22,23,20,18,24,17,23,21,22,22,55,31,28,60,08
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,51,51,46,25,40,52,30,38,50,42,52,45,26,21,23,22,20,19,32,55,13,56,46,33,37,56,21
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,30,17,44,11,14,7,7,36,50,25,20,M,14,13,14,13,14,7,6,31,13,26,11,8,19,50,08
,OTAY MESA DVN,71,53,31,20,38,12,10,11,19,38,50,13,10,13,14,19,12,17,20,45,42,29,43,14,27,71,00
,PENDLETON,46,13,9,11,21,13,14,18,24,15,19,17,17,17,14,14,20,14,13,18,23,31,22,12,18,46,00
14 VWSP MPH,ALPINE,.7,1.1,1.3,.7,.6,1.0,1.4,.4,1.7,1.1,3.2,4.1,4.7,6.3,5.9,5.0,5.0,3.7,.5,.7,.7,1.6,1.2,1.2,2.2,6.3,13
,CHULA VISTA,2.0,1.3,1.1,.3,.6,.8,2.2,2.1,.6,3.1,4.6,6.5,5.8,5.6,5.7,6.1,4.5,3.6,1.4,1.6,1.5,1.2,.5,.7,2.6,6.5,11
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.6,.2,.8,.4,.1,.2,1.0,.8,.6,2.1,2.0,3.5,5.7,7.3,6.5,6.7,6.7,4.5,2.4,.8,2.0,.6,1.4,1.3,2.4,7.3,13
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,2.0,3.0,2.6,4.4,3.0,4.5,4.0,.4,.7,3.6,4.7,M,8.7,8.9,7.3,9.0,7.2,6.9,3.9,1.3,1.7,2.4,1.0,3.2,4.1,9.0,15
,OTAY MESA DVN,.5,2.3,3.6,1.2,1.5,3.0,2.8,3.3,3.2,3.3,4.1,9.5,10.1,9.6,7.7,7.0,6.6,3.9,2.8,.8,1.7,1.1,1.5,1.9,3.9,10.1,12
,PENDLETON,.6,3.7,3.5,3.1,1.4,3.1,3.1,3.1,1.5,2.7,4.9,3.9,3.8,4.1,5.5,4.4,3.1,3.7,3.8,1.9,.7,.8,2.7,2.8,3.0,5.5,14
