,PENDLETON,.003,.003,C,C,.013,.017,.013,.013,.006,.006,.005,.001,.001,.002,.002,.001,.000,.000,.001,.001,.006,.010,.009,.008,.006,.017,05
03 NO2 PPM,ALPINE,.002,.002,C,C,.004,.008,.005,.003,.003,.002,.003,.003,.002,.003,.004,.004,.003,.003,.004,.005,.004,.004,.004,.004,.004,.008,05
,CARMEL MT RCH,.005,.002,C,C,C,.005,.005,.006,.012,.008,.014,.018,.013,.012,.009,.011,.013,.014,.018,.019,.016,.023,.013,.018,.012,.023,21
,CHULA VISTA,.001,.001,C,C,.007,.009,.008,.008,.002,.002,.002,M,M,.002,.003,.002,.003,.003,.004,.004,.003,.006,.017,.015,.005,.017,22
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.000,.001,C,C,C,.004,.003,.002,.002,.002,P,.004,M,.004,.003,.003,.002,.004,.005,.009,.011,.011,.004,.004,.004,.011,20
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.003,.004,C,C,.006,.012,.012,.006,.005,.005,.004,.003,.004,.003,.003,.003,.003,.003,.008,.010,.012,.015,.011,.009,.007,.015,21
,OTAY MESA DVN,M,C,C,C,M,M,M,M,M,M,M,M,M,M,.002,.002,.002,.003,.004,.004,.005,.005,.011,.016,.005,.016,23
,PENDLETON,.003,.003,C,C,.012,.014,.010,.008,.004,.003,.003,.001,.001,.002,.002,.001,.001,.001,.001,.001,.006,.009,.008,.008,.005,.014,05
04 NO PPM,ALPINE,.000,.000,C,C,.000,.001,.001,.001,.001,.001,.001,.000,.000,.001,.001,.001,.000,.000,.000,.000,.000,.000,.000,.000,.000,.001,05
,CARMEL MT RCH,.000,.000,C,C,C,.001,.001,.002,.008,.004,.010,.015,.011,.010,.006,.007,.008,.007,.007,.009,.005,.004,.002,.002,.006,.015,11
,CHULA VISTA,.001,.001,C,C,.001,.001,.002,.003,.001,.001,.001,M,M,.001,.001,.001,.001,.001,.001,.001,.001,.001,.001,.001,.001,.003,07
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.000,.000,C,C,C,.000,.000,.000,.001,.001,P,.001,M,.001,.001,.001,.000,.000,.000,.000,.000,.000,.000,.000,.000,.001,08
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.000,.000,C,C,.000,.000,.002,.001,.001,.001,.001,.001,.001,.001,.001,.001,.002,.001,.000,.000,.000,.000,.000,.000,.001,.002,06
,OTAY MESA DVN,M,C,C,C,M,M,M,M,M,M,M,M,M,M,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,14
,PENDLETON,.000,.000,C,C,.002,.003,.003,.005,.002,.003,.002,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.001,.000,.001,.005,07
06 CO PPM,CARMEL MT RCH,.2,.2,C,C,C,.2,.2,.2,.3,.2,.3,.4,.4,.4,.3,.3,.4,.6,.7,.6,.5,.6,.3,.4,.4,.7,18
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
10 INTMP °C,ALPINE,26,26,26,26,26,26,26,26,25,24,24,24,24,24,24,24,24,24,24,25,25,26,26,26,25,26,00
,CARMEL MT RCH,26,26,26,26,26,26,26,26,26,25,25,25,25,25,25,25,25,25,25,26,26,26,26,26,26,26,00
,CHULA VISTA,27,27,27,27,27,27,27,27,26,27,26,26,25,25,26,26,26,26,26,27,27,27,27,27,27,27,00
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,26,26,27,27,27,27,27,26,26,26,P,26,26,25,26,26,26,26,26,26,26,27,27,27,26,27,02
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,26,26,26,26,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,26,00
,OTAY MESA DVN,27,27,27,27,27,27,27,27,27,27,27,27,27,26,26,26,26,26,26,26,27,27,27,27,27,27,00
,PENDLETON,25,25,25,25,25,25,25,24,24,24,24,24,23,24,24,24,24,24,24,24,25,25,25,25,24,25,00
,SAN YSIDRO,,,,,,,,,,,,,,,,,,,,,,,,,,,
11 PM2.5 µg/M3,ALPINE,10.8,12.8,11.6,12.5,9.0,7.9,7.6,9.1,12.7,10.2,11.4,11.7,12.1,11.9,14.0,12.6,9.0,11.7,9.0,6.8,9.1,9.6,6.3,5.1,10.1,14.0,14
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,11.8,14.5,15.8,13.5,14.9,9.4,10.1,12.7,16.9,16.2,18.9,16.3,13.4,14.7,12.6,10.7,7.4,6.4,4.8,7.2,10.1,13.5,11.1,8.9,12.1,18.9,10
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OTAY MESA DVN,15.4,17.1,26.6,14.3,17.8,22.2,17.7,19.9,24.3,14.0,13.5,14.6,12.3,15.3,14.4,12.9,10.7,8.3,9.3,16.1,16.2,10.7,13.7,20.9,15.7,26.6,02
,PENDLETON,14.1,14.6,8.8,14.6,13.4,11.7,12.0,14.8,14.3,15.8,18.3,13.9,15.8,17.7,10.4,6.3,6.5,6.6,7.8,8.6,11.9,7.8,5.8,4.4,11.4,18.3,10
,SAN YSIDRO,,,,,,,,,,,,,,,,,,,,,,,,,,,
12 VWDR °,ALPINE,132,162,164,136,180,323,106,224,262,270,271,277,278,270,257,264,274,276,283,338,75,54,62,100,210,338,19
,CHULA VISTA,172,144,141,156,131,137,275,286,265,255,258,255,263,271,275,275,277,255,246,217,213,137,122,97,213,286,07
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,154,118,139,68,160,136,151,129,241,214,P,238,255,242,254,280,299,280,282,298,111,102,94,72,188,299,16
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,147,145,150,143,264,274,78,277,210,289,258,244,258,275,278,291,297,280,266,318,298,25,86,59,217,318,19
,OTAY MESA DVN,167,145,140,137,152,133,135,295,274,282,290,281,287,291,282,276,277,275,324,5,19,31,108,116,197,324,18
,PENDLETON,102,79,53,49,63,63,62,61,187,211,233,254,264,260,253,260,262,260,241,221,124,35,46,48,154,264,12
13 SIGTHETA °,ALPINE,14,25,24,19,35,30,30,62,35,33,38,34,34,32,27,26,28,26,23,22,27,19,46,16,29,62,07
,CHULA VISTA,15,13,15,17,14,14,31,33,28,25,23,24,19,22,21,20,22,20,17,32,41,29,21,21,22,41,20
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,24,17,34,38,17,23,19,46,51,43,P,30,34,24,21,21,26,31,17,44,51,27,13,42,30,51,08
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,15,13,12,16,12,28,21,32,60,60,53,20,18,16,16,14,18,18,13,48,34,24,15,16,25,60,08
,OTAY MESA DVN,16,9,9,17,26,9,32,33,25,25,31,22,16,18,14,14,12,10,34,26,33,23,25,14,21,34,18
,PENDLETON,14,15,12,13,11,12,14,19,44,15,16,10,12,12,12,13,18,16,16,16,29,14,12,18,16,44,08
14 VWSP MPH,ALPINE,4.4,2.3,1.8,2.0,.7,.2,.8,.9,2.1,3.6,3.9,4.2,4.9,5.8,7.4,6.6,5.1,3.6,1.8,.9,.8,.9,1.1,1.9,2.8,7.4,14
,CHULA VISTA,3.4,2.7,2.1,1.9,2.9,3.0,1.1,2.7,4.0,5.4,6.3,7.0,8.1,8.7,9.2,7.8,7.0,4.0,3.6,1.4,1.1,.6,1.5,2.0,4.1,9.2,14
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,2.8,3.0,1.2,.4,2.2,1.7,3.4,.9,2.0,3.5,P,5.7,6.4,7.6,8.3,7.9,5.5,3.7,3.9,.8,1.0,2.1,3.3,2.2,3.5,8.3,14
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,3.2,3.9,4.2,3.1,2.7,1.2,1.8,2.5,1.5,2.2,3.6,7.9,9.2,11.4,11.9,9.9,7.1,4.2,2.3,2.6,2.6,2.8,2.8,4.1,4.5,11.9,14
,OTAY MESA DVN,4.9,5.8,6.1,6.1,3.7,4.5,3.4,2.3,4.6,6.3,6.0,7.6,9.6,10.4,11.8,9.9,8.4,6.6,2.7,1.9,2.8,2.4,1.9,3.5,5.6,11.8,14
,PENDLETON,4.6,5.0,4.1,4.1,4.2,4.5,4.5,4.1,2.7,7.2,7.7,9.7,7.7,8.3,8.3,5.6,4.0,5.6,5.1,3.2,.8,4.2,4.6,3.3,5.1,9.7,11
15 SWSP MPH,ALPINE,4.6,2.7,2.1,2.2,.9,.8,1.1,1.5,2.8,4.2,4.8,5.0,5.6,6.7,8.3,7.4,5.6,3.9,2.0,1.1,1.0,1.1,1.5,1.9,3.3,8.3,14
,CHULA VISTA,3.6,2.8,2.2,2.1,3.0,3.1,2.5,3.3,4.5,5.8,6.9,7.7,8.6,9.3,9.7,8.3,7.5,4.4,3.8,1.6,2.3,1.0,1.6,2.1,4.5,9.7,14
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,3.2,3.2,2.1,1.3,2.4,1.8,3.6,2.0,3.6,4.3,P,7.0,7.5,8.8,8.9,8.6,6.1,4.4,4.1,1.9,1.3,2.3,3.4,2.6,4.1,8.9,14
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,3.5,4.1,4.3,3.3,2.7,1.3,1.9,3.3,3.2,3.6,4.9,8.5,10.1,11.9,12.4,10.3,7.5,4.4,2.4,3.0,3.9,3.4,3.0,4.3,5.1,12.4,14
,OTAY MESA DVN,5.3,5.9,6.2,6.3,3.9,4.6,3.6,2.5,5.1,6.8,6.8,8.2,10.1,10.9,12.2,10.3,8.6,6.7,4.1,2.6,3.6,2.9,2.1,3.6,6.0,12.2,14
,PENDLETON,5.2,5.3,4.2,4.3,4.3,4.6,4.6,4.4,4.4,7.4,8.1,9.9,7.8,8.5,8.5,5.7,4.3,6.3,5.4,3.3,2.4,4.4,4.7,3.5,5.5,9.9,11
16 AMBTEMP °F,ALPINE,51.2,51.1,50.7,50.3,49.6,48.1,49.6,52.8,55.8,57.8,69.4,67.1,-30.5,-9.5,25.5,24.7,89.8,86.8,56.4,54.2,53.4,52.6,52.2,50.0,48.3,89.8,16
,CARMEL MT RCH,55.9,55.8,55.4,55.4,55.1,55.1,55.5,57.1,60.8,62.9,65.5,67.3,67.0,67.7,66.3,66.4,65.7,64.0,62.2,59.8,58.3,57.0,56.1,54.6,60.3,67.7,13
,CHULA VISTA,58.4,58.2,57.5,57.5,57.3,57.0,58.4,60.2,61.2,63.5,64.6,65.7,65.8,66.3,66.1,65.9,65.7,64.2,62.2,60.6,59.5,58.9,57.6,57.1,61.2,66.3,13
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,56.6,55.9,55.7,55.8,54.8,55.0,56.4,59.2,62.1,64.3,P,70.1,71.5,70.7,71.7,71.7,71.5,69.1,63.6,60.7,57.8,56.3,54.8,53.9,61.7,71.7,14
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,58.2,58.0,57.8,57.8,56.9,56.5,57.8,59.2,62.4,63.9,65.2,66.1,66.3,67.4,66.4,65.7,65.6,64.2,63.2,59.5,58.0,55.7,54.4,54.1,60.8,67.4,13
,OTAY MESA DVN,56.8,56.7,56.8,56.0,55.9,55.8,57.4,58.7,61.2,62.8,64.6,66.0,65.7,66.3,65.6,65.5,64.8,63.2,61.6,60.1,58.1,57.7,58.0,58.0,60.6,66.3,13
,PENDLETON,58.8,58.5,56.5,55.1,54.6,54.6,56.3,59.3,61.9,63.0,63.8,63.7,64.1,64.8,65.1,64.7,64.3,62.9,61.3,60.8,60.1,57.7,56.2,55.0,60.1,65.1,14
17 RELHUM %,ALPINE,77,79,82,83,85,89,89,75,67,62,57,54,3,-2,6,5,54,71,63,65,66,69,68,71,60,89,05
,EL CAJON LES,85,83,83,81,84,83,80,73,66,58,P,47,44,47,44,42,38,38,45,51,57,63,66,68,62,85,00
,KEARNY MESA,82,83,83,84,87,86,84,77,66,60,58,58,59,54,57,52,48,50,48,61,73,79,78,74,68,87,04
18 PRES mmHg,KEARNY MESA,742,742,741,741,741,741,742,742,742,742,742,742,742,742,741,742,742,742,742,743,743,744,744,744,742,744,21
19 SOLAR W/M2,KEARNY MESA,0,0,0,0,0,9,135,199,659,557,656,663,519,876,743,563,350,129,5,0,0,0,0,0,253,876,13
28 SO2 Tr PPB,EL CAJON LES,.0,.0,C,C,C,.0,.0,.1,.1,.0,P,.1,.1,.2,.1,.1,.1,.1,.1,.1,.1,.0,.0,.0,.0,.2,13
29 CO Tr PPB,EL CAJON LES,162.8,172.6,C,C,C,206.5,203.8,197.7,215.8,228.9,C,230.5,227.2,243.4,224.1,219.5,210.7,212.7,228.4,278.8,308.5,307.9,230.4,232.3,227.1,308.5,20
