Current Date:,4/10/2019,6:12 AM,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Daily Parameter Report
4/9/2019
,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Summary
Parameter,SiteName,,,,,,,,,,,,,,,,,,,,,,,,,Avg,Max,Hr. of Max
01 OZONE PPM,ALPINE,.057,.059,C,C,.046,.039,.040,.040,.045,.049,.044,.039,.041,.043,.045,.045,.047,.045,.043,.044,.045,.045,.045,.044,.045,.059,01
,CHULA VISTA,.007,.004,C,C,.002,.001,.010,.016,.020,.024,M,M,.037,.039,.044,.046,.045,.045,.046,.047,.046,.046,.040,.032,.029,.047,19
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.022,.018,C,C,C,.007,.009,.021,.025,.027,.028,.033,.035,.040,.042,.045,.045,.043,.043,.043,.044,.043,.040,.040,.033,.045,15
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.024,.015,C,C,.008,.002,.008,M,M,.022,.027,.033,.037,.039,.041,.044,.043,.041,.038,.038,.038,.035,.028,.035,.029,.044,15
,OTAY MESA DVN,.016,.022,C,C,.023,.015,.019,.018,M,M,M,M,M,M,.036,.041,.041,.040,.041,.040,.037,.039,.039,.036,.031,.041,15
,PENDLETON,.025,.023,C,C,.009,.009,.007,.012,.019,M,M,.037,.036,.038,.040,.040,.040,.043,.047,.047,.043,.028,.027,.024,.029,.047,18
02 NOX PPM,ALPINE,.003,.002,C,C,.003,.006,.006,.006,.006,.008,.007,.011,.007,.005,.004,.003,.003,.003,.002,.002,.002,.002,.002,.002,.004,.011,11
,CARMEL MT RCH,.039,.031,C,C,C,.045,.022,.030,.029,.028,M,M,.021,.024,.028,.025,.023,.025,.020,.019,.022,.018,.010,.014,.025,.045,05
,CHULA VISTA,.019,.018,C,C,.031,.037,.029,.017,.007,.004,M,M,.003,.003,.003,.003,.002,.002,.002,.003,.003,.002,.005,.009,.010,.037,05
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.009,.010,C,C,C,.020,.026,.013,.012,.014,.011,.007,.005,.003,.003,.002,.002,.002,.002,.002,.002,.001,.001,.001,.007,.026,06
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.014,.016,C,C,.022,.041,.035,M,M,.009,.007,.005,.004,.005,.003,.003,.004,.004,.006,.007,.005,.007,.008,.006,.011,.041,05
,OTAY MESA DVN,M,C,C,C,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
,PENDLETON,.008,.008,C,C,.027,.022,.026,.018,.006,M,M,.002,.002,.005,.004,.004,.001,.000,.000,.001,.002,.011,.009,.013,.008,.027,04
03 NO2 PPM,ALPINE,.003,.002,C,C,.003,.005,.005,.005,.005,.006,.006,.008,.005,.004,.003,.002,.002,.003,.002,.002,.002,.002,.002,.002,.004,.008,11
,CARMEL MT RCH,.032,.028,C,C,C,.031,.016,.016,.013,.011,M,M,.010,.011,.014,.013,.013,.014,.013,.012,.014,.014,.009,.012,.016,.032,00
,CHULA VISTA,.018,.017,C,C,.021,.022,.019,.010,.004,.003,M,M,.002,.001,.002,.002,.001,.001,.001,.002,.002,.002,.004,.008,.007,.022,05
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.009,.010,C,C,C,.016,.016,.009,.008,.009,.007,.005,.004,.003,.002,.002,.002,.002,.002,.003,.002,.002,.002,.002,.006,.016,05
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.014,.015,C,C,.019,.024,.019,M,M,.006,.005,.003,.003,.004,.002,.003,.003,.004,.006,.007,.005,.007,.008,.006,.008,.024,05
,OTAY MESA DVN,M,C,C,C,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
,PENDLETON,.008,.008,C,C,.023,.018,.017,.010,.004,M,M,.001,.001,.003,.003,.002,.001,.000,.000,.001,.002,.011,.009,.010,.007,.023,04
04 NO PPM,ALPINE,.000,.000,C,C,.000,.002,.001,.001,.001,.001,.002,.003,.002,.001,.001,.001,.001,.000,.000,.000,.000,.000,.000,.000,.001,.003,11
,CARMEL MT RCH,.008,.003,C,C,C,.013,.005,.014,.016,.017,M,M,.010,.013,.013,.012,.010,.011,.007,.006,.008,.004,.001,.002,.009,.017,09
,CHULA VISTA,.001,.001,C,C,.011,.015,.010,.006,.003,.002,M,M,.001,.001,.001,.001,.001,.001,.001,.001,.001,.001,.001,.001,.003,.015,05
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.000,.000,C,C,C,.004,.011,.004,.004,.005,.004,.002,.001,.001,.000,.000,.000,.000,.000,.000,-.001,-.001,-.001,-.001,.002,.011,06
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.000,.000,C,C,.003,.017,.016,M,M,.003,.002,.001,.001,.001,.001,.001,.001,.000,.000,.000,.000,.000,.000,.000,.002,.017,05
,OTAY MESA DVN,M,C,C,C,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
,PENDLETON,.000,.000,C,C,.004,.004,.010,.008,.003,M,M,.000,.001,.002,.001,.002,.000,.000,.000,.000,.000,.000,.000,.003,.002,.010,06
06 CO PPM,CARMEL MT RCH,.7,.5,C,C,C,.6,.4,.4,.4,.4,C,C,.4,.4,.5,.4,.5,.5,.4,.4,.4,.3,.2,.3,.4,.7,00
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
10 INTMP °C,ALPINE,25,25,25,26,25,26,26,25,23,23,23,23,23,23,23,23,24,24,25,25,26,26,26,26,25,26,03
,CARMEL MT RCH,26,26,26,26,26,26,26,26,25,25,25,25,25,25,25,25,25,25,25,26,26,26,26,26,26,26,00
,CHULA VISTA,26,26,27,27,27,27,27,27,26,26,26,26,26,26,26,26,26,26,26,26,26,26,24,24,26,27,02
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,26,26,27,26,26,27,27,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,27,02
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,00
,OTAY MESA DVN,27,27,27,27,27,27,27,27,27,26,25,25,25,25,26,25,26,26,26,27,27,27,27,27,26,27,00
,PENDLETON,24,24,25,25,25,24,24,24,24,24,24,24,23,23,23,23,24,24,24,24,24,24,24,24,24,25,02
,SAN YSIDRO,,,,,,,,,,,,,,,,,,,,,,,,,,,
11 PM2.5 µg/M3,ALPINE,4.8,3.8,4.3,6.9,4.4,7.1,12.5,12.5,8.7,15.4,12.8,11.6,14.4,12.9,12.0,9.9,13.1,10.8,10.2,9.8,8.3,13.5,9.1,7.6,9.8,15.4,09
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,11.0,8.9,11.7,8.7,9.6,10.0,11.0,9.2,17.1,14.1,M,M,17.0,15.9,9.4,15.4,8.8,9.9,11.9,8.3,11.7,14.1,11.6,13.4,11.7,17.1,08
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OTAY MESA DVN,43.2,29.3,17.8,36.0,23.1,28.8,16.9,14.5,15.3,15.0,10.1,10.3,10.5,15.4,11.4,7.8,9.3,9.9,18.1,10.6,13.6,10.6,12.5,14.1,16.8,43.2,00
,PENDLETON,7.8,6.3,9.6,9.0,13.5,13.8,9.8,8.6,8.5,6.4,10.6,9.4,8.7,7.6,10.0,M,2.4,12.8,15.6,17.0,20.1,14.2,11.1,9.1,10.5,20.1,20
,SAN YSIDRO,,,,,,,,,,,,,,,,,,,,,,,,,,,
12 VWDR °,ALPINE,97,9,106,315,268,329,296,161,229,261,261,271,266,247,229,232,216,231,220,201,205,224,253,269,225,329,05
,CHULA VISTA,95,63,76,111,79,122,132,207,247,231,246,231,255,265,265,264,263,259,271,268,266,268,161,81,197,271,18
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,345,131,256,124,208,136,116,198,202,217,231,226,228,229,219,248,222,210,191,220,223,175,163,159,203,345,00
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,22,9,45,101,164,100,130,240,274,261,274,285,274,264,257,268,268,261,258,246,255,251,132,293,206,293,23
,OTAY MESA DVN,118,80,120,122,101,343,72,234,263,260,268,270,256,275,267,286,271,248,259,247,236,228,175,95,212,343,05
,PENDLETON,62,63,56,55,63,75,81,211,264,260,273,295,264,233,211,206,229,231,259,257,298,23,28,19,167,298,20
13 SIGTHETA °,ALPINE,18,25,28,57,51,30,45,32,28,32,33,29,27,28,27,26,27,24,26,22,25,26,26,24,30,57,03
,CHULA VISTA,41,43,45,31,52,11,29,30,21,38,30,27,22,19,23,23,20,20,21,21,19,22,27,36,28,52,04
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,44,49,21,29,27,46,27,34,53,38,35,27,27,28,23,25,23,19,19,21,22,22,14,31,29,53,08
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,9,12,39,14,29,13,10,36,33,33,26,24,16,17,17,14,18,12,8,8,8,22,14,23,19,39,02
,OTAY MESA DVN,12,37,43,44,29,36,33,22,30,36,21,20,15,16,16,16,16,11,12,11,10,15,19,38,23,44,03
,PENDLETON,10,11,11,24,8,7,13,37,16,11,15,19,16,19,19,22,24,23,10,8,19,17,32,32,18,37,07
14 VWSP MPH,ALPINE,2.4,2.0,2.1,1.0,.6,.5,1.0,1.8,4.0,4.1,4.5,5.5,7.1,7.2,7.7,6.8,5.4,5.3,4.5,4.7,4.2,3.4,2.5,1.7,3.8,7.7,14
,CHULA VISTA,.1,.5,.5,1.2,.4,1.8,1.8,2.3,4.2,3.1,4.4,5.4,7.8,9.5,9.6,8.5,8.3,7.0,6.4,5.8,5.0,3.9,.7,.7,4.1,9.6,14
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.2,.5,1.1,.3,.8,.6,2.0,2.1,3.1,3.7,4.6,5.6,7.6,8.0,8.3,6.9,7.0,6.2,6.1,4.3,3.5,3.1,4.8,3.4,3.9,8.3,14
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,3.5,3.0,1.3,1.6,.9,2.2,3.1,1.6,3.4,4.0,5.5,7.7,9.7,9.9,10.4,9.9,7.3,7.4,6.4,5.3,6.2,3.5,2.7,4.2,5.0,10.4,14
,OTAY MESA DVN,3.4,1.0,1.1,.7,1.5,.6,.6,3.7,4.4,4.8,7.6,8.0,9.7,10.2,10.3,10.4,8.2,8.4,7.9,7.4,5.2,3.6,1.9,.7,5.1,10.4,15
,PENDLETON,3.0,3.9,3.5,1.6,3.0,4.5,3.4,.9,3.9,5.8,5.3,5.9,4.7,5.6,5.4,5.4,4.7,5.8,10.7,10.3,4.1,5.0,3.2,2.6,4.7,10.7,18
15 SWSP MPH,ALPINE,2.5,2.1,2.2,1.5,.8,.9,1.5,2.7,4.6,4.7,5.3,6.4,7.9,8.0,8.7,7.7,6.2,6.0,5.0,5.1,4.6,3.8,2.8,1.9,4.3,8.7,14
,CHULA VISTA,.7,.7,1.2,1.2,1.4,1.9,2.1,3.0,4.5,3.6,5.0,6.0,8.4,10.0,10.3,9.3,8.8,7.4,6.8,6.2,5.3,4.2,1.8,2.7,4.7,10.3,14
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,1.3,.8,1.2,.8,1.2,1.2,2.4,2.5,4.1,4.7,5.4,6.4,8.4,9.1,9.2,7.7,7.7,6.7,6.5,4.6,3.8,3.4,4.9,3.8,4.5,9.2,14
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,3.7,3.4,1.8,1.8,1.4,2.3,3.2,3.0,3.8,4.7,6.3,8.2,10.1,10.5,11.0,10.3,7.8,7.7,6.5,5.4,6.3,3.7,2.9,5.8,5.5,11.0,14
,OTAY MESA DVN,3.5,2.1,1.8,.9,2.9,1.5,1.9,4.0,5.2,6.0,8.3,8.6,10.1,10.6,10.7,10.8,8.8,8.6,8.1,7.5,5.4,3.9,2.1,1.4,5.6,10.8,15
,PENDLETON,3.0,4.0,3.6,1.7,3.1,4.6,3.5,2.0,4.1,5.9,5.5,6.3,5.0,5.9,6.0,5.8,5.3,6.5,10.9,10.4,4.6,5.3,3.4,2.9,5.0,10.9,18
16 AMBTEMP °F,ALPINE,64.8,65.6,63.0,64.6,62.1,60.9,60.9,92.3,121.7,111.7,135.5,140.0,124.0,137.9,80.6,57.3,60.6,56.8,54.0,53.1,52.9,52.4,51.4,50.9,78.1,140.0,11
,CARMEL MT RCH,62.3,61.5,60.7,60.0,60.3,59.3,60.3,64.2,65.7,66.8,67.8,67.6,68.9,67.9,64.0,62.7,64.4,62.8,59.8,58.7,57.5,56.6,55.5,54.5,62.1,68.9,12
,CHULA VISTA,61.7,60.7,60.3,59.0,58.4,57.9,60.3,63.7,64.4,65.6,65.5,66.4,67.5,66.1,65.1,64.5,63.2,62.3,61.0,60.3,59.8,59.5,58.6,58.0,62.1,67.5,12
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,62.4,61.2,60.0,58.8,57.3,56.6,58.5,63.4,67.9,70.8,72.4,73.6,72.9,71.8,69.1,66.9,65.0,62.6,60.9,60.2,58.9,57.8,56.8,56.5,63.4,73.6,11
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,62.7,61.6,60.2,58.4,59.3,57.2,60.4,64.7,66.5,68.4,69.8,70.6,69.3,66.9,65.1,64.2,62.7,62.4,59.5,58.9,58.2,57.7,56.5,57.0,62.4,70.6,11
,OTAY MESA DVN,64.3,64.3,63.3,63.8,61.5,60.3,61.5,64.9,67.1,68.9,70.2,69.6,69.2,67.4,66.2,63.8,62.8,60.2,59.2,58.4,57.7,57.6,57.5,57.3,63.2,70.2,10
,PENDLETON,61.3,59.9,58.8,58.4,58.0,57.2,58.4,61.8,62.9,63.1,63.4,65.1,65.9,67.3,66.7,66.1,66.1,64.4,63.1,62.5,61.8,58.8,57.2,56.4,61.9,67.3,13
17 RELHUM %,ALPINE,43,43,44,41,52,62,61,69,84,73,96,100,87,98,52,61,66,74,82,86,87,87,89,91,72,100,11
,EL CAJON LES,73,73,77,79,80,81,79,79,70,64,61,59,61,63,63,62,62,67,74,74,77,82,84,83,72,84,22
,KEARNY MESA,76,78,81,84,83,86,85,81,76,74,71,69,71,75,74,70,73,75,83,84,86,85,86,76,78,86,05
18 PRES mmHg,KEARNY MESA,747,747,747,746,747,747,747,748,748,748,748,747,747,747,747,746,746,746,746,747,747,747,747,747,747,748,07
19 SOLAR W/M2,KEARNY MESA,0,-1,-1,-1,-1,8,167,390,509,534,669,714,988,665,540,554,235,121,3,0,0,0,-1,-1,254,988,12
28 SO2 Tr PPB,EL CAJON LES,.0,.0,C,C,C,.0,.1,.1,.2,.2,.1,.1,.1,.1,.1,.0,.1,.0,.0,.0,.0,.0,.0,.0,.0,.2,08
29 CO Tr PPB,EL CAJON LES,356.5,330.2,C,C,C,477.9,517.7,305.9,335.4,352.0,299.1,259.6,243.6,226.3,225.4,194.9,202.0,165.6,170.6,182.1,170.7,168.3,166.4,167.9,262.7,517.7,06
