Current Date:,4/24/2019,6:12 AM,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Daily Parameter Report
4/23/2019
,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Summary
Parameter,SiteName,,,,,,,,,,,,,,,,,,,,,,,,,Avg,Max,Hr. of Max
01 OZONE PPM,ALPINE,.036,.043,C,C,.042,.036,.028,.031,.031,.039,.042,M,M,M,.066,.064,.065,.061,.052,.051,.056,.057,.053,.052,.047,.066,14
,CHULA VISTA,.021,.022,C,C,.040,.038,.036,.033,.035,M,M,M,M,M,M,M,.043,.043,.041,.032,.025,.036,.040,.039,.034,.043,16
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.026,.017,C,C,C,.030,.031,.030,.032,.039,.046,.048,.053,.052,.053,.055,.054,.041,.035,.030,.026,.017,.019,.022,.036,.055,15
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.025,.021,C,C,.025,.033,.031,.029,.029,.033,.041,M,.050,.049,.049,.049,.046,.044,.041,.023,.016,.022,.014,.017,.032,.050,12
,OTAY MESA DVN,.028,.029,C,C,.025,.027,.025,.025,M,.034,.041,.049,.049,.047,.047,.046,.042,.039,.035,.031,.023,.022,.022,.023,.033,.049,11
,PENDLETON,.022,.019,C,C,.010,.009,.017,.034,.041,.042,.043,.043,.042,.042,.047,.043,.041,.042,.044,.039,.024,.021,.021,.016,.031,.047,14
02 NOX PPM,ALPINE,.004,.003,C,C,.003,.007,.015,.013,.012,.006,.007,M,M,M,.005,.005,.004,.005,.006,.005,.003,.002,.002,.001,.006,.015,06
,CARMEL MT RCH,.013,.019,C,C,C,.010,.006,.014,.014,.033,.031,.024,.025,.024,.022,.020,.016,.019,.025,.021,.025,.036,.021,.023,.021,.036,21
,CHULA VISTA,.011,.008,C,C,.003,.004,.007,.009,.011,M,M,M,M,M,M,M,.003,.003,.003,.007,.011,.004,.002,.002,.006,.011,00
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.007,.007,C,C,C,.005,.005,.005,.006,.008,.010,.012,.008,.007,.006,.006,.007,.010,.010,.009,.010,.016,.012,.008,.008,.016,21
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.007,.008,C,C,.011,.006,.007,.010,.016,.018,.015,M,.004,.005,.006,.006,.007,.004,.006,.014,.019,.013,.016,.014,.010,.019,20
,OTAY MESA DVN,.004,.003,C,C,.006,.005,.005,.009,M,.009,.010,.005,.004,.004,.004,.004,.004,.004,.004,.006,.014,.012,.008,.008,.006,.014,20
,PENDLETON,.006,.005,C,C,.013,.016,.012,.006,.003,.002,.001,.001,.001,.004,.003,.002,.000,.001,.002,.002,.017,.019,.016,.021,.007,.021,23
03 NO2 PPM,ALPINE,.003,.002,C,C,.003,.006,.011,.009,.008,.004,.005,M,M,M,.004,.004,.004,.005,.006,.004,.002,.002,.002,.001,.004,.011,06
,CARMEL MT RCH,.011,.016,C,C,C,.008,.005,.009,.009,.018,.017,.014,.013,.014,.013,.012,.010,.012,.017,.018,.020,.026,.019,.020,.014,.026,21
,CHULA VISTA,.010,.008,C,C,.002,.003,.005,.008,.007,M,M,M,M,M,M,M,.003,.002,.003,.007,.011,.004,.002,.002,.005,.011,20
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.007,.007,C,C,C,.005,.004,.004,.005,.006,.008,.009,.006,.006,.005,.005,.006,.009,.010,.009,.010,.015,.012,.008,.007,.015,21
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.007,.008,C,C,.010,.006,.006,.009,.011,.013,.011,M,.003,.004,.005,.005,.006,.003,.006,.014,.019,.012,.015,.013,.009,.019,20
,OTAY MESA DVN,.004,.003,C,C,.006,.005,.005,.007,M,.007,.008,.004,.003,.003,.004,.004,.004,.004,.004,.005,.014,.011,.008,.008,.006,.014,20
,PENDLETON,.006,.005,C,C,.011,.012,.010,.005,.002,.002,.001,.001,.001,.003,.002,.001,.000,.001,.002,.002,.016,.019,.014,.019,.006,.019,21
04 NO PPM,ALPINE,.000,.000,C,C,.000,.001,.004,.004,.004,.002,.002,M,M,M,.001,.001,.001,.000,.000,.000,.001,.000,.000,.000,.001,.004,06
,CARMEL MT RCH,.001,.004,C,C,C,.003,.001,.006,.005,.015,.014,.010,.012,.011,.009,.008,.006,.007,.007,.003,.005,.011,.002,.004,.007,.015,09
,CHULA VISTA,.000,.000,C,C,.001,.001,.001,.002,.003,M,M,M,M,M,M,M,.001,.000,.000,.000,.000,.000,.000,.000,.001,.003,08
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.000,.000,C,C,C,.000,.000,.001,.001,.002,.002,.003,.002,.001,.001,.001,.001,.001,.001,.000,.000,.001,.000,.000,.001,.003,11
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.000,.000,C,C,.000,.000,.000,.002,.005,.005,.004,M,.001,.001,.001,.001,.001,.000,.000,.000,.000,.000,.000,.000,.001,.005,08
,OTAY MESA DVN,.000,.000,C,C,.000,.000,.000,.001,M,.002,.002,.001,.001,.001,.001,.001,.001,.000,.000,.000,.000,.000,.000,.000,.001,.002,09
,PENDLETON,.000,.000,C,C,.002,.004,.002,.001,.000,.000,.000,.000,.000,.002,.001,.001,.000,.000,.000,.000,.000,.000,.001,.003,.001,.004,05
06 CO PPM,CARMEL MT RCH,.3,.3,C,C,C,.2,.2,.3,.3,.4,.5,.4,.4,.5,.3,.4,.4,.5,.5,.4,.6,.6,.5,.5,.4,.6,20
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
10 INTMP °C,ALPINE,26,26,26,26,26,26,26,24,23,23,23,23,23,23,23,23,24,24,24,24,25,24,24,25,24,26,00
,CARMEL MT RCH,26,26,26,26,26,26,26,26,26,25,25,25,25,25,25,25,25,25,25,26,26,26,26,26,26,26,00
,CHULA VISTA,26,26,27,27,27,26,26,26,25,26,26,26,26,26,26,26,26,26,25,26,25,25,26,26,26,27,02
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,27,27,27,27,27,27,27,27,27,27,26,26,26,26,26,26,26,26,26,26,26,27,26,27,27,27,00
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,00
,OTAY MESA DVN,27,27,27,27,27,27,27,27,27,27,27,26,26,26,26,26,26,26,26,26,26,26,27,27,27,27,00
,PENDLETON,25,25,25,25,25,25,25,25,24,24,24,24,24,24,24,24,24,24,24,24,25,25,25,25,25,25,00
,SAN YSIDRO,,,,,,,,,,,,,,,,,,,,,,,,,,,
11 PM2.5 µg/M3,ALPINE,6.3,7.4,6.3,7.0,5.3,3.5,4.2,1.2,-.9,2.5,8.1,10.7,16.4,12.7,21.4,21.5,15.5,19.1,15.8,13.6,9.6,6.1,4.0,5.2,9.2,21.5,15
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,16.2,18.0,14.5,18.3,15.2,16.9,15.8,18.9,17.4,16.8,18.9,22
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OTAY MESA DVN,13.1,12.4,11.6,15.7,10.5,10.2,18.9,20.7,10.5,17.6,19.4,19.4,22.7,15.7,19.3,25.5,19.2,11.1,11.5,16.5,28.8,19.9,9.9,16.1,16.5,28.8,20
