Current Date:,4/5/2019,6:12 AM,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Daily Parameter Report
4/4/2019
,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Summary
Parameter,SiteName,,,,,,,,,,,,,,,,,,,,,,,,,Avg,Max,Hr. of Max
01 OZONE PPM,ALPINE,.020,.016,C,C,.017,.024,.022,.023,.029,.037,.040,.040,.044,.045,.046,.044,.040,.037,.034,.033,.032,.033,.033,.031,.032,.046,14
,CHULA VISTA,.014,.014,C,C,.006,.006,.012,.018,.028,.029,M,M,M,M,.037,.037,.037,.037,.036,.036,.035,.026,.018,.016,.024,.037,14
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.018,.011,C,C,C,.008,.013,.015,.023,.034,.032,.036,.041,.044,.042,.041,.038,.035,.034,.031,.031,.029,.027,.025,.028,.044,13
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.011,.004,C,C,.002,.006,.007,.016,.030,.029,.031,.036,.038,.038,.037,.035,.033,.033,.031,.031,.022,.010,.016,.020,.023,.038,12
,OTAY MESA DVN,.015,.020,C,C,.017,.014,.008,.012,.021,.025,.025,M,M,M,.037,.035,.034,.033,.031,.030,.027,.027,.024,.022,.024,.037,14
,PENDLETON,.021,.020,C,C,.008,.010,.011,.014,.021,M,M,M,M,M,.031,.036,.038,.040,.038,.039,.033,.023,.020,.021,.024,.040,17
02 NOX PPM,ALPINE,.005,.006,C,C,.007,.004,.005,.006,.004,.003,.002,.003,.003,.005,.005,.005,.003,.003,.004,.004,.004,.003,.003,.003,.004,.007,04
,CARMEL MT RCH,.008,.011,C,C,C,.006,.008,.005,M,M,.027,.025,.028,.027,.021,.017,.016,.021,.023,.020,.030,.020,.015,.007,.018,.030,20
,CHULA VISTA,.011,.009,C,C,.013,.016,.014,.011,.007,.008,M,M,M,M,.002,.002,.002,.002,.003,.002,.002,.007,.011,.010,.007,.016,05
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.004,.004,C,C,C,.006,.005,.007,.006,.003,.005,.005,.004,.003,.003,.002,.003,.003,.002,.004,.003,.002,.003,.002,.004,.007,07
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.012,.015,C,C,.027,.017,.016,.011,.005,.007,.008,.007,.005,.004,.005,.004,.004,.004,.004,.006,.012,.018,.010,.005,.009,.027,04
,OTAY MESA DVN,M,C,C,C,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
,PENDLETON,.003,.004,C,C,.015,.013,.011,.013,.010,M,M,M,M,M,.022,.001,.000,.001,.001,.000,.004,.013,.013,.008,.008,.022,14
03 NO2 PPM,ALPINE,.005,.006,C,C,.006,.004,.004,.004,.003,.002,.002,.002,.002,.004,.004,.004,.003,.003,.003,.003,.004,.003,.003,.003,.004,.006,01
,CARMEL MT RCH,.005,.009,C,C,C,.005,.006,.004,M,M,.012,.012,.012,.012,.010,.008,.008,.011,.014,.012,.018,.014,.013,.006,.010,.018,20
,CHULA VISTA,.010,.008,C,C,.011,.013,.011,.008,.005,.006,M,M,M,M,.001,.001,.001,.001,.002,.001,.001,.006,.010,.009,.006,.013,05
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.005,.005,C,C,C,.007,.005,.006,.005,.003,.004,.004,.004,.002,.003,.002,.002,.003,.002,.005,.003,.003,.003,.003,.004,.007,05
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.010,.014,C,C,.016,.014,.012,.009,.004,.006,.006,.005,.003,.003,.003,.003,.003,.003,.004,.006,.012,.017,.009,.005,.008,.017,21
,OTAY MESA DVN,M,C,C,C,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
,PENDLETON,.003,.004,C,C,.011,.010,.008,.008,.006,M,M,M,M,M,.007,.001,.000,.001,.001,.001,.004,.012,.012,.008,.006,.012,21
04 NO PPM,ALPINE,.000,.000,C,C,.001,.000,.001,.002,.001,.001,.000,.001,.001,.001,.001,.001,.001,.000,.000,.000,.000,.000,.000,.000,.001,.002,07
,CARMEL MT RCH,.003,.002,C,C,C,.001,.001,.002,M,M,.015,.013,.016,.016,.011,.009,.008,.010,.010,.008,.012,.006,.001,.000,.008,.016,12
,CHULA VISTA,.001,.001,C,C,.002,.003,.003,.003,.002,.002,M,M,M,M,.001,.001,.001,.001,.001,.001,.001,.001,.001,.001,.002,.003,05
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,-.001,-.001,C,C,C,-.001,.000,.001,.001,.000,.001,.001,.000,.000,.000,.000,.000,.000,.000,.000,-.001,-.001,-.001,-.001,.000,.001,07
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.001,.001,C,C,.011,.003,.004,.002,.001,.002,.002,.002,.001,.001,.002,.001,.001,.000,.000,.000,.000,.001,.000,.000,.002,.011,04
,OTAY MESA DVN,M,C,C,C,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
,PENDLETON,.000,.000,C,C,.004,.003,.003,.005,.004,M,M,M,M,M,.015,.000,.000,.000,.000,.000,.000,.000,.001,.000,.002,.015,14
06 CO PPM,CARMEL MT RCH,.2,.2,C,C,C,.2,.2,.2,M,M,.4,.3,.4,.4,.4,.3,.3,.5,.5,.5,.6,.4,.4,.2,.3,.6,20
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
10 INTMP °C,ALPINE,26,26,26,26,26,26,26,26,26,26,25,25,24,24,24,25,24,25,26,26,26,26,26,26,26,26,00
,CARMEL MT RCH,26,26,26,26,26,26,26,26,26,25,26,26,25,25,25,25,25,26,26,26,26,26,26,26,26,26,00
,CHULA VISTA,25,25,25,25,25,25,25,25,26,25,25,25,25,26,26,26,26,26,26,26,26,26,26,27,26,27,23
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,27,26,27,27,27,27,27,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,27,26,27,00
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,00
,OTAY MESA DVN,27,27,26,26,26,26,26,25,25,25,25,26,27,26,26,26,26,26,26,27,27,27,27,28,26,28,23
,PENDLETON,24,24,24,25,24,24,24,24,24,24,23,23,23,23,23,23,23,23,23,24,24,24,24,24,24,25,03
,SAN YSIDRO,,,,,,,,,,,,,,,,,,,,,,,,,,,
11 PM2.5 µg/M3,ALPINE,2.6,3.0,2.6,1.6,4.4,4.9,7.6,5.2,5.4,5.2,2.4,-.6,-1.2,.5,2.4,4.5,3.1,3.4,5.0,6.1,4.2,1.6,.7,-.1,3.1,7.6,06
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.1,2.2,4.1,2.8,4.3,4.2,2.8,5.3,8.6,4.6,2.2,2.0,M,M,M,-.9,3.7,2.7,.0,1.2,1.4,1.4,2.1,1.7,2.6,8.6,08
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OTAY MESA DVN,8.9,4.5,7.3,11.3,6.3,8.2,18.2,20.2,18.1,10.9,7.6,7.5,4.1,4.1,6.4,4.1,2.3,5.2,6.3,6.9,5.5,3.5,3.9,10.9,8.0,20.2,07
,PENDLETON,-.9,-1.2,-1.6,-1.2,-.8,2.1,2.0,1.0,2.7,2.0,.6,-1.2,-.8,-.8,-2.7,-2.2,-1.7,-1.8,-1.6,-.6,-.4,.0,1.3,1.5,-.2,2.7,08
,SAN YSIDRO,,,,,,,,,,,,,,,,,,,,,,,,,,,
12 VWDR °,ALPINE,31,76,108,305,130,180,149,107,171,270,275,284,253,254,252,252,238,229,260,266,249,230,211,162,206,305,03
,CHULA VISTA,63,84,51,101,94,95,80,51,155,286,307,264,264,270,266,256,256,257,255,233,135,86,103,103,171,307,10
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,148,103,62,108,95,90,91,74,105,290,270,261,245,256,257,243,225,247,269,225,174,153,96,104,175,290,09
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,360,56,69,82,87,72,63,67,77,257,258,274,286,271,274,265,282,285,278,273,9,44,54,63,171,360,00
,OTAY MESA DVN,7,26,18,21,23,132,151,180,178,263,286,277,277,287,282,262,280,290,286,339,31,49,99,126,174,339,19
,PENDLETON,39,42,54,46,53,62,48,51,304,317,297,250,263,262,260,255,253,263,267,268,283,75,72,57,173,317,09
13 SIGTHETA °,ALPINE,16,21,54,40,45,25,18,19,54,62,37,35,47,33,24,28,27,23,26,31,21,25,33,30,32,62,09
,CHULA VISTA,38,29,52,45,21,17,21,35,38,32,28,24,21,21,21,21,21,23,25,28,22,19,23,14,27,52,02
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,56,16,58,31,21,27,18,45,46,47,26,40,33,25,18,22,21,21,17,17,16,12,38,16,29,58,02
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,12,11,5,8,11,11,8,9,49,19,13,48,19,17,16,15,14,10,7,7,21,10,6,7,15,49,08
,OTAY MESA DVN,14,12,15,11,16,36,23,23,19,52,17,24,16,14,17,18,13,11,10,24,12,15,22,20,19,52,09
,PENDLETON,8,10,11,13,11,13,15,34,17,14,20,12,13,13,13,15,13,17,21,18,22,13,12,14,15,34,07
14 VWSP MPH,ALPINE,.9,.5,.6,.5,1.0,2.1,2.1,2.2,1.0,1.4,2.7,3.5,3.3,5.2,6.9,5.6,5.2,4.0,2.7,1.9,2.0,1.3,.7,.4,2.4,6.9,14
,CHULA VISTA,.4,.7,.5,.8,1.4,2.6,2.2,1.6,1.2,4.8,5.2,6.4,8.3,8.4,8.1,6.1,4.8,3.8,2.8,1.5,1.0,1.3,1.1,2.5,3.2,8.4,13
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.3,1.5,.4,1.4,1.6,.9,2.2,1.5,1.6,1.7,4.2,2.8,4.1,7.8,8.5,7.3,5.6,4.7,4.8,2.3,2.5,2.7,1.3,1.4,3.0,8.5,14
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,1.1,1.9,1.6,2.0,2.2,2.8,2.4,4.1,2.9,5.5,7.7,3.6,7.3,8.3,9.5,8.3,6.8,4.6,3.6,3.5,1.0,2.3,3.8,3.2,4.2,9.5,14
,OTAY MESA DVN,2.3,2.4,2.1,2.3,2.1,1.1,1.6,2.4,4.5,2.6,7.7,6.5,10.2,10.2,10.2,8.4,7.9,7.3,4.7,2.4,3.4,2.2,1.8,2.3,4.5,10.2,12
,PENDLETON,4.3,3.9,3.6,3.4,3.6,3.8,3.9,2.0,3.9,6.6,4.1,6.9,6.4,5.7,6.0,5.1,5.4,3.2,1.9,1.2,1.0,2.2,2.9,3.4,3.9,6.9,11
15 SWSP MPH,ALPINE,1.2,1.1,.9,.6,1.3,2.5,2.3,2.3,1.5,2.3,3.9,4.4,4.6,6.1,7.7,6.2,5.8,4.4,3.1,2.3,2.2,1.5,.9,.6,2.9,7.7,14
,CHULA VISTA,.4,.7,.6,1.1,1.5,2.7,2.5,1.8,2.0,5.1,5.9,7.1,8.9,9.0,8.6,6.5,5.2,4.2,3.1,1.7,1.0,1.4,1.2,2.6,3.5,9.0,13
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.7,1.6,.5,1.5,1.7,1.1,2.3,1.7,2.0,2.5,4.5,4.5,5.0,8.8,8.9,8.1,6.0,5.5,5.0,3.1,2.7,2.8,1.6,1.4,3.5,8.9,14
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,1.3,1.9,1.6,2.0,2.2,3.0,2.4,4.1,3.7,5.9,8.0,4.5,7.8,8.7,9.9,8.6,7.2,4.7,3.6,3.5,1.5,2.5,3.8,3.3,4.4,9.9,14
,OTAY MESA DVN,2.4,2.5,2.3,2.3,2.2,2.2,1.9,2.6,4.8,3.3,8.1,7.0,10.7,10.5,10.8,8.8,8.1,7.5,4.7,3.2,3.5,2.3,1.9,2.5,4.8,10.8,14
,PENDLETON,4.4,3.9,3.7,3.5,3.7,3.9,4.1,3.2,4.1,6.8,4.7,7.0,6.6,5.8,6.1,5.3,5.5,3.4,2.1,1.2,1.8,2.3,3.0,3.5,4.2,7.0,11
16 AMBTEMP °F,ALPINE,49.6,48.9,48.5,48.5,49.4,49.3,49.4,50.4,53.4,56.6,59.1,61.6,63.9,62.5,63.3,60.6,56.3,54.5,53.3,52.3,51.2,50.1,50.0,49.3,53.8,63.9,12
,CARMEL MT RCH,53.9,53.4,52.5,53.0,53.7,54.3,55.1,56.4,58.6,60.1,59.8,59.5,62.9,64.1,64.9,63.0,61.0,58.8,57.6,56.4,55.4,54.8,54.3,54.5,57.4,64.9,14
