Current Date:,4/3/2019,6:12 AM,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Daily Parameter Report
4/2/2019
,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Summary
Parameter,SiteName,,,,,,,,,,,,,,,,,,,,,,,,,Avg,Max,Hr. of Max
01 OZONE PPM,ALPINE,.060,.058,C,C,.053,.051,.048,.053,.066,.064,.060,.064,.057,.054,.047,.044,.045,.043,.041,.041,.040,.040,.040,.041,.050,.066,08
,CHULA VISTA,.009,.016,C,C,.030,.025,.015,.019,.046,.047,M,.045,.047,.044,.044,.044,.042,.042,.043,.040,.038,.035,.035,.031,.035,.047,09
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.029,.025,C,C,C,.023,.026,.033,.036,.049,.052,.051,.051,.047,.044,.045,.044,.045,.044,.038,.035,.031,.032,.036,.038,.052,10
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.033,.026,C,C,.043,.021,.019,.032,.042,.049,M,.048,.046,.044,.045,.045,.046,.042,.038,.036,.035,.035,.029,.023,.037,.049,09
,OTAY MESA DVN,.027,.036,C,C,.019,.015,.015,.016,.024,.038,M,M,M,.040,.038,.038,.038,.035,.032,.032,.031,.026,.027,.033,.029,.040,13
,PENDLETON,.029,.024,C,C,.020,.024,.023,.031,.042,.042,.046,.044,.043,.040,.041,.042,.043,.041,.042,.042,.042,.041,.037,.030,.036,.046,10
02 NOX PPM,ALPINE,.002,.002,C,C,.007,.004,.009,.009,.002,.003,.010,.005,.003,.003,.002,.002,.003,.004,.005,.004,.004,.003,.003,.002,.004,.010,10
,CARMEL MT RCH,.027,.027,C,C,C,.015,.035,.058,.058,.050,.032,.036,.034,.032,.032,.018,.021,.020,.019,.020,.023,.025,.010,.007,.029,.058,07
,CHULA VISTA,.026,.018,C,C,.013,.014,.028,.040,.011,.003,M,.002,.002,.002,.002,.002,.002,.003,.002,.003,.003,.005,.005,.006,.009,.040,07
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.009,.008,C,C,C,.010,.010,.006,.014,.010,.003,.001,.001,.002,.002,.002,.003,.002,.002,.005,.004,.004,.003,.001,.005,.014,08
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.012,.017,C,C,.007,.020,.023,.019,.015,.006,M,.004,.003,.003,.003,.003,.003,.004,.005,.006,.006,.005,.007,.010,.009,.023,06
,OTAY MESA DVN,M,C,C,C,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
,PENDLETON,.010,.010,C,C,.021,.014,.014,.017,.007,.006,.001,.001,.003,.008,.005,.004,.001,.000,.000,.000,.001,.000,.000,.003,.006,.021,04
03 NO2 PPM,ALPINE,.002,.002,C,C,.005,.004,.007,.007,.002,.002,.008,.004,.002,.002,.002,.002,.002,.004,.004,.004,.004,.003,.003,.002,.004,.008,10
,CARMEL MT RCH,.025,.025,C,C,C,.013,.022,.031,.032,.031,.020,.021,.019,.017,.017,.010,.011,.013,.011,.013,.015,.018,.008,.006,.018,.032,08
,CHULA VISTA,.025,.017,C,C,.012,.013,.021,.027,.007,.002,M,.001,.001,.001,.001,.001,.001,.002,.001,.002,.003,.004,.004,.006,.007,.027,07
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.009,.009,C,C,C,.010,.010,.006,.011,.008,.003,.002,.001,.002,.002,.002,.003,.003,.003,.005,.005,.005,.004,.002,.005,.011,08
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.012,.016,C,C,.007,.018,.019,.015,.011,.004,M,.003,.003,.002,.002,.002,.003,.004,.005,.006,.006,.005,.007,.010,.008,.019,06
,OTAY MESA DVN,M,C,C,C,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
,PENDLETON,.010,.010,C,C,.016,.013,.012,.012,.005,.005,.001,.001,.002,.004,.003,.002,.001,.000,.001,.000,.001,.000,.000,.003,.005,.016,04
04 NO PPM,ALPINE,.000,.000,C,C,.002,.001,.002,.002,.000,.001,.002,.001,.000,.001,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.001,.002,04
,CARMEL MT RCH,.002,.003,C,C,C,.002,.013,.027,.027,.019,.013,.015,.015,.015,.015,.008,.010,.008,.008,.007,.008,.007,.001,.001,.011,.027,07
,CHULA VISTA,.001,.001,C,C,.001,.001,.007,.013,.003,.001,M,.001,.001,.001,.001,.001,.001,.001,.001,.001,.001,.001,.001,.001,.002,.013,07
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,-.001,-.001,C,C,C,.000,.001,.001,.003,.001,.000,.000,.000,.000,.000,.000,.000,.000,-.001,.000,-.001,-.001,-.001,-.001,.000,.003,08
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.000,.000,C,C,.000,.002,.004,.004,.003,.001,M,.001,.001,.001,.001,.001,.001,.001,.000,.000,.000,.000,.000,.000,.001,.004,06
,OTAY MESA DVN,M,C,C,C,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
,PENDLETON,.000,.000,C,C,.005,.001,.002,.005,.001,.001,.000,.000,.001,.004,.002,.002,.000,.000,.000,.000,.000,.000,.000,.000,.001,.005,04
06 CO PPM,CARMEL MT RCH,.5,.4,C,C,C,.3,.6,.6,.6,.6,.4,.4,.4,.5,.5,.4,.4,.5,.5,.4,.5,.5,.2,.2,.4,.6,06
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
10 INTMP °C,ALPINE,26,26,26,26,27,26,26,25,24,24,23,23,23,24,24,24,24,25,24,25,26,26,26,26,25,27,04
,CARMEL MT RCH,26,26,26,26,26,26,26,26,26,25,25,25,25,25,25,25,25,25,26,26,26,26,26,26,26,26,00
,CHULA VISTA,25,25,25,26,26,25,25,26,26,26,26,26,26,25,26,26,26,25,25,26,26,26,26,25,26,26,03
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,26,26,27,27,27,27,27,27,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,27,26,27,02
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,25,25,25,25,26,26,25,25,25,25,25,24,24,24,25,25,25,25,25,25,25,25,25,25,25,26,04
,OTAY MESA DVN,25,25,25,25,26,25,26,26,26,26,26,25,25,25,25,25,25,24,24,24,24,25,25,25,25,26,04
,PENDLETON,25,25,25,25,25,25,25,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,25,25,24,25,00
,SAN YSIDRO,,,,,,,,,,,,,,,,,,,,,,,,,,,
11 PM2.5 µg/M3,ALPINE,5.6,5.9,7.2,7.1,8.3,,,5.7,2.8,M,M,M,13.6,10.3,7.3,8.3,8.2,8.3,6.0,5.5,6.1,6.7,7.5,5.6,7.1,13.6,12
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,17.9,12.1,11.7,11.3,14.8,14.7,9.3,7.1,9.6,14.3,11.1,12.9,9.7,8.1,10.6,6.4,5.9,4.8,4.6,7.9,7.3,8.5,8.3,5.0,9.7,17.9,00
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OTAY MESA DVN,37.2,24.8,38.4,21.2,29.8,40.1,31.0,20.0,25.1,20.5,9.5,15.8,11.8,8.6,6.1,3.9,4.4,9.6,7.7,6.6,5.6,5.0,5.9,6.9,16.4,40.1,05
,PENDLETON,11.7,8.3,8.0,7.3,9.2,13.1,11.4,15.9,11.2,13.2,10.0,8.8,6.7,5.2,5.7,6.0,3.9,2.2,4.9,5.9,6.1,3.5,8.2,5.8,8.0,15.9,07
,SAN YSIDRO,,,,,,,,,,,,,,,,,,,,,,,,,,,
12 VWDR °,ALPINE,98,90,105,92,84,102,108,141,207,231,223,219,238,219,260,234,229,221,229,277,234,253,262,232,191,277,19
,CHULA VISTA,31,57,210,110,104,94,65,219,243,235,233,238,240,248,253,258,249,248,248,219,196,206,153,128,187,258,15
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,242,137,118,105,103,82,79,123,246,238,240,231,230,224,215,233,221,258,256,205,179,203,199,159,189,258,17
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,94,66,143,122,129,101,110,169,199,196,196,199,229,228,236,247,274,273,277,280,231,267,170,131,190,280,19
,OTAY MESA DVN,112,25,28,1,76,103,129,128,246,251,229,241,257,261,263,287,281,274,275,279,273,239,230,136,193,287,15
,PENDLETON,91,55,61,70,66,70,69,134,168,181,188,207,210,210,217,250,251,243,253,249,256,236,231,262,176,262,23
13 SIGTHETA °,ALPINE,17,29,36,27,15,13,12,18,26,25,28,31,31,26,31,30,26,26,26,20,22,26,26,24,25,36,02
,CHULA VISTA,37,31,37,17,13,26,28,48,23,20,19,21,22,22,22,23,23,19,15,19,20,17,19,14,23,48,07
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,35,29,46,12,11,34,26,52,32,23,24,23,22,23,26,25,24,22,20,21,13,30,33,29,26,52,07
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,10,19,26,11,9,8,18,19,15,19,19,24,21,20,16,16,12,12,7,15,32,15,40,16,17,40,22
,OTAY MESA DVN,44,32,41,14,31,33,17,49,43,23,14,22,16,22,22,19,17,10,6,66,14,23,21,17,26,66,19
,PENDLETON,12,11,10,12,13,12,13,25,17,16,16,15,15,14,18,11,11,15,9,11,10,16,47,35,16,47,22
14 VWSP MPH,ALPINE,1.6,1.2,.9,.6,1.2,2.7,3.3,3.2,4.7,5.7,5.8,6.5,7.0,6.7,6.0,5.3,5.3,4.6,4.2,2.4,2.4,2.4,2.9,2.8,3.7,7.0,12
,CHULA VISTA,.2,.6,.8,2.0,3.7,2.0,.7,1.4,6.3,9.1,9.2,9.1,9.2,7.8,7.8,7.2,6.0,5.2,3.3,2.1,2.0,1.7,2.2,2.1,4.2,9.2,10
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
