,CARMEL MT RCH,.010,.005,C,C,C,.003,.003,.004,.015,.017,.015,.012,.011,.013,.010,.011,.010,.009,.010,.011,.011,.009,.011,.008,.010,.017,09
,CHULA VISTA,.010,.009,C,C,.005,.008,.006,.012,.004,.002,.002,.002,.002,.002,.001,.001,.001,.002,.002,.001,.001,.002,.005,.005,.004,.012,07
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.002,.003,C,C,C,.004,.003,.004,M,M,M,M,M,.004,.004,.004,.004,.003,.004,.004,.004,.003,.004,.003,.004,.004,05
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.006,.006,C,C,.005,.008,.008,.006,.006,.004,.004,.003,M,M,.004,.003,.004,.003,.004,.005,.005,.006,.005,.006,.005,.008,05
,OTAY MESA DVN,.005,.004,C,C,.005,.012,.010,.015,.006,.010,.006,.002,.001,.002,.002,.002,.002,.001,.002,.002,.003,.003,.003,.003,.005,.015,07
,PENDLETON,.005,.005,C,C,.007,.010,.011,.005,.004,.002,.001,.001,.001,.002,.005,.002,.000,.000,.000,.000,.000,.000,.000,.000,.003,.011,06
04 NO PPM,ALPINE,M,C,C,C,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
,CARMEL MT RCH,.002,.000,C,C,C,.000,.001,.001,.017,.026,.019,.014,.013,.015,.011,.012,.009,.007,.006,.006,.007,.005,.004,.002,.008,.026,09
,CHULA VISTA,.000,.000,C,C,.000,.001,.001,.002,.001,.000,.000,.000,.001,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.002,07
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.000,.000,C,C,C,.000,.001,.001,M,M,M,M,M,.001,.001,.001,.001,.001,.000,.000,.000,.000,.000,.000,.000,.001,06
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.000,.000,C,C,.000,.001,.001,.001,.001,.001,.001,.001,M,M,.001,.001,.001,.000,.000,.000,.000,.000,.000,.000,.001,.001,05
,OTAY MESA DVN,.000,.000,C,C,.000,.001,.001,.003,.002,.003,.001,.000,.000,.001,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.001,.003,07
,PENDLETON,.000,.000,C,C,.000,.000,.002,.001,.001,.001,.000,.000,.001,.002,.007,.002,.000,.000,.000,.000,.000,.000,.000,.000,.001,.007,14
06 CO PPM,CARMEL MT RCH,.3,.1,C,C,C,.1,.1,.2,.3,.3,.3,.3,.3,.4,.4,.5,.5,.5,.4,.4,.4,.4,.4,.3,.3,.5,15
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
10 INTMP °C,ALPINE,26,26,26,26,26,26,26,26,26,25,25,24,24,24,25,24,25,25,26,26,26,26,26,26,25,26,00
,CARMEL MT RCH,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,25,26,26,26,26,26,26,26,26,26,00
,CHULA VISTA,25,26,26,26,26,26,26,26,25,25,25,25,25,25,25,25,24,25,25,25,25,25,25,25,25,26,01
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,00
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,25,25,25,25,25,25,25,25,25,24,24,24,24,24,24,24,24,24,24,25,24,25,25,25,25,25,00
,OTAY MESA DVN,27,28,27,27,27,27,27,27,27,27,27,26,27,27,27,27,27,27,27,27,27,27,27,27,27,28,01
,PENDLETON,24,24,24,24,24,24,24,24,24,24,24,23,24,23,23,23,23,23,24,24,24,24,24,24,24,24,00
,SAN YSIDRO,,,,,,,,,,,,,,,,,,,,,,,,,,,
11 PM2.5 µg/M3,ALPINE,.6,.6,1.7,1.1,-1.4,-.7,-.1,-.4,4.1,3.8,1.2,.2,1.1,.8,1.8,.3,1.3,5.3,4.7,2.2,.9,3.3,2.3,-.7,1.4,5.3,17
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,5.0,7.1,4.3,4.9,3.5,2.0,3.1,4.3,5.8,3.6,4.0,5.5,5.0,3.5,5.8,3.6,2.3,5.6,5.3,4.9,4.7,3.5,2.7,3.7,4.3,7.1,01
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OTAY MESA DVN,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
,PENDLETON,1.2,1.8,.9,1.2,1.6,-.8,.6,2.8,4.1,2.7,-.1,.5,.9,-.2,1.9,1.3,.7,1.4,1.6,2.4,3.6,3.0,4.5,3.9,1.7,4.5,22
,SAN YSIDRO,,,,,,,,,,,,,,,,,,,,,,,,,,,
12 VWDR °,ALPINE,234,128,116,137,123,139,143,163,199,221,220,230,249,242,241,251,254,238,251,270,299,304,329,347,222,347,23
,CHULA VISTA,119,128,162,156,149,151,140,157,210,262,261,276,267,274,271,265,269,272,286,278,277,278,9,47,207,286,18
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,147,109,156,173,132,104,178,177,196,211,230,255,259,243,259,251,261,264,263,297,301,290,2,144,204,301,20
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,83,191,160,141,143,143,159,240,254,257,269,266,280,278,274,289,285,289,285,283,297,291,308,16,228,308,22
,OTAY MESA DVN,113,115,134,132,155,189,157,141,185,153,220,278,298,302,290,339,310,296,297,319,21,314,69,44,203,339,15
,PENDLETON,99,102,106,114,115,99,115,117,242,319,278,291,261,264,263,252,253,260,266,272,257,252,247,246,212,319,09
13 SIGTHETA °,ALPINE,25,33,15,12,13,14,14,24,27,27,22,27,28,27,24,28,26,24,25,33,24,21,28,26,24,33,01
,CHULA VISTA,12,18,37,23,16,18,15,17,30,25,20,20,23,20,22,20,22,22,21,23,30,32,24,20,22,37,02
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,15,24,15,26,22,39,29,21,32,18,24,20,22,21,21,22,20,17,19,18,18,19,42,16,23,42,22
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,36,26,20,10,11,11,30,22,12,17,14,12,11,10,15,13,12,11,9,9,7,6,8,43,16,43,23
,OTAY MESA DVN,12,9,7,7,11,11,11,11,45,14,19,14,14,12,18,25,26,21,13,26,33,21,11,14,17,45,08
,PENDLETON,15,15,16,18,14,16,15,14,34,19,17,17,15,14,14,14,13,14,15,18,14,14,16,15,16,34,08
14 VWSP MPH,ALPINE,1.0,.3,1.0,2.1,1.3,2.7,3.3,2.6,3.0,3.8,4.9,4.2,3.9,4.0,3.9,2.7,2.9,2.7,2.7,2.2,2.0,1.4,.3,.4,2.5,4.9,10
,CHULA VISTA,2.7,2.0,1.0,1.1,2.3,2.9,4.0,3.3,1.9,3.7,5.4,6.9,7.3,7.6,6.6,6.7,5.2,4.3,4.0,2.4,1.5,.9,1.1,1.5,3.6,7.6,13
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,2.3,1.5,3.1,2.0,1.2,.6,1.9,3.3,3.2,4.8,4.6,6.6,5.8,5.7,5.7,4.8,5.2,5.3,4.5,3.9,3.4,2.1,1.2,1.6,3.5,6.6,11
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,2.6,2.5,2.7,5.5,5.1,6.0,4.0,3.0,6.3,5.4,7.4,8.0,8.0,9.0,6.6,5.3,6.6,5.7,4.5,2.9,1.8,2.0,1.8,.6,4.7,9.0,13
,OTAY MESA DVN,2.1,3.1,4.7,5.2,3.6,6.1,5.2,5.7,2.2,5.6,3.8,6.6,7.1,6.6,4.5,2.5,3.9,3.8,3.8,2.0,1.2,1.1,1.4,1.2,3.9,7.1,12
,PENDLETON,3.5,3.2,3.0,2.3,3.8,3.3,4.0,3.8,2.6,4.4,4.1,6.1,7.0,5.2,5.2,6.5,6.9,4.8,3.6,3.2,3.5,4.5,5.0,5.2,4.4,7.0,12
15 SWSP MPH,ALPINE,1.2,.6,1.0,2.2,1.3,2.9,3.4,2.9,3.6,4.3,5.3,4.8,4.4,4.6,4.2,3.1,3.2,3.2,3.1,2.6,2.2,1.5,.3,.4,2.8,5.3,10
,CHULA VISTA,2.8,2.1,1.1,1.2,2.3,3.1,4.2,3.5,2.7,4.0,5.7,7.4,7.9,8.1,7.1,7.2,5.5,4.8,4.2,2.6,1.8,1.4,1.2,1.7,3.9,8.1,13
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,2.4,1.6,3.3,2.2,1.5,1.1,2.2,3.6,3.6,5.4,5.2,7.0,6.2,6.2,6.1,5.2,5.5,5.6,4.8,4.3,3.6,2.3,1.6,1.7,3.8,7.0,11
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,3.0,2.7,3.2,5.6,5.2,6.1,4.6,3.3,6.6,5.6,7.7,8.4,8.1,9.1,7.0,5.6,6.8,5.9,4.5,2.9,1.8,2.1,1.8,.9,4.9,9.1,13
,OTAY MESA DVN,2.2,3.1,4.7,5.3,3.9,6.3,5.5,5.9,4.1,6.2,6.9,6.9,7.3,6.7,4.9,3.6,5.0,4.0,3.9,2.5,1.4,1.4,1.4,1.5,4.4,7.3,12
,PENDLETON,3.6,3.3,3.1,2.4,3.9,3.4,4.2,4.1,3.7,4.6,4.3,6.5,7.3,5.4,5.4,6.6,7.0,5.0,3.7,3.4,3.6,4.6,5.2,5.5,4.6,7.3,12
16 AMBTEMP °F,ALPINE,50.7,49.9,49.9,50.4,50.4,50.6,51.6,52.7,53.5,54.7,56.2,55.5,54.6,53.7,53.2,53.1,53.3,53.3,52.5,51.8,51.0,50.6,50.4,50.5,52.3,56.2,10
,CARMEL MT RCH,54.7,54.7,55.3,55.4,55.3,55.4,55.7,56.4,56.9,57.5,59.2,59.2,58.7,59.4,58.9,59.4,59.5,58.4,57.4,57.3,56.9,56.7,56.3,56.4,57.1,59.5,16
,CHULA VISTA,56.8,57.4,57.5,56.8,56.7,56.7,56.9,57.9,60.0,61.1,60.3,61.1,62.5,62.8,63.5,62.4,61.4,60.9,60.4,60.3,60.3,60.1,60.0,60.0,59.7,63.5,14
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,55.5,55.1,56.3,56.3,56.2,56.4,56.6,56.7,57.9,58.7,61.2,60.5,60.6,60.0,61.0,61.6,61.4,60.0,59.6,59.2,58.9,58.8,58.5,57.7,58.5,61.6,15
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,55.8,57.4,56.8,56.6,56.8,56.9,56.9,57.8,59.1,58.5,59.7,60.1,59.8,60.0,59.7,60.8,60.7,59.8,59.5,59.0,59.0,58.9,58.7,58.6,58.6,60.8,15
,OTAY MESA DVN,56.5,56.8,57.7,57.8,57.7,56.2,56.3,56.6,57.2,59.0,59.7,58.1,58.3,58.5,58.9,58.7,58.4,58.1,58.3,58.2,58.1,57.9,58.0,57.8,57.9,59.7,10
,PENDLETON,59.1,58.4,58.0,57.9,57.8,58.1,58.4,59.1,59.2,60.0,61.3,61.4,60.2,63.2,64.1,63.8,63.1,62.1,61.6,61.4,61.5,61.7,61.7,61.6,60.6,64.1,14
17 RELHUM %,ALPINE,95,95,95,95,94,93,91,91,91,90,85,88,91,94,94,94,94,93,94,95,96,95,94,92,93,96,20
,EL CAJON LES,91,92,87,86,89,90,90,92,90,88,79,80,79,83,77,72,70,74,72,75,71,70,74,79,81,92,01
,KEARNY MESA,95,93,96,97,97,97,97,97,93,94,90,87,88,87,86,81,79,82,79,80,81,82,81,83,88,97,03
18 PRES mmHg,KEARNY MESA,745,745,745,745,745,746,746,747,747,747,748,747,747,747,747,746,746,746,746,747,747,747,747,747,746,748,10
19 SOLAR W/M2,KEARNY MESA,0,0,0,0,0,16,45,161,197,301,244,268,196,231,163,156,76,42,4,0,0,0,0,0,88,301,09
28 SO2 Tr PPB,EL CAJON LES,.0,.0,C,C,C,.0,.0,.0,M,M,M,M,M,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,00
29 CO Tr PPB,EL CAJON LES,168.8,178.4,C,C,C,175.1,179.3,196.0,M,M,C,C,M,174.9,185.7,194.7,184.9,182.7,194.0,183.1,172.7,164.7,193.1,166.2,180.8,196.0,07
