Current Date:,4/27/2019,6:12 AM,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Daily Parameter Report
4/26/2019
,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Summary
Parameter,SiteName,,,,,,,,,,,,,,,,,,,,,,,,,Avg,Max,Hr. of Max
01 OZONE PPM,ALPINE,.034,.042,C,C,.048,.050,.047,M,M,.036,.044,.051,.054,.057,.060,.062,.054,.048,.040,.035,.031,.024,.024,.027,.043,.062,15
,CHULA VISTA,.031,.030,C,C,.028,.027,.028,.028,.030,.035,.040,.041,.041,.041,.042,.042,.042,.040,.038,.037,.034,.034,.036,.037,.035,.042,14
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.024,.024,C,C,C,.016,.017,.019,.023,M,M,M,M,M,M,M,.046,.041,.037,.034,.035,.033,.032,.033,.029,.046,16
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.025,.024,C,C,.021,.019,.019,.020,.025,.032,.035,.041,.045,.047,.048,.045,.042,.040,.036,.033,.033,.032,.034,.037,.033,.048,14
,OTAY MESA DVN,.022,.023,C,C,.021,.020,.020,.021,.025,.031,.038,.044,M,.043,.042,.042,.040,.038,.035,.034,.033,.030,.031,.030,.031,.044,11
,PENDLETON,.030,.030,C,C,.032,.029,.030,.032,.034,.035,.037,.039,.041,.041,.040,.040,.040,.041,.042,.042,.042,.043,.044,.042,.037,.044,22
02 NOX PPM,ALPINE,.008,.004,C,C,.003,.004,.005,M,M,.010,.006,.008,.010,.006,.005,.005,.005,.005,.005,.006,.007,.009,.007,.004,.006,.010,09
,CARMEL MT RCH,.008,.006,C,C,C,.018,.037,.038,M,M,M,M,M,M,M,.016,.014,.016,.014,.016,.014,.014,.009,.006,.016,.038,07
,CHULA VISTA,.002,.003,C,C,.004,.005,.006,.008,.011,.008,.007,.003,.002,.002,.002,.002,.002,.001,.002,.002,.003,.003,.002,.002,.004,.011,08
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.004,.003,C,C,C,.005,.007,.011,.013,M,M,M,M,M,M,M,.005,.004,.004,.005,.005,.006,.004,.003,.006,.013,08
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.005,.005,C,C,.005,.007,.009,.009,.010,.010,.012,.004,.004,.005,.004,.003,.002,.003,.004,.004,.005,.005,.005,.002,.006,.012,10
,OTAY MESA DVN,.006,.005,C,C,.004,.004,.005,.006,.007,.008,.009,.006,M,.003,.003,.003,.002,.002,.002,.003,.003,.003,.003,.003,.004,.009,10
,PENDLETON,.000,.000,C,C,.002,.004,.003,.003,.002,.001,.001,.002,.001,.001,.000,.000,.000,.000,.000,.000,.001,.000,.000,.001,.001,.004,05
03 NO2 PPM,ALPINE,.007,.003,C,C,.003,.003,.004,M,M,.006,.005,.006,.008,.005,.004,.004,.004,.004,.005,.006,.006,.008,.006,.004,.005,.008,12
,CARMEL MT RCH,.006,.005,C,C,C,.009,.015,.016,M,M,M,M,M,M,M,.008,.008,.009,.008,.009,.009,.009,.006,.005,.009,.016,07
,CHULA VISTA,.002,.003,C,C,.004,.005,.005,.007,.008,.006,.005,.002,.002,.002,.001,.002,.001,.001,.002,.002,.003,.003,.003,.002,.003,.008,08
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.004,.003,C,C,C,.005,.006,.008,.008,M,M,M,M,M,M,M,.004,.004,.004,.004,.005,.006,.004,.003,.005,.008,07
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.005,.005,C,C,.005,.007,.008,.008,.008,.007,.009,.003,.004,.004,.003,.003,.002,.002,.004,.004,.005,.005,.005,.002,.005,.009,10
,OTAY MESA DVN,.006,.005,C,C,.004,.003,.005,.005,.005,.006,.007,.005,M,.003,.003,.002,.002,.002,.002,.002,.002,.003,.003,.003,.004,.007,10
,PENDLETON,.000,.000,C,C,.002,.004,.003,.002,.001,.001,.001,.001,.001,.001,.000,.000,.000,.000,.000,.000,.001,.000,.000,.002,.001,.004,05
04 NO PPM,ALPINE,.000,.000,C,C,.000,.000,.001,M,M,.003,.001,.002,.002,.001,.001,.001,.001,.001,.000,.000,.000,.001,.000,.000,.001,.003,09
,CARMEL MT RCH,.002,.001,C,C,C,.009,.022,.022,M,M,M,M,M,M,M,.008,.006,.007,.006,.007,.005,.005,.003,.002,.008,.022,06
,CHULA VISTA,.000,.000,C,C,.000,.000,.000,.001,.003,.002,.002,.001,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.003,08
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.000,.000,C,C,C,.001,.001,.003,.005,M,M,M,M,M,M,M,.001,.001,.000,.000,.000,.000,.000,.000,.001,.005,08
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.000,.000,C,C,.000,.000,.001,.001,.003,.003,.004,.001,.001,.001,.001,.001,.000,.000,.000,.000,.000,.000,.000,.000,.001,.004,10
,OTAY MESA DVN,.000,.000,C,C,.000,.000,.001,.001,.002,.002,.002,.001,M,.001,.001,.001,.000,.000,.000,.000,.000,.000,.000,.000,.001,.002,08
,PENDLETON,.000,.000,C,C,.000,.000,.000,.000,.001,.000,.000,.001,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.001,08
06 CO PPM,CARMEL MT RCH,.2,.2,C,C,C,.3,.6,.6,M,M,C,C,M,M,M,.3,.4,.5,.5,.4,.4,.3,.3,.3,.4,.6,06
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
10 INTMP °C,ALPINE,25,26,26,26,26,26,25,23,24,23,23,23,23,23,23,23,24,23,24,24,26,26,26,27,25,27,23
,CARMEL MT RCH,26,26,26,26,26,26,26,26,26,25,25,25,25,25,25,25,25,25,26,26,26,26,26,26,26,26,00
