Current Date:,4/20/2019,6:12 AM,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Daily Parameter Report
4/19/2019
,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Summary
Parameter,SiteName,,,,,,,,,,,,,,,,,,,,,,,,,Avg,Max,Hr. of Max
01 OZONE PPM,ALPINE,.051,.049,C,C,.049,.048,.041,.042,.048,.052,.057,.064,.070,.077,.070,.067,.069,.060,.049,.045,.037,.045,.037,.029,.052,.077,13
,CHULA VISTA,.038,.031,C,C,.025,.022,.019,.021,.025,.033,M,M,.055,.052,.052,.049,.046,.046,.045,.044,.042,.041,.043,.047,.038,.055,12
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.022,.015,C,C,C,.010,.012,.018,.026,.036,.044,.055,.067,.062,.058,.059,.055,.048,.039,.037,.038,.033,.031,.037,.038,.067,12
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.023,.031,C,C,.026,.016,.013,.017,.023,.031,.046,.053,.058,.054,.051,.047,.048,.044,.041,.040,.034,.030,.035,.041,.036,.058,12
,OTAY MESA DVN,.024,.027,C,C,.019,.015,.016,.017,.032,.039,.040,.052,.056,.053,.051,.051,.045,.041,.037,.038,.037,.034,.032,.035,.035,.056,12
,PENDLETON,.030,.038,C,C,.023,.018,.019,.020,.022,.029,M,.050,.048,.047,.048,.045,.045,.045,.045,.045,.043,.041,.045,.047,.037,.050,11
02 NOX PPM,ALPINE,.003,.002,C,C,.002,.005,.010,.008,.003,.005,.006,.010,.010,.006,.005,.005,.004,.005,.006,.007,.007,.005,.008,.006,.006,.010,06
,CARMEL MT RCH,.013,.011,C,C,C,.021,.041,.042,.058,.048,M,.025,.022,.023,.018,.018,.021,.014,.019,.017,.012,.012,.012,.007,.023,.058,08
,CHULA VISTA,.002,.006,C,C,.006,.008,.010,.012,.019,.016,M,M,.005,.003,.003,.003,.005,.003,.003,.004,.007,.005,.003,.002,.006,.019,08
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.007,.010,C,C,C,.017,.020,.020,.018,.015,.018,.011,.007,.006,.004,.004,.005,.006,.008,.007,.005,.006,.006,.004,.010,.020,06
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.007,.004,C,C,.006,.009,.015,.017,.022,.024,.007,.005,.005,.003,.003,.003,.003,.004,.003,.003,.006,.009,.005,.003,.008,.024,09
,OTAY MESA DVN,.005,.004,C,C,.007,.011,.018,.032,.015,.017,.011,.007,.005,.003,.003,.003,.003,.004,.003,.003,.003,.003,.003,.004,.008,.032,07
,PENDLETON,.006,.001,C,C,.005,.008,.018,.008,.005,.006,M,.002,.001,.002,.001,.000,.000,.001,.000,.001,.002,.003,.001,.000,.003,.018,06
03 NO2 PPM,ALPINE,.002,.002,C,C,.002,.004,.007,.006,.003,.004,.005,.008,.009,.006,.005,.004,.004,.005,.005,.006,.007,.005,.008,.006,.005,.009,12
,CARMEL MT RCH,.010,.008,C,C,C,.011,.018,.019,.026,.023,M,.015,.013,.012,.010,.010,.012,.009,.012,.012,.010,.009,.009,.005,.013,.026,08
,CHULA VISTA,.001,.005,C,C,.005,.006,.007,.008,.011,.011,M,M,.004,.002,.002,.002,.004,.003,.003,.003,.005,.004,.003,.001,.005,.011,08
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.007,.010,C,C,C,.013,.012,.012,.012,.011,.014,.009,.006,.005,.003,.004,.004,.005,.008,.007,.005,.006,.006,.004,.008,.014,10
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.007,.004,C,C,.006,.009,.011,.011,.014,.017,.006,.004,.004,.003,.002,.002,.002,.003,.003,.003,.006,.009,.005,.003,.006,.017,09
,OTAY MESA DVN,.005,.004,C,C,.007,.010,.013,.021,.011,.013,.008,.006,.004,.003,.003,.003,.003,.003,.003,.003,.003,.003,.003,.004,.006,.021,07
,PENDLETON,.006,.001,C,C,.005,.008,.008,.005,.003,.003,M,.002,.001,.001,.001,.000,.000,.001,.001,.001,.002,.003,.001,.000,.003,.008,05
04 NO PPM,ALPINE,.000,.000,C,C,.000,.001,.003,.002,.001,.001,.001,.002,.002,.001,.001,.001,.000,.000,.000,.000,.000,.000,.000,.000,.001,.003,06
,CARMEL MT RCH,.003,.003,C,C,C,.009,.023,.023,.032,.025,M,.011,.009,.010,.007,.008,.009,.005,.007,.005,.003,.003,.003,.002,.010,.032,08
,CHULA VISTA,.001,.001,C,C,.001,.002,.003,.005,.008,.005,M,M,.001,.001,.001,.001,.001,.001,.001,.001,.002,.000,.000,.000,.002,.008,08
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.000,.000,C,C,C,.003,.008,.008,.006,.004,.004,.002,.001,.001,.001,.001,.001,.001,.000,.000,.000,.000,.000,.000,.002,.008,06
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.000,.000,C,C,.000,.000,.005,.006,.007,.007,.001,.001,.001,.001,.001,.001,.000,.000,.000,.000,.000,.000,.000,.000,.001,.007,08
,OTAY MESA DVN,.000,.000,C,C,.000,.001,.005,.012,.004,.004,.002,.001,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.001,.012,07
,PENDLETON,.000,.000,C,C,.000,.000,.010,.002,.002,.003,M,.000,.000,.001,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.001,.010,06
06 CO PPM,CARMEL MT RCH,.3,.2,C,C,C,.4,.6,.6,.7,.6,C,.5,.5,.4,.4,.4,.6,.5,.5,.5,.4,.4,.4,.3,.5,.7,08
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
