Current Date:,9/21/2021,2:01 PM,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Daily Parameter Report
9/20/2021
,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Summary
Parameter,SiteName,,,,,,,,,,,,,,,,,,,,,,,,,Avg,Max,Hr. of Max
01 OZONE PPM,ALPINE,.049,.048,C,C,.049,.048,.045,.047,.043,.053,.058,.068,.072,.072,.074,.070,.063,.053,.045,.040,.031,.045,.047,.053,.053,.074,14
,CHULA VISTA,.016,.011,C,C,.008,.007,.009,M,M,M,.043,.044,.043,.042,.042,.038,.036,.033,.031,.030,.029,.025,.015,.016,.027,.044,11
,DOWNTOWN SES,.022,.018,C,C,.006,.003,.008,.021,M,.035,.041,.043,.043,.040,.040,.036,.033,.033,.029,.028,.023,.030,.026,.019,.027,.043,11
,EL CAJON LES,.019,.017,C,C,C,.005,.012,.022,.031,.044,.054,.052,.059,.057,.051,.045,.042,.035,.030,.026,.021,.019,.016,.014,.031,.059,12
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.015,.010,C,C,.006,.003,.006,.021,.028,.032,.042,.048,.049,.045,.043,.043,.040,.033,.027,.021,.016,.008,.006,.005,.024,.049,12
,OTAY MESA DVN,.016,.014,C,C,.010,.004,.008,.011,.017,.032,.043,.049,.049,.047,.043,.040,.035,.031,.027,.025,.023,.019,.021,.018,.026,.049,11
,PENDLETON,<,C,C,C,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,,C,C
02 NOX PPM,ALPINE,.002,.002,C,C,.003,.004,.008,.006,.009,.004,.005,.007,.007,.005,.005,.006,.006,.008,.008,.008,.016,.007,.005,.004,.006,.016,20
,CARMEL MT RCH,.027,.011,C,C,.031,.048,.028,.027,.037,.034,.035,.037,M,.022,.030,.028,.022,.018,.020,.021,.030,.028,.030,.025,.028,.048,05
,CHULA VISTA,.011,.013,C,C,.017,.019,.029,M,M,M,.003,.002,.002,.002,.002,.002,.001,.002,.002,.002,.002,.003,.012,.009,.007,.029,06
,DOWNTOWN SES,.010,.012,C,C,.022,.033,.037,.023,M,.005,.004,.004,.005,.004,.004,.004,.004,.003,.006,.006,.010,.003,.005,.009,.010,.037,06
,EL CAJON LES,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.012,.011,C,C,.018,.029,.034,.019,.018,.018,.012,.005,.004,.005,.006,.004,.004,.005,.008,.009,.011,.018,.019,.017,.013,.034,06
,OTAY MESA DVN,.011,.014,C,C,.017,.036,.039,.052,.062,.031,.011,.005,.005,.004,.004,.003,.004,.003,.004,.003,.005,.005,.005,.005,.015,.062,08
,PENDLETON,<,C,C,C,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,,C,C
03 NO2 PPM,ALPINE,.002,.001,C,C,.003,.003,.007,.004,.007,.003,.005,.006,.006,.005,.005,.005,.006,.007,.008,.008,.016,.007,.005,.004,.006,.016,20
,CARMEL MT RCH,.020,.010,C,C,.018,.023,.017,.013,.019,.020,.022,.022,M,.012,.018,.017,.012,.011,.012,.012,.018,.018,.019,.018,.017,.023,05
,CHULA VISTA,.011,.013,C,C,.015,.017,.019,M,M,M,.002,.002,.002,.002,.002,.002,.001,.002,.002,.002,.002,.003,.011,.009,.006,.019,06
,DOWNTOWN SES,.010,.011,C,C,.019,.022,.021,.015,M,.004,.003,.003,.004,.003,.003,.003,.003,.003,.006,.006,.010,.003,.005,.009,.008,.022,05
,EL CAJON LES,.007,.007,C,C,C,.013,.012,.010,.010,M,.007,.006,.003,.004,.006,.006,.006,.008,.008,.009,.008,.008,.007,.007,.008,.013,05
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.011,.010,C,C,.016,.022,.017,.013,.012,.013,.009,.004,.004,.004,.005,.003,.003,.005,.008,.009,.011,.017,.018,.016,.010,.022,05
,OTAY MESA DVN,.011,.013,C,C,.014,.024,.023,.029,.036,.022,.009,.004,.004,.003,.003,.002,.003,.003,.003,.003,.004,.005,.004,.004,.010,.036,08
,PENDLETON,<,C,C,C,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,,C,C
04 NO PPM,ALPINE,.000,.000,C,C,.000,.001,.001,.002,.002,.001,.001,.001,.001,.001,.001,.001,.001,.000,.000,.000,.000,.000,.000,.000,.001,.002,07
,CARMEL MT RCH,.007,.002,C,C,.013,.025,.011,.014,.018,.014,.013,.015,M,.010,.012,.011,.010,.008,.008,.009,.012,.010,.012,.008,.012,.025,05
,CHULA VISTA,.000,.000,C,C,.001,.002,.010,M,M,M,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.001,.010,06
,DOWNTOWN SES,.000,.000,C,C,.003,.011,.015,.008,M,.001,.001,.001,.001,.001,.001,.001,.001,.000,.000,.000,.000,.000,.000,.000,.002,.015,06
,EL CAJON LES,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.000,.001,C,C,.002,.007,.018,.006,.006,.005,.003,.001,.001,.001,.001,.001,.000,.000,.000,.000,.000,.001,.001,.001,.003,.018,06
,OTAY MESA DVN,.001,.000,C,C,.003,.012,.016,.023,.026,.009,.002,.001,.001,.001,.001,.001,.001,.000,.001,.000,.001,.001,.000,.001,.005,.026,08
,PENDLETON,<,C,C,C,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,,C,C
06 CO PPM,CARMEL MT RCH,.7,.6,C,C,C,1.1,.6,.5,.5,.5,.6,C,M,.6,.7,.7,.7,.6,.6,.6,.7,.7,.6,.6,.6,1.1,05
10 INTMP °C,ALPINE,25,25,25,26,26,26,25,25,24,24,24,24,24,24,24,24,24,24,24,24,25,25,25,25,25,26,03
,CARMEL MT RCH,26,26,27,26,27,26,26,26,26,26,25,25,26,26,25,25,25,25,26,26,26,26,26,26,26,27,02
,CHULA VISTA,24,24,25,25,24,24,24,25,25,24,24,24,24,24,24,24,24,24,24,24,25,25,25,24,24,25,02
,DOWNTOWN SES,23,23,24,24,23,23,23,23,23,23,22,22,22,22,22,22,22,22,23,23,23,23,23,23,23,24,02
,EL CAJON LES,24,24,24,24,24,25,25,24,24,24,24,24,24,24,23,23,23,23,23,24,24,24,24,24,24,25,05
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,25,25,25,25,25,25,25,25,25,25,25,25,25,25,24,24,25,25,25,25,25,25,25,25,25,25,00
,OTAY MESA DVN,25,25,26,26,26,26,26,26,26,25,25,24,24,24,24,24,23,23,24,24,25,25,25,25,25,26,02
,PENDLETON,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,,<,<
11 PM2.5 µg/M3,ALPINE,5.2,4.5,3.9,4.1,6.8,5.9,4.1,2.3,.2,-1.6,1.2,6.8,13.0,10.9,10.7,19.2,14.3,14.9,12.0,13.5,14.5,13.1,16.8,12.4,8.6,19.2,15
,DOWNTOWN SES,7.9,8.7,10.7,9.5,10.6,9.9,11.5,12.8,9.6,5.5,8.6,8.2,6.0,10.4,7.3,9.1,10.5,8.3,5.5,5.8,4.8,4.5,5.4,8.1,8.3,12.8,07
,EL CAJON LES,10.1,8.1,8.3,8.4,8.9,10.3,9.1,8.2,14.0,13.2,15.9,10.5,13.6,11.7,7.6,10.4,13.3,12.0,11.0,12.7,9.4,6.6,9.4,6.9,10.4,15.9,10
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OTAY MESA DVN,24.8,33.9,25.7,13.7,19.3,37.8,60.7,55.2,44.7,23.5,13.1,9.8,15.4,8.3,6.5,9.4,8.9,9.4,7.6,11.6,8.6,6.8,10.8,12.0,19.8,60.7,06
