Current Date:,9/30/2021,6:12 AM,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Daily Parameter Report
9/29/2021
,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Summary
Parameter,SiteName,,,,,,,,,,,,,,,,,,,,,,,,,Avg,Max,Hr. of Max
01 OZONE PPM,ALPINE,.035,.033,C,C,.025,.031,.031,.033,.042,.044,.047,.050,.053,.057,.061,.060,.055,.048,.042,.039,.034,.029,.027,.032,.041,.061,14
,CHULA VISTA,.034,.029,C,C,.015,.010,.014,.024,.032,M,M,M,M,M,M,M,.045,.047,.036,.035,.026,.015,.010,.012,.025,.047,17
,DOWNTOWN SES,.038,.035,C,C,.035,.028,.022,.026,.033,.039,.036,.044,.045,.048,.050,.049,.048,.040,.041,.037,.034,.031,.027,.021,.036,.050,14
,EL CAJON LES,.036,.033,C,C,C,.018,.019,.026,.037,.040,.044,.048,.050,.053,.054,.052,.048,.044,.043,.039,.034,.030,.023,.021,.037,.054,14
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.037,.034,C,C,.011,.012,.020,.029,.035,.041,.043,.045,.047,.051,.050,.048,.045,.042,.038,.034,.031,.030,.015,.021,.034,.051,13
,OTAY MESA DVN,.026,.022,C,C,.010,.010,.019,.028,.029,M,M,M,M,M,.044,.046,.043,.040,.038,.031,.027,.026,.020,.019,.028,.046,15
,PENDLETON,<,C,C,C,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,,C,C
02 NOX PPM,ALPINE,.004,.004,C,C,.006,.008,.007,.008,.004,.003,.003,.003,.003,.003,.005,.004,.003,.004,.005,.005,.007,.008,.009,.005,.005,.009,22
,CARMEL MT RCH,.005,.003,C,C,.006,.006,.008,.005,.032,.006,.012,.023,.024,.020,.019,.015,.019,.015,.018,.020,.018,.019,.021,.014,.015,.032,08
,CHULA VISTA,.003,.005,C,C,.010,.017,.017,.015,.013,M,M,M,M,M,M,M,.003,.005,.006,.006,.010,.017,.021,.016,.011,.021,22
,DOWNTOWN SES,.003,.003,C,C,.002,.007,.012,.011,.009,.008,.012,.003,.005,.004,.005,.004,.005,.005,.005,.005,.007,.008,.010,.012,.007,.012,06
,EL CAJON LES,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.003,.004,C,C,.019,.018,.013,.007,.006,.004,.005,.006,.004,.003,.003,.003,.003,.003,.003,.004,.005,.006,.016,.008,.007,.019,04
,OTAY MESA DVN,.010,.015,C,C,.023,.024,.015,.015,.022,M,M,M,M,M,.004,.005,.005,.004,.004,.005,.006,.006,.008,.008,.011,.024,05
,PENDLETON,<,C,C,C,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,,C,C
03 NO2 PPM,ALPINE,.004,.004,C,C,.005,.007,.005,.006,.003,.003,.003,.003,.003,.003,.004,.003,.003,.004,.005,.005,.006,.008,.009,.005,.005,.009,22
,CARMEL MT RCH,.005,.002,C,C,.005,.005,.006,.004,.015,.004,.007,.013,.012,.010,.009,.008,.010,.009,.010,.012,.012,.013,.018,.012,.009,.018,22
,CHULA VISTA,.003,.005,C,C,.010,.016,.015,.012,.010,M,M,M,M,M,M,M,.003,.005,.006,.006,.010,.017,.021,.016,.010,.021,22
,DOWNTOWN SES,.003,.003,C,C,.002,.006,.011,.009,.007,.006,.008,.002,.004,.003,.004,.003,.004,.005,.005,.005,.006,.008,.009,.012,.006,.012,23
,EL CAJON LES,.002,.003,C,C,C,.006,.005,.003,.002,.002,.002,.002,M,.003,.003,.003,.003,.004,.003,.005,.007,.006,.006,.004,.004,.007,20
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.003,.004,C,C,.018,.017,.012,.006,.005,.003,.004,.005,.004,.003,.003,.003,.003,.003,.003,.004,.005,.006,.016,.008,.006,.018,04
,OTAY MESA DVN,.007,.010,C,C,.017,.018,.011,.009,.013,M,M,M,M,M,.003,.004,.004,.003,.004,.005,.006,.005,.008,.008,.008,.018,05
,PENDLETON,<,C,C,C,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,,C,C
