,EL CAJON LES,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.004,.004,C,C,.008,.007,.007,.009,.015,.020,.012,.008,.006,.005,.004,.003,.003,.004,.003,.004,.005,.004,.004,.004,.007,.020,09
,OTAY MESA DVN,.005,.006,.008,.008,.008,.010,.011,.007,.008,.010,.010,.009,.006,.005,.004,.004,.003,.002,.003,.002,.003,.003,.003,.003,.006,.011,06
,PENDLETON,.000,.000,C,C,.001,.002,.008,.007,.038,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,.008,.038,08
03 NO2 PPM,ALPINE,.005,.005,C,C,.006,.006,.009,.003,.002,.005,.006,.006,.006,.007,.005,.004,.006,.007,.009,.011,.018,.020,.009,.009,.007,.020,21
,CARMEL MT RCH,.006,.006,C,C,.006,.005,.006,.010,.012,.014,.014,.015,.020,.019,.017,.012,.014,.009,.010,.009,.009,.010,.007,.002,.011,.020,12
,CHULA VISTA,.002,.004,C,C,.008,.009,.010,.009,.008,.007,.007,.005,.003,.002,.002,.001,.002,.002,.002,.002,.003,.003,.003,.003,.004,.010,06
,DOWNTOWN SES,.008,.006,C,C,.005,.005,.006,M,.010,.011,.007,.007,.004,.004,.002,.002,.002,.003,.003,.005,.005,.004,.004,.007,.005,.011,09
,EL CAJON LES,.007,.007,C,C,C,.008,.008,.009,.011,.012,M,.013,.009,.007,.006,.005,.007,.008,.008,.007,.007,.006,.006,.006,.008,.013,11
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.004,.004,C,C,.008,.007,.006,.007,.011,.013,.009,.007,.005,.004,.003,.003,.003,.003,.003,.004,.005,.004,.004,.004,.006,.013,09
,OTAY MESA DVN,.005,.005,.007,.007,.008,.009,.008,.006,.005,.008,.008,.007,.005,.004,.003,.003,.002,.002,.002,.002,.002,.003,.003,.003,.005,.009,05
,PENDLETON,.000,.001,C,C,.002,.002,.006,.005,.017,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,.005,.017,08
04 NO PPM,ALPINE,.000,.001,C,C,.001,.001,.002,.001,.001,.001,.001,.001,.001,.001,.001,.001,.001,.000,.000,.000,.000,.001,.000,.000,.001,.002,06
,CARMEL MT RCH,.003,.003,C,C,.002,.001,.002,.012,.017,.019,.012,.011,.011,.012,.015,.009,.011,.007,.006,.005,.006,.005,.003,.001,.008,.019,09
,CHULA VISTA,.000,.000,C,C,.000,.000,.001,.002,.003,.003,.002,.001,.001,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.001,.003,08
,DOWNTOWN SES,.000,.000,C,C,.000,.000,.000,M,.004,.005,.002,.002,.001,.001,.001,.001,.000,.000,.000,.000,.000,.000,.000,.000,.001,.005,09
,EL CAJON LES,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.000,.000,C,C,.000,.000,.000,.002,.005,.006,.003,.001,.001,.001,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.001,.006,09
,OTAY MESA DVN,.000,.000,.001,.001,.001,.001,.002,.001,.002,.003,.002,.002,.001,.001,.001,.001,.000,.000,.000,.000,.000,.000,.000,.000,.001,.003,09
,PENDLETON,.000,.000,C,C,.000,.000,.002,.003,.021,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,.004,.021,08
06 CO PPM,CARMEL MT RCH,.3,.2,C,C,C,.3,.3,.4,.5,.6,.5,.6,.6,.8,.6,.5,.7,.6,.5,.4,.4,.4,.4,.2,.5,.8,13
10 INTMP °C,ALPINE,25,25,25,25,25,25,25,24,24,24,24,24,24,24,24,24,24,24,24,24,24,25,25,25,24,25,00
,CARMEL MT RCH,26,26,26,26,26,26,26,26,26,25,25,25,25,26,25,25,25,26,26,26,26,26,26,26,26,26,00
,CHULA VISTA,25,24,25,25,25,25,25,25,25,25,25,25,25,25,25,25,24,24,24,24,24,24,24,24,25,25,00
,DOWNTOWN SES,23,23,23,23,23,23,23,23,23,23,22,22,22,22,22,22,22,23,23,23,23,23,23,23,23,23,00
,EL CAJON LES,24,24,24,24,24,24,24,24,24,24,24,24,24,24,23,24,23,24,24,24,24,24,24,24,24,24,00
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,25,25,25,25,25,25,25,25,25,25,25,25,25,24,24,24,25,25,25,25,25,25,25,25,25,25,00
,OTAY MESA DVN,25,25,25,25,25,25,25,25,25,25,25,24,24,24,24,23,23,23,24,24,25,25,25,25,25,25,00
,PENDLETON,25,25,25,25,25,25,25,25,25,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,25,25,00
11 PM2.5 µg/M3,ALPINE,9.7,7.9,4.8,4.4,7.6,8.5,7.4,2.3,-1.3,7.3,5.6,12.4,11.0,9.8,8.7,5.7,10.9,11.1,10.8,10.7,9.5,18.0,11.1,7.9,8.4,18.0,21
,DOWNTOWN SES,9.0,8.3,9.1,9.8,8.6,9.3,14.3,12.5,16.6,10.7,15.3,10.5,10.2,11.6,9.2,8.4,4.7,4.6,11.9,15.1,12.9,9.8,15.7,11.2,10.8,16.6,08
,EL CAJON LES,8.6,8.1,11.9,12.2,13.5,16.3,13.7,15.9,16.5,20.0,18.2,15.8,13.9,9.2,8.7,13.7,10.2,10.7,9.8,11.1,11.9,10.2,15.6,9.8,12.7,20.0,09
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OTAY MESA DVN,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,,M,M
,PENDLETON,11.3,7.9,6.1,11.5,10.6,15.0,11.9,12.1,20.3,18.6,11.0,9.9,7.1,8.7,8.4,11.7,10.1,6.9,8.2,9.4,15.9,17.0,11.3,10.6,11.3,20.3,08
12 VWDR °,ALPINE,74,22,358,92,343,335,4,332,319,301,283,252,265,258,259,275,312,319,335,8,149,86,109,74,0,358,02
,CHULA VISTA,28,29,117,60,318,270,0,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,0,318,04
,DOWNTOWN SES,190,228,222,184,193,176,188,243,230,237,265,242,230,218,224,222,226,227,235,250,221,192,210,219,0,265,10
,EL CAJON LES,173,234,171,102,254,112,105,192,263,264,268,262,256,216,208,218,229,218,215,200,178,183,186,313,0,313,23
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,0,,
,KEARNY MESA,304,96,132,112,129,106,109,190,227,254,244,236,234,230,231,236,233,259,289,286,301,340,50,53,0,340,21
,OTAY MESA DVN,346,349,25,25,66,70,353,337,338,316,299,299,288,299,293,294,299,294,301,331,330,342,6,10,0,353,06
,PENDLETON,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,0,M,M
13 SIGTHETA °,ALPINE,28,19,60,44,26,30,45,51,27,30,33,40,36,33,29,31,27,22,24,26,44,23,42,28,33,60,02
,CHULA VISTA,36,27,46,33,42,41,46,M,36,28,27,25,23,23,23,25,23,20,19,20,31,27,38,49,31,49,23
,DOWNTOWN SES,25,29,41,27,47,49,61,53,28,20,27,22,20,23,22,26,20,22,21,24,21,17,22,30,29,61,06
,EL CAJON LES,15,60,35,47,54,36,23,75,48,51,34,30,29,21,21,28,29,21,17,16,16,19,43,58,34,75,07
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,51,43,24,31,27,56,38,36,55,33,26,22,17,19,18,23,22,12,10,7,11,23,37,20,28,56,05
,OTAY MESA DVN,17,28,30,44,44,17,49,53,26,29,18,16,20,16,16,15,13,12,12,18,22,39,41,36,26,53,07
,PENDLETON,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,,M,M
14 VWSP MPH,ALPINE,1.0,1.5,.5,.9,.8,.9,1.0,1.5,3.2,3.4,3.9,3.3,4.5,5.2,5.3,4.2,3.5,3.0,1.5,1.7,.7,.9,.7,.8,.0,5.3,14
,CHULA VISTA,.0,.0,.0,.0,.0,.0,.0,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,.0,.0,00
,DOWNTOWN SES,2.6,2.8,2.1,2.3,2.0,1.1,1.3,1.2,4.1,5.8,5.3,6.3,7.5,7.4,7.1,5.9,6.0,4.8,4.3,3.0,2.6,3.3,2.7,1.8,.0,7.5,12
,EL CAJON LES,2.4,1.0,1.3,1.0,.9,1.8,2.3,.4,1.1,1.7,4.0,4.4,5.6,7.0,6.9,5.1,4.0,4.3,3.9,3.0,2.6,2.1,1.5,.4,.0,7.0,13
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,.0,,
,KEARNY MESA,.7,.9,1.5,1.2,3.4,1.9,1.8,2.1,2.6,4.6,6.4,6.8,7.6,7.6,9.0,6.5,5.2,5.8,4.3,4.1,3.1,2.0,1.4,2.7,.0,9.0,14
,OTAY MESA DVN,.1,.6,.0,.0,1.0,2.4,.4,2.2,3.6,3.7,6.1,6.6,7.2,8.0,8.3,7.5,7.5,7.1,4.8,3.2,2.8,1.6,1.0,1.6,.0,8.3,14
,PENDLETON,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,.0,M,M
15 SWSP MPH,ALPINE,1.4,1.6,.7,1.4,.9,1.3,1.3,2.0,3.7,3.9,4.5,4.6,5.3,6.0,6.0,4.9,3.9,3.2,1.6,2.4,1.0,1.2,1.0,1.5,2.7,6.0,13
,CHULA VISTA,.0,.0,.0,.0,.0,.0,.0,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,.0,.0,00
,DOWNTOWN SES,2.9,3.2,2.4,2.5,2.7,1.8,1.9,2.2,4.8,6.3,6.0,6.7,8.1,8.1,7.7,6.5,6.4,5.2,4.6,3.5,3.2,3.6,3.0,2.0,4.4,8.1,12
,EL CAJON LES,2.5,1.6,1.7,1.6,1.3,2.1,2.4,1.5,2.2,2.9,4.6,5.0,6.4,7.5,7.4,5.8,4.5,4.6,4.0,3.2,2.8,2.3,1.8,1.9,3.4,7.5,13
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.9,1.3,1.8,1.8,3.7,2.4,2.5,2.7,3.5,5.5,7.2,7.4,8.0,8.0,9.4,7.2,5.6,6.1,4.5,4.1,3.4,2.1,1.7,3.1,4.3,9.4,14
,OTAY MESA DVN,.1,.6,.0,.0,1.0,2.4,.7,2.8,4.1,4.3,6.4,6.9,7.7,8.3,8.7,7.8,7.7,7.2,4.9,3.4,3.1,2.0,1.5,1.9,3.9,8.7,14
,PENDLETON,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,,M,M
16 AMBTEMP °F,ALPINE,71.2,71.8,71.1,71.1,69.7,68.7,71.6,77.7,80.7,80.5,81.4,84.2,86.3,86.9,84.2,81.6,77.7,73.1,69.0,66.1,64.0,64.4,65.2,64.3,74.3,86.9,13
,CARMEL MT RCH,61.8,62.1,62.4,62.0,61.8,61.6,61.8,63.1,68.2,72.6,76.1,79.6,84.2,85.1,81.1,76.9,74.9,69.3,64.6,63.0,62.3,62.6,62.7,62.6,68.4,85.1,13
,CHULA VISTA,65.4,64.4,64.0,64.0,64.0,64.1,64.5,65.4,67.9,70.2,71.0,72.3,72.5,72.7,72.0,70.7,69.4,67.6,66.4,66.3,66.4,66.4,66.2,66.2,67.5,72.7,13
,DOWNTOWN SES,65.4,64.4,63.8,64.3,63.8,63.6,63.9,64.2,65.2,66.3,68.2,70.1,70.0,69.1,67.9,67.5,66.5,65.0,64.1,64.2,64.5,64.2,64.3,64.4,65.6,70.1,11
,EL CAJON LES,63.8,64.3,64.4,64.6,64.9,64.7,65.2,66.5,71.3,77.0,80.3,83.5,85.2,84.6,81.5,78.7,77.1,72.7,68.5,66.1,64.4,64.3,64.7,65.2,71.0,85.2,12
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,63.1,64.1,64.7,65.0,65.0,64.5,64.4,65.5,69.7,73.9,75.8,78.1,78.5,77.8,75.0,73.0,71.8,69.0,65.4,64.0,64.4,64.9,64.9,64.6,68.6,78.5,12
,OTAY MESA DVN,61.3,61.7,61.4,61.5,61.5,61.0,60.9,61.2,64.4,72.6,77.0,77.5,79.3,77.6,76.4,74.1,71.3,67.5,64.5,63.6,63.6,63.4,63.1,63.3,67.1,79.3,12
,PENDLETON,66.0,65.7,65.4,65.1,65.0,64.8,65.0,65.6,66.7,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,65.5,66.7,08
17 RELHUM %,ALPINE,38,43,42,35,36,37,28,17,14,26,33,28,25,25,30,29,38,49,62,76,85,67,59,41,40,85,20
,EL CAJON LES,94,94,93,91,89,88,85,81,69,56,48,43,40,37,43,49,53,64,74,81,85,86,85,83,71,94,00
,KEARNY MESA,97,96,92,90,89,90,91,87,75,65,61,55,54,54,61,66,68,75,84,88,88,87,87,88,79,97,00
18 PRES mmHg,EL CAJON LES,747,747,747,747,747,747,747,747,748,748,747,747,747,747,747,747,747,747,747,747,748,748,748,748,747,748,08
,KEARNY MESA,748,748,748,748,748,748,748,748,749,749,748,748,748,748,748,748,748,748,748,748,749,748,748,748,748,749,08
19 SOLAR W/M2,EL CAJON LES,-4,-3,-3,-3,-3,2,61,281,534,698,814,862,847,769,626,439,221,38,-7,-6,-6,-4,-3,-3,256,862,11
,KEARNY MESA,-1,-1,-1,-1,-1,2,48,250,511,659,764,813,797,731,603,435,247,60,-1,-1,-1,-1,-1,-1,246,813,11
25 NOY,EL CAJON LES,6.22,6.72,8.03,8.05,7.89,C,C,10.61,13.79,15.21,13.43,15.06,10.67,7.77,6.86,6.45,7.44,7.47,6.82,6.44,6.32,6.11,5.95,5.75,8.59,15.21,09
26 NOY-NO,EL CAJON LES,6.14,6.70,7.99,8.02,7.79,C,C,8.12,10.20,11.60,10.72,12.06,9.05,6.57,5.90,5.54,6.65,7.14,6.60,6.30,6.20,5.90,5.88,5.74,7.58,12.06,11
27 NO Trace,EL CAJON LES,.08,.02,.04,.02,.09,C,C,2.48,3.58,3.60,2.71,3.00,1.61,1.20,.95,.90,.79,.32,.21,.13,.12,.20,.07,.01,1.00,3.60,09
28 SO2 Tr PPB,EL CAJON LES,.0,.0,C,C,C,.0,.0,.0,.0,M,M,.2,.3,.2,.1,.1,.1,.1,.0,.0,.0,.0,.0,.0,.0,.3,12
29 CO Tr PPB,EL CAJON LES,248.4,239.8,C,C,C,257.6,269.3,319.3,356.8,423.6,C,354.4,293.5,245.8,220.5,217.1,240.7,243.8,247.9,248.3,260.2,243.6,255.1,250.3,271.8,423.6,09
BCarbon ug/m3,10TH AVE MARINE TERM,.15,.32,.69,.60,.35,.40,.39,.45,.49,.55,.54,.43,.21,.18,.12,.14,.20,.16,.22,.19,.29,.20,.22,.28,.32,.69,02
,ALPINE,.25,.27,.23,.20,.26,.29,.60,.14,.13,.31,.44,.51,.53,.50,.42,.35,.41,.39,.44,.40,.60,.70,.43,.37,.38,.70,21
,CHICANO PARK,.26,.42,.70,.72,.64,.47,.79,.88,1.11,.82,.63,.56,.40,.24,.30,.24,.25,.30,.49,.47,.59,.54,.49,.45,.53,1.11,08
,DOWNTOWN SES,.36,.39,.61,.74,.53,.45,.54,.74,.79,.91,.62,.56,.38,.30,.15,.17,.18,.19,.38,.29,.40,.44,.29,.38,.45,.91,09
,OCEANVIEW BLVD,.26,.36,.65,.65,.48,.42,.51,.55,.68,.73,.57,.49,.39,.33,.23,.31,.27,.24,.31,.33,.29,.34,.31,.32,.42,.73,09
,SAN YSIDRO,1.31,1.68,.72,.65,.87,1.19,1.10,1.09,1.08,.90,.90,.59,.36,.24,.21,.16,.14,.15,.17,.19,.20,.20,.20,.22,.61,1.68,01
RAINFALL,EL CAJON LES,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,00
