,KEARNY MESA,22,22,22,22,21,21,21,23,24,23,23,23,24,24,25,25,24,23,23,23,24,24,23,23,23,25,14
,OTAY MESA DVN,25,25,26,26,26,26,26,26,26,25,25,24,24,24,24,23,23,23,23,24,25,25,25,25,25,26,02
,PENDLETON,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,,<,<
11 PM2.5 µg/M3,ALPINE,11.8,8.9,6.5,6.3,4.4,3.0,4.9,4.9,2.5,.5,.5,3.7,7.6,6.2,5.0,6.7,7.6,6.6,6.8,7.3,5.2,6.1,4.5,5.5,5.5,11.8,00
,DOWNTOWN SES,4.6,7.3,5.9,6.0,8.0,7.3,14.2,21.0,13.9,12.3,10.2,11.9,11.3,10.2,12.2,13.3,10.7,13.9,14.6,13.1,11.6,11.4,15.2,14.4,11.4,21.0,07
,EL CAJON LES,6.6,5.8,4.9,6.0,7.8,8.7,9.4,14.0,12.4,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,8.4,14.0,07
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OTAY MESA DVN,13.0,18.3,12.9,9.2,10.8,8.6,18.2,10.8,9.8,7.1,12.9,14.5,9.1,10.2,9.0,11.6,12.4,10.6,8.3,7.3,27.0,38.1,29.7,30.7,14.5,38.1,21
,PENDLETON,8.3,8.3,8.7,14.3,8.2,10.4,8.4,10.7,11.4,12.7,9.3,14.3,21.0,15.6,13.9,10.7,13.2,11.9,13.7,14.0,13.3,12.2,8.4,16.8,12.0,21.0,12
12 VWDR °,ALPINE,91,95,98,34,7,8,14,151,302,307,299,296,280,261,265,287,297,292,27,75,84,77,73,93,0,307,09
,CHULA VISTA,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,0,M,M
,DOWNTOWN SES,12,49,35,63,48,46,37,303,229,256,278,279,279,277,299,304,299,340,339,107,87,120,150,65,0,340,17
,EL CAJON LES,85,95,102,66,127,68,154,296,358,298,262,235,232,240,260,257,297,268,155,83,111,113,223,119,0,358,08
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,0,,
,KEARNY MESA,2,51,68,57,63,55,53,351,246,289,288,306,303,294,301,304,318,283,313,348,41,129,110,112,0,351,07
,OTAY MESA DVN,130,118,16,13,284,338,102,212,323,304,308,297,304,294,290,296,296,319,351,250,122,138,53,264,0,351,18
,PENDLETON,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,0,<,<
13 SIGTHETA °,ALPINE,23,39,29,44,30,34,61,79,37,22,25,25,29,35,30,25,25,42,38,49,16,41,55,37,36,79,07
,CHULA VISTA,28,22,24,21,21,31,26,24,68,54,21,21,23,21,21,24,21,21,22,26,43,35,43,20,28,68,08
,DOWNTOWN SES,17,14,33,56,35,33,30,40,52,27,16,17,20,18,27,26,23,18,12,51,30,54,58,18,30,58,22
,EL CAJON LES,19,26,40,52,59,69,68,68,69,51,44,25,24,23,22,24,20,33,38,25,54,33,49,36,40,69,05
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,8,7,6,8,12,15,15,32,66,34,19,17,18,15,14,14,13,15,28,29,23,56,17,14,21,66,08
,OTAY MESA DVN,14,30,42,25,27,19,34,57,22,20,18,12,16,14,13,12,13,17,47,32,33,28,52,36,26,57,07
,PENDLETON,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,,<,<
14 VWSP MPH,ALPINE,1.6,1.7,1.6,1.2,1.5,1.8,1.1,.3,2.1,4.4,4.6,5.7,5.7,5.4,6.1,6.0,4.0,1.4,.9,1.5,2.3,1.1,1.1,2.2,.0,6.1,14
,CHULA VISTA,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,.0,M,M
,DOWNTOWN SES,1.8,2.3,2.3,.7,1.4,1.0,2.1,.8,1.3,3.9,7.0,8.0,7.7,8.4,6.7,5.9,4.6,2.9,4.0,1.8,1.6,.2,.4,1.2,.0,8.4,13
,EL CAJON LES,1.6,1.3,1.3,.3,.4,.4,.1,.6,.6,1.6,3.1,5.3,6.5,6.6,7.4,5.5,4.6,2.0,.7,1.4,.5,.5,.1,.2,.0,7.4,14
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,.0,,
,KEARNY MESA,4.6,2.7,3.5,3.8,2.9,3.4,2.2,1.5,1.2,3.8,7.5,8.6,8.4,9.3,10.8,9.7,7.0,2.9,3.0,1.4,2.5,.8,1.2,2.6,.0,10.8,14
,OTAY MESA DVN,1.2,1.2,1.8,.1,.2,.0,.0,.2,2.8,3.1,4.8,8.1,8.7,8.8,9.2,8.1,7.0,3.5,1.4,1.0,.4,1.7,.9,.0,.0,9.2,14
,PENDLETON,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,.0,<,<
15 SWSP MPH,ALPINE,1.8,2.0,1.9,1.7,2.0,2.3,1.5,1.5,2.7,4.8,5.1,6.3,6.4,6.5,6.9,6.6,4.4,1.7,1.3,1.9,2.5,1.5,1.5,2.7,3.2,6.9,14
,CHULA VISTA,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,,M,M
,DOWNTOWN SES,1.9,2.4,2.4,.8,1.5,1.1,2.2,1.8,2.0,4.7,7.3,8.4,8.2,8.7,7.4,6.5,5.0,3.2,4.1,2.5,1.8,.5,.5,1.3,3.6,8.7,13
,EL CAJON LES,1.7,1.5,1.3,.5,.7,.6,.4,1.0,1.1,2.3,3.8,5.8,7.1,7.3,8.0,6.4,5.1,2.2,1.4,1.6,.8,.7,.1,.2,2.6,8.0,14
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,4.8,2.7,3.5,3.9,3.0,3.5,2.3,2.5,2.5,4.5,8.0,9.0,8.9,9.7,11.2,10.2,7.2,3.1,3.2,1.7,3.5,1.0,1.7,2.7,4.8,11.2,14
,OTAY MESA DVN,1.2,1.3,1.9,.1,.2,.0,.0,.4,3.1,3.4,5.0,8.3,9.1,9.0,9.5,8.3,7.3,4.0,1.5,1.1,.4,1.8,.9,.0,3.2,9.5,14
,PENDLETON,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,,<,<
16 AMBTEMP °F,ALPINE,59.6,62.8,64.2,67.6,68.1,67.4,69.6,74.0,77.8,79.8,81.7,82.7,83.8,84.6,84.9,82.9,79.7,76.0,73.1,71.9,71.7,72.2,69.7,70.9,74.0,84.9,14
,CARMEL MT RCH,59.6,57.9,57.4,57.3,57.0,56.4,58.6,63.7,69.5,75.3,79.1,79.5,81.9,84.5,82.1,78.6,76.6,74.1,71.8,69.1,68.0,66.7,65.6,63.2,68.9,84.5,13
,CHULA VISTA,62.5,61.4,60.7,60.1,59.1,59.0,60.4,65.3,68.4,73.2,74.0,75.1,77.5,78.0,77.3,76.9,75.6,71.9,69.3,68.2,66.8,65.8,64.0,63.6,68.1,78.0,13
,DOWNTOWN SES,61.4,61.4,60.6,59.3,58.6,58.4,60.2,63.1,66.1,68.3,69.8,69.8,70.7,71.2,71.2,70.3,70.1,69.4,68.7,65.6,64.6,63.5,63.0,62.5,65.3,71.2,13
,EL CAJON LES,60.3,59.1,58.0,57.1,55.6,54.9,56.5,61.0,67.6,75.1,81.2,84.3,86.6,88.7,88.4,85.9,83.1,79.4,74.4,71.7,69.5,66.7,64.9,62.4,70.5,88.7,13
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,60.4,59.8,58.4,58.2,57.9,57.9,60.7,66.3,70.9,75.7,78.7,79.2,80.3,81.5,79.0,76.2,75.5,73.7,70.1,69.1,65.7,65.4,64.7,62.5,68.7,81.5,13
,OTAY MESA DVN,61.7,61.7,60.5,59.4,58.9,58.6,60.4,65.1,69.2,75.5,80.1,79.4,81.0,82.0,81.3,79.2,76.6,71.4,68.8,66.6,67.4,67.1,67.2,68.2,69.5,82.0,13
,PENDLETON,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,,<,<
17 RELHUM %,ALPINE,73,45,31,22,20,20,18,16,12,12,15,17,22,18,12,14,17,22,24,20,17,15,17,10,21,73,00
,EL CAJON LES,82,84,85,85,87,87,84,75,60,48,36,34,30,25,23,29,29,32,40,43,46,54,56,51,54,87,04
,KEARNY MESA,90,90,93,93,92,91,88,76,65,50,47,45,46,43,47,56,52,51,57,58,61,63,60,65,66,93,02
18 PRES mmHg,EL CAJON LES,747,747,747,747,747,747,748,748,748,748,747,747,746,746,746,746,746,746,747,747,747,748,748,748,747,748,06
,KEARNY MESA,748,748,747,747,747,748,748,748,748,748,748,748,747,746,746,746,747,747,747,748,748,748,748,748,747,748,00
19 SOLAR W/M2,EL CAJON LES,-5,-5,-5,-5,-5,-1,58,367,518,675,763,799,787,692,549,356,145,4,-9,-7,-7,-7,-6,-6,235,799,11
,KEARNY MESA,0,0,0,0,0,5,113,322,488,638,734,773,747,668,536,366,174,22,0,0,0,0,0,0,233,773,11
25 NOY,EL CAJON LES,4.67,4.77,5.10,7.11,10.07,C,C,31.82,22.31,16.42,11.29,13.20,8.91,7.54,6.72,8.51,11.21,9.58,19.06,18.57,19.06,18.88,23.90,14.09,13.30,31.82,07
26 NOY-NO,EL CAJON LES,4.65,4.74,5.04,6.97,8.95,C,C,14.41,13.32,11.26,8.84,10.78,7.91,6.81,5.98,7.90,10.57,9.48,18.72,18.53,18.78,18.44,23.30,13.97,11.33,23.30,22
27 NO Trace,EL CAJON LES,.01,.03,.05,.13,1.11,C,C,17.40,8.98,5.15,2.44,2.42,1.00,.73,.73,.61,.63,.10,.33,.04,.27,.44,.59,.11,1.96,17.40,07
28 SO2 Tr PPB,EL CAJON LES,.0,.0,C,C,C,.0,.1,.1,.1,.1,.1,.2,.2,.2,.1,.2,.4,.3,.2,.2,.1,.1,.1,.1,.1,.4,16
29 CO Tr PPB,EL CAJON LES,206.8,204.7,C,C,C,381.1,545.9,595.6,468.5,448.0,383.6,406.3,321.5,275.8,253.6,299.6,291.0,311.3,466.9,498.0,505.4,489.6,584.9,355.0,394.9,595.6,07
BCarbon ug/m3,10TH AVE MARINE TERM,<,<,<,<,<,<,<,<,<,1.47,.58,.54,.48,.62,.76,.75,.43,.52,1.63,1.17,.97,.75,.47,.69,.79,1.63,18
,ALPINE,<,<,<,<,<,<,<,<,<,.18,.26,.27,.35,.26,.19,.18,.25,.33,.44,.21,.14,.18,.16,.06,.23,.44,18
,CHICANO PARK,<,<,<,<,<,<,<,<,<,2.09,.89,.76,1.18,1.23,.95,1.14,.68,.85,.99,.87,1.32,.94,.48,1.16,1.04,2.09,09
,DOWNTOWN SES,<,<,<,<,<,<,<,<,<,1.92,.93,.71,.83,.79,.92,1.02,.59,.60,.79,.82,.90,1.06,.82,.85,.90,1.92,09
,OCEANVIEW BLVD,<,<,<,<,<,<,<,<,<,2.08,1.07,.71,.75,.86,.80,.95,.69,.56,.93,.66,.90,.89,1.19,1.36,.96,2.08,09
,SAN YSIDRO,<,<,<,<,<,<,<,<,<,1.42,.82,.51,.42,.45,.53,.65,.64,.42,.40,.48,.64,1.00,1.70,1.33,.76,1.70,22
RAINFALL,EL CAJON LES,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,00
