Current Date:,9/23/2021,6:12 AM,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Daily Parameter Report
9/22/2021
,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Summary
Parameter,SiteName,,,,,,,,,,,,,,,,,,,,,,,,,Avg,Max,Hr. of Max
01 OZONE PPM,ALPINE,.041,.038,C,C,.039,.034,.034,.040,.045,.050,.054,.060,.061,.056,.049,.050,.048,.040,.039,.037,.037,.040,.033,.033,.043,.061,12
,CHULA VISTA,.003,.002,C,C,.002,.004,.005,.016,.025,.030,.049,.047,.046,.051,.058,.052,.041,.031,.027,.023,.024,.025,.026,.026,.027,.058,14
,DOWNTOWN SES,.028,.018,C,C,.014,.015,.010,.020,.029,.034,.034,.032,.042,.049,.050,.043,.035,.037,.033,.029,.028,.029,.029,.028,.030,.050,14
,EL CAJON LES,.017,.016,C,C,C,.004,.007,.023,M,M,M,.053,.046,.043,.045,.048,.045,.040,.029,.024,.026,.026,.026,.025,.030,.053,11
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.026,.025,C,C,.013,.009,.018,.029,.035,.049,.052,.046,.045,.052,.067,.053,.047,.043,.036,.028,.028,.028,.031,.027,.035,.067,14
,OTAY MESA DVN,.004,.002,C,C,.007,.016,.004,.020,.036,.038,.046,.057,.057,.045,.048,.053,.046,.037,.030,.011,.004,.013,.006,.011,.026,.057,11
,PENDLETON,<,C,C,C,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,,C,C
02 NOX PPM,ALPINE,.001,.001,C,C,.001,.013,.011,.010,.008,.003,.003,.003,.003,.003,.003,.004,.003,.002,.004,.005,.004,.003,.005,.003,.004,.013,05
,CARMEL MT RCH,.029,.044,C,C,.046,.074,.106,.091,.038,.038,.029,.025,.024,.022,.020,.019,.015,.024,.019,.024,.018,.020,.011,.021,.034,.106,06
,CHULA VISTA,.029,.030,C,C,.026,.029,.042,.034,.029,.034,.014,.012,.010,.005,.007,.004,.005,.011,.012,.012,.012,.008,.008,.006,.017,.042,06
,DOWNTOWN SES,.017,.021,C,C,.020,.020,.036,.030,.023,.026,.020,.024,.019,.011,.009,.010,.012,.007,.009,.012,.009,.007,.006,.007,.016,.036,06
,EL CAJON LES,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.011,.011,C,C,.017,.023,.020,.012,.014,.010,.009,.008,.006,.006,.008,.004,.003,.005,.006,.010,.007,.007,.005,.006,.009,.023,05
,OTAY MESA DVN,.058,.066,C,C,.057,.030,.112,.047,.019,.018,.021,.016,.008,.007,.007,.008,.006,.006,.007,.029,.041,.021,.026,.021,.029,.112,06
,PENDLETON,<,C,C,C,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,,C,C
03 NO2 PPM,ALPINE,.001,.001,C,C,.001,.008,.008,.008,.006,.002,.002,.003,.002,.003,.002,.003,.002,.002,.004,.005,.004,.003,.005,.003,.004,.008,05
,CARMEL MT RCH,.027,.034,C,C,.025,.029,.031,.031,.022,.021,.018,.015,.013,.013,.013,.012,.009,.015,.013,.016,.013,.013,.008,.016,.019,.034,01
,CHULA VISTA,.024,.023,C,C,.021,.023,.022,.022,.020,.024,.011,.010,.008,.004,.006,.004,.004,.010,.012,.012,.012,.008,.008,.006,.013,.024,00
,DOWNTOWN SES,.016,.021,C,C,.019,.019,.026,.021,.017,.019,.015,.017,.014,.009,.008,.008,.010,.006,.009,.012,.009,.007,.006,.007,.013,.026,06
,EL CAJON LES,.012,.010,C,C,C,.017,.021,.014,M,M,M,.003,.003,.003,.003,.003,.004,.005,.010,.011,.010,.007,.008,.007,.008,.021,06
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.011,.011,C,C,.016,.020,.017,.009,.011,.008,.007,.006,.005,.005,.007,.004,.003,.005,.006,.010,.006,.005,.004,.004,.008,.020,05
,OTAY MESA DVN,.037,.040,C,C,.028,.018,.041,.026,.015,.014,.017,.013,.007,.005,.005,.007,.005,.006,.006,.024,.033,.020,.025,.020,.019,.041,06
,PENDLETON,<,C,C,C,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,,C,C
04 NO PPM,ALPINE,.000,.000,C,C,.000,.005,.003,.002,.002,.000,.000,.000,.000,.000,.000,.001,.000,.000,.000,.000,.000,.001,.000,.000,.001,.005,05
,CARMEL MT RCH,.002,.009,C,C,.021,.044,.075,.060,.016,.017,.012,.009,.011,.009,.007,.007,.006,.009,.006,.008,.005,.008,.003,.005,.016,.075,06
,CHULA VISTA,.004,.006,C,C,.005,.006,.020,.012,.009,.011,.003,.002,.002,.001,.001,.001,.001,.000,.000,.000,.000,.000,.000,.000,.004,.020,06
,DOWNTOWN SES,.000,.000,C,C,.001,.001,.010,.009,.006,.007,.006,.007,.005,.002,.002,.002,.002,.000,.000,.000,.000,.000,.000,.000,.003,.010,06
,EL CAJON LES,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.000,.000,C,C,.001,.003,.004,.003,.003,.002,.001,.001,.001,.001,.001,.000,.000,.000,.000,.001,.001,.001,.001,.001,.001,.004,06
,OTAY MESA DVN,.020,.027,C,C,.030,.012,.071,.021,.004,.004,.004,.003,.001,.002,.001,.001,.001,.000,.000,.005,.007,.001,.001,.001,.010,.071,06
,PENDLETON,<,C,C,C,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,,C,C
06 CO PPM,CARMEL MT RCH,.8,.7,C,C,C,1.4,2.0,1.3,.5,.6,.6,.6,.7,.6,.6,.4,.4,.7,.6,.6,.6,.5,.5,.4,.7,2.0,06
10 INTMP °C,ALPINE,24,24,24,24,24,24,25,24,24,23,23,23,23,23,23,23,23,24,24,24,24,24,24,24,24,25,06
,CARMEL MT RCH,26,26,26,26,26,26,26,26,26,25,25,25,25,26,25,25,25,26,26,26,26,26,26,26,26,26,00
,CHULA VISTA,25,25,25,25,25,25,25,25,25,24,24,25,25,25,25,25,25,25,25,24,25,25,25,25,25,25,00
,DOWNTOWN SES,23,23,23,23,23,23,23,23,23,22,22,21,21,22,22,22,22,22,22,22,23,23,23,23,22,23,00
,EL CAJON LES,24,24,24,24,24,24,24,24,24,23,24,24,24,24,23,24,24,24,24,24,24,24,24,24,24,24,00
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,25,25,25,25,25,25,25,25,25,25,25,24,24,24,24,24,27,29,30,31,31,32,32,32,27,32,21
,OTAY MESA DVN,24,24,25,25,24,25,25,25,25,24,24,23,23,23,23,23,23,23,23,24,24,24,24,24,24,25,02
,PENDLETON,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,,<,<
11 PM2.5 µg/M3,ALPINE,5.3,4.4,5.0,5.4,4.9,5.4,5.5,7.6,6.4,4.1,3.3,3.7,6.3,9.3,7.1,5.0,5.0,4.7,6.5,7.7,6.4,4.2,5.3,6.7,5.6,9.3,13
,DOWNTOWN SES,13.2,11.0,15.9,9.9,12.9,14.3,17.0,M,M,14.9,8.5,17.5,16.9,15.4,5.7,3.4,3.0,10.0,8.1,5.8,4.5,3.7,5.1,4.7,10.0,17.5,11
,EL CAJON LES,15.4,14.6,13.3,14.1,11.5,10.5,11.8,9.7,7.5,12.2,12.6,8.3,4.2,3.7,7.7,7.1,4.5,2.1,3.1,6.0,4.5,8.8,9.5,6.2,8.7,15.4,00
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OTAY MESA DVN,35.9,34.9,55.6,39.0,40.0,19.1,50.9,M,18.0,10.1,11.5,13.8,10.4,11.3,12.6,11.3,8.0,5.3,8.3,27.4,20.3,15.2,21.8,8.9,21.2,55.6,02
,PENDLETON,10.3,13.4,15.0,16.8,10.0,10.2,17.6,13.3,13.4,17.5,11.7,13.6,8.6,12.0,11.4,14.2,19.2,9.5,5.5,8.8,7.6,7.6,9.8,11.5,12.0,19.2,16
12 VWDR °,ALPINE,48,29,34,92,82,26,89,223,280,288,299,288,282,277,274,270,288,296,57,96,329,73,101,100,0,329,20
,CHULA VISTA,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,0,M,M
,DOWNTOWN SES,3,3,29,339,339,342,344,339,305,274,296,287,295,303,302,276,298,341,346,326,326,344,340,328,0,346,18
,EL CAJON LES,96,212,234,112,114,136,235,18,355,282,246,291,295,256,269,314,303,300,294,9,256,111,338,357,0,357,23
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,0,,
,KEARNY MESA,313,353,27,320,324,348,329,317,327,315,317,317,303,292,307,312,323,324,323,303,287,316,347,321,0,353,01
,OTAY MESA DVN,93,105,133,118,16,44,161,336,300,301,296,283,298,307,296,303,302,313,310,156,332,3,158,193,0,336,07
,PENDLETON,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,0,<,<
13 SIGTHETA °,ALPINE,22,32,37,38,13,21,28,38,26,29,26,28,27,27,27,27,27,22,22,17,35,28,18,45,28,45,23
,CHULA VISTA,17,34,31,31,26,18,59,44,49,22,28,21,18,19,21,22,21,29,33,25,23,32,18,34,28,59,06
,DOWNTOWN SES,19,47,41,31,11,14,31,38,50,18,21,19,23,28,30,22,27,27,19,18,21,20,28,23,26,50,08
,EL CAJON LES,34,52,39,45,22,32,20,45,39,38,38,25,19,23,21,21,20,16,31,35,22,32,29,19,30,52,01
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,8,9,12,28,10,6,14,14,16,17,14,15,13,13,12,16,13,13,43,20,10,11,14,23,15,43,18
,OTAY MESA DVN,25,18,12,13,32,35,33,21,19,14,13,15,13,13,13,10,10,12,22,22,27,23,33,20,20,35,05
,PENDLETON,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,,<,<
14 VWSP MPH,ALPINE,1.1,.9,1.0,1.8,2.2,1.3,1.4,1.0,3.0,4.7,5.7,6.0,7.0,8.3,8.2,6.7,4.5,3.2,.5,2.0,1.3,.7,1.9,1.3,.0,8.3,13
,CHULA VISTA,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,.0,M,M
,DOWNTOWN SES,1.2,1.2,.5,1.8,3.8,4.3,2.1,1.5,2.1,5.8,6.1,7.2,8.2,6.3,5.8,5.5,4.5,4.0,3.1,3.2,4.0,4.1,3.4,2.9,.0,8.2,12
,EL CAJON LES,.6,.1,.4,.8,.2,.4,1.0,.5,.8,2.5,3.7,7.7,10.9,8.0,8.3,7.3,5.8,6.4,2.4,.4,2.1,1.4,1.6,1.5,.0,10.9,12
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,.0,,
,KEARNY MESA,2.9,4.9,4.2,2.9,3.7,5.5,5.3,4.9,5.0,6.8,9.0,10.7,13.6,12.7,12.6,10.3,9.6,5.3,2.5,3.3,3.8,5.4,4.9,2.8,.0,13.6,12
,OTAY MESA DVN,1.4,1.5,3.6,2.9,.7,2.0,1.2,1.6,3.2,4.8,8.0,10.5,10.4,9.2,8.1,9.2,9.3,7.0,4.1,3.4,.9,1.9,2.4,1.4,.0,10.5,11
,PENDLETON,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,.0,<,<
15 SWSP MPH,ALPINE,1.3,1.3,2.3,2.1,2.2,1.4,1.8,1.4,3.4,5.3,6.2,6.8,7.7,9.1,9.0,7.4,4.9,3.5,1.6,2.1,1.6,1.6,2.0,1.4,3.6,9.1,13
,CHULA VISTA,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,,M,M
,DOWNTOWN SES,1.4,1.5,.8,1.9,3.8,4.4,2.3,1.9,2.7,6.2,6.6,7.6,8.9,7.1,6.5,5.8,5.1,4.8,3.3,3.4,4.3,4.3,3.7,3.2,4.2,8.9,12
,EL CAJON LES,.6,.1,.7,1.0,.5,.7,1.1,.8,1.5,3.0,4.6,8.6,11.5,8.8,8.8,7.7,6.3,6.8,3.1,1.3,2.8,1.8,1.7,1.6,3.6,11.5,12
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,2.9,5.0,4.3,3.2,3.9,5.6,5.4,5.1,5.2,7.3,9.3,11.1,14.0,13.0,12.9,10.7,10.1,5.5,2.8,3.9,3.9,5.6,5.1,2.9,6.6,14.0,12
,OTAY MESA DVN,1.5,1.8,3.7,3.0,1.3,4.6,1.2,1.7,3.3,4.9,8.2,10.9,10.7,9.4,8.3,9.3,9.4,7.2,4.4,4.3,2.9,2.2,2.5,1.5,4.9,10.9,11
,PENDLETON,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,,<,<
16 AMBTEMP °F,ALPINE,80.3,79.4,77.3,77.3,78.8,79.2,78.5,84.2,87.5,90.8,92.1,M,96.4,95.1,91.4,87.8,85.2,81.4,78.6,77.5,77.8,76.5,75.1,75.1,82.8,96.4,12
,CARMEL MT RCH,71.8,71.7,71.0,70.6,71.2,71.4,73.6,76.3,82.5,86.9,89.5,91.5,92.1,89.3,84.2,83.1,80.5,76.6,74.7,74.5,73.1,70.5,68.2,68.2,77.6,92.1,12
