,OTAY MESA DVN,347,347,4,10,16,20,358,330,314,316,296,292,289,289,289,285,283,281,294,354,16,350,357,157,0,358,06
,PENDLETON,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,0,<,<
13 SIGTHETA °,ALPINE,45,55,62,48,50,46,68,25,33,31,40,42,38,35,32,30,29,29,39,34,60,53,33,50,42,68,06
,CHULA VISTA,18,19,15,15,19,19,22,38,64,30,19,20,20,21,21,18,21,17,16,18,18,18,20,13,22,64,08
,DOWNTOWN SES,19,19,23,17,26,21,25,26,42,25,22,15,17,22,17,17,22,25,23,24,20,17,20,24,22,42,08
,EL CAJON LES,16,22,16,20,47,33,27,35,49,61,72,49,38,23,23,24,21,20,19,15,16,18,24,25,30,72,10
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,9,8,7,9,15,24,15,17,30,23,27,30,16,15,17,12,13,10,9,9,9,10,14,9,15,30,08
,OTAY MESA DVN,16,17,19,18,18,21,19,17,29,22,18,16,15,15,15,15,13,11,27,22,18,17,23,44,19,44,23
,PENDLETON,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,,<,<
14 VWSP MPH,ALPINE,1.1,1.1,.3,.4,.6,.4,.4,2.6,2.7,3.6,2.9,3.5,4.4,4.8,5.2,4.9,4.2,2.4,1.1,.3,.6,.5,.5,.6,.0,5.2,14
,CHULA VISTA,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,.0,M,M
,DOWNTOWN SES,3.1,3.4,2.2,2.5,2.4,2.5,2.9,3.1,2.7,6.0,8.1,9.9,10.9,9.5,10.7,9.0,7.1,5.8,5.4,4.2,3.8,3.4,2.4,1.8,.0,10.9,12
,EL CAJON LES,3.5,2.3,2.5,1.6,.5,.6,1.1,2.6,2.2,2.2,1.6,2.4,4.0,6.5,6.4,5.1,5.5,5.0,4.3,4.3,4.5,3.3,1.6,1.6,.0,6.5,13
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,.0,,
,KEARNY MESA,3.7,4.1,3.1,3.0,3.3,1.6,3.0,5.7,4.5,6.5,6.8,7.5,10.3,11.8,10.4,10.3,9.1,8.1,7.0,4.4,4.5,4.1,3.1,4.4,.0,11.8,13
,OTAY MESA DVN,1.4,1.6,2.3,1.2,1.6,.8,1.6,3.9,3.7,6.4,8.6,9.8,9.9,10.6,9.6,9.2,7.3,7.4,3.5,1.4,1.1,2.3,2.4,.0,.0,10.6,13
,PENDLETON,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,.0,<,<
15 SWSP MPH,ALPINE,1.6,1.4,1.1,.6,.8,1.0,1.3,2.9,3.2,4.1,4.0,4.3,5.3,5.7,6.0,5.6,4.7,2.8,1.4,1.6,1.0,.8,1.2,1.0,2.6,6.0,14
,CHULA VISTA,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,,M,M
,DOWNTOWN SES,3.3,3.5,2.4,2.6,2.6,2.7,3.3,3.9,3.7,6.5,8.7,10.2,11.3,10.2,11.2,9.4,7.8,6.2,5.8,4.5,4.0,3.6,2.5,1.9,5.5,11.3,12
,EL CAJON LES,3.7,2.5,2.6,1.7,.8,.8,1.2,3.1,3.2,3.4,3.0,3.9,4.9,7.3,7.0,5.7,5.9,5.3,5.0,4.5,4.6,3.5,1.8,1.7,3.6,7.3,13
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,3.7,4.1,3.2,3.1,3.4,1.7,3.2,6.0,5.2,7.1,7.4,8.2,10.8,12.2,10.9,10.6,9.4,8.2,7.1,4.5,4.5,4.2,3.2,4.5,6.1,12.2,13
,OTAY MESA DVN,1.5,1.7,2.4,1.3,1.8,.9,1.7,4.0,4.1,6.9,9.1,10.2,10.3,11.0,9.9,9.5,7.5,7.5,3.7,1.7,1.2,2.4,2.6,.0,4.7,11.0,13
,PENDLETON,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,,<,<
16 AMBTEMP °F,ALPINE,63.5,60.5,58.2,58.8,58.6,57.2,59.4,63.3,65.3,68.5,72.3,75.8,79.5,80.9,80.4,78.4,75.0,70.4,65.7,63.4,61.5,59.1,58.3,59.0,66.4,80.9,13
,CARMEL MT RCH,61.7,61.1,60.7,60.6,60.7,61.5,62.0,63.5,65.8,68.8,72.6,75.2,75.5,75.2,74.7,73.1,70.3,66.4,63.6,62.4,62.3,62.3,61.5,61.3,66.0,75.5,12
,CHULA VISTA,65.9,65.2,64.2,63.6,63.2,63.0,64.3,66.0,68.8,71.1,72.1,72.8,72.4,73.2,72.4,70.6,70.0,68.0,66.5,65.9,65.1,64.7,64.1,63.6,67.4,73.2,13
,DOWNTOWN SES,63.3,62.9,63.1,63.4,63.4,63.5,63.8,64.5,66.2,67.7,68.7,69.0,68.8,68.7,67.3,67.0,65.9,64.2,62.8,62.9,62.7,63.0,62.9,62.8,64.9,69.0,11
,EL CAJON LES,64.2,63.8,63.0,62.3,61.4,60.9,61.6,65.6,68.3,71.9,75.9,79.8,82.2,83.1,81.3,79.7,76.8,72.0,67.6,65.4,64.5,63.6,63.1,62.6,69.2,83.1,13
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,63.4,63.0,62.7,61.6,61.4,63.2,64.9,66.1,68.3,70.5,73.0,74.6,74.5,73.4,72.8,71.3,69.0,66.2,63.9,63.1,62.8,63.5,63.3,63.6,66.7,74.6,11
,OTAY MESA DVN,62.9,62.7,61.6,60.6,60.4,60.4,60.8,64.3,68.0,70.8,73.7,74.2,74.4,73.8,72.7,71.3,69.4,65.9,63.2,62.4,62.0,61.3,61.1,60.2,65.8,74.4,12
,PENDLETON,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,<,,<,<
17 RELHUM %,ALPINE,71,86,96,92,93,96,89,80,76,70,62,49,37,34,38,43,48,58,73,80,85,93,93,91,72,96,02
,EL CAJON LES,78,79,81,83,85,86,84,76,70,63,55,47,43,42,44,46,50,60,70,76,79,82,84,85,69,86,05
,KEARNY MESA,84,86,87,88,89,86,83,79,74,68,62,59,60,60,61,63,70,77,85,87,88,87,87,86,77,89,04
18 PRES mmHg,EL CAJON LES,750,750,750,750,750,750,750,751,751,751,751,750,750,749,749,749,748,748,749,749,750,750,750,750,750,751,07
,KEARNY MESA,751,751,751,750,751,751,751,751,752,752,752,751,751,751,750,750,750,750,750,750,750,750,750,750,751,752,08
19 SOLAR W/M2,EL CAJON LES,-4,-5,-5,-5,-5,1,101,332,516,691,800,847,828,743,602,414,204,29,-7,-6,-5,-6,-6,-5,252,847,11
,KEARNY MESA,-1,-1,-1,-1,-1,3,53,167,475,651,753,797,779,706,586,424,229,48,-1,-1,-1,-1,-1,-1,236,797,11
25 NOY,EL CAJON LES,2.73,3.10,3.02,3.03,3.91,C,C,5.31,4.21,4.25,4.41,4.23,3.95,3.90,3.69,3.73,3.55,3.58,3.45,3.60,3.33,3.88,3.31,3.31,3.70,5.31,07
26 NOY-NO,EL CAJON LES,2.72,3.10,3.01,3.01,3.88,C,C,4.12,3.41,3.58,3.88,3.84,3.56,3.63,3.22,3.31,3.19,3.25,3.35,3.56,3.27,3.81,3.19,3.25,3.41,4.12,07
27 NO Trace,EL CAJON LES,.01,.00,.01,.02,.03,C,C,1.18,.79,.67,.53,.39,.38,.27,.46,.42,.35,.33,.10,.03,.06,.06,.12,.06,.28,1.18,07
28 SO2 Tr PPB,EL CAJON LES,.0,.1,C,C,C,.0,.0,.0,.0,.0,.1,.1,.1,.1,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.1,01
29 CO Tr PPB,EL CAJON LES,172.0,172.0,C,C,C,241.3,265.3,219.5,207.0,228.5,232.3,223.4,216.6,221.5,210.2,211.2,207.1,204.4,201.3,196.9,200.6,197.1,204.3,207.6,211.4,265.3,06
BCarbon ug/m3,10TH AVE MARINE TERM,.18,.12,.14,.16,.16,.18,.24,.27,.53,.48,.42,.59,.60,.42,.38,.37,.51,.32,.34,.41,.40,.40,.19,.25,.34,.60,12
,ALPINE,.49,.34,.27,.28,.28,.35,.52,.33,.26,.23,.24,.27,.29,.28,.30,.30,.30,.25,.22,.24,.32,.28,.45,.28,.31,.52,06
,CHICANO PARK,.14,.14,.12,.18,.19,.25,.35,.35,.45,.45,.63,.47,.40,.41,.23,.27,.27,.27,.30,.35,.30,.39,.34,.32,.32,.63,10
,DOWNTOWN SES,.15,.15,.13,.15,.15,.20,.28,.28,.33,.40,.42,.47,.36,.27,.18,.19,.21,.38,.32,.34,.27,.33,.28,.65,.29,.65,23
,OCEANVIEW BLVD,.15,.16,.16,.17,.85,.20,.26,.31,.38,.38,.38,.41,.38,.29,.22,.26,.21,.23,.26,.49,.45,.38,.42,.66,.34,.85,04
,SAN YSIDRO,.16,.15,.15,.21,.16,.19,.23,1.00,.32,.28,.24,.23,.21,.15,.12,.13,.12,.12,.18,.38,.37,.36,.33,.59,.27,1.00,07
RAINFALL,EL CAJON LES,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,00
