Current Date:,12/31/2019,6:12 AM,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Daily Parameter Report
12/30/2019
,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Summary
Parameter,Site Name,,,,,,,,,,,,,,,,,,,,,,,,,Avg,Max,Hr. of Max
01 OZONE PPM,ALPINE,.035,.032,C,C,.032,.033,.035,.033,M,M,.037,.036,.036,.036,.035,.035,.029,.029,.035,.036,.039,.044,.045,.044,.035,.045,22
,CHULA VISTA,.012,.016,C,C,.023,.018,.019,.017,.024,.032,.033,.035,.034,.037,.037,.036,.031,.021,.014,.002,.003,.006,.003,.003,.020,.037,13
,DOWNTOWN SES,,,,,,,,,,P,.030,.033,M,M,.033,.026,.022,.021,.013,.006,.002,.002,.002,.004,.016,.033,11
,EL CAJON LES,.002,.010,C,C,C,.001,.002,.006,.002,.005,M,M,.029,.027,.028,.030,.024,.015,.011,.007,.003,.005,.004,.002,.011,.030,15
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.021,.020,C,C,.019,.014,.014,.017,.021,.029,.033,.035,.030,.024,.027,.030,.023,.016,.012,.003,.014,.008,.010,.010,.019,.035,11
,OTAY MESA DVN,.025,.021,C,C,.032,.029,.021,.037,.035,.036,.037,.038,.037,.038,.038,.036,.038,.030,.027,.022,.018,.025,.029,.029,.030,.038,11
,PENDLETON,.022,.018,C,C,.016,.017,.013,.013,.021,.024,.028,.030,M,.036,.033,.032,.024,.020,.030,.022,.032,.034,.038,.038,.025,.038,22
02 NOX PPM,ALPINE,.002,.003,C,C,.002,.004,.004,.004,M,M,.005,.005,.004,.005,.006,.007,.010,.010,.005,.005,.003,.001,.000,.001,.004,.010,16
,CARMEL MT RCH,.018,.016,C,C,.031,.034,.022,.013,.037,.013,.020,.013,.003,.004,.004,.004,.003,.003,.002,.007,.029,.031,.020,.022,.016,.037,08
,CHULA VISTA,.013,.010,C,C,.006,.010,.015,.018,.015,.010,.010,.009,.010,.007,.006,.007,.011,.019,.025,.055,.046,.033,.035,.035,.018,.055,19
,DOWNTOWN SES,,,,,,,,,,P,.013,M,M,M,.013,.020,.022,.022,.030,.038,.045,.055,.045,.038,.031,.055,21
,EL CAJON LES,.022,.009,C,C,C,.021,.026,.025,.057,.055,M,M,.011,.014,.015,.012,.016,.026,.030,.034,.038,.035,.030,.045,.027,.057,08
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.005,.005,C,C,.006,.012,.014,.011,.012,.008,.006,.006,.012,.016,.014,.011,.016,.020,.023,.036,.022,.024,.022,.021,.015,.036,19
,OTAY MESA DVN,.008,.008,C,C,.008,.017,.018,.007,.011,.012,.011,.011,.013,.009,.010,.012,.010,.013,.018,.020,.021,.014,.009,.010,.012,.021,20
,PENDLETON,.004,.005,C,C,.007,.008,.009,.034,.009,.009,.007,.007,.006,.004,.006,.007,.015,.014,.008,.010,.007,.005,.003,.002,.008,.034,07
03 NO2 PPM,ALPINE,.002,.003,C,C,.002,.003,.003,.004,M,M,.004,.004,.004,.004,.005,.005,.009,.009,.005,.004,.003,.001,.000,.000,.004,.009,16
,CARMEL MT RCH,.014,.013,C,C,.020,.020,.013,.011,.022,.008,.011,.008,.002,.003,.003,.003,.003,.003,.002,.006,.021,.024,.018,.018,.011,.024,21
,CHULA VISTA,.013,.010,C,C,.006,.010,.014,.016,.013,.008,.008,.008,.008,.005,.004,.006,.010,.018,.023,.034,.034,.031,.031,.029,.015,.034,19
,DOWNTOWN SES,,,,,,,,,,P,.009,M,M,M,.010,.017,.021,.020,.027,.032,.034,.033,.032,.029,.024,.034,20
,EL CAJON LES,.016,.008,C,C,C,.015,.016,.016,.020,.022,M,M,.009,.011,.011,.011,.015,.022,.025,.027,.028,.027,.026,.027,.019,.028,20
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.005,.005,C,C,.005,.011,.013,.010,.010,.006,.005,.005,.010,.014,.012,.010,.015,.020,.022,.032,.019,.022,.022,.020,.013,.032,19
,OTAY MESA DVN,.005,.005,C,C,.005,.009,.014,.003,.006,.006,.006,.005,.007,.005,.005,.006,.005,.009,.012,.013,.017,.010,.006,.007,.008,.017,20
,PENDLETON,.004,.005,C,C,.006,.007,.008,.016,.007,.006,.006,.005,.005,.003,.005,.007,.015,.014,.008,.010,.006,.005,.003,.002,.007,.016,07
04 NO PPM,ALPINE,.000,.000,C,C,.000,.001,.001,.001,M,M,.001,.001,.001,.001,.001,.001,.001,.000,.000,.000,.000,.000,.000,.000,.001,.001,05
,CARMEL MT RCH,.003,.003,C,C,.011,.014,.009,.002,.016,.005,.008,.005,.001,.001,.001,.001,.001,.001,.000,.001,.008,.007,.002,.004,.005,.016,08
,CHULA VISTA,.000,.000,C,C,.000,.000,.001,.001,.002,.002,.002,.001,.001,.001,.001,.001,.000,.001,.003,.021,.012,.002,.004,.006,.003,.021,19
,DOWNTOWN SES,,,,,,,,,,P,.003,M,M,M,.003,.003,.002,.001,.003,.006,.010,.021,.013,.009,.007,.021,21
,EL CAJON LES,.006,.000,C,C,C,.006,.010,.009,.037,.034,M,M,.002,.003,.004,.002,.001,.004,.006,.007,.010,.007,.004,.018,.009,.037,08
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.000,.000,C,C,.000,.001,.001,.001,.002,.002,.001,.001,.002,.002,.002,.001,.001,.001,.001,.004,.003,.002,.001,.001,.001,.004,19
,OTAY MESA DVN,.003,.003,C,C,.003,.008,.004,.003,.005,.006,.005,.005,.006,.005,.005,.006,.006,.004,.006,.006,.005,.004,.003,.003,.005,.008,05
,PENDLETON,.000,.000,C,C,.001,.001,.001,.018,.002,.003,.001,.001,.001,.000,.001,.000,.000,.000,.000,.000,.000,.000,.000,.000,.001,.018,07
06 CO PPM,CARMEL MT RCH,.9,1.4,C,C,C,.6,.5,.4,.6,.3,.3,.2,.2,.2,.2,.4,.2,.2,.1,.3,.9,.7,1.2,.8,.5,1.4,01
10 INTMP °C,ALPINE,27,27,27,27,27,27,27,27,26,24,25,26,26,26,26,26,26,26,27,27,27,27,27,27,26,27,00
,CARMEL MT RCH,26,26,26,26,26,26,26,26,26,26,26,25,26,26,26,26,26,26,27,26,26,27,27,27,26,27,18
,CHULA VISTA,22,22,22,22,22,22,22,22,22,22,23,23,24,24,23,23,24,24,24,25,23,22,22,22,23,25,19
,DOWNTOWN SES,,,,,,,,,,P,25,26,25,26,25,25,26,26,26,26,27,27,27,27,26,27,20
,EL CAJON LES,27,27,28,28,28,28,28,28,27,27,27,27,27,26,26,27,26,27,27,27,27,27,27,27,27,28,02
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,25,25,25,25,25,25,25,25,25,25,25,24,24,24,25,24,24,24,24,25,25,25,25,25,25,25,00
,OTAY MESA DVN,26,26,26,26,26,26,26,26,26,26,26,27,26,26,26,26,26,26,26,26,26,26,26,26,26,27,11
,PENDLETON,25,25,25,26,25,25,24,24,24,25,25,25,24,25,25,25,26,26,26,26,26,26,27,27,25,27,22
11 PM2.5 µg/M3,ALPINE,2.5,3.9,3.9,2.5,2.3,3.2,1.1,-.7,-1.5,-7.7,-5.0,7.1,6.6,4.4,5.7,6.4,3.4,2.5,6.8,5.2,2.9,1.6,2.8,2.4,2.5,7.1,11
,DOWNTOWN SES,,,,,,,,,,4.3,4.7,3.0,2.1,2.2,3.1,4.5,4.2,5.9,8.0,11.2,10.4,17.6,16.8,19.2,7.8,19.2,23
,EL CAJON LES,18.2,9.4,12.1,13.6,7.5,11.6,9.6,6.4,15.8,16.6,6.7,4.0,4.4,6.3,6.8,6.4,5.4,8.4,21.4,29.4,34.7,37.8,18.0,23.5,13.9,37.8,21
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OTAY MESA DVN,11.0,11.7,19.6,7.7,5.4,5.5,4.8,M,3.5,7.1,7.7,5.2,4.3,M,1.5,9.2,6.4,9.1,7.1,8.8,6.6,3.4,3.1,3.0,6.8,19.6,02
,PENDLETON,8.4,11.0,9.1,7.3,7.8,8.2,8.1,6.9,4.1,1.6,3.3,3.8,6.0,3.8,1.5,1.3,6.0,5.3,2.6,5.6,3.2,1.0,.0,-2.6,4.7,11.0,01
12 VWDR °,ALPINE,335,77,82,78,96,56,358,80,241,263,278,311,261,290,343,352,286,340,27,19,341,38,67,69,0,358,06
,CHULA VISTA,60,85,89,91,93,77,93,106,126,131,133,140,133,135,133,132,124,260,125,126,105,89,63,87,0,260,17
,DOWNTOWN SES,,,,,,,,,,P,133,143,158,128,256,281,277,305,328,340,89,32,38,32,0,340,19
,EL CAJON LES,114,70,224,116,213,223,96,204,236,203,317,222,227,230,258,263,260,236,201,84,56,122,321,295,0,321,22
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,0,,
,KEARNY MESA,59,64,61,66,65,53,60,71,77,126,176,340,272,268,265,285,287,309,273,290,51,118,84,62,0,340,11
,OTAY MESA DVN,76,124,131,118,117,135,128,109,133,138,138,126,132,124,126,123,108,126,68,65,75,46,43,45,0,138,09
,PENDLETON,63,50,52,59,53,58,59,53,44,31,21,18,5,333,23,330,343,26,41,48,32,29,25,29,0,343,16
13 SIGTHETA °,ALPINE,47,20,36,47,18,48,15,40,47,25,49,33,27,29,47,42,43,43,58,59,58,45,36,38,40,59,19
