Current Date:,12/20/2019,6:12 AM,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Daily Parameter Report
12/19/2019
,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Summary
Parameter,Site Name,,,,,,,,,,,,,,,,,,,,,,,,,Avg,Max,Hr. of Max
01 OZONE PPM,ALPINE,.039,.039,C,C,.045,.039,.038,.036,.031,.038,.039,.042,.041,.042,.043,.040,.032,.027,.026,.033,.037,.038,.043,.045,.037,.045,04
,CHULA VISTA,.012,.018,C,C,.014,.017,.011,.009,.017,.024,.026,.031,.027,.036,.035,.033,.027,.016,.002,.002,.003,.003,.002,.007,.016,.036,13
,DOWNTOWN SES,.017,.021,C,C,.011,.010,.002,.002,.012,.020,.018,M,M,M,M,M,.027,.023,.017,.009,.003,.002,.002,.001,.011,.027,16
,EL CAJON LES,.002,.002,C,C,C,.001,.001,.002,.004,.010,.019,.033,.038,.039,.036,.033,.026,.010,.003,.004,.004,.002,.002,.001,.012,.039,13
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.022,.024,C,C,.020,.017,.014,.017,.020,.024,.037,.037,.036,.037,.039,.037,.031,.019,.009,.010,.008,.007,.008,.013,.022,.039,14
,OTAY MESA DVN,.014,.016,C,C,.010,.008,.007,.005,.008,.015,M,.031,.040,.033,.035,.033,.029,.019,.013,.011,.015,.020,.027,.027,.019,.040,12
,PENDLETON,.019,.015,C,C,.017,.013,.009,.011,.016,.022,.027,.029,.032,.029,M,.031,.030,.022,.011,.015,.012,.009,.007,.011,.018,.032,12
02 NOX PPM,ALPINE,.003,.002,C,C,.001,.004,.005,.011,.017,.009,.008,.005,.006,.006,.006,.008,.013,.016,.017,.009,.005,.005,.003,.001,.007,.017,08
,CARMEL MT RCH,.038,.046,C,C,.054,.084,.067,.108,.076,.028,.036,.039,.033,.033,.039,.030,.038,.048,.051,.040,.047,.040,.038,.049,.048,.108,07
,CHULA VISTA,.021,.014,C,C,.015,.013,.021,.032,.026,.017,.019,.017,.030,.015,.015,.017,.020,.029,.065,.057,.039,.041,.045,.027,.027,.065,18
,DOWNTOWN SES,.017,.011,C,C,.017,.022,.046,.088,.042,.027,.045,M,M,M,M,M,.018,.022,.025,.032,.053,.065,.068,.064,.039,.088,07
,EL CAJON LES,.033,.035,C,C,C,.051,.071,.098,.091,.060,.039,.018,.010,.009,.013,.014,.019,.036,.048,.037,.039,.040,.043,.040,.040,.098,07
