Current Date:,12/12/2019,6:12 AM,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Daily Parameter Report
12/11/2019
,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Summary
Parameter,Site Name,,,,,,,,,,,,,,,,,,,,,,,,,Avg,Max,Hr. of Max
01 OZONE PPM,ALPINE,.037,.038,C,C,.042,.042,.041,.032,.029,.033,.040,.041,.040,.039,.040,.040,.032,.027,.025,.030,.033,.033,.035,.036,.035,.042,04
,CHULA VISTA,.001,.003,C,C,.001,.001,.001,.005,.012,.017,.018,.019,.027,.035,.033,.023,.016,.019,.012,.008,.002,.001,.001,.003,.011,.035,13
,DOWNTOWN SES,.002,.009,C,C,.001,.001,.001,.002,.004,.015,.021,.030,.032,.034,.030,.029,.030,.028,.019,.008,.003,.002,.001,.001,.013,.034,13
,EL CAJON LES,.001,.001,C,C,C,.001,.001,.001,.004,.008,.017,.029,.032,.038,.039,.034,.029,.017,.005,.002,.002,.002,.001,.001,.012,.039,14
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,P,.005,C,C,.004,.003,.001,.002,.012,.020,.026,M,.033,.036,.034,.030,.030,.027,.018,.005,.004,.006,.009,.006,.015,.036,13
,OTAY MESA DVN,.002,.005,C,C,.006,.013,.010,.013,.009,.011,.021,.031,.033,.034,.036,.031,.025,.016,.016,.002,.002,.007,.002,.007,.015,.036,14
,PENDLETON,.007,.005,C,C,.006,.005,.004,.005,.010,.014,.020,.023,.025,.025,.023,.025,.024,.021,.015,.012,.007,.006,.003,.003,.013,.025,12
02 NOX PPM,ALPINE,.002,.002,C,C,.001,.001,.003,.009,.010,.008,.002,.003,.004,.005,.006,.006,.010,.013,.012,.007,.006,.005,.005,.003,.006,.013,17
,CARMEL MT RCH,.027,.028,C,C,.046,.068,.079,.083,.027,.047,.043,.032,.031,.034,.037,.035,.040,.045,.047,.041,.040,.035,.033,.043,.043,.083,07
,CHULA VISTA,.034,.020,C,C,.021,.029,.040,.035,.023,.020,.027,.031,.017,.015,.017,.027,.030,.024,.030,.031,.036,.042,.046,.028,.028,.046,22
,DOWNTOWN SES,.030,.022,C,C,.026,.036,.047,.070,.073,.029,.021,.013,.017,.018,.020,.019,.017,.020,.026,.034,.040,.040,.048,.046,.032,.073,08
,EL CAJON LES,.033,.034,C,C,C,.032,.061,.067,.062,.047,.029,.013,.011,.007,.009,.013,.018,.025,.032,.037,.031,.032,.031,.026,.031,.067,07
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,P,.019,C,C,.021,.031,.042,.051,.024,.019,.012,M,.012,.011,.014,.018,.015,.017,.019,.028,.026,.024,.019,.017,.022,.051,07
,OTAY MESA DVN,.057,.031,C,C,.029,.020,.024,.026,.076,.067,.037,.012,.014,.017,.015,.017,.020,.031,.029,.073,.062,.040,.044,.032,.035,.076,08
,PENDLETON,.015,.012,C,C,.012,.016,.024,.018,.017,.016,.015,.014,.015,.021,.029,.025,.019,.019,.023,.026,.025,.025,.025,.023,.020,.029,14
03 NO2 PPM,ALPINE,.002,.002,C,C,.001,.001,.003,.007,.007,.006,.002,.002,.003,.004,.005,.005,.010,.013,.012,.007,.005,.005,.004,.003,.005,.013,17
,CARMEL MT RCH,.018,.017,C,C,.020,.023,.023,.024,.014,.020,.019,.015,.015,.017,.020,.022,.026,.028,.030,.028,.030,.027,.025,.025,.022,.030,18
,CHULA VISTA,.019,.016,C,C,.014,.018,.019,.018,.013,.012,.016,.019,.012,.012,.014,.022,.027,.021,.027,.028,.029,.025,.026,.024,.020,.029,20
,DOWNTOWN SES,.025,.020,C,C,.018,.018,.021,.023,.028,.017,.013,.010,.013,.014,.017,.016,.016,.019,.024,.031,.031,.030,.029,.026,.021,.031,19
,EL CAJON LES,.016,.014,C,C,C,.010,.010,.012,.019,.020,.017,.010,.009,.006,.007,.011,.017,.023,.028,.028,.024,.022,.020,.017,.016,.028,18
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,P,.017,C,C,.016,.017,.022,.019,.013,.012,.008,M,.009,.009,.012,.015,.014,.016,.018,.026,.023,.023,.018,.016,.016,.026,19
,OTAY MESA DVN,.034,.024,C,C,.023,.015,.019,.014,.025,.030,.022,.008,.010,.012,.012,.014,.018,.025,.024,.039,.037,.029,.034,.027,.023,.039,19
,PENDLETON,.013,.011,C,C,.010,.012,.014,.011,.009,.009,.009,.009,.010,.015,.021,.019,.018,.019,.023,.025,.024,.022,.021,.019,.016,.025,19
04 NO PPM,ALPINE,.000,.000,C,C,.000,.000,.000,.002,.003,.002,.000,.000,.001,.001,.001,.001,.000,.000,.001,.000,.001,.000,.001,.000,.001,.003,08
,CARMEL MT RCH,.010,.011,C,C,.026,.045,.057,.059,.013,.028,.024,.017,.016,.016,.016,.013,.015,.017,.017,.014,.011,.009,.008,.018,.021,.059,07
,CHULA VISTA,.015,.003,C,C,.007,.012,.021,.017,.010,.008,.011,.012,.005,.003,.003,.005,.003,.002,.003,.003,.007,.017,.020,.004,.009,.021,06
,DOWNTOWN SES,.005,.001,C,C,.007,.017,.025,.047,.045,.012,.008,.004,.004,.004,.004,.003,.001,.001,.003,.004,.008,.010,.019,.020,.011,.047,07
,EL CAJON LES,.017,.020,C,C,C,.022,.053,.055,.042,.026,.012,.004,.003,.001,.001,.002,.001,.003,.004,.010,.007,.009,.011,.008,.015,.055,07
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,P,.002,C,C,.005,.013,.020,.033,.011,.007,.004,M,.003,.003,.002,.003,.001,.001,.001,.003,.003,.002,.001,.001,.006,.033,07
,OTAY MESA DVN,.023,.007,C,C,.006,.005,.005,.011,.050,.037,.016,.004,.005,.005,.003,.003,.002,.006,.005,.034,.025,.012,.010,.006,.013,.050,08
,PENDLETON,.002,.001,C,C,.003,.004,.010,.008,.008,.007,.005,.005,.004,.006,.008,.006,.001,.000,.000,.001,.002,.003,.004,.004,.004,.010,06
06 CO PPM,CARMEL MT RCH,.6,.7,C,C,C,1.9,2.0,1.5,1.3,.9,.5,.4,.5,.6,.7,.6,.6,.7,.8,.9,1.1,1.3,.9,1.7,1.0,2.0,06
10 INTMP °C,ALPINE,27,27,27,27,27,27,27,27,26,25,25,24,24,24,25,25,25,26,26,26,27,27,26,26,26,27,00
,CARMEL MT RCH,27,27,27,27,27,27,26,26,26,25,25,25,25,26,26,25,25,26,26,27,26,26,27,27,26,27,00
