Current Date:,12/21/2019,6:12 AM,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Daily Parameter Report
12/20/2019
,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Summary
Parameter,Site Name,,,,,,,,,,,,,,,,,,,,,,,,,Avg,Max,Hr. of Max
01 OZONE PPM,ALPINE,.045,.046,C,C,.047,.045,.044,.041,.037,.044,.045,.045,.045,.047,.046,.044,.037,.036,.038,.038,.042,.044,.045,.047,.043,.047,04
,CHULA VISTA,.011,.014,C,C,.015,.018,.002,.008,.015,.017,.037,.033,.033,.028,.028,.021,.009,.004,.002,.002,.002,.002,.002,.005,.014,.037,10
,DOWNTOWN SES,.003,.003,C,C,.006,.003,.001,.002,.008,.011,.010,.013,.023,.028,.028,.028,.017,.002,.001,.002,.002,.003,.002,.002,.009,.028,13
,EL CAJON LES,.001,.001,C,C,C,.001,.001,.002,.005,.007,.013,.032,.039,.041,.043,.037,.016,.005,.003,.004,.004,.002,.002,.002,.012,.043,14
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.019,.019,C,C,.020,.011,.006,.007,.022,.027,.039,.042,.043,.042,.039,.033,.019,.010,.002,.002,.005,.018,.017,.026,.021,.043,12
,OTAY MESA DVN,.031,.035,C,C,.034,.037,.033,.034,.033,.037,.036,.042,.044,.045,.044,.037,.019,.006,.015,.025,.032,.030,.019,.018,.031,.045,13
,PENDLETON,.011,.009,C,C,.014,.012,.008,.014,.018,.021,.028,.024,.030,.029,M,.022,.008,.000,.000,.003,.015,.016,.018,.022,.015,.030,12
02 NOX PPM,ALPINE,.001,.001,C,C,.001,.002,.003,.007,.010,.002,.001,.002,.003,.002,.003,.005,.010,.011,.008,.007,.006,.003,.002,.001,.004,.011,17
,CARMEL MT RCH,.032,.053,C,C,.015,.027,.082,.057,.069,.023,.035,.061,.035,.041,.038,.044,.046,.016,.040,.053,.063,.061,.043,.022,.043,.082,06
,CHULA VISTA,.020,.019,C,C,.017,.017,.051,.052,.030,.037,.009,.017,.022,.036,.031,.038,.048,.052,.092,.086,.097,.088,.051,.037,.043,.097,20
,DOWNTOWN SES,.040,.030,C,C,.029,.038,.053,.099,.065,.059,.095,.089,.051,.032,.032,.026,.035,.058,.089,.107,.132,.097,.076,.048,.063,.132,20
,EL CAJON LES,.047,.049,C,C,C,.049,.065,.080,.064,.081,.062,.023,.011,.008,.008,.015,.033,.044,.055,.054,.041,.048,.050,.051,.045,.081,09
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.013,.012,C,C,.011,.023,.038,.043,.018,.020,.009,.007,.009,.011,.014,.018,.027,.037,.055,.050,.039,.021,.021,.011,.023,.055,18
,OTAY MESA DVN,.016,.007,C,C,.012,.007,.012,.015,.012,.008,.014,.006,.006,.007,.009,.016,.035,.055,.038,.023,.013,.017,.030,.028,.018,.055,17
,PENDLETON,.015,.014,C,C,.011,.018,.030,.017,.017,.015,.010,.016,.007,.009,.008,.015,.047,.068,.086,.057,.019,.018,.013,.010,.024,.086,18
03 NO2 PPM,ALPINE,.001,.001,C,C,.001,.002,.003,.005,.007,.002,.001,.002,.003,.002,.003,.005,.009,.010,.007,.007,.004,.003,.002,.001,.004,.010,17
,CARMEL MT RCH,.025,.032,C,C,.013,.021,.041,.033,.032,.015,.020,.030,.019,.022,.022,.026,.027,.012,.031,.036,.040,.037,.030,.019,.027,.041,06
,CHULA VISTA,.019,.018,C,C,.017,.016,.033,.026,.020,.021,.007,.013,.016,.026,.024,.030,.041,.043,.042,.041,.038,.035,.033,.030,.027,.043,17
,DOWNTOWN SES,.029,.026,C,C,.023,.026,.030,.032,.030,.029,.041,.045,.031,.023,.024,.022,.030,.042,.043,.043,.041,.041,.038,.035,.033,.045,11
,EL CAJON LES,.023,.021,C,C,C,.017,.018,.020,.026,.032,.032,.016,.009,.007,.007,.014,.030,.037,.037,.032,.030,.028,.027,.026,.023,.037,17
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.013,.012,C,C,.010,.020,.029,.027,.013,.013,.007,.006,.007,.009,.012,.015,.024,.033,.037,.034,.034,.020,.021,.011,.019,.037,18
,OTAY MESA DVN,.012,.005,C,C,.008,.005,.007,.010,.007,.005,.009,.004,.004,.005,.006,.012,.029,.042,.030,.018,.010,.012,.022,.022,.013,.042,17
,PENDLETON,.013,.013,C,C,.009,.015,.023,.014,.011,.010,.007,.010,.005,.006,.007,.013,.042,.053,.051,.040,.018,.015,.012,.009,.018,.053,17
04 NO PPM,ALPINE,.000,.000,C,C,.000,.000,.000,.002,.004,.000,.000,.000,.001,.000,.000,.000,.001,.001,.001,.000,.002,.000,.000,.000,.001,.004,08
,CARMEL MT RCH,.007,.021,C,C,.001,.005,.041,.024,.037,.008,.015,.031,.016,.019,.017,.019,.019,.004,.009,.017,.023,.024,.013,.003,.017,.041,06
,CHULA VISTA,.001,.001,C,C,.000,.000,.018,.026,.010,.016,.002,.004,.006,.010,.007,.007,.007,.008,.050,.045,.058,.052,.019,.007,.016,.058,20
,DOWNTOWN SES,.011,.004,C,C,.005,.012,.022,.067,.035,.030,.054,.044,.019,.009,.008,.004,.004,.016,.046,.063,.092,.056,.038,.013,.030,.092,20
,EL CAJON LES,.025,.027,C,C,C,.032,.047,.060,.039,.049,.031,.007,.002,.001,.001,.002,.003,.007,.018,.022,.011,.020,.022,.024,.021,.060,07
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.000,.000,C,C,.000,.003,.010,.015,.005,.006,.002,.001,.002,.002,.002,.002,.003,.004,.019,.016,.006,.000,.000,.000,.004,.019,18
,OTAY MESA DVN,.004,.001,C,C,.004,.002,.005,.005,.005,.003,.004,.002,.002,.002,.002,.004,.006,.014,.008,.004,.003,.005,.007,.005,.004,.014,17
,PENDLETON,.002,.001,C,C,.002,.003,.007,.004,.005,.005,.003,.006,.002,.003,.002,.003,.005,.015,.035,.017,.001,.003,.001,.001,.006,.035,18
06 CO PPM,CARMEL MT RCH,1.3,2.0,C,C,C,1.0,1.3,1.9,1.3,.8,.4,.7,.7,.7,.8,.8,1.0,.4,.9,1.0,1.3,1.4,.9,.6,1.0,2.0,01
10 INTMP °C,ALPINE,27,27,27,27,27,27,27,27,26,25,25,24,24,25,25,25,25,25,25,26,26,26,26,26,26,27,00
,CARMEL MT RCH,26,26,26,26,26,26,26,25,26,25,24,25,25,25,25,25,25,26,26,26,27,26,26,27,26,27,20
,CHULA VISTA,21,21,21,21,21,21,21,21,21,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,22,23,09
,DOWNTOWN SES,26,26,26,26,27,27,27,27,26,25,24,24,24,24,24,24,24,25,25,25,25,25,26,26,25,27,04
,EL CAJON LES,27,27,27,27,27,27,27,27,27,26,27,28,28,27,27,27,25,26,26,26,26,27,27,27,27,28,11
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,25,25,25,25,25,24,24,24,25,24,24,24,24,24,24,24,24,24,25,25,25,25,25,25,25,25,00
,OTAY MESA DVN,26,26,26,26,26,26,26,26,26,26,27,26,26,26,25,24,24,25,25,26,26,26,26,27,26,27,10
,PENDLETON,25,24,25,25,24,24,23,23,24,25,24,24,23,23,23,24,24,25,25,26,25,26,26,25,24,26,19
11 PM2.5 µg/M3,ALPINE,1.1,2.0,5.0,4.1,2.3,5.5,3.2,1.4,1.6,-.9,-3.0,-4.3,-2.7,-.6,-1.5,.6,3.7,3.9,2.5,2.8,3.6,1.5,.5,.6,1.3,5.5,05
,DOWNTOWN SES,13.6,11.2,10.5,13.2,12.8,10.1,13.4,13.7,11.5,9.6,16.3,16.0,M,10.5,8.1,3.9,1.5,6.1,16.1,14.4,23.6,26.4,66.5,12.1,14.8,66.5,22
,EL CAJON LES,23.6,21.6,21.7,19.0,16.5,19.5,17.6,20.2,14.7,21.4,18.4,7.5,4.3,3.0,2.1,5.2,8.2,21.6,18.4,23.5,25.1,29.5,29.1,25.9,17.4,29.5,21
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OTAY MESA DVN,7.3,4.0,7.2,4.8,3.8,M,.4,2.8,4.0,.6,.3,-.3,-1.8,1.2,.6,4.1,6.5,13.0,8.5,6.4,5.0,3.3,5.2,7.1,4.0,13.0,17
