Current Date:,12/3/2019,6:12 AM,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Daily Parameter Report
12/2/2019
,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Summary
Parameter,Site Name,,,,,,,,,,,,,,,,,,,,,,,,,Avg,Max,Hr. of Max
01 OZONE PPM,ALPINE,.037,.037,C,C,.035,.029,.027,.026,.026,.026,.027,.033,.033,.034,.035,.035,.028,.016,.012,.013,.027,.033,.035,.032,.028,.037,00
,CHULA VISTA,.011,.011,C,C,.007,.006,.005,.004,.010,.013,.023,.029,.027,.027,.031,.026,.032,.020,.010,.002,.002,.001,.002,.004,.013,.032,16
,DOWNTOWN SES,.010,.010,C,C,.006,.003,.001,.005,.014,.015,M,.013,.017,.026,.026,.031,.029,.024,.011,.002,.001,.001,.003,.004,.012,.031,15
,EL CAJON LES,.001,.001,C,C,C,.001,.001,.002,.004,.008,.018,.034,.037,.036,.029,.019,.016,.020,.010,.004,.001,.001,.001,.001,.011,.037,12
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.017,.019,C,C,.012,.004,.011,,.020,,.034,.035,.037,.031,.030,.030,.025,.019,.011,.013,.006,.004,.006,.004,.018,.037,12
,OTAY MESA DVN,.021,.024,C,C,.020,.020,.023,.014,.006,.012,.020,.025,.031,.032,.028,.031,.033,.030,.021,.017,.005,.020,.019,.017,.021,.033,16
,PENDLETON,.012,.011,C,C,.008,.007,.007,.010,.010,.021,.027,.024,.023,.023,.026,.027,.028,.029,.014,.008,.010,.013,.011,.009,.016,.029,17
02 NOX PPM,ALPINE,.001,.001,C,C,.001,.004,.004,.008,.010,.007,.010,.005,.007,.008,.008,.008,.013,.025,.025,.023,.008,.005,.002,.003,.008,.025,17
,CARMEL MT RCH,.030,.025,C,C,.051,.050,.088,.058,.030,.092,.015,.028,.035,.034,.042,.037,.035,.032,.034,.036,.042,.049,.041,.037,.042,.092,09
,CHULA VISTA,.015,.014,C,C,.014,.019,.027,.045,.032,.033,.023,.018,.023,.023,.016,.022,.012,.022,.030,.039,.037,.044,.034,.029,.026,.045,07
,DOWNTOWN SES,.019,.016,C,C,.021,.037,.049,.044,.029,.041,M,.063,.052,.028,.025,.018,.017,.018,.031,.045,.066,.046,.039,.033,.035,.066,20
,EL CAJON LES,.025,.029,C,C,C,.030,.041,.067,.057,.045,.027,.011,.008,.009,.018,.029,.029,.021,.027,.033,.038,.040,.042,.037,.032,.067,07
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.010,.006,C,C,.011,.027,.016,,.016,,.008,.010,.012,.015,.016,.015,.017,.021,.025,.019,.024,.024,.023,.023,.017,.027,05
,OTAY MESA DVN,.012,.008,C,C,.012,.013,.012,.032,.103,.065,.048,.047,.041,.029,.023,.019,.013,.014,.023,.027,.081,.020,.010,.013,.030,.103,08
