Current Date:,5/9/2019,6:12 AM,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Daily Parameter Report
5/8/2019
,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Summary
Parameter,SiteName,,,,,,,,,,,,,,,,,,,,,,,,,Avg,Max,Hr. of Max
01 OZONE PPM,ALPINE,.033,.032,C,C,.035,.036,.035,.033,.035,.037,.036,.037,.037,.036,.035,.035,.034,.033,.034,.034,.035,.036,.039,.040,.035,.040,23
,CHULA VISTA,.034,.037,C,C,.039,.038,.034,.036,.037,.039,.039,.041,.042,.041,.040,.040,.040,.040,.040,.036,.032,.028,.030,.027,.036,.042,12
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.034,.035,C,C,C,.031,.032,.034,.036,.035,.035,.036,.036,.038,.036,.036,.037,.037,.035,.034,.034,.032,.028,.028,.034,.038,13
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.030,.029,C,C,.033,.028,.030,.030,.031,.031,M,M,M,M,.039,.039,.039,.038,.037,.036,.034,.033,.033,.032,.033,.039,14
,OTAY MESA DVN,.029,.029,C,C,.033,.033,.031,.030,.031,M,M,.036,.037,.037,.037,.038,.035,.032,.032,.031,.030,.031,.028,.028,.032,.038,15
,PENDLETON,.029,.023,C,C,.039,.038,.037,.033,.034,.036,.037,.037,.037,.039,.038,.036,.038,.039,.039,.038,.038,.037,.037,.037,.036,.039,04
02 NOX PPM,ALPINE,.001,.001,C,C,.002,.002,.003,.005,.003,.002,.002,.002,.003,.004,.006,.006,.007,.006,.004,.003,.003,.002,.001,.001,.003,.007,16
,CARMEL MT RCH,.008,.007,C,C,C,.003,.006,.041,.037,.029,.039,.044,.031,.029,.028,.017,.017,.019,.018,.017,.014,.014,.007,.011,.021,.044,11
,CHULA VISTA,.002,.001,C,C,.000,.002,.005,.004,.003,.002,.002,.002,.002,.002,.003,.002,.003,.003,.003,.004,.006,.006,.004,.004,.003,.006,20
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.002,.001,C,C,C,.002,.002,.002,.002,.004,.005,.006,.007,.005,.007,.007,.005,.004,.005,.005,.005,.004,.003,.002,.004,.007,12
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,M,C,C,C,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
,OTAY MESA DVN,.002,.003,C,C,.002,.002,.002,.004,.006,M,M,.003,.002,.003,.003,.002,.002,.002,.002,.002,.004,.003,.003,.003,.003,.006,08
,PENDLETON,.003,.006,C,C,.000,.001,.002,.011,.007,.004,.001,.001,.002,.002,.002,.002,.001,.001,.000,.000,.000,.000,.000,.000,.002,.011,07
03 NO2 PPM,ALPINE,.001,.001,C,C,.002,.002,.003,.004,.003,.002,.002,.002,.003,.004,.005,.005,.006,.006,.004,.003,.003,.002,.001,.001,.003,.006,16
,CARMEL MT RCH,.006,.005,C,C,C,.002,.004,.020,.017,.015,.019,.021,.015,.014,.015,.009,.010,.010,.011,.011,.010,.008,.006,.008,.011,.021,11
,CHULA VISTA,.002,.001,C,C,.001,.002,.005,.003,.003,.001,.002,.001,.002,.002,.003,.002,.003,.003,.003,.004,.006,.006,.005,.004,.003,.006,20
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.002,.001,C,C,C,.002,.002,.002,.001,.003,.004,.005,.006,.005,.006,.006,.004,.004,.005,.004,.004,.004,.003,.002,.004,.006,12
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,M,C,C,C,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
,OTAY MESA DVN,.002,.002,C,C,.001,.001,.001,.003,.005,M,M,.002,.002,.002,.003,.002,.002,.002,.001,.002,.003,.003,.003,.002,.002,.005,08
,PENDLETON,.003,.006,C,C,.000,.001,.002,.007,.005,.003,.001,.000,.002,.001,.002,.002,.001,.001,.000,.000,.000,.000,.000,.000,.002,.007,07
04 NO PPM,ALPINE,.000,.000,C,C,.000,.000,.000,.001,.000,.000,.000,.000,.000,.001,.001,.001,.000,.000,.000,.000,.000,.000,.000,.000,.000,.001,07
,CARMEL MT RCH,.002,.002,C,C,C,.000,.002,.021,.020,.014,.020,.023,.016,.014,.013,.007,.007,.009,.008,.006,.005,.005,.002,.003,.009,.023,11
,CHULA VISTA,.000,.000,C,C,.000,.000,.001,.001,.001,.000,.000,.000,.000,.000,.001,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.001,06
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.000,.000,C,C,C,.000,.000,.000,.001,.001,.001,.002,.001,.001,.001,.001,.001,.000,.000,.000,.000,.000,.000,.000,.000,.002,11
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,M,C,C,C,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
,OTAY MESA DVN,.000,.000,C,C,.000,.001,.000,.001,.001,M,M,.000,.000,.001,.001,.001,.000,.000,.000,.000,.000,.000,.000,.000,.000,.001,05
,PENDLETON,.000,.000,C,C,.000,.000,.000,.004,.003,.001,.000,.000,.001,.000,.001,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.004,07
06 CO PPM,CARMEL MT RCH,.2,.2,C,C,C,.1,.2,.4,.3,.3,.4,.5,.4,.4,.4,.3,.3,.4,.4,.4,.3,.3,.3,.3,.3,.5,11
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
10 INTMP °C,ALPINE,26,26,26,27,27,27,27,27,26,26,25,25,26,25,25,25,26,26,25,26,26,26,26,26,26,27,03
,CARMEL MT RCH,26,26,26,26,26,26,26,26,26,26,25,25,25,25,26,26,26,26,26,26,26,26,26,26,26,26,00
,CHULA VISTA,25,25,25,24,25,25,25,25,25,25,25,25,25,24,25,25,25,25,25,25,25,25,25,25,25,25,00
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,23,24,24,24,24,24,24,24,24,24,24,00
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,24,24,25,25,24,25,25,25,25,25,24,24,25,24,24,24,24,24,25,24,25,24,24,25,24,25,02
,OTAY MESA DVN,27,27,27,27,27,27,27,27,27,27,26,26,25,27,27,27,27,27,27,27,27,27,27,27,27,27,00
,PENDLETON,24,24,24,24,24,24,24,24,24,24,23,23,23,23,23,23,23,24,24,24,24,24,24,24,24,24,00
,SAN YSIDRO,,,,,,,,,,,,,,,,,,,,,,,,,,,
11 PM2.5 µg/M3,ALPINE,-.1,.1,1.4,.7,.4,-2.4,-4.5,-2.6,-1.2,-1.0,-.8,-.4,.8,2.4,3.3,2.6,3.7,4.7,.8,1.0,2.1,2.6,2.8,4.0,.8,4.7,17
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,2.9,2.9,.7,.9,2.7,3.6,2.3,.9,3.1,3.9,3.1,2.8,4.9,M,M,M,M,M,M,M,M,M,M,M,2.6,4.9,12
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OTAY MESA DVN,M,M,M,M,M,M,M,M,M,M,M,7.5,4.1,.8,5.3,5.0,4.5,4.6,3.1,3.2,4.3,4.6,4.8,7.0,4.5,7.5,11
,PENDLETON,-.9,-.2,.3,.1,-2.2,-3.6,.3,2.7,1.5,-.8,-1.5,-.7,-1.5,3.4,3.3,1.7,2.5,2.3,1.9,2.4,1.3,.9,2.3,3.0,.7,3.4,13
,SAN YSIDRO,,,,,,,,,,,,,,,,,,,,,,,,,,,
12 VWDR °,ALPINE,298,295,301,276,250,271,217,253,278,273,265,274,271,261,253,251,236,236,225,244,226,266,257,261,260,301,02
,CHULA VISTA,18,306,279,278,313,226,218,203,231,243,264,270,261,261,271,278,299,289,291,319,21,75,115,154,228,319,19
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,339,285,5,113,119,139,133,178,245,283,239,258,270,237,203,253,265,267,256,254,269,177,158,126,211,339,00
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,307,342,41,277,185,130,150,151,264,275,268,233,237,281,307,290,296,293,284,289,286,294,288,287,252,342,01
,OTAY MESA DVN,358,326,284,286,61,3,263,255,266,238,248,299,281,286,292,286,279,270,279,329,37,44,53,108,226,358,00
,PENDLETON,1,60,97,220,222,181,170,211,244,214,228,249,271,275,275,278,286,287,289,271,263,265,267,264,225,289,18
13 SIGTHETA °,ALPINE,23,51,36,22,20,26,46,49,29,27,25,29,36,24,27,26,24,21,23,22,21,29,26,25,29,51,01
,CHULA VISTA,20,34,20,21,25,32,30,28,39,25,23,28,22,22,21,19,22,21,23,43,27,19,17,22,25,43,19
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,39,30,20,21,18,23,46,39,48,45,42,26,46,51,31,24,18,18,18,19,22,26,11,22,29,51,13
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,9,16,22,23,21,19,42,60,21,21,19,21,23,16,15,11,10,10,11,10,8,9,7,5,18,60,07
,OTAY MESA DVN,20,21,20,16,34,14,21,43,61,52,23,14,13,14,14,14,11,10,16,24,23,23,19,18,22,61,08
,PENDLETON,32,20,27,17,22,19,28,33,27,23,19,15,15,16,16,17,19,18,19,17,12,13,14,13,20,33,07
14 VWSP MPH,ALPINE,1.8,.5,1.1,1.9,1.4,.8,.5,1.0,2.2,2.6,2.8,2.5,2.7,3.3,3.1,2.8,3.0,2.9,2.2,2.7,2.3,1.8,1.4,1.1,2.0,3.3,13
,CHULA VISTA,2.1,2.1,4.0,3.4,1.4,.8,1.8,2.2,2.1,3.9,5.4,5.1,6.0,5.4,6.4,7.0,5.3,4.7,3.4,1.2,1.3,2.1,2.2,1.7,3.4,7.0,15
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,1.2,1.7,2.2,1.4,1.9,1.5,1.2,1.7,1.1,1.8,2.4,3.3,2.7,1.7,2.9,4.9,5.7,5.1,3.4,2.8,1.9,1.2,2.4,1.4,2.4,5.7,16
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,2.6,1.7,2.7,2.1,1.2,3.3,2.5,2.0,1.9,2.2,3.9,3.9,4.2,7.1,7.0,9.5,8.1,7.0,4.8,3.9,2.7,2.7,1.5,1.1,3.7,9.5,15
,OTAY MESA DVN,2.4,1.5,1.7,2.4,1.6,1.6,1.7,1.4,1.1,1.7,4.3,5.7,6.3,6.2,6.4,7.6,6.1,4.0,3.2,1.2,1.8,1.6,1.4,1.2,3.1,7.6,15
,PENDLETON,1.2,2.7,.7,3.5,2.2,2.6,1.6,1.8,1.8,3.5,5.3,6.2,5.6,4.9,4.6,4.4,4.0,3.6,3.4,3.4,4.5,3.7,2.9,3.0,3.4,6.2,11
15 SWSP MPH,ALPINE,2.0,.7,1.6,2.0,1.6,.8,.6,1.3,2.5,2.9,3.1,2.8,3.3,3.6,3.5,3.2,3.2,3.1,2.3,2.9,2.4,2.1,1.6,1.2,2.3,3.6,13
,CHULA VISTA,2.3,2.5,4.3,3.7,1.5,1.0,2.1,2.5,2.5,4.4,5.8,5.6,6.5,5.8,6.8,7.3,5.7,5.0,3.8,2.0,2.3,2.2,2.3,1.9,3.7,7.3,15
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,1.4,3.0,2.8,1.5,2.0,1.7,1.5,2.1,2.0,2.4,2.9,4.0,3.4,2.5,3.5,5.3,6.0,5.3,3.6,3.0,2.1,1.4,2.5,1.6,2.8,6.0,16
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OTAY MESA DVN,2.6,1.8,2.2,2.6,1.9,1.7,1.9,1.7,2.0,2.7,4.9,5.9,6.5,6.4,6.6,7.8,6.2,4.1,3.3,1.4,1.9,1.7,1.6,1.5,3.4,7.8,15
,PENDLETON,2.0,2.9,2.2,3.7,2.4,2.8,1.7,2.1,2.0,3.8,5.6,6.5,5.8,5.1,4.8,4.7,4.2,3.8,3.6,3.6,4.6,3.8,3.0,3.1,3.7,6.5,11
16 AMBTEMP °F,ALPINE,51.4,51.3,51.3,50.6,50.1,50.1,51.2,53.1,54.3,55.5,55.5,56.0,57.8,58.4,57.9,57.1,56.1,54.9,53.9,53.3,53.0,52.7,52.2,52.1,53.7,58.4,13
,CARMEL MT RCH,56.7,56.1,55.1,55.2,55.0,55.2,56.4,58.0,58.6,59.8,61.4,62.4,62.0,60.9,59.5,58.7,58.1,58.0,57.7,57.7,57.4,57.2,57.1,57.3,58.0,62.4,11
,CHULA VISTA,60.1,59.7,59.1,59.0,57.6,57.3,58.1,59.3,60.6,61.9,62.6,63.5,63.6,63.1,62.5,61.9,61.5,60.6,60.5,60.3,60.2,59.8,59.6,59.3,60.5,63.6,12
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,58.5,57.8,56.1,55.6,55.4,55.9,57.6,59.2,60.9,63.8,64.8,64.7,64.4,64.6,M,62.4,60.6,59.5,58.6,57.9,57.5,57.4,57.1,57.2,59.5,64.8,10
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,58.2,58.4,57.8,57.3,56.3,56.7,57.8,59.6,60.3,60.8,61.3,61.8,62.8,62.6,62.8,61.6,60.6,60.4,60.0,59.9,59.9,59.7,59.6,59.7,59.8,62.8,12
,OTAY MESA DVN,58.5,58.5,56.8,55.5,56.0,56.6,57.3,58.7,60.4,62.1,62.3,61.5,61.9,61.8,61.9,61.1,59.0,58.1,57.5,57.7,57.9,58.1,58.3,58.4,59.0,62.3,10
,PENDLETON,60.9,60.3,60.4,60.2,59.8,59.6,60.0,60.6,61.4,62.6,64.1,64.8,63.4,63.0,62.8,62.5,62.3,61.9,61.8,61.7,61.7,61.5,61.4,61.5,61.7,64.8,11
17 RELHUM %,ALPINE,94,94,93,94,95,96,94,87,81,77,78,76,72,72,75,78,83,89,94,96,96,97,97,97,88,97,21
,EL CAJON LES,79,81,88,89,89,88,85,79,71,65,62,63,64,62,M,73,80,83,88,91,91,91,93,93,80,93,22
,KEARNY MESA,87,86,89,90,93,92,88,81,78,78,77,78,74,76,77,82,84,84,83,83,84,84,84,84,83,93,04
18 PRES mmHg,KEARNY MESA,748,748,748,748,748,748,748,748,747,747,747,747,747,746,746,745,745,745,745,745,745,745,745,745,747,748,00
19 SOLAR W/M2,KEARNY MESA,0,0,0,0,0,22,93,172,163,124,148,172,293,219,207,105,44,20,3,0,0,0,0,0,74,293,12
28 SO2 Tr PPB,EL CAJON LES,.0,.0,C,C,C,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,00
29 CO Tr PPB,EL CAJON LES,149.7,134.2,C,C,C,148.9,162.6,171.6,167.3,193.9,223.9,199.1,199.7,192.2,217.8,231.7,181.1,196.6,219.5,192.4,188.6,197.9,196.4,170.7,187.4,231.7,15
