Current Date:,5/29/2019,6:12 AM,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Daily Parameter Report
5/28/2019
,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Summary
Parameter,SiteName,,,,,,,,,,,,,,,,,,,,,,,,,Avg,Max,Hr. of Max
01 OZONE PPM,ALPINE,.030,.033,C,C,.031,.032,.032,.034,.037,.040,.045,.048,.053,.055,.051,.048,.048,.046,.041,.036,.030,.030,.029,.024,.038,.055,13
,CHULA VISTA,.018,.021,C,C,.009,.007,.013,.028,.035,.041,.043,.042,.040,.039,.039,.039,.040,.039,.039,.038,.039,.038,.034,.029,.032,.043,10
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.001,.001,C,C,C,.001,.001,M,M,M,M,M,M,M,.044,.044,.043,.042,.037,.034,.033,.032,.032,.028,.026,.044,14
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.013,.014,C,C,.005,.006,.018,.031,.032,.036,.042,.045,.042,.042,.040,.041,.041,.040,.035,.032,.033,.034,.027,.022,.030,.045,11
,OTAY MESA DVN,.024,.025,C,C,.015,.012,.010,.027,.029,M,M,M,M,.040,.039,.038,.040,.039,.034,.033,.034,.033,.029,.026,.029,.040,13
,PENDLETON,.022,.018,C,C,.011,.011,.014,.027,.034,.034,.039,.044,.045,.034,.031,.035,.038,.037,.036,.034,.036,.026,.019,.017,.029,.045,12
02 NOX PPM,ALPINE,.001,.001,C,C,.001,.002,.005,.006,.004,.003,.002,.002,.002,.003,.003,.004,.004,.003,.004,.006,.006,.004,.004,.004,.003,.006,07
,CARMEL MT RCH,.014,.016,C,C,C,.044,.011,.014,.033,.023,.018,.029,.023,.018,.019,.021,.014,.023,.015,.017,.019,.019,.007,.011,.019,.044,05
,CHULA VISTA,.007,.003,C,C,.011,.021,.030,.012,.008,.002,.001,.001,.001,.001,.001,.002,.001,.002,.001,.001,.000,.002,.004,.004,.005,.030,06
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.004,.001,C,C,C,.006,.003,.003,M,M,M,M,M,M,.003,.003,.004,.005,.006,.005,.004,.004,.002,.003,.004,.006,05
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.006,.004,C,C,.018,.021,.013,.005,.008,.008,.006,.004,.003,.003,.003,.003,.003,.003,.003,.004,.003,.003,.005,.007,.006,.021,05
,OTAY MESA DVN,.007,.003,C,C,.011,.021,.041,.012,.020,M,M,M,M,.004,.003,.002,.002,.003,.004,.002,.002,.002,.003,.004,.008,.041,06
,PENDLETON,.004,.003,C,C,.009,.012,.015,.008,.004,.004,.002,.002,.004,.009,.010,.004,.000,.000,.000,.000,.000,.008,.010,.005,.005,.015,06
03 NO2 PPM,ALPINE,.001,.001,C,C,.001,.002,.004,.004,.003,.002,.002,.002,.002,.003,.003,.003,.003,.003,.004,.006,.006,.004,.004,.004,.003,.006,19
,CARMEL MT RCH,.010,.011,C,C,C,.017,.007,.007,.015,.012,.010,.016,.012,.009,.010,.011,.008,.013,.008,.010,.011,.012,.006,.009,.011,.017,05
,CHULA VISTA,.007,.004,C,C,.010,.015,.016,.008,.005,.001,.001,.001,.000,.001,.001,.001,.001,.001,.001,.001,.001,.002,.004,.005,.004,.016,06
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.003,.001,C,C,C,.004,.002,.002,M,M,M,M,M,M,.002,.002,.003,.004,.005,.005,.004,.004,.003,.003,.003,.005,18
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.006,.004,C,C,.013,.011,.007,.004,.005,.006,.005,.004,.003,.002,.002,.002,.003,.003,.003,.004,.003,.003,.006,.007,.005,.013,04
,OTAY MESA DVN,.006,.002,C,C,.009,.012,.019,.008,.014,M,M,M,M,.003,.002,.001,.001,.002,.003,.002,.001,.002,.002,.004,.005,.019,06
