Current Date:,5/8/2019,11:08 PM
,,,,,,,,8 Hour Rolling Average Report
5/7/2019
,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Grand Total
Parameter,Site Name,,,,,,,,,,,,,,,,,,,,,,,,,Avg,Max,Hr. of Max
01 OZONE PPM,ALPINE,.034,.035,.036,.036,.037,.037,.037,.038,.038,.038,.038,.038,.037,.037,.036,.034,.033,.032,.032,.031,.031,.032,.032,.033,0.035,0.038,07
,CHULA VISTA,.035,.036,.039,.039,.039,.039,.04,.041,.041,.041,.04,.039,.039,.038,.037,.036,.035,.035,.034,.034,.034,.035,.035,.036,0.037,0.041,07
,EL CAJON LES,,,,.034,.035,.036,.037,.039,.039,.04,.04,.039,.039,.038,.036,.035,.034,.034,.033,.033,.032,,,,0.036,0.04,09
,KEARNY MESA,.028,,,.032,.033,.035,,,,.038,.038,.037,.034,.033,.032,.03,.029,.028,.027,.026,.026,.027,.028,.029,0.031,0.038,09
,OTAY MESA DVN,.032,,,,.035,.037,.038,.038,.039,.038,.038,.037,.036,.035,.034,.033,.032,.031,.03,.029,.029,.029,.03,.03,0.033,0.039,08
,PENDLETON,,,,,,,,.036,.036,.036,.036,.036,.036,.036,.036,.036,.036,.035,.033,.033,.033,.033,.033,.033,0.034,0.036,07
