Current Date:,5/11/2019,6:12 AM,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Daily Parameter Report
5/10/2019
,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Summary
Parameter,SiteName,,,,,,,,,,,,,,,,,,,,,,,,,Avg,Max,Hr. of Max
01 OZONE PPM,ALPINE,.032,.028,C,C,.021,.017,.029,.033,.030,.032,.032,.033,.033,.034,.032,.029,.028,.028,.028,.027,.027,.024,.021,.019,.028,.034,13
,CHULA VISTA,.035,.036,C,C,.027,.023,.022,.027,.029,.032,.033,.034,.032,.033,.035,.036,.037,.036,.036,.034,.029,.024,.022,.020,.030,.037,16
,DEL_MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.030,.028,C,C,C,.028,.028,.029,.031,.032,.035,.033,.034,.032,.031,.033,.032,.032,.032,.032,.028,.028,.023,.019,.030,.035,10
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,.027,.035,C,C,.023,.022,.025,.031,,.034,M,M,M,M,M,.034,.033,.034,.034,.031,.019,.014,.013,.010,.026,.035,01
,OTAY MESA DVN,.030,.025,C,C,.026,.027,.019,.025,.025,.030,.029,.031,.031,.031,.031,.031,.031,.032,.032,.029,.028,.022,.018,.015,.027,.032,17
,PENDLETON,.023,.022,C,C,.027,.023,.024,.031,.031,.031,.032,.033,.032,.032,.032,.029,.032,.032,.031,.021,.017,.018,.014,.008,.026,.033,11
02 NOX PPM,ALPINE,.002,.004,C,C,.006,.008,.003,.003,.002,.002,.003,.003,.004,.003,.005,.005,.005,.005,.004,.005,.004,.005,.004,.004,.004,.008,05
,CARMEL MT RCH,.003,.013,C,C,C,.004,.006,.005,,.036,.034,.032,.043,.027,.033,.020,.022,.019,.015,.014,.005,.014,.019,.014,.019,.043,12
,CHULA VISTA,.001,.000,C,C,.005,.010,.013,.009,.005,.004,.002,.001,.002,.002,.001,.001,.001,.001,.002,.002,.004,.007,.006,.006,.004,.013,06
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.002,.002,C,C,C,.002,.002,.004,.004,.007,.004,.004,.003,.004,.005,.005,.006,.005,.004,.004,.004,.003,.003,.005,.004,.007,09
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,M,C,C,C,M,M,M,M,,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
,OTAY MESA DVN,.004,.006,C,C,.003,.004,.018,.016,.012,.008,.007,.006,.005,.006,.006,.007,.004,.003,.002,.002,.002,.003,.012,.012,.007,.018,06
,PENDLETON,.004,.003,C,C,.008,.011,.009,.003,.003,.006,.003,.002,.002,.002,.000,.004,.001,.000,.005,.008,.009,.008,.011,.015,.005,.015,23
03 NO2 PPM,ALPINE,.002,.004,C,C,.006,.007,.002,.003,.002,.002,.002,.002,.004,.003,.004,.005,.005,.004,.004,.005,.004,.005,.004,.004,.004,.007,05
,CARMEL MT RCH,.002,.008,C,C,C,.004,.004,.003,,.016,.017,.017,.022,.015,.016,.010,.011,.010,.009,.009,.004,.010,.013,.011,.011,.022,12
,CHULA VISTA,.001,.000,C,C,.005,.009,.010,.007,.004,.003,.002,.001,.002,.002,.001,.001,.001,.001,.002,.002,.004,.007,.006,.006,.004,.010,06
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.002,.002,C,C,C,.002,.002,.003,.003,.005,.003,.003,.002,.003,.004,.003,.004,.004,.004,.003,.004,.003,.003,.005,.003,.005,09
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,M,C,C,C,M,M,M,M,,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
,OTAY MESA DVN,.003,.006,C,C,.003,.003,.012,.012,.010,.006,.006,.005,.004,.004,.004,.006,.004,.003,.002,.002,.002,.003,.011,.012,.006,.012,06
,PENDLETON,.004,.003,C,C,.008,.010,.007,.002,.003,.004,.002,.001,.002,.001,.000,.004,.001,.000,.002,.008,.009,.008,.011,.013,.005,.013,23
04 NO PPM,ALPINE,.000,.000,C,C,.001,.002,.001,.001,.000,.000,.000,.000,.001,.000,.001,.001,.001,.000,.000,.000,.000,.000,.000,.000,.000,.002,05
,CARMEL MT RCH,.000,.004,C,C,C,.001,.001,.002,,.020,.018,.015,.022,.012,.017,.010,.011,.009,.006,.005,.001,.004,.006,.003,.008,.022,12
,CHULA VISTA,.000,.000,C,C,.000,.001,.004,.002,.001,.001,.000,.000,.000,.001,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.004,06
,DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EL CAJON LES,.000,.000,C,C,C,.000,.000,.001,.001,.002,.001,.001,.001,.001,.002,.001,.001,.001,.000,.000,.000,.000,.000,.000,.001,.002,09
,ESCONDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KEARNY MESA,M,C,C,C,M,M,M,M,,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
,OTAY MESA DVN,.000,.000,C,C,.000,.000,.006,.004,.002,.002,.001,.001,.001,.001,.001,.002,.001,.000,.000,.000,.000,.000,.001,.000,.001,.006,06
