Current Date:,10/9/2019,11:08 PM
,,,,,,,,8 Hour Rolling Average Report
10/8/2019
,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Grand Total
Parameter,Site Name,,,,,,,,,,,,,,,,,,,,,,,,,Avg,Max,Hr. of Max
01 OZONE PPM,ALPINE,.053,.053,.053,.055,.057,.06,.062,.063,.065,.064,.063,.06,.056,.051,.047,.044,.042,.04,.039,.039,.038,.038,.036,.033,0.05,0.065,08
,CHULA VISTA,.003,.007,.012,.012,.012,.021,.03,.038,.045,.048,.049,.047,.044,.039,.035,.032,.031,.03,.03,.03,.03,.029,.027,.023,0.029,0.049,10
,DOWNTOWN SES,.017,.013,.012,.017,.022,.027,.034,.04,.043,.047,.048,.045,.041,.035,.03,.027,.026,.025,.025,.025,.026,.028,.028,.025,0.029,0.048,10
,EL CAJON LES,,,,.023,.028,.034,.042,.048,.053,.057,.057,.053,.049,.042,.036,.03,.026,.024,.021,.02,.019,,,,0.036,0.057,09
,KEARNY MESA,.016,.017,.019,.023,.027,.035,.042,.048,.052,.053,.052,.049,.043,.037,.03,.023,.017,.014,.013,.011,.011,.01,.01,.012,0.027,0.053,09
,OTAY MESA DVN,.011,,,,.025,.035,.042,.049,.056,.055,.053,.051,.047,.041,.038,.034,.029,.026,.023,.021,.02,.02,.016,.013,0.033,0.056,08
,PENDLETON,.022,.022,.025,.027,.029,.032,.036,.038,.039,.041,.041,.04,.04,.039,.035,.032,.03,.027,.025,.023,.02,.017,.018,.018,0.029,0.041,09
